section,arm,caller,cell_type,bg_pct,call_pct,enrichment,n_called
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Biliary/ductular,22.2,26.552,1.196,1001
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Hepatic stellate cells,11.509,0.557,0.048,21
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,LSECs,10.131,0.292,0.029,11
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Kupffer cells,9.036,0.265,0.029,10
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,T/NK cells,3.007,0.212,0.071,8
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,DC,2.7,0.053,0.02,2
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,vSMCs,2.217,0.053,0.024,2
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,B-cells,1.208,0.053,0.044,2
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Proliferating,0.919,0.345,0.375,13
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Central venous LSECs,0.877,0.106,0.121,4
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,Mesothelial cells,0.062,0.0,0.0,0
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Hepatocytes,36.134,92.706,2.566,2720
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Biliary/ductular,22.2,0.716,0.032,21
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Hepatic stellate cells,11.509,0.443,0.038,13
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,LSECs,10.131,0.648,0.064,19
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Kupffer cells,9.036,0.545,0.06,16
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,T/NK cells,3.007,0.17,0.057,5
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,DC,2.7,0.102,0.038,3
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,vSMCs,2.217,0.136,0.062,4
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,B-cells,1.208,0.034,0.028,1
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Proliferating,0.919,4.397,4.783,129
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Central venous LSECs,0.877,0.034,0.039,1
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,Mesothelial cells,0.062,0.068,1.093,2
7248_liver_sham_Male_26-U1,sham,tierA_score,Hepatocytes,55.099,24.393,0.443,2383
7248_liver_sham_Male_26-U1,sham,tierA_score,LSECs,16.57,20.596,1.243,2012
7248_liver_sham_Male_26-U1,sham,tierA_score,Hepatic stellate cells,8.069,6.469,0.802,632
7248_liver_sham_Male_26-U1,sham,tierA_score,Kupffer cells,7.353,9.52,1.295,930
7248_liver_sham_Male_26-U1,sham,tierA_score,Biliary/ductular,4.305,12.151,2.823,1187
7248_liver_sham_Male_26-U1,sham,tierA_score,vSMCs,3.492,7.585,2.172,741
7248_liver_sham_Male_26-U1,sham,tierA_score,T/NK cells,2.654,12.14,4.574,1186
7248_liver_sham_Male_26-U1,sham,tierA_score,Central venous LSECs,1.259,2.354,1.871,230
7248_liver_sham_Male_26-U1,sham,tierA_score,B-cells,0.671,2.16,3.22,211
7248_liver_sham_Male_26-U1,sham,tierA_score,Proliferating,0.529,2.631,4.973,257
7248_liver_sham_Male_26-U1,sham,senepy_score,Hepatocytes,55.099,17.16,0.311,1402
7248_liver_sham_Male_26-U1,sham,senepy_score,LSECs,16.57,4.149,0.25,339
7248_liver_sham_Male_26-U1,sham,senepy_score,Hepatic stellate cells,8.069,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,Kupffer cells,7.353,78.568,10.685,6419
7248_liver_sham_Male_26-U1,sham,senepy_score,Biliary/ductular,4.305,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,vSMCs,3.492,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,T/NK cells,2.654,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,senepy_score,Central venous LSECs,1.259,0.073,0.058,6
7248_liver_sham_Male_26-U1,sham,senepy_score,B-cells,0.671,0.049,0.073,4
7248_liver_sham_Male_26-U1,sham,senepy_score,Proliferating,0.529,0.0,0.0,0
7248_liver_sham_Male_26-U1,sham,deepscence_score,Hepatocytes,55.099,89.543,1.625,8751
7248_liver_sham_Male_26-U1,sham,deepscence_score,LSECs,16.57,1.791,0.108,175
7248_liver_sham_Male_26-U1,sham,deepscence_score,Hepatic stellate cells,8.069,0.624,0.077,61
7248_liver_sham_Male_26-U1,sham,deepscence_score,Kupffer cells,7.353,0.593,0.081,58
7248_liver_sham_Male_26-U1,sham,deepscence_score,Biliary/ductular,4.305,6.487,1.507,634
7248_liver_sham_Male_26-U1,sham,deepscence_score,vSMCs,3.492,0.46,0.132,45
7248_liver_sham_Male_26-U1,sham,deepscence_score,T/NK cells,2.654,0.246,0.093,24
7248_liver_sham_Male_26-U1,sham,deepscence_score,Central venous LSECs,1.259,0.123,0.098,12
7248_liver_sham_Male_26-U1,sham,deepscence_score,B-cells,0.671,0.102,0.153,10
7248_liver_sham_Male_26-U1,sham,deepscence_score,Proliferating,0.529,0.031,0.058,3
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Hepatocytes,55.099,68.062,1.235,5300
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,LSECs,16.57,11.738,0.708,914
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Hepatic stellate cells,8.069,4.315,0.535,336
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Kupffer cells,7.353,5.856,0.796,456
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Biliary/ductular,4.305,2.71,0.629,211
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,vSMCs,3.492,1.464,0.419,114
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,T/NK cells,2.654,2.157,0.813,168
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Central venous LSECs,1.259,0.372,0.296,29
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,B-cells,0.671,0.411,0.613,32
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,Proliferating,0.529,2.915,5.51,227
7250_liver_sham_Male_26-U1,sham,tierA_score,Hepatocytes,55.69,33.624,0.604,3669
7250_liver_sham_Male_26-U1,sham,tierA_score,LSECs,15.978,22.315,1.397,2435
7250_liver_sham_Male_26-U1,sham,tierA_score,Kupffer cells,8.792,9.852,1.121,1075
7250_liver_sham_Male_26-U1,sham,tierA_score,Hepatic stellate cells,7.751,6.662,0.86,727
7250_liver_sham_Male_26-U1,sham,tierA_score,Biliary/ductular,3.185,6.919,2.172,755
7250_liver_sham_Male_26-U1,sham,tierA_score,vSMCs,3.174,5.499,1.733,600
7250_liver_sham_Male_26-U1,sham,tierA_score,T/NK cells,1.813,6.763,3.73,738
7250_liver_sham_Male_26-U1,sham,tierA_score,Portal endothelial cells,1.496,3.024,2.021,330
7250_liver_sham_Male_26-U1,sham,tierA_score,Central venous LSECs,1.117,1.915,1.715,209
7250_liver_sham_Male_26-U1,sham,tierA_score,B-cells,0.482,1.384,2.868,151
7250_liver_sham_Male_26-U1,sham,tierA_score,Mesothelial cells,0.267,0.412,1.544,45
7250_liver_sham_Male_26-U1,sham,tierA_score,Proliferating,0.255,1.631,6.404,178
7250_liver_sham_Male_26-U1,sham,senepy_score,Hepatocytes,55.69,14.551,0.261,1332
7250_liver_sham_Male_26-U1,sham,senepy_score,LSECs,15.978,1.77,0.111,162
7250_liver_sham_Male_26-U1,sham,senepy_score,Kupffer cells,8.792,83.483,9.496,7642
7250_liver_sham_Male_26-U1,sham,senepy_score,Hepatic stellate cells,7.751,0.0,0.0,0
7250_liver_sham_Male_26-U1,sham,senepy_score,Biliary/ductular,3.185,0.0,0.0,0
7250_liver_sham_Male_26-U1,sham,senepy_score,vSMCs,3.174,0.0,0.0,0
7250_liver_sham_Male_26-U1,sham,senepy_score,T/NK cells,1.813,0.0,0.0,0
7250_liver_sham_Male_26-U1,sham,senepy_score,Portal endothelial cells,1.496,0.0,0.0,0
7250_liver_sham_Male_26-U1,sham,senepy_score,Central venous LSECs,1.117,0.098,0.088,9
7250_liver_sham_Male_26-U1,sham,senepy_score,B-cells,0.482,0.098,0.204,9
7250_liver_sham_Male_26-U1,sham,senepy_score,Mesothelial cells,0.267,0.0,0.0,0
7250_liver_sham_Male_26-U1,sham,senepy_score,Proliferating,0.255,0.0,0.0,0
7250_liver_sham_Male_26-U1,sham,deepscence_score,Hepatocytes,55.69,1.484,0.027,162
7250_liver_sham_Male_26-U1,sham,deepscence_score,LSECs,15.978,24.418,1.528,2665
7250_liver_sham_Male_26-U1,sham,deepscence_score,Kupffer cells,8.792,40.599,4.618,4431
7250_liver_sham_Male_26-U1,sham,deepscence_score,Hepatic stellate cells,7.751,11.132,1.436,1215
7250_liver_sham_Male_26-U1,sham,deepscence_score,Biliary/ductular,3.185,1.219,0.383,133
7250_liver_sham_Male_26-U1,sham,deepscence_score,vSMCs,3.174,10.29,3.242,1123
7250_liver_sham_Male_26-U1,sham,deepscence_score,T/NK cells,1.813,4.261,2.35,465
7250_liver_sham_Male_26-U1,sham,deepscence_score,Portal endothelial cells,1.496,1.878,1.255,205
7250_liver_sham_Male_26-U1,sham,deepscence_score,Central venous LSECs,1.117,1.851,1.657,202
7250_liver_sham_Male_26-U1,sham,deepscence_score,B-cells,0.482,1.1,2.279,120
7250_liver_sham_Male_26-U1,sham,deepscence_score,Mesothelial cells,0.267,0.183,0.686,20
