section,arm,week,call,null,scope,n_senders,n_cells,occ_frac_bbox,tissue_frac_bbox,shift_radius_um,real_median_nbrs,null_median_nbrs,frac_retaining_a_neighbour,frac_retaining_a_neighbour_all_shifted,frac_senders_retained,frac_cells_retained,frac_in_occupancy,median_displacement_um
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_var,whole section (tissue window W),5707,127386,0.6562,0.6732,1737.9,259.0,247.9,1.0,0.6579639039775712,0.5996670755212896,0.6141640368643336,0.5930261082880672,1221.7648538442902
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_var,whole section (tissue window W),5707,127386,0.6562,0.6732,1737.9,259.0,241.775,1.0,0.6813737515332049,0.6347555633432627,0.6314952192548632,0.6260557210443316,2253.559339112487
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_var,whole section (tissue window W),8860,202016,0.6555,0.7051,3611.7,169.0,157.35,0.9954541601064208,0.5830135440180586,0.5493679458239278,0.5377880959923967,0.559785553047404,2599.499027743824
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_var,whole section (tissue window W),8860,202016,0.6555,0.7051,3611.7,169.0,156.25,0.994350800603059,0.8970541760722348,0.8625451467268622,0.8471484931886583,0.8115349887133183,3439.202473266726
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,N3_var,whole section (tissue window W),6895,165961,0.6441,0.7347,3600.2,105.0,97.25,1.0,0.6651196519216825,0.6385931834662799,0.6260368399804774,0.5568963016678753,2148.7743577183132
7001_liver_sham_Male_52-U1,sham,52,tierA_p95,N4_var,whole section (tissue window W),6895,165961,0.6441,0.7347,3600.2,105.0,98.75,1.0,0.8502393038433647,0.8272806381435822,0.8162842475039318,0.7234010152284263,4075.4404895376015
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,N3_var,whole section (tissue window W),9725,224921,0.784,0.8579,3918.3,138.0,128.45,0.9957416879199033,0.6118097686375322,0.5786066838046272,0.5920472076862543,0.6330848329048844,2604.771328483492
7248_liver_sham_Male_26-U1,sham,26,tierA_p95,N4_var,whole section (tissue window W),9725,224921,0.784,0.8579,3918.3,138.0,126.1,0.9969055093982778,0.8905244215938305,0.854611825192802,0.8519606884194895,0.8201388174807199,4045.7962469741274
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,N3_var,whole section (tissue window W),6097,139378,0.6199,0.6576,2922.2,142.0,136.8,1.0,0.6623585369854028,0.6244300475643758,0.6176595301984531,0.5944480892242086,1814.4268307336265
7352_liver_sham_Male_2-U1,sham,2,tierA_p95,N4_var,whole section (tissue window W),6097,139378,0.6199,0.6576,2922.2,142.0,140.575,1.0,0.8353288502542234,0.7979416106281778,0.825335060052519,0.7566836148925701,2805.0601769340906
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,N3_var,whole section (tissue window W),6960,172218,0.6622,0.6951,3229.2,130.0,130.25,1.0,0.6213936781609195,0.5846264367816093,0.5911879129939959,0.5701293103448275,2281.0984060740366
7435_liver_sham_Male_10-U1,sham,10,tierA_p95,N4_var,whole section (tissue window W),6960,172218,0.6622,0.6951,3229.2,130.0,130.85,0.9999828093028956,0.9082399425287356,0.8784267241379311,0.8793195252528772,0.8447844827586207,3351.268303295664
