section,arm,field,rho_10um,rho_30um,rho_50um,rho_100um,ell_um
7259_liver_sbr_Male_26-U1,sbr,downstream_arrest,0.06028001439425269,0.016913389973200785,0.011389613849426302,0.006922958227411536,109.25917048464595
7259_liver_sbr_Male_26-U1,sbr,emt_ecm,0.19158291885402948,0.05295173095746183,0.03043546552303731,0.018744878515109732,95.64600784433335
7259_liver_sbr_Male_26-U1,sbr,il6_jak_stat3,0.10949683421064031,0.05091829069523438,0.03192607188595681,0.013962767666450125,69.40624446769743
7259_liver_sbr_Male_26-U1,sbr,interferon_response,0.17384084408470715,0.08980114499526154,0.061475225400784844,0.02158728791324125,54.82306948392957
7259_liver_sbr_Male_26-U1,sbr,oxidative_stress,0.06416644761554123,0.02786819368189308,0.017544385902928124,0.011015238133908001,89.22592055221047
7259_liver_sbr_Male_26-U1,sbr,secondary_senescence,0.10799037681892609,0.023007029774685783,0.017783925832877315,0.008027311253896309,68.97909272804156
7259_liver_sbr_Male_26-U1,sbr,tnfa_nfkb_proximal,0.1850379571002843,0.0606338417800591,0.03630783845603413,0.013839890129848889,64.61339951853414
7259_liver_sbr_Male_26-U1,sbr,zonation_score,0.3269943915168642,0.287997717871585,0.22803582319069132,0.09893242443541167,37.605235132176624
7259_liver_sbr_Male_26-U1,sbr,tierA_score,0.005806710879444343,0.0044696976676022,0.0014458860949548528,-0.0015183632310375047,79.19669974910155
7260_liver_sbr_Male_26-U1,sbr,downstream_arrest,0.11731232529695393,0.04209480297218031,0.02283698071382191,0.015464056503442358,95.6885412185581
7260_liver_sbr_Male_26-U1,sbr,emt_ecm,0.3006602386140208,0.10782466130062238,0.07428757701296679,0.04703120947342072,111.3989794148792
7260_liver_sbr_Male_26-U1,sbr,il6_jak_stat3,0.27953799569157317,0.11790616163002378,0.0573715925975575,0.015443369698464438,57.30993260205755
7260_liver_sbr_Male_26-U1,sbr,interferon_response,0.3696085334636674,0.20165688064301585,0.10379591849540178,0.027425677998625355,53.3095672233495
7260_liver_sbr_Male_26-U1,sbr,oxidative_stress,0.12131522694913792,0.07294100451376517,0.05039467146065588,0.038105984610610745,163.13870321190626
7260_liver_sbr_Male_26-U1,sbr,secondary_senescence,0.34768276876078297,0.1265069027250802,0.05481826267511411,0.009655186391509075,49.84994522699653
7260_liver_sbr_Male_26-U1,sbr,tnfa_nfkb_proximal,0.4958976532770786,0.2087742466767221,0.08644160954127562,0.014559543939691978,42.57926133542551
7260_liver_sbr_Male_26-U1,sbr,zonation_score,0.32028442475119123,0.47162878964105986,0.4159740610940418,0.27998885444868066,114.03595149241491
7260_liver_sbr_Male_26-U1,sbr,tierA_score,0.007401899647723095,0.004463366073514149,0.0022624037354273454,0.0021631119933033112,88.57759962894797
7001_liver_sham_Male_52-U1,sham,downstream_arrest,0.12476637544548036,0.018291724397910734,0.018635299147817832,0.0068689356244126505,92.82271148282989
7001_liver_sham_Male_52-U1,sham,emt_ecm,0.35448908578999205,0.1244268822331464,0.08152920603438177,0.046945603833518125,97.38604483805405
7001_liver_sham_Male_52-U1,sham,il6_jak_stat3,0.24613101728066694,0.08922322922642006,0.044302737808553386,0.016470286396594713,64.03678738351492
7001_liver_sham_Male_52-U1,sham,interferon_response,0.34831740311022286,0.12042584754488596,0.058185833921402794,0.01636462476334734,48.794255896826925
7001_liver_sham_Male_52-U1,sham,oxidative_stress,0.11901016759377434,0.05566785098351422,0.04106843072843923,0.02715835888226802,131.13107603252865
7001_liver_sham_Male_52-U1,sham,secondary_senescence,0.30643732440861854,0.1094156551533391,0.04919878774959436,0.008540727862476704,49.94360081657298
7001_liver_sham_Male_52-U1,sham,tnfa_nfkb_proximal,0.4524813567009146,0.16591080658486357,0.08215160875370935,0.013725009172033028,45.7851230022653
7001_liver_sham_Male_52-U1,sham,zonation_score,0.3171346113478356,0.4397835191040688,0.39228442402881636,0.25624916581858725,102.95227600815338
7001_liver_sham_Male_52-U1,sham,tierA_score,0.017971433238553013,0.006122556340390897,0.00417978372223064,0.0018429961501546619,78.97341970704574
7248_liver_sham_Male_26-U1,sham,downstream_arrest,0.17687661400857266,0.0488736826459196,0.036016433587360355,0.024575113973425204,129.62246384491542
7248_liver_sham_Male_26-U1,sham,emt_ecm,0.6669180972351545,0.19676354792491038,0.1388291637420847,0.09055401614608581,96.27172457705946
7248_liver_sham_Male_26-U1,sham,il6_jak_stat3,0.2869049086240773,0.07715443248957546,0.0352921520357749,0.010225407257202593,55.43985381571794
7248_liver_sham_Male_26-U1,sham,interferon_response,0.3814334620605293,0.11414408331597045,0.05310840196080993,0.025820235505785206,69.65412502693582
7248_liver_sham_Male_26-U1,sham,oxidative_stress,0.27130321741541324,0.1496295961776979,0.1073301986010489,0.06574728024819966,97.01474084380092
7248_liver_sham_Male_26-U1,sham,secondary_senescence,0.3228915985383986,0.10781167561262105,0.05955997248709644,0.03040380661955593,67.57129969383611
7248_liver_sham_Male_26-U1,sham,tnfa_nfkb_proximal,0.31930911937757395,0.09888426216243323,0.04857093858987464,0.021735325803769977,63.74026166703382
7248_liver_sham_Male_26-U1,sham,zonation_score,0.55530849929402,0.7634009895866021,0.7049335145269771,0.5319640075759577,147.39022115382718
7248_liver_sham_Male_26-U1,sham,tierA_score,0.027598776947184753,0.012700505504058844,0.009485302996608673,0.005083419011677413,123.17759401570402
7352_liver_sham_Male_2-U1,sham,downstream_arrest,0.0634597219589494,0.015551549540515202,0.01425997224658488,0.011475575060485077,92.36436513583632
7352_liver_sham_Male_2-U1,sham,emt_ecm,0.22871532335796085,0.05624963473422054,0.03894817667143257,0.02230733823023493,101.56176730307038
7352_liver_sham_Male_2-U1,sham,il6_jak_stat3,0.2852646235699838,0.09529353331879628,0.055898134525679204,0.026289106482284476,68.32941085789658
7352_liver_sham_Male_2-U1,sham,interferon_response,0.5572233621018694,0.20910013625025414,0.12973089619456638,0.0650746381973924,67.39849238421935
7352_liver_sham_Male_2-U1,sham,oxidative_stress,0.08946507891379389,0.05532907481420068,0.04717098899726659,0.030587496488587634,120.10751838264568
7352_liver_sham_Male_2-U1,sham,secondary_senescence,0.26310106760908264,0.05997927469916802,0.02854830663315051,0.012331208688905132,62.426112329528706
7352_liver_sham_Male_2-U1,sham,tnfa_nfkb_proximal,0.5440742717306872,0.14924718020285999,0.07403862341373527,0.030681505472325676,57.391393430411746
7352_liver_sham_Male_2-U1,sham,zonation_score,0.509335307363261,0.6454905752087182,0.5703059260486408,0.37055952395915115,80.75959523878058
7352_liver_sham_Male_2-U1,sham,tierA_score,0.016775663253900328,0.004451770527251611,-0.00037177423987205745,0.000438421454864248,250.95739060887644
7435_liver_sham_Male_10-U1,sham,downstream_arrest,0.11503832546613942,0.04767564031140364,0.035098125951578976,0.025344980797162096,154.5957739936371
7435_liver_sham_Male_10-U1,sham,emt_ecm,0.3249063135494361,0.04838539081004732,0.03928270353794751,0.02776162796330079,132.43518302242725
7435_liver_sham_Male_10-U1,sham,il6_jak_stat3,0.2640817336936561,0.05954085920009917,0.024462199508355032,0.005742415954616165,43.40798909365075
7435_liver_sham_Male_10-U1,sham,interferon_response,0.47141459420036025,0.12052678449308511,0.057593888159933576,0.020946117109085883,46.21615743999308
7435_liver_sham_Male_10-U1,sham,oxidative_stress,0.11971901114671125,0.06502309319444888,0.04946450467793773,0.028861889681391455,83.72026495348051
7435_liver_sham_Male_10-U1,sham,secondary_senescence,0.13366139112296702,0.021460425286812093,0.01436439149225205,0.0009890617852173044,45.79459116296559
7435_liver_sham_Male_10-U1,sham,tnfa_nfkb_proximal,0.3104695461258734,0.062215617391840436,0.023757447970865368,0.005287689262084487,48.0412771227822
7435_liver_sham_Male_10-U1,sham,zonation_score,0.5861943201944403,0.7590232664701101,0.6695068165214735,0.4197635659549281,71.70127094326341
7435_liver_sham_Male_10-U1,sham,tierA_score,0.018797304947365017,0.0008754823774783177,0.003812522137374699,0.00022845308554855418,122.54370609301675
7239_liver_sbr_Male_52-U1,sbr,downstream_arrest,0.10156055043811867,0.024838528548746724,0.020725225380124522,0.014254654599806,102.67741581649855
7239_liver_sbr_Male_52-U1,sbr,emt_ecm,0.3073416011852592,0.096446385954492,0.06110432028263826,0.039771344107076695,77.48223894084369
7239_liver_sbr_Male_52-U1,sbr,il6_jak_stat3,0.22757352326202704,0.0779640476203465,0.03735378103706832,0.022718281938092347,85.49984573335583
7239_liver_sbr_Male_52-U1,sbr,interferon_response,0.2619235185785782,0.09575314257869556,0.048980268182794086,0.021543850825183255,71.72811588877205
7239_liver_sbr_Male_52-U1,sbr,oxidative_stress,0.20316098528908189,0.07362219371529631,0.04794330183934324,0.025618162948118296,83.0902696454304
7239_liver_sbr_Male_52-U1,sbr,secondary_senescence,0.23124079452075588,0.06365478433012162,0.027146988220900805,0.012006162121104351,47.20314464554153
7239_liver_sbr_Male_52-U1,sbr,tnfa_nfkb_proximal,0.5211434810805117,0.14513059822556845,0.05859573423719997,0.020963625232135012,59.603898709627636
7239_liver_sbr_Male_52-U1,sbr,zonation_score,0.3425482066186475,0.4788969516722487,0.40702444956422107,0.24010931746657152,91.25259509549541
7239_liver_sbr_Male_52-U1,sbr,tierA_score,0.022164357224221352,0.008220036213353535,0.0052486437877248505,0.0006331825560206493,107.4585799610981
7448_liver_sbr_Male_10-U1,sbr,downstream_arrest,0.12182269028415883,0.02528680791927899,0.017799860576132184,0.015170813462542324,122.76676197700223
7448_liver_sbr_Male_10-U1,sbr,emt_ecm,0.27572225583264126,0.07339157865947543,0.04671247362624422,0.03045082983066115,126.32064900389807
7448_liver_sbr_Male_10-U1,sbr,il6_jak_stat3,0.23784800000630782,0.09602072208361188,0.04500696926545836,0.008563403167505765,46.98622258520161
7448_liver_sbr_Male_10-U1,sbr,interferon_response,0.3942775574547432,0.21479582346734977,0.10796898861623129,0.027103572088180095,47.17785455485365
7448_liver_sbr_Male_10-U1,sbr,oxidative_stress,0.10009678455896785,0.0409602293314738,0.027414551235507862,0.01629478681742672,100.64446140248093
7448_liver_sbr_Male_10-U1,sbr,secondary_senescence,0.19214678187684303,0.06295478284033337,0.023567376052285687,0.005210463603940195,56.74121723724699
7448_liver_sbr_Male_10-U1,sbr,tnfa_nfkb_proximal,0.3502085250458491,0.11825297357510288,0.04267179809419211,0.007099607007780754,40.4521806342318
7448_liver_sbr_Male_10-U1,sbr,zonation_score,0.34285134848558535,0.434919383259698,0.3782214468265204,0.2280666795921672,76.732138370556
7448_liver_sbr_Male_10-U1,sbr,tierA_score,0.022453481680502464,0.0006299505647731288,0.0020764811417242515,0.00358269055261422,101.66726586897776
7361_liver_sbr_Male_2-U1,sbr,downstream_arrest,0.11780950846857406,0.07643299618388785,0.061312321209707726,0.037147852749100006,112.51414705836635
7361_liver_sbr_Male_2-U1,sbr,emt_ecm,0.4056127344172624,0.14318929648365392,0.09582087711810182,0.05518418503124486,78.15420425093812
7361_liver_sbr_Male_2-U1,sbr,il6_jak_stat3,0.22730164181392687,0.09913745139111028,0.07062541501387486,0.038657355530692834,76.05643672013963
7361_liver_sbr_Male_2-U1,sbr,interferon_response,0.267567422661229,0.08155532800668215,0.03515230059387948,0.006199420490699235,27.557585168586577
7361_liver_sbr_Male_2-U1,sbr,oxidative_stress,0.11710669594259056,0.05790675358466357,0.04258639935490362,0.026125380652324743,113.50641546219401
7361_liver_sbr_Male_2-U1,sbr,secondary_senescence,0.30946910327532606,0.15187013786603096,0.11673031824368849,0.07356919354411066,83.99781809842142
7361_liver_sbr_Male_2-U1,sbr,tnfa_nfkb_proximal,0.47619625681270655,0.26885962205698316,0.20426030543832274,0.13015421842998987,87.26592699649963
7361_liver_sbr_Male_2-U1,sbr,zonation_score,0.4650604737057142,0.4578420375999832,0.38787085564853013,0.22042313848686762,56.07426075535343
7361_liver_sbr_Male_2-U1,sbr,tierA_score,0.012638631457030003,0.005202541996338389,0.00215224304046475,0.004077549067363933,63.97884868130842
7450_liver_sbr_Male_10-U1,sbr,downstream_arrest,0.13579112638554652,0.033559480750134624,0.02044278335942005,0.01290834092174862,83.88213814269358
7450_liver_sbr_Male_10-U1,sbr,emt_ecm,0.40661088666753203,0.1095128275812444,0.05957986090320773,0.02918743472542755,79.96218783499212
7450_liver_sbr_Male_10-U1,sbr,il6_jak_stat3,0.4817889444512658,0.14276462844159343,0.05603737118504376,0.0166034551266667,33.55185257647147
7450_liver_sbr_Male_10-U1,sbr,interferon_response,0.6615710327364044,0.22516382302676932,0.09032904509716289,0.02000642531021144,38.66875035364155
7450_liver_sbr_Male_10-U1,sbr,oxidative_stress,0.19343062497128213,0.05596067779293704,0.037908007524202786,0.023112069500212933,123.0607359345273
7450_liver_sbr_Male_10-U1,sbr,secondary_senescence,0.32611757231900057,0.0919851809527384,0.03375381020934025,0.00674575553176001,34.458913571076764
7450_liver_sbr_Male_10-U1,sbr,tnfa_nfkb_proximal,0.5607287801654531,0.18410189698449644,0.07174027403329347,0.012013128424920786,23.72517250078094
7450_liver_sbr_Male_10-U1,sbr,zonation_score,0.4165851174001106,0.4956705559120079,0.42677129886856696,0.22409371611513346,53.84678830248932
7450_liver_sbr_Male_10-U1,sbr,tierA_score,0.02829003158540426,0.007023203269439656,0.0015404700443639285,0.004460491021426655,50.38349287598206
7250_liver_sham_Male_26-U1,sham,downstream_arrest,0.08619220921700803,0.018406279801708402,0.013256538268269773,0.011330787049075301,100.40622953213348
7250_liver_sham_Male_26-U1,sham,emt_ecm,0.2793778142503685,0.047852446899225354,0.03011891144884711,0.020208079629616023,89.22976578557443
7250_liver_sham_Male_26-U1,sham,il6_jak_stat3,0.16675254108693824,0.05012614987993766,0.023312365970935136,0.010002079802605746,78.07483322272701
7250_liver_sham_Male_26-U1,sham,interferon_response,0.3138727385534269,0.08936056174533931,0.039226686023491275,0.01633610623744516,60.23457269853627
7250_liver_sham_Male_26-U1,sham,oxidative_stress,0.08112506948018709,0.04407869853488212,0.03059873661053619,0.02173323048623175,129.7701321635466
7250_liver_sham_Male_26-U1,sham,secondary_senescence,0.13510540074297425,0.02612925839818273,0.013921044145611449,0.011477385190627042,91.2413894635226
7250_liver_sham_Male_26-U1,sham,tnfa_nfkb_proximal,0.2143819314819171,0.04673438844567241,0.016320565454760284,0.010294798016015677,81.97763905153762
7250_liver_sham_Male_26-U1,sham,zonation_score,0.6927859873813602,0.7634827542225848,0.6771315461729669,0.4259358952008873,79.4945252918095
7250_liver_sham_Male_26-U1,sham,tierA_score,0.010556246670365223,0.002630887976319711,0.0021835753755511393,0.0025217774099264936,64.39686020140925
