section,celltype,module,sender,n,lam,beta_full_std,beta_stripped_std,ratio_stripped,n_stripped_genes
7352_liver_sham_Male_2-U1,Biliary/ductular,downstream_arrest,corescence_p95,3693,6.999999999999999,0.3756623245927876,0.34990826389796026,0.9314435890723288,10
7352_liver_sham_Male_2-U1,Biliary/ductular,emt_ecm,corescence_p95,3693,14.178039470333344,0.19581762069031486,0.16930626167703128,0.864611984765093,9
7352_liver_sham_Male_2-U1,Biliary/ductular,il6_jak_stat3,corescence_p95,3693,6.999999999999999,0.37306251802511303,0.31048033263078656,0.8322474588827128,5
7352_liver_sham_Male_2-U1,Biliary/ductular,interferon_response,corescence_p95,3693,9.472463873139185,0.442381121014749,0.36696919245652154,0.829531765765128,5
7352_liver_sham_Male_2-U1,Biliary/ductular,oxidative_stress,corescence_p95,3693,9.006764443646388,-0.42215084488133536,-0.3939606039471313,0.9332223510244821,0
7352_liver_sham_Male_2-U1,Biliary/ductular,secondary_senescence,corescence_p95,3693,14.911122358641625,0.1345255190100428,0.10084597609741074,0.7496419775186463,14
7352_liver_sham_Male_2-U1,Biliary/ductular,tnfa_nfkb_proximal,corescence_p95,3693,30.20149733539872,0.3027177188955713,0.26149576671437424,0.8638270916826728,8
7352_liver_sham_Male_2-U1,Biliary/ductular,downstream_arrest,tierA_p95,3895,27.304873519796445,0.16806009455829835,0.14430612991179592,0.8586579121656842,10
7352_liver_sham_Male_2-U1,Biliary/ductular,emt_ecm,tierA_p95,3895,24.6860647223019,0.12180660415813409,0.10531109711492313,0.8645762505471719,9
7352_liver_sham_Male_2-U1,Biliary/ductular,il6_jak_stat3,tierA_p95,3895,6.999999999999999,0.03972427433714868,0.06716399679202964,1.690754530139279,5
7352_liver_sham_Male_2-U1,Biliary/ductular,interferon_response,tierA_p95,3895,49.99999999999999,0.2000099176252666,0.18788358425423787,0.9393713396065274,5
7352_liver_sham_Male_2-U1,Biliary/ductular,oxidative_stress,tierA_p95,3895,8.14292620081837,-0.6467165813655013,-0.6239470454725375,0.9647920951015555,0
7352_liver_sham_Male_2-U1,Biliary/ductular,secondary_senescence,tierA_p95,3895,13.48099749887925,0.17575816212412587,0.1477532638773868,0.8406623174236361,14
7352_liver_sham_Male_2-U1,Biliary/ductular,tnfa_nfkb_proximal,tierA_p95,3895,15.682109678112967,0.30904780943103455,0.28236450560367954,0.9136596247794809,8
7352_liver_sham_Male_2-U1,Endothelial,downstream_arrest,corescence_p95,14277,7.742591489922676,0.19896474354855687,0.18332648576014987,0.9214018649259309,10
7352_liver_sham_Male_2-U1,Endothelial,emt_ecm,corescence_p95,14277,6.999999999999999,0.49309871261143684,0.5421602624669545,1.0994964062990331,9
7352_liver_sham_Male_2-U1,Endothelial,il6_jak_stat3,corescence_p95,14277,49.99999999999999,0.22867487599452238,0.2599777119439055,1.1368879541893047,5
7352_liver_sham_Male_2-U1,Endothelial,interferon_response,corescence_p95,14277,11.019082036984365,0.3903421389491223,0.3976851247927452,1.0188116657437798,5
7352_liver_sham_Male_2-U1,Endothelial,oxidative_stress,corescence_p95,14277,49.99999999999999,0.08793188185250854,0.09355909897397731,1.0639951858520156,0
7352_liver_sham_Male_2-U1,Endothelial,secondary_senescence,corescence_p95,14277,8.563960425689007,0.5030578557292974,0.4800044601695616,0.9541734707108099,14
7352_liver_sham_Male_2-U1,Endothelial,tnfa_nfkb_proximal,corescence_p95,14277,24.6860647223019,0.28084635855229023,0.28121771896409103,1.0013222902861019,8
7352_liver_sham_Male_2-U1,Endothelial,downstream_arrest,tierA_p95,15171,49.99999999999999,-0.023041815888854865,-0.028354143075394966,1.2305515855245432,10
7352_liver_sham_Male_2-U1,Endothelial,emt_ecm,tierA_p95,15171,6.999999999999999,0.10039260432506512,0.1685656462016527,1.679064382629695,9
7352_liver_sham_Male_2-U1,Endothelial,il6_jak_stat3,tierA_p95,15171,13.48099749887925,0.018790435445092867,0.03615556063709986,1.9241470344180827,5
7352_liver_sham_Male_2-U1,Endothelial,interferon_response,tierA_p95,15171,49.99999999999999,0.012656545101766968,0.026917984138639026,2.1268034777422025,5
7352_liver_sham_Male_2-U1,Endothelial,oxidative_stress,tierA_p95,15171,49.99999999999999,-0.06318767753210523,-0.06617036216187692,1.0472035806072506,0
7352_liver_sham_Male_2-U1,Endothelial,secondary_senescence,tierA_p95,15171,6.999999999999999,-0.08421014986124307,-0.12680974738458373,1.50587248204087,14
7352_liver_sham_Male_2-U1,Endothelial,tnfa_nfkb_proximal,tierA_p95,15171,49.99999999999999,0.08058513463214169,0.0934174089130905,1.1592387273350861,8
7352_liver_sham_Male_2-U1,Hepatocytes,downstream_arrest,corescence_p95,66185,6.999999999999999,-0.09419905406161516,-0.18762073250633052,1.9917475220463325,10
