panel,section,celltype,module,series,bin_lo,bin_hi,n,value,lo,hi,sem
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,15.0,20.0,,-0.0070177146498579,-0.007706993049356,-0.0062613340992514,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,20.0,25.0,,-0.0070315099903428,-0.0077486390161874,-0.0063160852857275,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,25.0,30.0,,-0.0070182831032745,-0.0077274353832295,-0.0063014740058166,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,30.0,35.0,,-0.007016144771828,-0.0077099006687056,-0.0062755755521792,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,35.0,40.0,,-0.0070105998155117,-0.0076692634809655,-0.0063005529692349,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,40.0,45.0,,-0.007003969968134,-0.0076895331722706,-0.0062853909841869,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,45.0,50.0,,-0.0069725410090487,-0.0076857995736567,-0.0062225508067204,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,50.0,55.0,,-0.0069969192781335,-0.0077202730623516,-0.0062109567879198,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,55.0,60.0,,-0.0069648454694985,-0.0078019793857819,-0.0060978769723843,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,60.0,65.0,,-0.0070100124214733,-0.0079944526738943,-0.0060030359436553,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,65.0,70.0,,-0.0069328156202149,-0.0080165202544233,-0.0058583963423816,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,70.0,75.0,,-0.0070416606622949,-0.0082325400158908,-0.0058375078149365,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,75.0,80.0,,-0.0069621568814886,-0.0083386753520916,-0.0055925832032973,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,80.0,85.0,,-0.0070460098078742,-0.0087697192851333,-0.0054274707842688,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,85.0,90.0,,-0.0069878358244541,-0.0087560999988447,-0.005256411755658,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,90.0,95.0,,-0.0070321947400893,-0.0091768826774522,-0.0051328094251977,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,95.0,100.0,,-0.0070821130761524,-0.0086297710102442,-0.0059525054214492,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,0.0,5.0,,-0.0064829536045454,-0.0075724215402856,-0.0051266390434018,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,5.0,10.0,,-0.0064600850213706,-0.0071756330185329,-0.0057737088831577,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,10.0,15.0,,-0.0064881694561507,-0.0070219283776838,-0.0059269515965182,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,15.0,20.0,,-0.0065355134186357,-0.007041769560581,-0.0060029623107981,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,20.0,25.0,,-0.0065549511000587,-0.0070154043365258,-0.0060684833029798,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,25.0,30.0,,-0.0065490013840086,-0.0070411334865514,-0.0060497633194267,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,30.0,35.0,,-0.0066572335005571,-0.0072072257223974,-0.0061625627021268,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,35.0,40.0,,-0.0066852488601649,-0.0071490165171976,-0.00617065296202,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,40.0,45.0,,-0.0067523531196844,-0.0072816529002359,-0.006086537624482,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,45.0,50.0,,-0.0068254170609688,-0.0075076707297976,-0.0062089732388084,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,50.0,55.0,,-0.0069416313438908,-0.0075497574579263,-0.0062496945694117,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,55.0,60.0,,-0.0070183040249126,-0.0078118434788848,-0.0062826261431316,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,60.0,65.0,,-0.0071314986935773,-0.0080336432694321,-0.0061984342169209,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,65.0,70.0,,-0.0072697438702766,-0.0084115198106056,-0.0062752433636788,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,70.0,75.0,,-0.007362601894827,-0.0084577437486154,-0.0061019362202096,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,75.0,80.0,,-0.0075824590895009,-0.0089838299243544,-0.0061454779359997,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,80.0,85.0,,-0.0077203907295474,-0.0092919748695342,-0.006117217653071,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,85.0,90.0,,-0.0079556839430643,-0.0098767890448913,-0.0060407183444556,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,90.0,95.0,,-0.0080979414616188,-0.0100781313455691,-0.0059044300156616,
2b,7260_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,95.0,100.0,,-0.0103144236511169,-0.0126440073615421,-0.0078466752445738,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,0.0,5.0,8.0,-0.0055200000024342,,,0.0034101580882574
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,0.0,5.0,3012.0,-0.0152620717117738,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,5.0,10.0,828.0,-0.0123494685885552,,,0.0009289884697215
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,5.0,10.0,651.0,-0.0123249462112527,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,10.0,15.0,3402.0,-0.0149446854616408,,,0.0004037826436066
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,10.0,15.0,3205.0,-0.0159453978174539,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,15.0,20.0,4314.0,-0.0157234075014315,,,0.0003309915686646
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,15.0,20.0,3956.0,-0.0155983367044009,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,20.0,25.0,4723.0,-0.0151742960023878,,,0.0003312931972408
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,20.0,25.0,4375.0,-0.016258224003875,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,25.0,30.0,4987.0,-0.016124626017803,,,0.000303000135217
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,25.0,30.0,4678.0,-0.0157243993131474,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,30.0,35.0,5229.0,-0.0157159800990235,,,0.0002934864091092
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,30.0,35.0,4759.0,-0.016296793449449,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,35.0,40.0,5055.0,-0.0164333372945449,,,0.0002875295144621
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,35.0,40.0,4637.0,-0.0161046171960527,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,40.0,45.0,4918.0,-0.0160692923957214,,,0.0002958195838392
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,40.0,45.0,4492.0,-0.0161665226826926,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,45.0,50.0,4452.0,-0.0164365139284509,,,0.0003160767672468
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,45.0,50.0,4074.0,-0.0154012960006526,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,50.0,55.0,3934.0,-0.0166258871391558,,,0.0003275077668625
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,50.0,55.0,3743.0,-0.0161229655479137,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,55.0,60.0,3510.0,-0.0167733304807093,,,0.0003533667583819
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,55.0,60.0,3138.0,-0.015986328869576,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,60.0,65.0,2812.0,-0.0166953840609279,,,0.0003859638087902
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,60.0,65.0,2849.0,-0.0163174060925404,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,65.0,70.0,2441.0,-0.0158908562129888,,,0.0004202223822921
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,65.0,70.0,2210.0,-0.0164842398149663,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,70.0,75.0,1938.0,-0.0162144633447071,,,0.0004680681843328
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,70.0,75.0,1751.0,-0.0163446716038594,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,75.0,80.0,1509.0,-0.0161577269557043,,,0.0005202068090611
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,75.0,80.0,1469.0,-0.0172381892259532,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,80.0,85.0,1244.0,-0.0162657314866659,,,0.0006024821137868
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,80.0,85.0,1101.0,-0.016617266076275,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,85.0,90.0,877.0,-0.0155423260654048,,,0.0007399616711458
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,85.0,90.0,877.0,-0.0168875028611262,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,90.0,95.0,674.0,-0.0165485311372969,,,0.0007575669822561
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,90.0,95.0,661.0,-0.0162504689476081,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,observed,95.0,100.0,482.0,-0.0173156638690115,,,0.000959256248992
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,95.0,100.0,1699.0,-0.0160989288042931,,,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,0.0,5.0,,-0.016012257784845,-0.0180363104504863,-0.0139438712612939,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,5.0,10.0,,-0.0160037407491496,-0.0171208852551842,-0.0148058953651591,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,10.0,15.0,,-0.0160219960024288,-0.0170013975385826,-0.0150386169010156,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,15.0,20.0,,-0.0159994523596043,-0.0168448534791394,-0.015198266899455,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,20.0,25.0,,-0.0160055187843109,-0.0166984829568561,-0.015248920415701,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,25.0,30.0,,-0.0160232058979526,-0.0167650994553999,-0.0153310568299359,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,30.0,35.0,,-0.0160130829360584,-0.016728885484798,-0.0153219812045097,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,35.0,40.0,,-0.0159951626604182,-0.0166938635525119,-0.0153454356619407,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,40.0,45.0,,-0.0160237120386195,-0.0167630572299683,-0.0152973327992773,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,45.0,50.0,,-0.0160110133418915,-0.0167549251637341,-0.0152658050259414,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,50.0,55.0,,-0.0159910978515604,-0.0168077801522487,-0.0151956931917154,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,55.0,60.0,,-0.0159959232203179,-0.0168584234248574,-0.0152194426168307,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,60.0,65.0,,-0.0159873984379861,-0.0168647307116555,-0.0150728595611719,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,65.0,70.0,,-0.0160149467644875,-0.017038392733511,-0.0149318750531227,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,70.0,75.0,,-0.0159983947217131,-0.0171467358662334,-0.014889025890604,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,75.0,80.0,,-0.0160026482296909,-0.0172071786427364,-0.0147919303447684,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,80.0,85.0,,-0.0159948278344811,-0.0174657911861376,-0.0144673773447806,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,85.0,90.0,,-0.0160157927703279,-0.0174709297741671,-0.0144378809153668,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,90.0,95.0,,-0.0160223503949788,-0.01768285929155,-0.0142450787864637,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,95.0,100.0,,-0.0160376171623559,-0.0168241690790455,-0.0155135796227118,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,0.0,5.0,,-0.0162911559343124,-0.01723144591424,-0.0153876228087163,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,5.0,10.0,,-0.0143434983922566,-0.0169103438329607,-0.0118324599006567,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,10.0,15.0,,-0.015592559589517,-0.0166042338858139,-0.0145404463635188,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,15.0,20.0,,-0.0160936589769673,-0.0168210477873583,-0.0153824635959962,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,20.0,25.0,,-0.0160787198965468,-0.0168471050105925,-0.0153029165535408,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,25.0,30.0,,-0.0160443413799134,-0.0167759973302253,-0.015387466689388,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,30.0,35.0,,-0.0158911240912393,-0.016589601542259,-0.0151662311678614,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,35.0,40.0,,-0.0159852298064723,-0.016725739378373,-0.0152384681591448,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,40.0,45.0,,-0.0160567318269913,-0.0167574570945625,-0.0153398304226658,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,45.0,50.0,,-0.0160244847596443,-0.0167804912932244,-0.0153247453062638,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,50.0,55.0,,-0.0160064672681662,-0.0167558040790192,-0.0151793798578414,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,55.0,60.0,,-0.0160302242441945,-0.0168536806884504,-0.0151454843590791,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,60.0,65.0,,-0.0159911624947681,-0.0169639812125235,-0.0150113462193991,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,65.0,70.0,,-0.0160832288272534,-0.0170717387850548,-0.0151299269741589,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,70.0,75.0,,-0.0160444902883636,-0.0170715159883373,-0.0149966294462426,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,75.0,80.0,,-0.0159814032151882,-0.0172833496397185,-0.0147268584291406,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,80.0,85.0,,-0.0159596480019218,-0.017375333944249,-0.0146347342967897,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,85.0,90.0,,-0.0159838191502644,-0.0175797321443755,-0.0143429646155771,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,90.0,95.0,,-0.0160013237045277,-0.0178205585666455,-0.0141142047752407,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_snap,95.0,100.0,,-0.0160634477797173,-0.0168622706328251,-0.0155057822662327,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,0.0,5.0,,-0.0159612611666399,-0.0178141996881749,-0.0143140411356672,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,5.0,10.0,,-0.0160621801643883,-0.0171262737825192,-0.0149661017119038,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,10.0,15.0,,-0.0160187536707091,-0.0167792598930241,-0.0153899896908042,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,15.0,20.0,,-0.0160158237613274,-0.0166672690890493,-0.0153660105291093,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,20.0,25.0,,-0.0160381494824741,-0.0166359031186209,-0.0153834704843481,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,25.0,30.0,,-0.0159849031236109,-0.0165148108617967,-0.0153587604327593,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,30.0,35.0,,-0.0160247509162832,-0.0166366747123641,-0.0154682749613724,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,35.0,40.0,,-0.0160301356444775,-0.0166126164036281,-0.0155037233500444,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,40.0,45.0,,-0.0160074280689826,-0.0166050890119934,-0.0153621511376885,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,45.0,50.0,,-0.0159751917820914,-0.0165650228676586,-0.015364100209002,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,50.0,55.0,,-0.0159442983026976,-0.0166258871391558,-0.0153323251146648,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,55.0,60.0,,-0.0159380933715389,-0.0167733304807093,-0.01528301676381,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,60.0,65.0,,-0.0160097039976781,-0.0168607839670164,-0.0152647887270252,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,65.0,70.0,,-0.0159737177365505,-0.016782681705713,-0.0151132303682074,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,70.0,75.0,,-0.0159562287949258,-0.0169837480649737,-0.0150949662790195,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,75.0,80.0,,-0.0159411223696582,-0.017108586194414,-0.0148484624786396,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,80.0,85.0,,-0.0160205972221168,-0.0171902086720529,-0.014593127103611,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,85.0,90.0,,-0.0159715007691869,-0.0174229656378002,-0.0145034592557589,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,90.0,95.0,,-0.016085482858869,-0.0178411918247844,-0.0143266767721775,
2b,7001_liver_sham_Male_52-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3_occ15,95.0,100.0,,-0.016115829742176,-0.0171469141386817,-0.0149899165916585,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,0.0,5.0,23.0,-0.0259500003480554,,,0.0033456743265401
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,0.0,5.0,5365.0,-0.0253274203201926,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,5.0,10.0,2570.0,-0.0233780895108694,,,0.0003895328538091
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,5.0,10.0,2123.0,-0.0249721478900907,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,10.0,15.0,8993.0,-0.0249285499736131,,,0.0001820144530486
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,10.0,15.0,8033.0,-0.0250723864071688,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,15.0,20.0,10307.0,-0.0253022208315354,,,0.000164861858563
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,15.0,20.0,9727.0,-0.0256469630935859,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,20.0,25.0,10450.0,-0.0252140679456414,,,0.000161792373411
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,20.0,25.0,10002.0,-0.025164022178094,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,25.0,30.0,10491.0,-0.025264896569664,,,0.0001589280414034
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,25.0,30.0,9853.0,-0.0251836161576112,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,30.0,35.0,10072.0,-0.0253531870482644,,,0.0001615122435304
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,30.0,35.0,9460.0,-0.0252605296062459,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,35.0,40.0,9257.0,-0.0252710273279338,,,0.0001722552824419
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,35.0,40.0,9032.0,-0.025478846322363,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,40.0,45.0,8134.0,-0.0254467051746345,,,0.0001766427608973
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,40.0,45.0,7823.0,-0.0253385836731351,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,45.0,50.0,6852.0,-0.0249844862834865,,,0.0001928702800788
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,45.0,50.0,6648.0,-0.0248731227155735,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,50.0,55.0,5751.0,-0.025277197010263,,,0.0002079930852989
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,50.0,55.0,5468.0,-0.0250765764446016,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,55.0,60.0,4697.0,-0.0252470555622102,,,0.0002355680340255
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,55.0,60.0,4405.0,-0.0251929375659549,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,60.0,65.0,3636.0,-0.0251424174972417,,,0.0002657119856968
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,60.0,65.0,3409.0,-0.0251238662434895,,,
2b,7248_liver_sham_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,65.0,70.0,2953.0,-0.0248743277828466,,,0.0002920893422197
