panel,section,celltype,module,series,bin_lo,bin_hi,n,value,lo,hi,sem
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,50.0,55.0,875.0,-0.0005512685897701,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,55.0,60.0,670.0,-0.0005508656750142,,,0.0004927437450981
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,55.0,60.0,631.0,-0.0007161014216333,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,60.0,65.0,460.0,-0.0008020869335466,,,0.0006361256944868
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,60.0,65.0,418.0,-0.0008353827851564,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,65.0,70.0,301.0,-0.001777176069164,,,0.0007944388415154
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,65.0,70.0,320.0,-0.0006357500072112,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,70.0,75.0,209.0,-0.0004278947542486,,,0.0009584717488126
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,70.0,75.0,198.0,-0.0010260100991236,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,75.0,80.0,131.0,6.824424295381373e-05,,,0.0011050825493042
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,75.0,80.0,115.0,-0.0001905217445354,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,80.0,85.0,94.0,0.0005849999928459,,,0.0013581028097241
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,80.0,85.0,101.0,-0.0005592079478717,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,85.0,90.0,44.0,-0.0017809091236399,,,0.0022453432690931
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,85.0,90.0,51.0,0.0005980392828967,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,90.0,95.0,49.0,0.0004438775810127,,,0.001922997192041
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,90.0,95.0,34.0,-0.0002632352646768,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,observed,95.0,100.0,42.0,-0.0020064286031161,,,0.0019630214594031
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,matched_decoy_N2,95.0,100.0,66.0,0.0023109091068335,,,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,0.0,5.0,,-0.0004383022376443,-0.0015797830913109,0.0008334302921613,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,5.0,10.0,,-0.0004294685602547,-0.0012618737347892,0.0004674461893932,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,10.0,15.0,,-0.0004437483385321,-0.0011364392522023,0.0002755698571751,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,15.0,20.0,,-0.0004252532024622,-0.001106809753689,0.0002492331360943,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,20.0,25.0,,-0.0004286292755141,-0.0010668368119204,0.000228882889387,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,25.0,30.0,,-0.0004484903755003,-0.0011360191312698,0.0002063645431465,
2b,7259_liver_sbr_Male_26-U1,Hepatocytes,tnfa_nfkb_proximal,null_N3,30.0,35.0,,-0.0004381429279462,-0.0011174592376888,0.0002906123208952,
