section,arm,caller,stratum_kind,stratum,bg_pct,call_pct,enrichment
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,37.98,1.14
7001_liver_sham_Male_52-U1,sham,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,35.11,1.053
7239_liver_sbr_Male_52-U1,SBR,tierA_score,depth_quintile,Q1_low,20.08,36.39,1.812
7239_liver_sbr_Male_52-U1,SBR,tierA_score,depth_quintile,Q2,19.98,31.67,1.585
7239_liver_sbr_Male_52-U1,SBR,tierA_score,depth_quintile,Q3,19.94,21.94,1.1
7239_liver_sbr_Male_52-U1,SBR,tierA_score,depth_quintile,Q4,20.0,7.88,0.394
7239_liver_sbr_Male_52-U1,SBR,tierA_score,depth_quintile,Q5_high,20.0,2.12,0.106
7239_liver_sbr_Male_52-U1,SBR,tierA_score,zonation_hepatocyte,periportal,33.33,26.14,0.784
7239_liver_sbr_Male_52-U1,SBR,tierA_score,zonation_hepatocyte,midzonal,33.33,35.68,1.071
7239_liver_sbr_Male_52-U1,SBR,tierA_score,zonation_hepatocyte,pericentral,33.33,38.17,1.145
7239_liver_sbr_Male_52-U1,SBR,senepy_score,depth_quintile,Q1_low,20.08,3.91,0.195
7239_liver_sbr_Male_52-U1,SBR,senepy_score,depth_quintile,Q2,19.98,12.78,0.64
7239_liver_sbr_Male_52-U1,SBR,senepy_score,depth_quintile,Q3,19.94,28.11,1.41
7239_liver_sbr_Male_52-U1,SBR,senepy_score,depth_quintile,Q4,20.0,38.16,1.908
7239_liver_sbr_Male_52-U1,SBR,senepy_score,depth_quintile,Q5_high,20.0,17.04,0.852
7239_liver_sbr_Male_52-U1,SBR,senepy_score,zonation_hepatocyte,periportal,33.33,32.11,0.963
7239_liver_sbr_Male_52-U1,SBR,senepy_score,zonation_hepatocyte,midzonal,33.33,41.28,1.239
7239_liver_sbr_Male_52-U1,SBR,senepy_score,zonation_hepatocyte,pericentral,33.33,26.61,0.798
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,depth_quintile,Q1_low,20.08,12.28,0.611
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,depth_quintile,Q2,19.98,13.58,0.68
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,depth_quintile,Q3,19.94,10.77,0.54
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,depth_quintile,Q4,20.0,20.32,1.016
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,depth_quintile,Q5_high,20.0,43.05,2.153
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,zonation_hepatocyte,periportal,33.33,33.42,1.003
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,zonation_hepatocyte,midzonal,33.33,35.65,1.069
7239_liver_sbr_Male_52-U1,SBR,deepscence_score,zonation_hepatocyte,pericentral,33.33,30.93,0.928
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,depth_quintile,Q1_low,20.08,0.1,0.005
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,depth_quintile,Q2,19.98,0.41,0.02
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,depth_quintile,Q3,19.94,1.33,0.067
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,depth_quintile,Q4,20.0,10.12,0.506
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,depth_quintile,Q5_high,20.0,88.04,4.402
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,zonation_hepatocyte,periportal,33.33,31.54,0.946
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,zonation_hepatocyte,midzonal,33.33,37.43,1.123
7239_liver_sbr_Male_52-U1,SBR,cdkn1a_counts,zonation_hepatocyte,pericentral,33.33,31.03,0.931
7248_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q1_low,20.05,47.11,2.35
7248_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q2,19.98,28.08,1.405
7248_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q3,19.98,14.93,0.747
7248_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q4,20.0,7.52,0.376
7248_liver_sham_Male_26-U1,sham,tierA_score,depth_quintile,Q5_high,19.99,2.35,0.118
7248_liver_sham_Male_26-U1,sham,tierA_score,zonation_hepatocyte,periportal,33.33,27.07,0.812
7248_liver_sham_Male_26-U1,sham,tierA_score,zonation_hepatocyte,midzonal,33.33,28.16,0.845
7248_liver_sham_Male_26-U1,sham,tierA_score,zonation_hepatocyte,pericentral,33.33,44.78,1.343
7248_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q1_low,20.05,10.76,0.537
7248_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q2,19.98,20.98,1.05
7248_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q3,19.98,27.07,1.355
7248_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q4,20.0,21.84,1.092
7248_liver_sham_Male_26-U1,sham,senepy_score,depth_quintile,Q5_high,19.99,19.35,0.968
7248_liver_sham_Male_26-U1,sham,senepy_score,zonation_hepatocyte,periportal,33.33,17.76,0.533
7248_liver_sham_Male_26-U1,sham,senepy_score,zonation_hepatocyte,midzonal,33.33,58.49,1.755
7248_liver_sham_Male_26-U1,sham,senepy_score,zonation_hepatocyte,pericentral,33.33,23.75,0.713
7248_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q1_low,20.05,10.87,0.542
7248_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q2,19.98,12.58,0.629
7248_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q3,19.98,17.97,0.899
7248_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q4,20.0,26.33,1.317
7248_liver_sham_Male_26-U1,sham,deepscence_score,depth_quintile,Q5_high,19.99,32.26,1.614
7248_liver_sham_Male_26-U1,sham,deepscence_score,zonation_hepatocyte,periportal,33.33,28.57,0.857
7248_liver_sham_Male_26-U1,sham,deepscence_score,zonation_hepatocyte,midzonal,33.33,34.86,1.046
7248_liver_sham_Male_26-U1,sham,deepscence_score,zonation_hepatocyte,pericentral,33.33,36.57,1.097
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q1_low,20.05,6.91,0.345
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q2,19.98,11.29,0.565
7248_liver_sham_Male_26-U1,sham,cdkn1a_counts,depth_quintile,Q3,19.98,15.51,0.776
