section,arm,week,band,call,n_cells,area_um2,median_depth,median_nn_um,n_senders,sender_prevalence,sender_density_per_um2,median_d_um,iqr_d_um,p90_d_um,poisson_median_pred_um,obs_over_poisson,panel,poisson_prediction_um,series,subset,n,slope,intercept,r2,ratio_median
7259_liver_sbr_Male_26-U1,sbr,26.0,in_band,tierA_p90,127386.0,15946875.0,448.0,6.744689781971417,11409.0,0.0895624322924026,0.0007154379776601,16.640298080926534,13.979140285011624,33.46612694143568,17.56110336276623,0.9475656362349064,2d,17.561103362767454,observed,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26.0,in_band,tierA_p95,127386.0,15946875.0,448.0,6.744689781971417,5707.0,0.0448008415367465,0.0003578757593572,24.04113594405175,21.021449286328377,48.28054057612302,24.829710325307357,0.9682406934706822,2d,24.829710325308767,observed,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26.0,in_band,tierA_p99,127386.0,15946875.0,448.0,6.744689781971417,1146.0,0.0089962790259526,7.186360964138742e-05,55.787663075767306,48.18822992209826,111.13021531844647,55.40937868478704,1.0068270823452516,2d,55.409378684787036,observed,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26.0,in_band,cdkn1a_pos,127386.0,15946875.0,448.0,6.744689781971417,5110.0,0.0401142982745356,0.0003204389574759,27.142129512674632,21.249346210796347,51.7604655335478,26.240079054074016,1.0343768193968366,2d,26.24007905407789,observed,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26.0,in_band,senepy_p90,127386.0,15946875.0,448.0,6.744689781971417,6339.0,0.0497621402665913,0.0003975073486184,25.00275735335317,20.797930135253758,50.28370394474095,23.559453566916982,1.061262192789689,2d,23.55945356691875,observed,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26.0,in_band,senepy_p95,127386.0,15946875.0,448.0,6.744689781971417,3171.0,0.0248928453676228,0.0001988477366255,36.45197583196341,31.58502639584845,74.14814176735871,33.310217479266406,1.0943181579241432,2d,33.310217479267614,observed,,,,,,
7259_liver_sbr_Male_26-U1,sbr,26.0,in_band,senepy_p99,127386.0,15946875.0,448.0,6.744689781971417,637.0,0.0050005495109352,3.994513031550069e-05,86.41259169139335,75.3247005047082,172.43078080967402,74.32002943890397,1.1627093307656755,2d,74.32002943890397,observed,,,,,,
7260_liver_sbr_Male_26-U1,sbr,26.0,in_band,tierA_p90,202016.0,39337500.0,599.0,8.146317624088162,17716.0,0.0876960240773008,0.0004503590721321,21.241291195941123,18.004981797984648,42.56938860577788,22.13392002109864,0.9596714533934052,2d,22.13392002110084,observed,,,,,,
7260_liver_sbr_Male_26-U1,sbr,26.0,in_band,tierA_p95,202016.0,39337500.0,599.0,8.146317624088162,8860.0,0.0438579122445746,0.0002252303781379,30.31135454864827,26.47083181339482,60.597624746173466,31.29855671566385,0.9684585402456748,2d,31.298556715664482,observed,,,,,,
7260_liver_sbr_Male_26-U1,sbr,26.0,in_band,tierA_p99,202016.0,39337500.0,599.0,8.146317624088162,1776.0,0.0087913828607635,4.5147759771210674e-05,69.77674695909032,59.70461316582298,138.0663875351444,69.90684326158687,0.9981390047608109,2d,69.90684326158687,observed,,,,,,
7260_liver_sbr_Male_26-U1,sbr,26.0,in_band,cdkn1a_pos,202016.0,39337500.0,599.0,8.146317624088162,9921.0,0.0491099714874069,0.0002522020972354,30.85659881069894,26.244916866185683,62.95471104608127,29.57763513964699,1.0432409036426844,2d,29.577635139650646,observed,,,,,,
7260_liver_sbr_Male_26-U1,sbr,26.0,in_band,senepy_p90,202016.0,39337500.0,599.0,8.146317624088162,10639.0,0.0526641454142246,0.0002704544010168,33.53237575858516,29.1264053907278,68.7813007024886,28.562141587124536,1.1740147585327123,2d,28.56214158712672,observed,,,,,,
7260_liver_sbr_Male_26-U1,sbr,26.0,in_band,senepy_p95,202016.0,39337500.0,599.0,8.146317624088162,5321.0,0.0263394978615555,0.0001352653320622,48.66301790328656,44.78588235582393,104.15965392300792,40.387274174452806,1.2049096874695402,2d,40.38727417446498,observed,,,,,,
7260_liver_sbr_Male_26-U1,sbr,26.0,in_band,senepy_p99,202016.0,39337500.0,599.0,8.146317624088162,1067.0,0.0052817598606051,2.7124245312996502e-05,119.50365755165782,114.19706015171886,252.7244750102669,90.19011951385818,1.32501939453906,2d,90.19011951385819,observed,,,,,,
7001_liver_sham_Male_52-U1,sham,52.0,in_band,tierA_p90,165961.0,49610625.0,842.0,10.441478507794104,13784.0,0.0830556576545091,0.000277843707875,27.123686017015867,22.29905105766385,52.10725929508808,28.17977434792542,0.9625231799988738,2d,28.179774347929335,observed,,,,,,
7001_liver_sham_Male_52-U1,sham,52.0,in_band,tierA_p95,165961.0,49610625.0,842.0,10.441478507794104,6895.0,0.0415459053633082,0.0001389823248548,38.60540535572432,32.10042573603134,73.90472028383421,39.84354831583647,0.9689248821340536,2d,39.84354831583744,observed,,,,,,
