section,arm,week,call,null,scope,n_senders,n_cells,occ_frac_bbox,tissue_frac_bbox,n_solid_tiles,tile_cell_coverage,tile_sender_coverage,real_median_nbrs,null_median_nbrs,frac_retaining_a_neighbour,frac_in_occupancy,median_displacement_um,n_admissible_moves,n_candidate_moves
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_orig,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,207.75,0.7575959348168915,0.6472139477834239,2281.953887890376,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_tile,solid tiles,2801,127386,0.6562,0.6732,5,0.461,0.4908,264.0,255.15,1.0,0.9842020706890395,478.82123869657954,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_occ,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,256.3,0.9991589276327317,0.9654722270895391,75.16804008639376,66.0,38080.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_occ15,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,242.95,0.957122831610303,0.8915892763273174,333.15365583974744,1008.0,38080.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_swap,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,256.35,1.0,1.0,2164.7019337940046,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_snap,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,221.6,1.0,1.0,1678.5414706600386,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_orig,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,221.1,0.8271771508673558,0.7330646574382337,2571.680997123618,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_tile,solid tiles,2801,127386,0.6562,0.6732,5,0.461,0.4908,264.0,253.85,1.0,0.9841485183862906,611.6727296558058,,
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_occ,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,257.45,0.9985544068687577,0.9665410898896092,58.67710002585371,13.0,720.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_occ15,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,242.75,0.9544594357806201,0.8946294024881725,1514.4460042600867,103.0,720.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N4_swap,whole section,5707,127386,0.6562,0.6732,5,0.461,0.4908,259.0,224.95,1.0,1.0,1747.4500973658094,,
7260_liver_sbr_Male_26-U1,sbr,26,tierA_p95,N3_orig,whole section,8860,202016,0.6555,0.7051,15,0.57,0.59,169.0,136.0,0.7917776523702031,0.6826523702031603,2840.7221344648347,,
