section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,sender_set,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,downstream_arrest,29523,6.999999999999999,1000,-0.000923491259203359,A_SENDER_FINAL_strict,-0.0002697416872037247,0.00029695349130115376,-0.0008434548644002765,0.0003682221747257458,0.7079109471632522,0.015,-1.217331403944895e-05,0.000775631281561406,-0.00155007836773081,0.0014996321829450988,0.986818159979175,0.24,0.0009015589886110038,0.0007006324578698126,-0.0003850088164491408,0.0022851737746993617,1.9762507004004835,0.474
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,emt_ecm,29523,20.177866835741543,1000,0.0036900538435137875,A_SENDER_FINAL_strict,0.0026575482829791198,0.0007011357252926368,0.0012360526754505263,0.004097298244129331,0.2798077221419303,0.068,5.823449956833284e-06,0.0019890706823383715,-0.0033600365362852947,0.004505509061056413,0.9984218523079088,0.06,-0.0021747944485188456,0.0013350962167386013,-0.004475102354648339,0.00022620340246644615,1.5893665894175508,0.18
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,il6_jak_stat3,29523,11.58882939190469,1000,0.0022812767042757155,A_SENDER_FINAL_strict,0.001221652304412182,0.0006140505195759856,1.8536470188460236e-05,0.002397678356528833,0.4644874503288081,0.038,3.258781316384272e-05,0.0009135548677959476,-0.0017554294855140515,0.0017951766320108006,0.9857150984346771,0.012,2.8123715155400382e-05,0.0008227893615799491,-0.0016482709114230007,0.0016091541814992586,0.9876719404083297,0.009
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,interferon_response,29523,49.99999999999999,1000,0.0029182073233707823,A_SENDER_FINAL_strict,0.002991259655105971,0.001082694516029941,0.0008638003189181455,0.005061797084716526,-0.02503329052399426,0.517,-4.022676845650575e-05,0.0008501194180638335,-0.0017096783857307014,0.0014338562910235517,1.0137847534458382,0.0,-0.0005224047508700727,0.0007431917974359234,-0.0022462126538752574,0.0006945987598107723,1.1790156397341398,0.003
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,oxidative_stress,29523,6.999999999999999,1000,-0.024018298675953707,A_SENDER_FINAL_strict,-0.003978405046489249,0.0010352739469197342,-0.00607532507997345,-0.0019147425205508428,0.8343594148709503,0.0,0.00012137904681705822,0.002783694976804525,-0.00554775028523222,0.005624573509292196,1.0050536071873641,0.0,-0.0011746685220643002,0.0022178281393395514,-0.004889531759793245,0.00298341360354719,0.9510927673141004,0.0
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,secondary_senescence,29523,6.999999999999999,1000,-0.0018194176781025266,A_SENDER_FINAL_strict,8.662020690391228e-06,0.0004219200012871708,-0.0008450737674548358,0.0008380863179711787,1.004760875303479,0.0,-1.3756143501414668e-05,0.0013222461728150591,-0.0025809036099721763,0.0026237076642858953,0.9924392602825751,0.162,0.00016908318115784978,0.000819104579672819,-0.00145494325352504,0.0016966934081043355,1.09293258122796,0.033
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,Biliary/ductular,tnfa_nfkb_proximal,29523,49.99999999999999,1000,0.004075138560118785,A_SENDER_FINAL_strict,0.003441748001561307,0.0011054164564143695,0.001323875452508943,0.0055617511749460795,0.15542798096637372,0.309,5.717669315862944e-06,0.0007249097371193364,-0.0015179747474588566,0.0013896431512502817,0.9985969386730016,0.0,-0.0002944632700838422,0.0006200734689925091,-0.0011820377869285507,0.0010777818513309587,1.0722584682066023,0.002
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,downstream_arrest,2489,6.999999999999999,1000,0.0036078052713061828,A_SENDER_FINAL_strict,-0.0007158332329325539,0.0018749326093929221,-0.004511881613845266,0.0029582492349670714,1.1984123806863312,0.078,-1.250355012229354e-05,0.003631081953734821,-0.007374777364209582,0.006854352892905561,1.0034656942883635,0.32,0.00035742296283713986,0.0032092268981284275,-0.006097595417893817,0.006323558376978874,0.9009306390009966,0.28
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,emt_ecm,2489,49.99999999999999,1000,0.004991964190456274,A_SENDER_FINAL_strict,0.0043915471522458895,0.004374967248747136,-0.00407386567583276,0.012367131486621186,0.12027671179177774,0.478,-0.00010543368298673393,0.003558242355869664,-0.006349101323446601,0.007472131427859187,1.0211206809512585,0.17,-0.002174369859676994,0.002245034615307014,-0.005954138181198834,0.002462037454791937,1.4355740098925374,0.097
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,il6_jak_stat3,2489,8.563960425689007,1000,0.01261260809567915,A_SENDER_FINAL_strict,0.0024391925965823024,0.002569574467249608,-0.002653544050128422,0.007252951137501228,0.80660680343997,0.0,3.80702334710724e-05,0.004229115867094899,-0.008335478080558349,0.008317218688065942,0.9969815732652382,0.002,0.0010179903296664032,0.0041374377009690865,-0.007273871964408682,0.009485624846364523,0.9192878806711556,0.002
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,interferon_response,2489,8.14292620081837,1000,0.00869033908035388,A_SENDER_FINAL_strict,0.0026636875088975978,0.0025660165617627105,-0.002179282245840955,0.007749461878016386,0.6934886562804717,0.009,0.00016504066521594264,0.00487669339166208,-0.009104671195801646,0.009811250376840297,0.981008719718538,0.069,0.0018661521249955842,0.004564463871942268,-0.007256740927639814,0.010518168899019496,0.7852612990424773,0.066
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,oxidative_stress,2489,20.177866835741543,1000,-0.02151408043431869,A_SENDER_FINAL_strict,-0.006759345936855895,0.004622875387460056,-0.015758100352617727,0.0027223255405063396,0.6858175761919358,0.0,6.515381156066292e-05,0.005199037363395584,-0.009394069976517785,0.010711715917288754,1.0030284265116316,0.0,-0.004016013567285185,0.003916125750465384,-0.011623066571732768,0.004283032688197671,0.8133309216005837,0.001
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,secondary_senescence,2489,6.999999999999999,1000,-0.005767723257225949,A_SENDER_FINAL_strict,-0.0006416203924843888,0.0017493294603032972,-0.004237053738308803,0.002640938443112499,0.88875673053825,0.003,-9.802051342852112e-05,0.003292448001187051,-0.006111795747008148,0.006736415303388145,0.9830053369315668,0.076,-0.0009601615933494674,0.0031421166768602162,-0.007193990137111171,0.005580100883613603,0.833528491134426,0.073
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p90,DC,tnfa_nfkb_proximal,2489,22.318425721029357,1000,0.005600605732737477,A_SENDER_FINAL_strict,0.004751604870171903,0.002961983466082218,-0.0010593849707926318,0.01032747020026873,0.15159089982050886,0.386,8.993022749085498e-06,0.0028061241174044725,-0.005811406025639131,0.005220902884467034,0.9983942767660794,0.049,-0.0020858160266532676,0.0020562700581390125,-0.0063795260602643455,0.0023895296287576562,1.372426863483882,0.043
