section,arm,celltype,module,n,lam,beta_obs_std,n_rand,rand_mean,rand_sd,rand_lo,rand_hi,rand_absmean,pct_rand_ge,sf_n8
7435_liver_sham_Male_10-U1,sham,Biliary/ductular,downstream_arrest,4208,49.99999999999999,0.19390225021532834,200,0.00527341719386363,0.1648630495773194,-0.303216930862103,0.29203257536400323,0.13245010980349708,0.125,0.9728037339019661
7435_liver_sham_Male_10-U1,sham,Biliary/ductular,emt_ecm,4208,8.563960425689007,0.5773736956471712,200,-0.16874511078334462,0.22707906775582593,-0.5909420951252868,0.23668270691840831,0.2282654483923915,0.0,1.2922632465862518
7435_liver_sham_Male_10-U1,sham,Biliary/ductular,il6_jak_stat3,4208,49.99999999999999,0.12339538758768145,200,0.02246067795563395,0.13402316644453474,-0.22298926409665437,0.28487620139441844,0.10965835348873085,0.235,0.8179779779882453
7435_liver_sham_Male_10-U1,sham,Biliary/ductular,interferon_response,4208,10.477345453252495,-0.11631158622319943,200,0.08588834620023061,0.1418527117425906,-0.21985777560868497,0.3604187962617111,0.1315113661113913,0.93,1.738433280717303
7435_liver_sham_Male_10-U1,sham,Biliary/ductular,oxidative_stress,4208,6.999999999999999,-0.35745757275638723,200,-0.13783398324483537,0.28723830669434375,-0.7684010985222021,0.40265408639749883,0.24863252522528845,0.79,0.6144046349837122
7435_liver_sham_Male_10-U1,sham,Biliary/ductular,secondary_senescence,4208,23.47241150476913,0.17437292548914604,200,-0.019584309849820486,0.13465959040400802,-0.31856793803829075,0.224124496723813,0.10672201061518623,0.06,1.1123127905027868
7435_liver_sham_Male_10-U1,sham,Biliary/ductular,tnfa_nfkb_proximal,4208,7.361938632551805,0.6692162671080502,200,0.09508821648463667,0.22657055800056053,-0.36353303827548444,0.47475971768243824,0.20264881955212355,0.0,0.8579110802318797
7435_liver_sham_Male_10-U1,sham,Endothelial,downstream_arrest,24230,6.999999999999999,-0.19478579492588208,200,0.014633127923624914,0.20332130332002143,-0.407166419778716,0.3726827749111138,0.1625553532812037,0.87,1.0751242046638616
7435_liver_sham_Male_10-U1,sham,Endothelial,emt_ecm,24230,6.999999999999999,0.595853235585517,200,-0.21539548132084854,0.2198926196475999,-0.6299173509534891,0.2686890553078357,0.2570002452822648,0.0,1.3614908310587412
7435_liver_sham_Male_10-U1,sham,Endothelial,il6_jak_stat3,24230,6.999999999999999,0.42828121513280215,200,0.017104105161732334,0.16202943032942801,-0.2665065977435263,0.365969341135451,0.1317023242124885,0.01,0.9600633776187717
7435_liver_sham_Male_10-U1,sham,Endothelial,interferon_response,24230,6.999999999999999,0.2881233814082277,200,0.10932633209167651,0.20621586918834905,-0.3258423364747637,0.47826924951918964,0.18783857207408694,0.18,0.6205572364265103
7435_liver_sham_Male_10-U1,sham,Endothelial,oxidative_stress,24230,38.85968176362148,-0.2224649419273969,200,-0.051768249494170436,0.0937438646319499,-0.23915276622187184,0.1238676145047403,0.080256807596872,0.96,0.7672970444436796
7435_liver_sham_Male_10-U1,sham,Endothelial,secondary_senescence,24230,49.99999999999999,-0.010664228656529955,200,-0.005986492983726377,0.07523748435784254,-0.17498017237836136,0.1279176148842945,0.05850702393818883,0.565,0.438637975934555
7435_liver_sham_Male_10-U1,sham,Endothelial,tnfa_nfkb_proximal,24230,6.999999999999999,0.5479587612221906,200,0.08407528492345899,0.1942135379892801,-0.30477016216771363,0.4482676778802986,0.17037688842738238,0.005,0.8465664008438629
7435_liver_sham_Male_10-U1,sham,Hepatocytes,downstream_arrest,83751,25.962470509255517,-0.109442566809962,200,0.004651279313933834,0.08882586590976349,-0.17448032290386087,0.17072061540096944,0.06950859453028967,0.9,1.0424997279350219
7435_liver_sham_Male_10-U1,sham,Hepatocytes,emt_ecm,83751,6.999999999999999,0.6215739228838759,200,-0.19864841112442946,0.22992471598695113,-0.579293902952671,0.28831017848199,0.25646135752932137,0.005,1.3195893582581029
7435_liver_sham_Male_10-U1,sham,Hepatocytes,il6_jak_stat3,83751,6.999999999999999,0.4907259183168347,200,0.0008247258245307332,0.16220318882308113,-0.3322330172296446,0.29079308803787984,0.12278594723833866,0.01,0.9983193758598292
7435_liver_sham_Male_10-U1,sham,Hepatocytes,interferon_response,83751,6.999999999999999,0.30545458480965787,200,0.115364269140695,0.20614911212558207,-0.2808731725794333,0.4785631257048677,0.19303891810563606,0.2,0.6223194056406666
7435_liver_sham_Male_10-U1,sham,Hepatocytes,oxidative_stress,83751,49.99999999999999,-0.041393325717819236,200,-0.03090451983959631,0.09822437866483205,-0.2360432298383775,0.15239325950455995,0.07978326514545767,0.555,0.2533936497329482
7435_liver_sham_Male_10-U1,sham,Hepatocytes,secondary_senescence,83751,49.99999999999999,-0.031926017471874055,200,0.0026602420055371876,0.08315927113068947,-0.17277913698182099,0.1599684247611271,0.05670023110774245,0.72,1.0833252067183383
7435_liver_sham_Male_10-U1,sham,Hepatocytes,tnfa_nfkb_proximal,83751,6.999999999999999,0.3829792768176215,200,0.08200575991950129,0.21227846015659083,-0.33121864844799886,0.5078433566505526,0.18062866072234357,0.075,0.7858741585160149
7435_liver_sham_Male_10-U1,sham,Macrophages,downstream_arrest,12021,6.999999999999999,0.28905191847061584,200,-0.034243643182967735,0.22504931443631385,-0.4275297137429005,0.4120621873242795,0.18114867205748997,0.085,1.1184688320497995
7435_liver_sham_Male_10-U1,sham,Macrophages,emt_ecm,12021,6.999999999999999,0.8876208660970935,200,-0.2234959179085649,0.20616465760292182,-0.6107673054496834,0.16318236645728723,0.25172118132182336,0.0,1.2517920955275488
7435_liver_sham_Male_10-U1,sham,Macrophages,il6_jak_stat3,12021,7.742591489922676,0.06743638774734745,200,0.015197733262287549,0.1627636140714142,-0.31110231570929525,0.28832103414747795,0.1345706801252689,0.405,0.7746360122486641
7435_liver_sham_Male_10-U1,sham,Macrophages,interferon_response,12021,49.99999999999999,-0.05160516035279998,200,0.04753479605302961,0.07466829920126485,-0.09667929929126855,0.18513923478526514,0.07147343449493913,0.905,1.9211248589880698
7435_liver_sham_Male_10-U1,sham,Macrophages,oxidative_stress,12021,6.999999999999999,-0.4259904230002842,200,-0.15997379774595516,0.24085624116589222,-0.6689345148228439,0.2676703714211731,0.22450338412611573,0.87,0.6244662107207786
