section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,sender_set,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N1_full_null_mean,N1_full_sf,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N3_full_null_mean,N3_full_sf,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p,N4_full_null_mean,N4_full_sf,beta_obs_full
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,downstream_arrest,31135,47.54182525407475,1000,-0.0008533625478575186,A_SENDER_FINAL_strict,-0.0005574406309520696,0.0005071705101041017,-0.001592706481773289,0.00046145064967789966,0.3467716243798145,0.285,-5.623733589681482e-06,1.108245605046749,4.226616828380155e-05,0.0006612511144098688,-0.0011417826080268561,0.0013788261882138034,1.0495289702951183,0.205,1.9877313705260783e-05,0.6174015332664693,0.0009333007938138548,0.00038713185253438616,0.0002533929844071181,0.001737200894785271,2.093674424963964,0.598,0.0006399996391112615,-11.31871088139921,5.19534588702489e-05
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,31135,14.178039470333344,1000,0.0031812266767170107,A_SENDER_FINAL_strict,0.0020888085925688015,0.0006877929776837077,0.0008242804129878464,0.0035482780869081276,0.3433952355999894,0.057,0.00011764882598432324,1.1563142940111222,2.069874974476195e-06,0.001969829415761919,-0.0035223242816769538,0.004641972853289274,0.9993493469077117,0.11,1.7602325450991808e-05,1.0233873568461485,-0.002207381743110507,0.0016699147079652778,-0.005186199501212028,0.0006823598673644991,1.6938775407820041,0.327,-0.00033332119119120515,0.5571322854769309,-0.0007526427875876293
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,31135,17.345738419684505,1000,0.0012835297493201151,A_SENDER_FINAL_strict,0.001212442186725824,0.000687535905837389,-9.885309361421184e-05,0.002496762248026612,0.05538442925218222,0.472,-1.732241890064199e-05,0.9848812616318958,1.9138147224986217e-06,0.000925995806530391,-0.0017720304989487625,0.0017197606731829407,0.9985089440088847,0.17,2.1221922111685893e-05,1.018522164249415,2.4043337807633618e-05,0.0007943348245053602,-0.0016027401206287286,0.0014601636853827855,0.9812677985684637,0.116,8.70756251411735e-05,1.0759982541872213,-0.0011457582292175167
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,interferon_response,31135,30.20149733539872,1000,0.000753631479012531,A_SENDER_FINAL_strict,0.0016734455463375709,0.0007281909082211572,0.00027867697791391423,0.0032119096551003344,-1.2205090855947986,0.891,-2.844214005359617e-05,0.9766981582238161,-4.184375286923813e-05,0.0009131219747489331,-0.0018528998403939349,0.001549153783415956,1.0555228305007445,0.435,1.2467813190930439e-05,1.0102145270968577,-0.00044627210482345677,0.0007023183740192333,-0.001867015869437037,0.0009295032243031145,1.5921622401020175,0.382,0.00017170740231077904,1.1406750235005414,-0.0012205962226842497
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,oxidative_stress,31135,6.999999999999999,1000,-0.021956397337145005,A_SENDER_FINAL_strict,-0.0037578208500739763,0.0012699012540849303,-0.006422567376955056,-0.001391693560729382,0.8288507539569511,0.0,3.727964350102755e-05,1.0139528867523209,-4.737374228428301e-05,0.003206548153110326,-0.006217150172238645,0.006247971798990874,0.9978423717900141,0.0,-0.00015171907736574437,0.9432151462340974,-0.0010604750969619799,0.002531819065872708,-0.005980739747816567,0.0037853158884980126,0.9517008605429131,0.0,0.0002241088341963339,1.0838786235616737,-0.002671822982783597
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,secondary_senescence,31135,6.999999999999999,1000,-0.0019786928446775976,A_SENDER_FINAL_strict,7.53495652596988e-06,0.0005364708932258951,-0.0010655789813774782,0.0010761913803335067,1.0038080475937627,0.0,-3.8530515276982865e-05,0.9754572056973196,1.8617637227069327e-05,0.0015054507146373866,-0.002716411091428275,0.0030577432622180952,1.0094090587516642,0.209,1.6049236435282033e-05,1.0102228871250396,0.00012619675202160988,0.0010798102143056705,-0.0017665160121766554,0.002309070321943946,1.0637778381627352,0.067,8.038393686704246e-05,1.051202181273345,-0.0015699318831342286
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,tnfa_nfkb_proximal,31135,49.99999999999999,1000,0.0029194971202736826,A_SENDER_FINAL_strict,0.0024232563752309387,0.0008827585060819531,0.0007676998170016929,0.00416881777000724,0.1699747335240477,0.287,-6.854354508592102e-05,0.5636194946659302,-2.293304571145218e-05,0.0007666990340883379,-0.0015756898521018313,0.0013595593387862664,1.0078551355821521,0.0,3.55390677400787e-05,1.2262584510339656,-0.0003566276792374721,0.0006706630076191111,-0.0012511890052456084,0.0013433392212771958,1.122153804078437,0.005,0.00047033414557953767,3.9943687894547533,-0.00015707288535597553
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,downstream_arrest,2623,36.94920399670096,1000,0.004870410775980182,A_SENDER_FINAL_strict,-0.0022325270269061173,0.002691460921969914,-0.007070743457037713,0.003080076145381527,1.4583857768047943,0.169,-0.000494476141787056,1.0584882951035277,-5.0731874543992596e-05,0.002069492991930321,-0.004022061018112611,0.004232730102239859,1.01041634409857,0.015,-3.5290545942059703e-05,1.0041742840371712,0.0005050562478054256,0.0017832470791452296,-0.0032100555635198296,0.003780577476974366,0.8963010984009286,0.009,0.00030504261107473893,0.9639185377251764,0.008454275182954213
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,emt_ecm,2623,9.472463873139185,1000,0.003917482497759235,A_SENDER_FINAL_strict,0.0009161898642157664,0.002687110183734496,-0.004246148441252603,0.006131080047621712,0.7661278985318202,0.169,6.314994144123405e-05,0.978443778962785,5.753201975837452e-07,0.0054540564529200995,-0.01035521981121322,0.011123522777943016,0.9998531403272605,0.477,-9.109322468930459e-05,1.031094655696912,-0.003181901088811249,0.0052082901119246605,-0.013056362531293804,0.00791287646090522,1.812231092450641,0.541,-0.0013138963682713728,1.4484982865868223,0.0029295460151485394
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,DC,il6_jak_stat3,2623,13.48099749887925,1000,0.009192734451848218,A_SENDER_FINAL_strict,0.002846725128116875,0.0029987269682229412,-0.0027807821540410333,0.00880775889294525,0.6903287979188244,0.02,-0.0004550345552272102,1.7506330592083317,-0.0001286925153256106,0.0039854085068749025,-0.0077599042654050345,0.007793029304944603,1.0139993726567111,0.022,-7.730154202531505e-05,1.1275179924368826,0.0010628005482394283,0.0035933206739688947,-0.006233723838854633,0.007960442599160143,0.8843868977390344,0.016,0.0006162134939272809,-0.01651669034481725,0.0006062010587531547
