section,arm,celltype,module,n,lam,beta_obs_std,n_rand,rand_mean,rand_sd,rand_lo,rand_hi,rand_absmean,pct_rand_ge,sf_n8
7361_liver_sbr_Male_2-U1,sbr,Biliary/ductular,downstream_arrest,4113,15.682109678112967,-0.1829222628838011,200,0.025298784247118556,0.17082366320964737,-0.2933888797347472,0.3389980099183151,0.14083681590470845,0.875,1.1383034730069421
7361_liver_sbr_Male_2-U1,sbr,Biliary/ductular,emt_ecm,4113,33.40540803599722,-0.14740330993747977,200,-0.11965070556219136,0.21791537574644226,-0.5486162551071169,0.2653657911829357,0.19755047362353395,0.58,0.18827667022578742
7361_liver_sbr_Male_2-U1,sbr,Biliary/ductular,il6_jak_stat3,4113,23.47241150476913,0.157275037726591,200,0.06723524338784327,0.13820024206575798,-0.202200679699428,0.35158248365189887,0.12099404355340707,0.22,0.5724989524101981
7361_liver_sbr_Male_2-U1,sbr,Biliary/ductular,interferon_response,4113,49.99999999999999,0.14298033697391246,200,0.08754806953921306,0.19200976752545307,-0.29391750541961814,0.45736385592455764,0.16960835740197627,0.355,0.3876915428225164
7361_liver_sbr_Male_2-U1,sbr,Biliary/ductular,oxidative_stress,4113,49.99999999999999,-0.40132128741953327,200,-0.1379153368221619,0.25879174617988715,-0.68237582517041,0.36637448758516705,0.23360332457777797,0.85,0.6563468195047726
7361_liver_sbr_Male_2-U1,sbr,Biliary/ductular,secondary_senescence,4113,19.185852382096297,0.1906143079809259,200,-0.0268114192084951,0.1756172155693773,-0.39487188596248357,0.2682583852611153,0.133785908976724,0.11,1.1406579573826012
7361_liver_sbr_Male_2-U1,sbr,Biliary/ductular,tnfa_nfkb_proximal,4113,31.763081427768892,0.47259279064522985,200,0.07406930209229182,0.1812214490514642,-0.28882945368417245,0.3883352419732374,0.1572366113674678,0.01,0.8432703512231637
7361_liver_sbr_Male_2-U1,sbr,DC,downstream_arrest,4478,49.99999999999999,0.11998025259814299,200,-0.025994082284471823,0.13484722339702476,-0.2808355415561294,0.23020310445434072,0.10949179655270047,0.135,1.2166530051535676
7361_liver_sbr_Male_2-U1,sbr,DC,emt_ecm,4478,49.99999999999999,-0.08328719368257469,200,-0.08592209285942216,0.14056206760648746,-0.34954070720348285,0.19576663908238404,0.1315274198035117,0.52,-0.031636306379701565
7361_liver_sbr_Male_2-U1,sbr,DC,il6_jak_stat3,4478,49.99999999999999,0.2656043930363401,200,0.019833600255386375,0.13032668146218038,-0.22016677153458192,0.2866084557539686,0.10370071231331911,0.035,0.925326535345849
7361_liver_sbr_Male_2-U1,sbr,DC,interferon_response,4478,49.99999999999999,0.09508734468574674,200,0.026256144269602776,0.1275474054041554,-0.1973518552660114,0.28076347755079584,0.10546373594292226,0.29,0.7238734096910955
7361_liver_sbr_Male_2-U1,sbr,DC,oxidative_stress,4478,49.99999999999999,0.06636335291380911,200,-0.0890957454803171,0.16338095296395896,-0.4295283565906374,0.19747016405504816,0.14568891540856657,0.17,2.3425443647495054
7361_liver_sbr_Male_2-U1,sbr,DC,secondary_senescence,4478,49.99999999999999,0.3413609868864617,200,0.004244889822102694,0.1347585100928044,-0.26592782792729275,0.27571887108744514,0.10561189371701961,0.0,0.9875648068022649
7361_liver_sbr_Male_2-U1,sbr,DC,tnfa_nfkb_proximal,4478,49.99999999999999,0.4447179205337099,200,0.01912392693205775,0.13307490548507192,-0.23287051802998274,0.26516155994002355,0.10996477037002345,0.0,0.9569976246760937
7361_liver_sbr_Male_2-U1,sbr,Endothelial,downstream_arrest,22315,49.99999999999999,0.39892980482526275,200,-0.024765712834957054,0.23679295718799817,-0.45941904375726345,0.39719528002674404,0.19037608331286443,0.015,1.0620803773882095
7361_liver_sbr_Male_2-U1,sbr,Endothelial,emt_ecm,22315,45.204502969779604,0.8163898586906366,200,-0.16338897661114948,0.2445347726963248,-0.699489610395238,0.26796032499974204,0.2337572887524098,0.0,1.2001359704212888
7361_liver_sbr_Male_2-U1,sbr,Endothelial,il6_jak_stat3,22315,49.99999999999999,0.3639218242885887,200,0.0850810890758336,0.1859614839093888,-0.2841169025409896,0.4068961625629031,0.16201128548633673,0.075,0.7662105336986753
7361_liver_sbr_Male_2-U1,sbr,Endothelial,interferon_response,22315,31.763081427768892,0.39118776571286257,200,0.040519086454372764,0.20316601082428773,-0.34916033119949186,0.3858371711324691,0.1646794579286917,0.025,0.8964203638103694
7361_liver_sbr_Male_2-U1,sbr,Endothelial,oxidative_stress,22315,6.999999999999999,-0.1426724582715868,200,-0.30958220374424117,0.4318314902933262,-1.2097235258958323,0.5452895102255328,0.42819349238119514,0.335,-1.1698806307446543
7361_liver_sbr_Male_2-U1,sbr,Endothelial,secondary_senescence,22315,49.99999999999999,0.537246397140337,200,-0.016014084058471073,0.21931348140945067,-0.4657587691145057,0.37033273101107805,0.17693771622630494,0.0,1.0298077086113766
7361_liver_sbr_Male_2-U1,sbr,Endothelial,tnfa_nfkb_proximal,22315,49.99999999999999,1.135159591620033,200,0.06094812635936104,0.21302533620760725,-0.3263486035787251,0.5077451433040883,0.17151913895783877,0.0,0.9463087597468305
7361_liver_sbr_Male_2-U1,sbr,Hepatocytes,downstream_arrest,76382,49.99999999999999,0.4005127477550026,200,-0.04168766397596549,0.3062825984348427,-0.5750724014693929,0.5674359784253674,0.2517748561825718,0.09,1.1040857356217442
7361_liver_sbr_Male_2-U1,sbr,Hepatocytes,emt_ecm,76382,28.716686174618605,0.48546916372915555,200,-0.1716010736550214,0.2695412755986367,-0.7275912167383624,0.3389283380810542,0.25075947873454524,0.01,1.3534747136911007
7361_liver_sbr_Male_2-U1,sbr,Hepatocytes,il6_jak_stat3,76382,27.304873519796445,0.6584619305206525,200,0.11328153184704665,0.22833200259403225,-0.31147994184712674,0.5703044327250598,0.20313184085255148,0.005,0.8279603928544909
7361_liver_sbr_Male_2-U1,sbr,Hepatocytes,interferon_response,76382,49.99999999999999,-0.10149151487228518,200,0.08382659004911963,0.28853628887028726,-0.48251552874759257,0.6331327448496955,0.24362565368740852,0.745,1.8259467814093158
7361_liver_sbr_Male_2-U1,sbr,Hepatocytes,oxidative_stress,76382,17.345738419684505,0.18244562861346234,200,-0.27082464038980913,0.3463862097763941,-0.9246424255612645,0.44595447150723383,0.3589569374013297,0.09,2.4844128765813878
7361_liver_sbr_Male_2-U1,sbr,Hepatocytes,secondary_senescence,76382,49.99999999999999,0.5770177876774689,200,-0.01806551464741903,0.2769582231959401,-0.6864812410665992,0.436303132811508,0.21836499708081647,0.01,1.0313084189659625
7361_liver_sbr_Male_2-U1,sbr,Hepatocytes,tnfa_nfkb_proximal,76382,49.99999999999999,1.3142012705593207,200,0.07580905525032301,0.24972366024008924,-0.3769146659325097,0.5672465700307636,0.20534753495018795,0.0,0.9423154908242792
7361_liver_sbr_Male_2-U1,sbr,Macrophages,downstream_arrest,25627,49.99999999999999,0.6108058008649851,200,-0.007374338494164015,0.299401111210588,-0.5790391405125475,0.5382352974664879,0.24540519823286502,0.015,1.0120731310732822
7361_liver_sbr_Male_2-U1,sbr,Macrophages,emt_ecm,25627,49.99999999999999,1.0925246281359369,200,-0.2311303790931741,0.3119461255651995,-0.8172018963350091,0.3549074317387247,0.30904127547731564,0.0,1.2115562186341997
7361_liver_sbr_Male_2-U1,sbr,Macrophages,il6_jak_stat3,25627,49.99999999999999,0.821370009592894,200,0.06109134742212685,0.26082747232733877,-0.4702586847633341,0.5788077568000907,0.21121747034260882,0.0,0.9256226223156038
7361_liver_sbr_Male_2-U1,sbr,Macrophages,interferon_response,25627,30.20149733539872,0.21878230419712882,200,0.07694846281174103,0.2351245781884076,-0.34639190604968395,0.49923065460855365,0.19892449570868606,0.29,0.6482875381803805
7361_liver_sbr_Male_2-U1,sbr,Macrophages,oxidative_stress,25627,6.999999999999999,-0.10262201843956266,200,-0.33117983699740705,0.4669829945081295,-1.2176571281897146,0.5694823513506949,0.46122456759193864,0.335,-2.2271810868000936
7361_liver_sbr_Male_2-U1,sbr,Macrophages,secondary_senescence,25627,49.99999999999999,0.9145504241828181,200,-0.02626138997773352,0.30351928719128046,-0.6218898632597656,0.5138829414732341,0.24197859706638677,0.0,1.0287150815125354
7361_liver_sbr_Male_2-U1,sbr,Macrophages,tnfa_nfkb_proximal,25627,49.99999999999999,1.2239314229151022,200,0.08302036417085748,0.27549858187700454,-0.4201873653658575,0.6165078679269802,0.23100131432849705,0.0,0.9321691047255544
7361_liver_sbr_Male_2-U1,sbr,Mesenchymal,downstream_arrest,11058,49.99999999999999,0.33217167383396295,200,0.005008990651911647,0.28024032957622524,-0.4718287791688692,0.5539369724187729,0.23375972039883483,0.125,0.9849204762281585
7361_liver_sbr_Male_2-U1,sbr,Mesenchymal,emt_ecm,11058,47.54182525407475,0.8423706764962962,200,-0.22385076989143166,0.270070775220538,-0.7509419751160196,0.30836293757318456,0.2832626996895526,0.0,1.2657390340586194
7361_liver_sbr_Male_2-U1,sbr,Mesenchymal,il6_jak_stat3,11058,49.99999999999999,0.5463069527030704,200,0.09615555253228086,0.20954119560985826,-0.30019723543508253,0.5336365393516813,0.18133893638334192,0.02,0.8239898795786634
7361_liver_sbr_Male_2-U1,sbr,Mesenchymal,interferon_response,11058,49.99999999999999,0.5998116382480997,200,0.06314491838693975,0.2441352638721595,-0.3801875670623622,0.5196350289189215,0.20611951427513553,0.005,0.8947254198478536
7361_liver_sbr_Male_2-U1,sbr,Mesenchymal,oxidative_stress,11058,6.999999999999999,-0.08219471212261464,200,-0.3601395267669797,0.39755404299961405,-1.1533778652717517,0.3896572739159835,0.4347393876177986,0.25,-3.381541311681201
7361_liver_sbr_Male_2-U1,sbr,Mesenchymal,secondary_senescence,11058,49.99999999999999,0.7537043160679924,200,-0.005090873486875913,0.2459342890325403,-0.5521413805691657,0.45011415295447493,0.19444361686172462,0.0,1.0067544703915647
7361_liver_sbr_Male_2-U1,sbr,Mesenchymal,tnfa_nfkb_proximal,11058,49.99999999999999,1.3816250263906982,200,0.05701525386273932,0.2288936492250153,-0.4266392912717571,0.459747404221669,0.18320496474316453,0.0,0.9587331926002501
7361_liver_sbr_Male_2-U1,sbr,Proliferating,downstream_arrest,4260,47.54182525407475,-0.017152699551091135,200,-0.0007836903436117621,0.21701616070558297,-0.38917727739101937,0.4293603632588761,0.17400476352261965,0.535,0.9543109618822707
7361_liver_sbr_Male_2-U1,sbr,Proliferating,emt_ecm,4260,10.477345453252495,1.331970683099837,200,-0.25767257506101765,0.3620063879296472,-0.9478941037780089,0.4686800897350196,0.36313258749981614,0.0,1.1934521369954987
7361_liver_sbr_Male_2-U1,sbr,Proliferating,il6_jak_stat3,4260,12.818224546846722,1.1337239467708575,200,0.1023875838096067,0.2948206666589132,-0.43001931699650375,0.7541230127532669,0.24608170680975028,0.0,0.9096891407284522
7361_liver_sbr_Male_2-U1,sbr,Proliferating,interferon_response,4260,6.999999999999999,1.704953285614141,200,0.13688741389295359,0.575065994811682,-0.8082988896524429,1.2989832196791475,0.4577199466192188,0.005,0.9197119269788994
