subset,null,n,q25,median,q75,frac_le_0,frac_gt_05
"PRIMARY: in-band sections, tierA_p95",N2 matched decoy,153,0.9190634764519106,0.951573514267752,0.97760169424418,0.0,1.0
"PRIMARY: in-band sections, tierA_p95",N1 stratified label permutation,153,0.4162705748127227,0.7073616928464024,0.864775218029966,0.0392156862745098,0.6928104575163399
"PRIMARY: in-band sections, tierA_p95",N1 on the N5+N6-conditioned residual,153,0.8968058912050483,0.9889997053683218,1.0918610416628232,0.0392156862745098,0.9477124183006536
"PRIMARY: in-band sections, tierA_p95",N3 torus shift,153,0.9888509940583976,0.998870982287264,1.005757785105693,0.0,1.0
"PRIMARY: in-band sections, tierA_p95",N4 rotation,153,0.8036994751061498,0.9471932849110392,1.0388956918149912,0.0196078431372549,0.9150326797385621
"PRIMARY: in-band sections, tierA_p95",N5 nuisance conditioning,153,-0.0344095597274455,0.1150159802012538,0.258297136349599,0.2875816993464052,0.10457516339869281
"PRIMARY: in-band sections, tierA_p95",N6 receiver-baseline conditioning,153,0.18292640046566,0.4708466392754285,0.7415848333315154,0.10457516339869281,0.45098039215686275
"PRIMARY: in-band sections, tierA_p95",zonation covariate alone,153,0.5552633449631915,0.8429178550953099,0.97399636313034,0.058823529411764705,0.7843137254901961
"PRIMARY: in-band sections, tierA_p95",N5 + N6,153,-0.0125795238388449,0.0844402848531852,0.2333435041071114,0.3006535947712418,0.08496732026143791
"PRIMARY: in-band sections, tierA_p95",N2 + N5 + N6 (combined),153,-0.0166429416755776,0.0884684417052368,0.2337830614935146,0.3006535947712418,0.08496732026143791
"PRIMARY: in-band sections, tierA_p95",N8 scrambled response gene set,153,0.8165354811980766,0.9155763681726722,1.070310446054818,0.006535947712418301,0.9673202614379085
over-ceiling sections (Cdkn1a+ hep 22-45 %),N2 matched decoy,134,0.8928271372386555,0.9231418710892619,0.9577384706872245,0.0,1.0
over-ceiling sections (Cdkn1a+ hep 22-45 %),N5 nuisance conditioning,134,0.010234670255644125,0.16447560929776756,0.30781783311223565,0.23134328358208955,0.06716417910447761
over-ceiling sections (Cdkn1a+ hep 22-45 %),N6 receiver-baseline conditioning,134,0.17236364081843658,0.3633905937536205,0.5691678615782815,0.11940298507462686,0.34328358208955223
over-ceiling sections (Cdkn1a+ hep 22-45 %),zonation covariate alone,134,0.5556790471711505,0.7090445653037596,0.8290029451567573,0.014925373134328358,0.8432835820895522
over-ceiling sections (Cdkn1a+ hep 22-45 %),N5 + N6,134,-0.0025130066882052752,0.10333805017392386,0.1930574589174379,0.2537313432835821,0.05223880597014925
over-ceiling sections (Cdkn1a+ hep 22-45 %),N2 + N5 + N6 (combined),134,-0.0036243224982353502,0.10662738056431585,0.19129211504905508,0.2537313432835821,0.05223880597014925
over-ceiling sections (Cdkn1a+ hep 22-45 %),N8 scrambled response gene set,96,0.8963436310056438,0.9685350659958853,1.0390014085715242,0.010416666666666666,0.9895833333333334
below-floor section (0.48 %),N2 matched decoy,26,0.9781241553720148,0.9894775801512583,0.9996123109153657,0.0,1.0
below-floor section (0.48 %),N5 nuisance conditioning,26,0.17299536243180544,0.27284660078754097,0.44367945349454085,0.15384615384615385,0.23076923076923078
below-floor section (0.48 %),N6 receiver-baseline conditioning,26,0.23530123833005565,0.6232528445043448,0.8773497867164204,0.07692307692307693,0.5769230769230769
below-floor section (0.48 %),zonation covariate alone,26,0.6229040626479989,0.7981711686723167,0.9287697252021877,0.0,0.8846153846153846
below-floor section (0.48 %),N5 + N6,26,0.09865477034757991,0.195533783346083,0.4414304202888282,0.15384615384615385,0.19230769230769232
below-floor section (0.48 %),N2 + N5 + N6 (combined),26,0.09731181258681985,0.19574882066779847,0.43977640045651,0.15384615384615385,0.19230769230769232
