section,arm,A,B,n,n_A,n_B,n_both,jaccard,chance,ratio
7435_liver_sham_Male_10-U1,sham,senepy_score,cdkn1a_counts,119459,5985,2501,148,0.01775,0.01503,1.181
7435_liver_sham_Male_10-U1,sham,deepscence_score,cdkn1a_counts,139768,7024,2747,135,0.01401,0.01433,0.978
7448_liver_sbr_Male_10-U1,SBR,tierA_score,senepy_score,87313,4368,4366,233,0.02741,0.02569,1.067
7448_liver_sbr_Male_10-U1,SBR,tierA_score,deepscence_score,162303,8133,8136,502,0.03184,0.02586,1.231
7448_liver_sbr_Male_10-U1,SBR,tierA_score,cdkn1a_counts,162303,8133,3739,332,0.02877,0.01624,1.772
7448_liver_sbr_Male_10-U1,SBR,senepy_score,deepscence_score,87313,4366,4371,73,0.00843,0.02523,0.334
7448_liver_sbr_Male_10-U1,SBR,senepy_score,cdkn1a_counts,87313,4366,1947,117,0.01888,0.01571,1.202
7448_liver_sbr_Male_10-U1,SBR,deepscence_score,cdkn1a_counts,162303,8136,3739,201,0.01722,0.01606,1.072
7450_liver_sbr_Male_10-U1,SBR,tierA_score,senepy_score,59284,2983,2983,177,0.03058,0.02593,1.179
7450_liver_sbr_Male_10-U1,SBR,tierA_score,deepscence_score,81428,4085,4084,275,0.03484,0.02595,1.342
7450_liver_sbr_Male_10-U1,SBR,tierA_score,cdkn1a_counts,81428,4085,1813,201,0.03528,0.01597,2.21
7450_liver_sbr_Male_10-U1,SBR,senepy_score,deepscence_score,59284,2983,2983,75,0.01273,0.02548,0.5
7450_liver_sbr_Male_10-U1,SBR,senepy_score,cdkn1a_counts,59284,2983,1299,91,0.02171,0.0156,1.392
7450_liver_sbr_Male_10-U1,SBR,deepscence_score,cdkn1a_counts,81428,4084,1813,123,0.0213,0.01575,1.353
