section,arm,week,call,celltype,module,bin_lo,bin_hi,n,mean_obs,sem_obs,n_decoy,mean_decoy
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,45.0,50.0,1141.0,0.04389209453790526,0.0007628591899447269,1055.0,0.04291942177737428
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,50.0,55.0,815.0,0.04535647848566731,0.0009803872541501483,779.0,0.043448870367742955
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,55.0,60.0,564.0,0.04217471625963673,0.0010786917576071488,501.0,0.044097764383574635
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,60.0,65.0,351.0,0.04620920236028752,0.0013446071092750242,299.0,0.040948595328277514
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,65.0,70.0,231.0,0.04402835491697709,0.0019236451900849435,189.0,0.03955693116124224
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,70.0,75.0,137.0,0.043871459950536595,0.0020294666601780855,124.0,0.03866870978855595
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,75.0,80.0,74.0,0.04708905399751824,0.0035354989038634114,81.0,0.04052950638018687
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,80.0,85.0,39.0,0.04039102575431267,0.0034152690050950176,54.0,0.03497703706462171
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,85.0,90.0,30.0,0.034470666324098904,0.004101259416209825,32.0,0.04064374982863228
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,90.0,95.0,30.0,0.04203333340701647,0.004610761987920456,16.0,0.03750249987933785
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,emt_ecm,95.0,100.0,18.0,0.04563833316044313,0.007662936793493441,31.0,0.038431612849836386
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,0.0,5.0,679.0,0.006446170840795657,0.001161441659969704,2195.0,0.007499694740016529
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,5.0,10.0,4610.0,0.00772288938659824,0.0004205151916947982,4261.0,0.008343356019037124
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,10.0,15.0,4302.0,0.007939958156349724,0.00043512487883931735,4182.0,0.0074831085559372516
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,15.0,20.0,4053.0,0.008084241314942371,0.000450664922257626,4079.0,0.00808219419071873
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,20.0,25.0,3950.0,0.007108037977138994,0.00044818801301193693,3720.0,0.0067293602168466615
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,25.0,30.0,3396.0,0.00691679620346715,0.00048652346597213684,3250.0,0.0072376615393821755
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,30.0,35.0,2844.0,0.00721089310588945,0.0005329443248074196,2655.0,0.006229031997951069
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,35.0,40.0,2208.0,0.0069640081462067965,0.0005981768798536587,2101.0,0.007545730575821714
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,40.0,45.0,1663.0,0.006933553803967151,0.0006749523449725361,1531.0,0.006230254731466705
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,45.0,50.0,1141.0,0.006705810689786643,0.0008030971369971465,1055.0,0.007378909979636976
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,50.0,55.0,815.0,0.006690478467561399,0.0009238658593980654,779.0,0.007640924240902664
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,55.0,60.0,564.0,0.008389361699055823,0.0011824878630983635,501.0,0.00963031928863157
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,60.0,65.0,351.0,0.010394273492453492,0.0015253641574728123,299.0,0.008995083598776765
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,65.0,70.0,231.0,0.006727662394002173,0.0017396846449581741,189.0,0.006919470900871727
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,70.0,75.0,137.0,0.008337737162096976,0.0023456488113404246,124.0,0.0028108870713866407
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,75.0,80.0,74.0,0.0035997295950388384,0.0030088481036176264,81.0,0.006492222285611026
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,80.0,85.0,39.0,0.006274615248772674,0.004603462180138684,54.0,0.008006296354492574
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,85.0,90.0,30.0,0.008279333097743802,0.005176119162614951,32.0,0.0043828125672007445
7259_liver_sbr_Male_26-U1,sbr,26,tierA_p95,Biliary/ductular,il6_jak_stat3,90.0,95.0,30.0,0.0030630000866949557,0.003960106357319013,16.0,0.00613125013478566
