beta_obs,lam_obs,beta_true,lam_true,beta_obs_fixedlam,N1_p_beta,N1_null_beta_mean,N1_null_beta_q95,N1_null_lam_mean,N1_reject05,N1_p_beta_fixedlam,N1_reject05_fixedlam,N1_null_beta_fixedlam_mean,N1_surviving_frac_fixedlam,N1_surviving_beta,N1_surviving_frac,N3_p_beta,N3_null_beta_mean,N3_null_beta_q95,N3_null_lam_mean,N3_reject05,N3_p_beta_fixedlam,N3_reject05_fixedlam,N3_null_beta_fixedlam_mean,N3_surviving_frac_fixedlam,N3_surviving_beta,N3_surviving_frac,N4_p_beta,N4_null_beta_mean,N4_null_beta_q95,N4_null_lam_mean,N4_reject05,N4_p_beta_fixedlam,N4_reject05_fixedlam,N4_null_beta_fixedlam_mean,N4_surviving_frac_fixedlam,N4_surviving_beta,N4_surviving_frac,regime,beta_true_cfg,rep
1.0766103028148042,399.9999999999999,0.0,30.0,1.0766103028146476,0.029850746268656716,0.601090536356923,1.0280784721828504,365.4953568978401,1.0,0.029850746268656716,1.0,0.6271380057753945,0.4174883854112955,0.4755197664578812,0.4416823480275378,0.004975124378109453,0.24882768107028455,0.7131581921464976,251.2678049260781,1.0,0.004975124378109453,1.0,0.2877629681090636,0.7327139008824758,0.8277826217445197,0.7688785994154774,0.004975124378109453,0.5466401422309306,0.8897089870862873,396.06720660462656,1.0,0.004975124378109453,1.0,0.5506658601354141,0.48851886453642984,0.5299701605838736,0.49225811716483053,clean,0.0,0
0.10895751293995941,27.47486899050773,0.0,30.0,0.10895751293995895,0.945273631840796,0.6256861496628222,1.0444233586196623,351.93797652969283,0.0,0.4577114427860697,0.0,0.10340915389722775,0.050922225489752324,-0.5167286367228628,-4.742478263133668,0.6218905472636815,0.19248949304962737,0.7381227818757026,207.2312027440955,0.0,0.18407960199004975,0.0,0.03561427173876835,0.6731361539208994,-0.08353198010966796,-0.766647272462046,0.8606965174129353,0.23882413871824038,0.4904037043241658,325.15685841708654,0.0,0.22388059701492538,0.0,0.061207357447302414,0.4382456446024907,-0.12986662577828095,-1.1919015244946296,clean,0.0,1
0.6362966205110243,399.9999999999999,0.0,30.0,0.6362966205110197,0.44776119402985076,0.5667559173439823,1.0629531760934978,334.1766393616064,0.0,0.47761194029850745,0.0,0.6201524103024658,0.02537214514134645,0.06954070316704197,0.1092897572066189,0.04975124378109453,0.2038476808330519,0.6338020407631635,232.50617184388028,1.0,0.04975124378109453,1.0,0.2682634119924146,0.5783988106412256,0.4324489396779724,0.6796341921958705,0.10945273631840796,0.4172838688901691,0.6994450816937672,338.9810594999195,0.0,0.10945273631840796,0.0,0.4229596192717333,0.3352791675491724,0.2190127516208552,0.3441991432312827,clean,0.0,2
0.10571740544800368,27.47486899050773,0.0,30.0,0.10571740544800362,0.8855721393034826,0.4918186207142918,0.986031824603703,312.6944542102614,0.0,0.417910447761194,0.0,0.08935852375127361,0.15474161163344116,-0.3861012152662881,-3.6522010129750027,0.6218905472636815,0.1842189013945709,0.655867890586422,212.34328212529195,0.0,0.13930348258706468,0.0,0.03302323521607164,0.68762726368352,-0.07850149594656722,-0.7425598047350641,0.8905472636815921,0.3340568912369396,0.5922289153390042,346.04449857053595,0.0,0.12437810945273632,0.0,0.05193515010951855,0.5087360507058367,-0.22833948578893593,-2.159904367888058,clean,0.0,3
0.2924121835114375,94.57193137936622,0.0,30.0,0.29241218351143666,0.8606965174129353,0.6297590374873219,1.10890326666471,347.89399645849915,0.0,0.21890547263681592,0.0,0.21934467342425662,0.24987847363180155,-0.3373468539758844,-1.1536689406195324,0.417910447761194,0.20275868331452357,0.6762426950095707,214.25040752649932,0.0,0.009950248756218905,1.0,0.07396353986055253,0.7470572567382107,0.08965350019691393,0.3065997425972752,0.8557213930348259,0.45153115290785395,0.7201342658361845,392.15029900695595,0.0,0.014925373134328358,1.0,0.15908527003205428,0.4559553978850125,-0.15911896939641645,-0.5441598482171063,clean,0.0,4
0.7069238951421944,399.9999999999999,0.0,30.0,0.7069238951420052,0.4925373134328358,0.664158429213556,1.1457107579700374,352.6013632942016,0.0,0.527363184079602,0.0,0.7243057216348086,-0.024587974196729874,0.0427654659286385,0.06049514837808167,0.08955223880597014,0.25839033787333315,0.8340700668126817,253.38205111274695,0.0,0.09950248756218906,0.0,0.3078045314327287,0.5645860416546004,0.4485335572688613,0.6344863433688868,0.014925373134328358,0.2941986567554959,0.5348279179248616,362.6716268798541,1.0,0.014925373134328358,1.0,0.325549514581161,0.5394843535232807,0.41272523838669856,0.5838326320879008,clean,0.0,5
0.8525601127600292,399.9999999999999,0.0,30.0,0.8525601127599799,0.18407960199004975,0.584921381446812,1.0743781883505537,342.63940951969903,0.0,0.19900497512437812,0.0,0.6441312906494077,0.24447404821207125,0.26763873131321714,0.31392359002907005,0.014925373134328358,0.20097099505404104,0.6055172915414745,235.9766623407151,1.0,0.01990049751243781,1.0,0.2357420583053435,0.7234892240710402,0.6515891177059882,0.7642735191968704,0.004975124378109453,0.07833895134358906,0.49397038432791335,205.49346415442074,1.0,0.014925373134328358,1.0,0.17612897334461017,0.7934116659827886,0.7742211614164402,0.9081132811972882,clean,0.0,6
1.47770087457609,399.9999999999999,0.0,30.0,1.477700874575886,0.014925373134328358,0.7348820207654628,1.2063144153756369,363.82710136269134,1.0,0.014925373134328358,1.0,0.7818405144116187,0.4709074563984309,0.7428188538106272,0.5026855343939081,0.009950248756218905,0.2330011123097811,0.7648186297849514,249.1319842344413,1.0,0.009950248756218905,1.0,0.26650991515393274,0.8196455590307317,1.244699762266309,0.8423218688446521,0.004975124378109453,0.42429102883348363,0.8146957951932114,380.484437012249,1.0,0.004975124378109453,1.0,0.4275191874287605,0.7106862459214132,1.0534098457426064,0.7128708278289404,clean,0.0,7
1.39431053266486,399.9999999999999,0.0,30.0,1.394310532665516,0.009950248756218905,0.6200368214879913,1.072629394913428,367.3651698260686,1.0,0.009950248756218905,1.0,0.6516430339656287,0.5326413889165157,0.7742737111768686,0.5553093755212815,0.004975124378109453,0.16383850986311102,0.6072364513775069,209.57337954193085,1.0,0.004975124378109453,1.0,0.21165359530400443,0.8482019676783303,1.230472022801749,0.8824949636219297,0.004975124378109453,0.48007088559616706,0.7268778641048028,390.199669463795,1.0,0.004975124378109453,1.0,0.4823391731138253,0.6540661769285117,0.9142396470686929,0.6556929935266019,clean,0.0,8
0.3285444321515267,184.7325174776499,0.0,30.0,0.32854443215154394,0.7661691542288557,0.5607489756200809,1.0026124101173188,342.3512896836005,0.0,0.472636815920398,0.0,0.3157911447956524,0.038817542188658904,-0.23220454346855418,-0.7067675502760006,0.3383084577114428,0.20037070430840245,0.6284066259130938,219.25996476354584,0.0,0.06467661691542288,0.0,0.11676034231254068,0.6446132367914122,0.12817372784312422,0.3901260082350436,0.6965174129353234,0.3968421931419242,0.7209875891845214,367.6019194546632,0.0,0.0945273631840796,0.0,0.22145378664974058,0.32595483295972244,-0.06829776099039753,-0.20787983087443768,clean,0.0,9
1.1038711579983886,3.8811473884278147,0.0,30.0,1.1038711579983886,0.004975124378109453,0.40714804401718924,0.8832227144522261,276.62564708881155,1.0,0.004975124378109453,1.0,0.00871739529332815,0.9921028869808184,0.6967231139811993,0.6311634369037626,0.004975124378109453,0.18822596614947545,0.6612141301903927,207.86868294733696,1.0,0.004975124378109453,1.0,0.02741676398101818,0.9751630760688303,0.9156451918489132,0.8294855656064255,0.004975124378109453,0.1663146659260751,0.3542297073769618,288.65042529357055,1.0,0.004975124378109453,1.0,0.00532013870942633,0.9951804713159884,0.9375564920723135,0.8493350743689619,clean,0.0,10
0.26173385736742383,27.47486899050773,0.0,30.0,0.26173385736742355,0.8308457711442786,0.5830678177934346,1.0314327534404504,340.37502588302044,0.0,0.004975124378109453,1.0,0.10033894165837925,0.6166375161868232,-0.3213339604260108,-1.2277126225015662,0.40298507462686567,0.1610192598927861,0.6615248919964345,201.9683629574618,0.0,0.004975124378109453,1.0,0.028657886005287,0.890507531988661,0.10071459747463773,0.3847977425910698,0.8706467661691543,0.36717816490448485,0.5793236642224474,358.25737718026545,0.0,0.014925373134328358,1.0,0.0663335849191114,0.7465609318323998,-0.10544430753706102,-0.40286842748447926,clean,0.0,11
1.1922566333995381,32.065569585653414,1.0,30.0,1.1922566333995404,0.05970149253731343,0.7546959609469361,1.193302529030638,360.9160875856385,0.0,0.004975124378109453,1.0,0.13755022392526722,0.8846303555191272,0.437560672452602,0.36700208679482405,0.004975124378109453,0.2065879483739363,0.6833114041873672,223.4642069917861,1.0,0.004975124378109453,1.0,0.03923392133996305,0.9670927212809096,0.9856686850256018,0.8267252682126982,0.024875621890547265,0.31121280707553267,0.6676340353672817,340.07225922427955,1.0,0.004975124378109453,1.0,0.07838023083822884,0.9342589266081587,0.8810438263240055,0.7389716287942498,clean,1.0,0
1.0859638871916453,39.401255758809576,1.0,30.0,1.0859638871916433,0.13930348258706468,0.7581983971927201,1.2234077168079918,363.95416543741004,0.0,0.004975124378109453,1.0,0.15500785483589635,0.8572624222001024,0.3277654899989252,0.30181987989171766,0.009950248756218905,0.17186752971781094,0.6792296609170264,184.31523481332252,1.0,0.004975124378109453,1.0,0.041250262472175246,0.9620150697839036,0.9140963574738343,0.8417373434375718,0.01990049751243781,0.3094956575118072,0.6035189512466062,334.3614720653306,1.0,0.004975124378109453,1.0,0.08123709761536618,0.9251935551692705,0.7764682296798381,0.7150037297168529,clean,1.0,1
