beta_obs,lam_obs,beta_true,lam_true,N1_p_beta,N1_null_beta_mean,N1_null_beta_q95,N1_null_lam_mean,N1_reject05,N1_surviving_beta,N1_surviving_frac,N3_p_beta,N3_null_beta_mean,N3_null_beta_q95,N3_null_lam_mean,N3_reject05,N3_surviving_beta,N3_surviving_frac,N4_p_beta,N4_null_beta_mean,N4_null_beta_q95,N4_null_lam_mean,N4_reject05,N4_surviving_beta,N4_surviving_frac,regime,beta_true_cfg,rep
0.4908993198469313,399.9999999999999,0.0,30.0,0.6069651741293532,0.5257679201142494,0.8924307691097454,337.60913059034107,0.0,-0.03486860026731814,-0.0710300439572632,0.10945273631840796,0.14979513746835205,0.58294715481261,190.82216201304246,0.0,0.34110418237857926,0.6948556834117022,0.0845771144278607,0.24465250800696473,0.5222335810791499,326.041346939335,0.0,0.24624681183996658,0.501623860299398,clean,0.0,0
0.9829163809806889,399.9999999999999,0.0,30.0,0.05970149253731343,0.5068087860553954,0.9893692629320648,315.9030471222866,0.0,0.47610759492529353,0.4843826027706089,0.009950248756218905,0.25254995991600687,0.6993425064518456,248.41974297787252,1.0,0.7303664210646821,0.7430605850072117,0.024875621890547265,0.5184146044979283,0.8898646832305099,385.78087785987896,1.0,0.4645017764827606,0.4725750689181835,clean,0.0,1
0.826931672714895,399.9999999999999,0.0,30.0,0.24875621890547264,0.6200072341932639,1.048299210071819,348.82591295844793,0.0,0.20692443852163112,0.2502316035885753,0.01990049751243781,0.30632688126947305,0.7162437699641664,276.7037933642117,1.0,0.5206047914454219,0.6295620407623608,0.024875621890547265,0.37598255813154596,0.6945824451790366,369.39652820537356,1.0,0.450949114583349,0.5453281443469693,clean,0.0,2
0.8854343419062405,399.9999999999999,0.0,30.0,0.12935323383084577,0.5677754220133258,0.9671011717024525,352.4431044885398,0.0,0.3176589198929147,0.3587605594888389,0.004975124378109453,0.21730728213167883,0.6579324681984178,222.7713388939007,1.0,0.6681270597745617,0.7545754983211508,0.004975124378109453,0.3595084020319075,0.6208185204009731,362.7782074127153,1.0,0.525925939874333,0.5939750865570378,clean,0.0,3
0.6782626073346801,399.9999999999999,0.0,30.0,0.5074626865671642,0.6937198331653543,1.0980602306384337,382.71924880677557,0.0,-0.015457225830674215,-0.022789441233411593,0.0945273631840796,0.24199775052526626,0.7229607662281364,225.79680387558503,0.0,0.43626485680941385,0.6432093588702649,0.1890547263681592,0.5405401921032307,0.795466300452669,386.1696280641863,0.0,0.13772241523144946,0.20305175862878147,clean,0.0,4
0.14879057610371818,62.63542794902594,0.0,30.0,0.8656716417910447,0.5411112965441771,0.9963710679922619,322.63376195712647,0.0,-0.39232072044045896,-2.636730972578411,0.5671641791044776,0.18598160919139214,0.7072797209186148,192.61340847924512,0.0,-0.037191033087673964,-0.24995556883756553,0.8656716417910447,0.2950468242413735,0.5008869333440611,340.19061162306906,0.0,-0.14625624813765534,-0.9829671472990585,clean,0.0,5
0.4616701285643802,399.9999999999999,0.0,30.0,0.7114427860696517,0.6202435643997225,1.1470014924359855,334.1018111881981,0.0,-0.15857343583534228,-0.34347779079501156,0.15422885572139303,0.16343237315988796,0.6583155731505854,200.50332176612108,0.0,0.29823775540449227,0.6459975141382854,0.30845771144278605,0.3913214019542234,0.746229020916114,374.95894645395833,0.0,0.07034872661015684,0.1523787705930094,clean,0.0,6
0.1471405428997779,56.50469000989531,0.0,30.0,0.8905472636815921,0.5166144759928142,0.9442020079464568,317.49838831681404,0.0,-0.3694739330930363,-2.511027387908285,0.5621890547263682,0.19762488145726603,0.6952605987435162,211.37153335074478,0.0,-0.05048433855748813,-0.3431028427825947,0.845771144278607,0.23644548560277898,0.5243425713071366,354.24267845403114,0.0,-0.08930494270300107,-0.6069363408821287,clean,0.0,7
0.6327783204471787,399.9999999999999,0.0,30.0,0.4626865671641791,0.5919689166794722,1.0363824840404479,349.06757571808413,0.0,0.04080940376770659,0.06449241772200247,0.07960199004975124,0.19253781092489036,0.7233275008097316,216.15685896513003,0.0,0.4402405095222884,0.6957262840660761,0.08955223880597014,0.29434169349270006,0.6931675430289665,353.3125881400489,0.0,0.3384366269544787,0.5348423231619386,clean,0.0,8
0.9681774053602024,399.9999999999999,0.0,30.0,0.12935323383084577,0.6347769860553405,1.0573675953710582,364.86329621643114,0.0,0.33340041930486186,0.34435881013028086,0.014925373134328358,0.2545428797502073,0.777393493971379,251.27829194022655,1.0,0.7136345256099951,0.7370906629911419,0.014925373134328358,0.5019625407678493,0.7453101131966401,376.6322413166714,1.0,0.46621486459235306,0.481538674638768,clean,0.0,9
0.2540750544029032,45.9847036480041,0.0,30.0,0.8805970149253731,0.6199428077914484,1.0973838006169692,348.69829926857625,0.0,-0.3658677533885452,-1.4399987210407723,0.5074626865671642,0.23812309703076057,0.7119458180403588,253.08414203515736,0.0,0.01595195737214261,0.06278442962309304,0.8109452736318408,0.37205479101551026,0.9085743147187074,347.59391782836815,0.0,-0.11797973661260708,-0.4643499413583476,clean,0.0,10
0.4420799399506993,399.9999999999999,0.0,30.0,0.7711442786069652,0.6430762595727744,1.0466085451844922,364.923670840703,0.0,-0.2009963196220751,-0.45466057483741557,0.3383084577114428,0.2664423610020512,0.8104390354224829,240.57331700727914,0.0,0.17563757894864807,0.39729823291288713,0.472636815920398,0.4067321538611887,0.7202412721753987,351.9866116778097,0.0,0.03534778608951056,0.07995790556217625,clean,0.0,11
1.2196777029882797,41.48373388526971,1.0,30.0,0.05472636815920398,0.7130298474651835,1.215516729643663,357.35421600343443,0.0,0.5066478555230962,0.415394865612268,0.014925373134328358,0.238724558348246,0.7740643748204282,229.8583451361423,1.0,0.9809531446400337,0.8042724256060784,0.029850746268656716,0.46052949680030636,0.8005722543275826,375.106415901561,1.0,0.7591482061879733,0.622417056840522,clean,1.0,0
1.3354717310828654,59.491137490359385,1.0,30.0,0.029850746268656716,0.7319304811117159,1.2772572888446119,341.7811436708248,1.0,0.6035412499711496,0.4519311310931074,0.004975124378109453,0.1812875072719801,0.6710467580264423,197.02487721068965,1.0,1.1541842238108853,0.8642520818280568,0.03482587064676617,0.6012039601389508,1.0216546406826759,382.4935655116974,1.0,0.7342677709439146,0.5498190293766343,clean,1.0,1
1.2178881647268736,28.9270007207838,1.0,30.0,0.04477611940298507,0.7008950373387237,1.147243678035514,361.75449402629806,1.0,0.5169931273881498,0.42449967276272194,0.009950248756218905,0.27068190448095647,0.8223282464883191,245.49819951030437,1.0,0.947206260245917,0.7777448600613831,0.024875621890547265,0.636703055395633,0.9590811495675924,390.4139736567545,1.0,0.5811851093312406,0.47720728894806075,clean,1.0,2
1.3465636358827568,56.50469000989531,1.0,30.0,0.03482587064676617,0.7727817561052917,1.2784280026136492,363.9621221823048,1.0,0.5737818797774652,0.426108253993741,0.009950248756218905,0.29735241899040915,0.7545979063444765,269.73960599313295,1.0,1.0492112168923478,0.7791768535354247,0.024875621890547265,0.48057258682689186,1.0391867819901408,358.203528663652,1.0,0.865991049055865,0.6431118633974945,clean,1.0,3
1.3096895688007197,45.9847036480041,1.0,30.0,0.014925373134328358,0.6353852243817045,1.1271196935556944,334.0410717487514,1.0,0.6743043444190152,0.5148581469091752,0.014925373134328358,0.22380086260145315,0.6879573001258114,227.8212577431612,1.0,1.0858887061992666,0.8291191531697185,0.03482587064676617,0.39716764078567657,1.0558398150487096,359.6973823595665,1.0,0.9125219280150432,0.6967467327777817,clean,1.0,4
