tile,section,pair,spearman_obs_vs_composition,median_abs_rel_gap,n_blocks
7352_t1,7352_liver_sham_Male_2-U1,Tgfb1->Tgfbr1/2,0.8440398293029872,0.09240744620138407,75
7352_t1,7352_liver_sham_Male_2-U1,Il1a->Il1r1,0.8383847007598394,0.18415659947941126,52
7352_t2,7352_liver_sham_Male_2-U1,Ccl2->Ccr2,0.9154039380925372,0.23584912916375872,42
7352_t2,7352_liver_sham_Male_2-U1,Tnf->Tnfrsf1a/1b,0.8361001317523056,0.24478327248403162,45
7352_t2,7352_liver_sham_Male_2-U1,Tgfb1->Tgfbr1/2,0.8965475346765212,0.08951526574136487,84
7352_t2,7352_liver_sham_Male_2-U1,Il1a->Il1r1,0.8668654394607208,0.13853151624103735,57
7435_t0,7435_liver_sham_Male_10-U1,Ccl2->Ccr2,0.8980614973262033,0.29708015372370594,33
7435_t0,7435_liver_sham_Male_10-U1,Tnf->Tnfrsf1a/1b,0.8818181818181818,0.11648945388278209,21
7435_t0,7435_liver_sham_Male_10-U1,Tgfb1->Tgfbr1/2,0.7733181698888986,0.09177059419636324,70
7435_t0,7435_liver_sham_Male_10-U1,Il1a->Il1r1,0.8322310744716849,0.16023273342031474,58
7435_t1,7435_liver_sham_Male_10-U1,Ccl2->Ccr2,0.9779411764705883,0.1262538609790206,17
7435_t1,7435_liver_sham_Male_10-U1,Tnf->Tnfrsf1a/1b,0.8346153846153845,0.1488855883125103,25
7435_t1,7435_liver_sham_Male_10-U1,Tgfb1->Tgfbr1/2,0.8724645734926371,0.09796927410374826,60
7435_t1,7435_liver_sham_Male_10-U1,Il1a->Il1r1,0.8810104529616726,0.12119460913931958,41
7435_t2,7435_liver_sham_Male_10-U1,Ccl2->Ccr2,0.9441558441558441,0.20901993460745621,21
7435_t2,7435_liver_sham_Male_10-U1,Tnf->Tnfrsf1a/1b,0.8428571428571429,0.2136352452785598,21
7435_t2,7435_liver_sham_Male_10-U1,Tgfb1->Tgfbr1/2,0.8938140207327202,0.06478964721897341,58
7435_t2,7435_liver_sham_Male_10-U1,Il1a->Il1r1,0.8775294472968892,0.09575030637299971,43
