sample,module,sender_call,celltype,n_cells,n_senders,prevalence,median_nn_um,med_d_sender_um,celltype_source,sender_source,module_source,condition,week,mouse,family,units,lam,pow_p,beta,d_half,d_05,amp,aic,delta_aic_vs_null,rss,k_params,se_lam_iid,ci_lam_iid_lo,ci_lam_iid_hi,ci_lam_blk_lo,ci_lam_blk_hi,ci_dhalf_blk_lo,ci_dhalf_blk_hi,se_ratio,lam_at_bound
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,exponential,um,42.349545764290575,,0.05950201076430461,29.400000000000002,127.0,0.9999985722522668,-808659.7733042344,-968.7787566714687,6191.9261306546505,3,5.853602357255321,30.876485144070145,53.822606384511005,11.466345324331046,399.9999999999999,8.0,191.20000000000002,14.690502920210323,0.0
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,gaussian,um,30.75732808842418,,0.0372726121482107,36.4,75.4,1.0,-808564.8196716184,-873.8251240554964,6194.53907797844,3,1.634826660814984,27.553067833226812,33.96158834362155,9.04131832602191,56.06456602861843,10.695000000000002,66.105,7.650184358306981,0.0
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,powerlaw,um,3.769762069685761,0.5,0.12219867234567684,9.200000000000001,230.0,0.918943445014605,-808696.1407216291,-1005.1461740662344,6190.870643381939,4,1.674387431986955,0.4879627029913296,7.051561436380193,3.0000000000000004,353.817443841317,7.6000000000000005,185.60999999999962,44.30685072827848,0.0
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,step,um,17.901628468571026,,0.02015583223545861,18.0,18.0,1.0,-808244.4725645828,-553.4780170199228,6203.362572283114,3,0.014899319555006401,17.872425802243214,17.93083113489884,11.233560322437711,45.46139677689064,11.4,45.6,751.4431900328724,0.0
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,spline,um,,,,87.60000000000001,269.2,0.25456986329474496,-808784.8491171779,-1093.8545696149813,6188.210994610148,8,,,,,,10.34,151.25999999999996,,0.0
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,exponential,um_covadj,327.0589920113759,,-0.0991470070076526,174.0,500.8,0.8249712193287876,-851845.561792775,-229.00396713614464,5110.550963668781,9,402.5656613934373,-461.9697043197612,1116.087688342513,182.47594099972002,399.9999999999999,118.685,191.20000000000002,0.1888379426495566,0.0
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,spline,um_covadj,,,,255.60000000000002,282.5,0.3547854947016243,-852011.8029272988,-395.24510165990796,5106.5505338557305,14,,,,,,244.085,273.23999999999995,,0.0
7250_liver_sham_Male_26-U1,il6_jak_stat3,tierA_p95,ALL,225060,11846,0.05000295475842739,9.672063399289872,30.806360244750977,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sham,26,7250,exponential,median_NN,4.378543028098857,,0.05950201076430459,3.2,13.200000000000001,1.0,-808659.7733042344,-968.7787566714687,6191.9261306546505,3,0.6052071947423708,3.19233692640381,5.5647491297939045,1.2655331080397036,41.356221882227125,1.0,28.8,15.067543470974723,0.0
