sample,module,sender_call,celltype,n_cells,n_senders,prevalence,median_nn_um,med_d_sender_um,celltype_source,sender_source,module_source,condition,week,mouse,family,units,lam,pow_p,beta,d_half,d_05,amp,aic,delta_aic_vs_null,rss,k_params,se_lam_iid,ci_lam_iid_lo,ci_lam_iid_hi,ci_lam_blk_lo,ci_lam_blk_hi,ci_dhalf_blk_lo,ci_dhalf_blk_hi,se_ratio,lam_at_bound
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,exponential,um,399.9999999999999,,0.253949526178607,191.20000000000002,511.40000000000003,0.7594915367916579,-477539.05250920553,-479.41482345672557,2339.119829830775,3,316.54875592898566,-220.435561620812,1020.4355616208118,399.9999999999999,399.9999999999999,191.20000000000002,191.20000000000002,0.10205910861397557,1.0
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,gaussian,um,129.78186087325474,,0.3574922419102142,152.8,317.8,0.9999352363835089,-477765.423383152,-705.7856974031893,2334.748394127823,3,10.989568622260089,108.24230637362497,151.32141537288453,107.96063730980363,163.16056777496436,127.235,191.95499999999996,1.4368880461361033,0.0
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,powerlaw,um,399.9999999999999,0.5,0.5219661435644495,193.4,518.2,0.3578387009320646,-477527.91412367416,-468.27643792534946,2339.296472472353,4,336.75692292101184,-260.0435689251833,1060.043568925183,399.9999999999999,399.9999999999999,193.4,193.4,0.0,1.0
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,step,um,78.2973528233773,,0.10645662720716706,78.4,78.4,1.0,-477430.3013197009,-370.6636339520919,2341.222827769267,3,0.10238048556433811,78.0966870716712,78.49801857508339,26.39602135167994,91.4545783378062,26.400000000000002,91.60000000000001,214.14158625367224,0.0
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,spline,um,,,,126.2,127.4,0.007489106860155975,-478028.41222498124,-968.7745392324287,2329.487586307477,8,,,,,,116.22,146.87,,0.0
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,exponential,um_covadj,6.088684190572042,,0.031495886291914486,4.4,18.400000000000002,1.0,-534146.3162668912,-77.95996386872139,1465.078441075988,9,1.248238392452239,3.6421369413656537,8.535231439778432,4.748713889190919,8.112559374061945,3.4000000000000004,5.800000000000001,0.679968319447726,0.0
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,spline,um_covadj,,,,,,-0.7038344451717722,-534516.5897248734,-448.2334218509495,1460.481891740133,14,,,,,,,,,0.0
7259_liver_sbr_Male_26-U1,tnfa_nfkb_proximal,tierA_p95,ALL,121016,6370,0.05000549510935268,6.744689781971417,23.24183940887451,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,26,7259,exponential,median_NN,59.30591516146547,,0.253949526178607,41.2,177.60000000000002,0.9999330244505868,-477539.05250920553,-479.41482345672557,2339.119829830775,3,46.93303415918591,-32.682831790538906,151.29466211346985,59.30591516146547,59.30591516146547,41.2,41.2,0.07228767141776135,0.0
