section,config,depth_decile,n,median_counts,mean_dz,mean_abs_dz,pct_called_committed,pct_called_alt,pct_flipped
7259_liver_sbr_Male_26-U1,lib,1,11585,160.0,0.3862,0.6678,5.896,9.814,6.249
7259_liver_sbr_Male_26-U1,lib,2,11456,243.0,0.208,0.5419,4.33,7.158,5.325
7259_liver_sbr_Male_26-U1,lib,3,11462,310.0,0.1358,0.4921,3.246,5.043,3.961
7259_liver_sbr_Male_26-U1,lib,4,11392,376.0,0.0929,0.4507,3.222,4.573,3.581
7259_liver_sbr_Male_26-U1,lib,5,11567,449.0,0.0582,0.4272,2.602,3.882,3.233
7259_liver_sbr_Male_26-U1,lib,6,11460,539.0,0.0063,0.4008,2.426,3.674,3.237
7259_liver_sbr_Male_26-U1,lib,7,11435,658.0,-0.0614,0.3773,2.317,2.545,2.344
7259_liver_sbr_Male_26-U1,lib,8,11423,851.0,-0.1435,0.3682,4.044,3.152,3.029
7259_liver_sbr_Male_26-U1,lib,9,11474,1325.0,-0.2961,0.3908,9.77,5.534,6.571
7259_liver_sbr_Male_26-U1,lib,10,11467,2648.0,-0.3905,0.4147,12.13,4.57,8.817
7352_liver_sham_Male_2-U1,lib,1,12317,183.0,0.7226,1.3647,2.184,3.442,5.626
7352_liver_sham_Male_2-U1,lib,2,12223,307.0,0.4024,1.2296,3.739,4.516,8.255
7352_liver_sham_Male_2-U1,lib,3,12254,414.0,0.259,1.1924,4.603,4.986,9.589
7352_liver_sham_Male_2-U1,lib,4,12212,526.0,0.1372,1.1828,5.527,6.502,12.029
7352_liver_sham_Male_2-U1,lib,5,12201,646.0,0.0463,1.1761,5.803,7.188,12.991
7352_liver_sham_Male_2-U1,lib,6,12242,782.0,-0.044,1.1719,5.971,7.254,13.225
7352_liver_sham_Male_2-U1,lib,7,12253,941.0,-0.1335,1.1525,6.121,6.57,12.691
7352_liver_sham_Male_2-U1,lib,8,12217,1148.0,-0.2607,1.1265,6.139,5.189,11.328
7352_liver_sham_Male_2-U1,lib,9,12232,1437.0,-0.4452,1.1018,5.665,3.229,8.895
7352_liver_sham_Male_2-U1,lib,10,12229,2047.0,-0.6892,1.0726,4.269,1.12,5.389
7239_liver_sbr_Male_52-U1,dca,1,7592,281.0,-0.3038,0.7788,2.384,0.382,2.345
7239_liver_sbr_Male_52-U1,dca,2,7548,433.0,-0.2444,0.7049,3.736,0.583,3.736
7239_liver_sbr_Male_52-U1,dca,3,7515,555.0,-0.1995,0.671,3.566,0.639,3.752
7239_liver_sbr_Male_52-U1,dca,4,7547,679.0,-0.1935,0.6397,3.233,0.689,3.26
7239_liver_sbr_Male_52-U1,dca,5,7493,822.0,-0.1185,0.6051,2.642,1.134,2.763
7239_liver_sbr_Male_52-U1,dca,6,7538,1017.0,-0.0289,0.5734,2.759,1.937,2.733
7239_liver_sbr_Male_52-U1,dca,7,7554,1320.0,0.1282,0.5344,3.614,3.495,4.064
7239_liver_sbr_Male_52-U1,dca,8,7521,1855.0,0.2912,0.5065,6.555,8.27,7.379
7239_liver_sbr_Male_52-U1,dca,9,7540,2758.0,0.3432,0.475,10.663,14.801,11.777
7239_liver_sbr_Male_52-U1,dca,10,7536,4457.0,0.3278,0.434,10.868,18.1,14.424
7259_liver_sbr_Male_26-U1,dca,1,11585,160.0,-0.2784,0.7632,5.896,0.216,5.87
7259_liver_sbr_Male_26-U1,dca,2,11456,243.0,-0.2556,0.7704,4.33,0.279,4.33
7259_liver_sbr_Male_26-U1,dca,3,11462,310.0,-0.2028,0.7327,3.246,0.349,3.298
7259_liver_sbr_Male_26-U1,dca,4,11392,376.0,-0.1985,0.7083,3.222,0.386,3.257
