section,config,cell_type,bg_pct,call_pct_committed,call_pct_alt,enrich_committed,enrich_alt
7259_liver_sbr_Male_26-U1,lib,T/NK cells,5.498,0.75,1.883,0.136,0.342
7259_liver_sbr_Male_26-U1,lib,DC,2.412,0.105,0.244,0.043,0.101
7259_liver_sbr_Male_26-U1,lib,B-cells,0.673,0.105,0.296,0.155,0.44
7259_liver_sbr_Male_26-U1,lib,Proliferating,0.588,1.29,0.471,2.196,0.801
7352_liver_sham_Male_2-U1,lib,Hepatocytes,60.851,97.238,85.516,1.598,1.405
7352_liver_sham_Male_2-U1,lib,LSECs,13.108,0.932,5.934,0.071,0.453
7352_liver_sham_Male_2-U1,lib,Kupffer cells,7.361,0.245,2.207,0.033,0.3
7352_liver_sham_Male_2-U1,lib,Hepatic stellate cells,6.95,0.49,3.319,0.071,0.478
7352_liver_sham_Male_2-U1,lib,vSMCs,3.378,0.18,0.474,0.053,0.14
7352_liver_sham_Male_2-U1,lib,Biliary/ductular,3.362,0.523,1.144,0.156,0.34
7352_liver_sham_Male_2-U1,lib,T/NK cells,2.509,0.229,0.915,0.091,0.365
7352_liver_sham_Male_2-U1,lib,DC,1.503,0.065,0.229,0.044,0.152
7352_liver_sham_Male_2-U1,lib,B-cells,0.572,0.065,0.229,0.114,0.4
7352_liver_sham_Male_2-U1,lib,Proliferating,0.407,0.033,0.033,0.08,0.08
7239_liver_sbr_Male_52-U1,dca,Hepatocytes,36.134,71.512,99.973,1.979,2.767
7239_liver_sbr_Male_52-U1,dca,Biliary/ductular,22.2,26.552,0.0,1.196,0.0
7239_liver_sbr_Male_52-U1,dca,Hepatic stellate cells,11.509,0.557,0.0,0.048,0.0
7239_liver_sbr_Male_52-U1,dca,LSECs,10.131,0.292,0.0,0.029,0.0
7239_liver_sbr_Male_52-U1,dca,Kupffer cells,9.036,0.265,0.0,0.029,0.0
7239_liver_sbr_Male_52-U1,dca,T/NK cells,3.007,0.212,0.0,0.071,0.0
7239_liver_sbr_Male_52-U1,dca,DC,2.7,0.053,0.027,0.02,0.01
7239_liver_sbr_Male_52-U1,dca,vSMCs,2.217,0.053,0.0,0.024,0.0
7239_liver_sbr_Male_52-U1,dca,B-cells,1.208,0.053,0.0,0.044,0.0
7239_liver_sbr_Male_52-U1,dca,Proliferating,0.919,0.345,0.0,0.375,0.0
7239_liver_sbr_Male_52-U1,dca,Central venous LSECs,0.877,0.106,0.0,0.121,0.0
7239_liver_sbr_Male_52-U1,dca,Mesothelial cells,0.062,0.0,0.0,0.0,0.0
7259_liver_sbr_Male_26-U1,dca,Biliary/ductular,28.595,28.365,0.017,0.992,0.001
7259_liver_sbr_Male_26-U1,dca,Hepatocytes,26.24,64.505,99.965,2.458,3.81
7259_liver_sbr_Male_26-U1,dca,Hepatic stellate cells,13.179,1.22,0.0,0.093,0.0
7259_liver_sbr_Male_26-U1,dca,Kupffer cells,11.517,0.872,0.0,0.076,0.0
7259_liver_sbr_Male_26-U1,dca,LSECs,11.3,2.789,0.0,0.247,0.0
7259_liver_sbr_Male_26-U1,dca,T/NK cells,5.498,0.75,0.0,0.136,0.0
