module,n_on_panel,B1,B2,B3,B4,B5,B6,B7
B1_tnfa_nfkb_proximal,116,116,15,21,5,13,2,25
B2_il6_jak_stat3,71,15,71,22,1,6,1,16
B3_interferon_response,122,21,22,122,3,4,1,13
B4_downstream_arrest,231,5,1,3,231,3,0,6
B5_emt_ecm,104,13,6,4,3,104,0,17
B6_oxidative_stress,36,2,1,1,0,0,36,0
B7_secondary_senescence,113,25,16,13,6,17,0,113
