module,n_on_panel,B1,B2,B3,B4,B5,B6,B7
B1_tnfa_nfkb_proximal,126,126,15,19,6,16,4,14
B2_il6_jak_stat3,68,15,68,21,1,6,1,3
B3_interferon_response,100,19,21,100,3,5,2,4
B4_downstream_arrest,190,6,1,3,190,2,0,11
B5_emt_ecm,125,16,6,5,2,125,0,8
B6_oxidative_stress,31,4,1,2,0,0,31,2
B7_secondary_senescence,38,14,3,4,11,8,2,38
