section,call,sender_module,n,n_senders,prevalence,median_nn_um,d_p50,d_p75,d_p90,d_p95,d_p99,d_max,frac_gt_80,frac_gt_100,frac_gt_150
SPLN07,tierA_p90,,186278,20701,0.09104943701618579,6.111582961374253,12.99614170278194,18.377480294791273,24.07173927024054,27.97300542302933,37.28874750110411,607.230681993076,0.00013420801168146534,5.368320467258614e-05,3.7578243270810294e-05
SPLN07,tierA_p95,,196624,10355,0.0455445109078114,6.111582961374253,18.14529634946159,25.95580503594402,34.36940759446011,40.16319624573491,53.457456924771016,617.6062069135253,0.001073114167141346,0.00018309056880136707,4.068679306697046e-05
SPLN07,tierA_p99,,204903,2076,0.009130893736805068,6.111582961374253,40.10967027906946,57.50409147730277,75.4933261510188,88.168742281786,119.09558586598006,628.5291581910789,0.07824189982577122,0.02684684948487821,0.0025036236658321255
SPLN07,cdkn1a_pos,,202944,4035,0.017747185080928922,6.111582961374253,30.35306466847255,43.99490344706949,58.56620541891126,68.2898943339774,88.49390948849806,644.8524446317272,0.019734508041627248,0.0037695127719962157,0.00010347682119205298
SPLN07,senepy_p95,,197180,9799,0.043099049964813514,6.111582961374253,20.262837504796096,30.753336163124708,43.61576273942119,53.1151672810636,76.12724266456743,624.1229905610024,0.0077188355817019985,0.0023126077695506645,0.00029921898772695
SPLN07,senepy_p99,,205015,1964,0.008638282899366643,6.111582961374253,46.31634086651887,71.9891778518685,102.9820371302354,123.86768620595224,172.19879134730837,648.6632314182466,0.19831231861083334,0.10954808184766968,0.020632636636343682
SPLN07,tierApm_p90,downstream_arrest,186284,20695,0.09102304714989444,6.111582961374253,13.025227307685212,18.426465736874515,24.150288931025948,28.100372649800754,37.47150654159149,607.230681993076,0.00012883554143136287,3.757703291748084e-05,3.220888535784072e-05
SPLN07,tierApm_p90,emt_ecm,186290,20689,0.0909966572836031,6.111582961374253,13.083364628984235,18.507661767992516,24.261524948749496,28.13882821446451,37.20941200393325,607.230681993076,0.0002683987331579795,6.978367062107467e-05,4.831177196843631e-05
SPLN07,tierApm_p90,il6_jak_stat3,186276,20703,0.0910582336382829,6.111582961374253,13.090891574150564,18.52030052973688,24.26666440429254,28.19325079979045,37.16589709834462,612.1069546334624,0.00019326161180184241,5.905215916167408e-05,4.8315402950460604e-05
SPLN07,tierApm_p90,interferon_response,186293,20686,0.09098346235045743,6.111582961374253,13.097456698742008,18.516799590924553,24.269689822883443,28.18237702214426,37.45241519987856,612.1069546334624,0.0002308191934211162,6.441465862914871e-05,4.831099397186153e-05
