section,module,n_cells,n_p95_flag_diff_rounded_vs_committed,frac
SPLN14,downstream_arrest,283628,5,1.7628724949581846e-05
SPLN14,emt_ecm,283628,6,2.1154469939498215e-05
SPLN14,il6_jak_stat3,283628,16,5.641191983866191e-05
SPLN14,interferon_response,283628,8,2.8205959919330955e-05
SPLN14,oxidative_stress,283628,11,3.8783194889080064e-05
SPLN14,secondary_senescence,283628,16,5.641191983866191e-05
SPLN14,tnfa_nfkb_proximal,283628,19,6.698915480841102e-05
SPLN14,tierA_p90,283628,4,1.4102979959665478e-05
SPLN14,tierA_p95,283628,6,2.1154469939498215e-05
SPLN14,tierA_p99,283628,0,0.0
