section,call,celltype,module,n,lam_naive,beta_naive,sd_y,beta_n6n5_noanat,sf_n6n5_noanat,beta_n2n5n6_noanat,sf_n2n5n6_noanat
SPLN07,tierAmg_p95,B cells,downstream_arrest,35179,49.99999999999999,0.0013284867622241666,0.007219682773837678,-0.0002459947914702106,-0.18516917026584706,-0.00024008048886081705,-0.1807172609374532
SPLN07,tierAmg_p95,B cells,emt_ecm,35179,49.99999999999999,-0.0019933892668874,0.007915874918046548,0.00021349526536374822,-0.10710164287034252,0.00019427723125522433,-0.09746075916149617
SPLN07,tierAmg_p95,B cells,il6_jak_stat3,35179,49.99999999999999,-0.00010174164228144372,0.011158594216497576,0.0010212131920562322,-10.037317750693392,0.00100468299635536,-9.874845479456159
SPLN07,tierAmg_p95,B cells,interferon_response,35179,49.99999999999999,0.000151860256384214,0.009375185886403842,0.0004241291743875027,2.792891204624565,0.000418799326870525,2.7577941512948714
SPLN07,tierAmg_p95,B cells,oxidative_stress,35179,6.999999999999999,-0.00037575143709243,0.018853514684232398,-3.719971196013062e-05,0.09900085079642683,-7.102906158937187e-05,0.18903204240280694
SPLN07,tierAmg_p95,B cells,secondary_senescence,35179,49.99999999999999,-0.0007787856545124693,0.005998594326904157,0.0002582191725017611,-0.33156642139666775,0.00022826512091419872,-0.2931039106737217
SPLN07,tierAmg_p95,B cells,tnfa_nfkb_proximal,35179,42.688404342619755,0.0005423355461870742,0.007165619691967037,0.0005165996779503144,0.952546226376461,0.0005102984911703442,0.9409276134637151
SPLN07,tierAmg_p95,Endothelial,downstream_arrest,37376,49.99999999999999,-0.00021756491286468692,0.0061393730844911945,-0.0003699467317463608,1.7003970303632863,-0.0003748265178276119,1.7228261344729459
SPLN07,tierAmg_p95,Endothelial,emt_ecm,37376,49.99999999999999,-0.0003315505324661375,0.009968131941176604,0.0004469904165324749,-1.3481818690130674,0.0004559134642126798,-1.3750949540678055
SPLN07,tierAmg_p95,Endothelial,il6_jak_stat3,37376,6.999999999999999,-0.0009752641480762855,0.011482446226289267,-0.0003086856959819162,0.31651496324436884,-0.0002944239328077543,0.3018914756463747
SPLN07,tierAmg_p95,Endothelial,interferon_response,37376,49.99999999999999,-0.0003059208231785716,0.007911511139365557,0.00018438076518250004,-0.6027074694254259,0.00019408518510383163,-0.6344294680148025
SPLN07,tierAmg_p95,Endothelial,oxidative_stress,37376,6.999999999999999,-0.0021528038980744386,0.019094219382326565,-0.0012949628350267944,0.6015238248988054,-0.0012820325691589966,0.5955175807260951
SPLN07,tierAmg_p95,Endothelial,secondary_senescence,37376,49.99999999999999,-0.000782956453909872,0.007367180004729054,0.00013289081119800518,-0.16972950479478716,0.00014091060118272288,-0.17997246268174122
SPLN07,tierAmg_p95,Endothelial,tnfa_nfkb_proximal,37376,6.999999999999999,0.00045184067313802574,0.0073551120616936515,0.0005878578412855148,1.3010290490292786,0.0005903659041546289,1.3065798172938876
SPLN07,tierAmg_p95,Erythroid cells,downstream_arrest,9733,49.99999999999999,-0.001147972547079529,0.015346729114969634,0.0008993644313834897,-0.7834372291144901,0.000946594685428374,-0.8245795492553674
SPLN07,tierAmg_p95,Erythroid cells,emt_ecm,9733,6.999999999999999,-0.0009224222217765102,0.010036791180949797,-0.0011016577113060284,1.1943095962978052,-0.0010846167242266928,1.175835423975161
SPLN07,tierAmg_p95,Erythroid cells,il6_jak_stat3,9733,6.999999999999999,0.0012842877955120161,0.013996449677904558,0.0012105957409476106,0.9426202952158195,0.0011848255331885508,0.9225545374868163
SPLN07,tierAmg_p95,Erythroid cells,interferon_response,9733,49.99999999999999,0.00035195709874497305,0.009252780570414062,-0.00021556194387154306,-0.6124665325410542,-0.00022914287018853863,-0.6510534124915457
SPLN07,tierAmg_p95,Erythroid cells,oxidative_stress,9733,6.999999999999999,0.003717281178178803,0.021549611746566173,0.004594617683956536,1.236015642542156,0.004621116658373385,1.2431442328065685
SPLN07,tierAmg_p95,Erythroid cells,secondary_senescence,9733,49.99999999999999,0.00015395480027098155,0.007272440128456346,-0.0002557151220822143,-1.6609753098449715,-0.0002593665125515759,-1.6846925987046544
SPLN07,tierAmg_p95,Erythroid cells,tnfa_nfkb_proximal,9733,49.99999999999999,0.0015583591719625998,0.008568144108025621,0.000798736130411743,0.5125494460983687,0.0008211348861737746,0.5269227408849759
SPLN07,tierAmg_p95,Mono/Mac/DC,downstream_arrest,33621,49.99999999999999,0.0005668548275898944,0.0060765948492849005,0.0003030906459267956,0.5346883032035749,0.00029837066245352845,0.5263616854461939
SPLN07,tierAmg_p95,Mono/Mac/DC,emt_ecm,33621,49.99999999999999,-0.002125616877506911,0.010831026813224317,-0.0006511436500903912,0.30633161459185587,-0.0006618098899761195,0.3113495649095248
SPLN07,tierAmg_p95,Mono/Mac/DC,il6_jak_stat3,33621,49.99999999999999,-0.0018762527891639292,0.015079738868254238,-0.0001655832429524657,0.08825209689694889,-0.00015719938571033754,0.0837836919514383
SPLN07,tierAmg_p95,Mono/Mac/DC,interferon_response,33621,17.63176339457748,-0.0002250041459656633,0.010599305955308521,0.00011868015260147416,-0.5274576256900854,0.00011757749530925665,-0.5225570169146996
SPLN07,tierAmg_p95,Mono/Mac/DC,oxidative_stress,33621,6.999999999999999,-0.003813875173207358,0.023078597448544718,-0.0011736714958974093,0.3077372600295111,-0.001160934213004483,0.3043975380107081
SPLN07,tierAmg_p95,Mono/Mac/DC,secondary_senescence,33621,49.99999999999999,-0.00044380988411353816,0.008116422580046431,-0.0002298765857570686,0.517961843540781,-0.00023202805099739948,0.5228095617132327
SPLN07,tierAmg_p95,Mono/Mac/DC,tnfa_nfkb_proximal,33621,6.999999999999999,0.00024860189525922487,0.007937670014942666,0.00017809007129394503,0.7163665068130113,0.00018210541877975814,0.7325182239253293
SPLN07,tierAmg_p95,Neutrophils,downstream_arrest,23104,6.999999999999999,-0.0001567567653694775,0.007939906394531418,0.0002293839229761313,-1.4633111523797444,0.0002539751416258636,-1.6201861592846807
SPLN07,tierAmg_p95,Neutrophils,emt_ecm,23104,49.99999999999999,0.00041267384475235277,0.009192945009972812,-7.201146683432535e-05,-0.1744997114550347,-7.686842728171544e-05,-0.18626920086938026
SPLN07,tierAmg_p95,Neutrophils,il6_jak_stat3,23104,27.789796805467713,0.0015724993392525195,0.01808652256781481,0.0008220822365898231,0.5227870155930215,0.0007984029143352727,0.5077286167349297
SPLN07,tierAmg_p95,Neutrophils,interferon_response,23104,8.821564450883502,0.0011109859628236885,0.009783271798489455,0.0006670084913734707,0.6003752645786793,0.0006554226948193736,0.5899468730941905
SPLN07,tierAmg_p95,Neutrophils,oxidative_stress,23104,6.999999999999999,-0.0034462102876671136,0.02999110107396864,-0.0015156298978913577,0.439796115552006,-0.0015149140405037972,0.43958839248005
SPLN07,tierAmg_p95,Neutrophils,secondary_senescence,23104,13.180610294056002,0.0006549080348857806,0.00897773168376011,0.0005019782789823968,0.766486670254312,0.0005010825934655189,0.7651190194252394
SPLN07,tierAmg_p95,Neutrophils,tnfa_nfkb_proximal,23104,14.391195591389602,0.0005698585033288192,0.011272856511281624,3.328089125868934e-05,0.058402026229808904,3.444231045941775e-05,0.06044010970832856
SPLN07,tierAmg_p95,Plasma cells,downstream_arrest,4497,49.99999999999999,-0.0008832603502277682,0.008499684957706533,-0.0014536982325737832,1.645832094918463,-0.0014098104959409435,1.596143759399358
SPLN07,tierAmg_p95,Plasma cells,emt_ecm,4497,49.99999999999999,-0.0015917968845850193,0.00991793399141636,-0.0019479184057770956,1.2237229665673814,-0.0019374314525490493,1.2171348438429297
SPLN07,tierAmg_p95,Plasma cells,il6_jak_stat3,4497,9.438668485693068,-0.00254248508330864,0.013202291805518719,-0.0022792249371334037,0.8964555788729958,-0.0022933863322783126,0.9020254818147586
SPLN07,tierAmg_p95,Plasma cells,interferon_response,4497,6.999999999999999,-0.002681958700127554,0.010235737979578897,-0.0026125282701491863,0.9741120435691029,-0.002657510277408472,0.9908841166279261
SPLN07,tierAmg_p95,Plasma cells,oxidative_stress,4497,49.99999999999999,0.0013844298518276394,0.020253868044064746,0.0003350347326785137,0.24200195642720457,0.0003191601845934439,0.23053546857004578
SPLN07,tierAmg_p95,Plasma cells,secondary_senescence,4497,6.999999999999999,0.0006411469143534641,0.007263290391348385,0.0006866031941872924,1.0708983835314354,0.0006775135640331476,1.0567212426131003
SPLN07,tierAmg_p95,Plasma cells,tnfa_nfkb_proximal,4497,6.999999999999999,-0.00024357316933393754,0.008755432655332263,-1.762804571755848e-05,0.07237269098958318,-5.5065958454991015e-05,0.22607563306570877
SPLN07,tierAmg_p95,Stromal,downstream_arrest,25703,32.3133500834274,0.001805692692761825,0.006224749293153806,3.441116291284625e-06,0.0019057042790716528,-4.003944680358063e-06,-0.0022174009433653906
SPLN07,tierAmg_p95,Stromal,emt_ecm,25703,49.99999999999999,-0.02684689299234937,0.020784136646765473,0.00046978472178330836,-0.017498662579583574,0.0004795276620742765,-0.01786157013442594
SPLN07,tierAmg_p95,Stromal,il6_jak_stat3,25703,49.99999999999999,0.005519009647451581,0.013442132479493803,-0.0008915871764865231,-0.16154839970214876,-0.0008909692058596949,-0.16143642841267772
SPLN07,tierAmg_p95,Stromal,interferon_response,25703,49.99999999999999,0.003039550806488353,0.00950556413740794,-0.0006163469030220315,-0.20277565412177073,-0.0006115893501718936,-0.20121043835370978
SPLN07,tierAmg_p95,Stromal,oxidative_stress,25703,49.99999999999999,0.003436811075593793,0.017703749443454354,0.00019898779187639974,0.05789896142080482,0.00019941997734703536,0.058024713305656665
SPLN07,tierAmg_p95,Stromal,secondary_senescence,25703,6.999999999999999,-0.0029899285085754745,0.009823387985017064,-0.0011118075624711645,0.3718508851574099,-0.0011080132286237368,0.3705818468387527
