section,module,n_cells,n_p95_flag_diff_rounded_vs_committed,frac
SPLN21,downstream_arrest,196142,3,1.529504134759511e-05
SPLN21,emt_ecm,196142,6,3.059008269519022e-05
SPLN21,il6_jak_stat3,196142,12,6.118016539038043e-05
SPLN21,interferon_response,196142,9,4.5885124042785326e-05
SPLN21,oxidative_stress,196142,3,1.529504134759511e-05
SPLN21,secondary_senescence,196142,12,6.118016539038043e-05
SPLN21,tnfa_nfkb_proximal,196142,4,2.0393388463460146e-05
SPLN21,tierA_p90,196142,11,5.60818182745154e-05
SPLN21,tierA_p95,196142,8,4.078677692692029e-05
SPLN21,tierA_p99,196142,1,5.0983471158650365e-06
