section,arm,call,celltype,module,design,n,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,naive,35179,exponential,49.99999999999999,,0.0013284867622242358,1.8328218577286393,-346939.53377308894,-346927.37653947633,-12.15723361261189,34.800000000000004,149.8,1,3,49.99999999999999,49.99999999999999,step,14.862530481012072,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,naive,35179,gaussian,49.99999999999999,,0.0029536328988121383,1.832321171610881,-346949.14520538785,-346927.37653947633,-21.76866591151338,59.0,122.4,1,3,40.868941774896264,49.99999999999999,step,5.2510981821105815,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,naive,35179,powerlaw,49.99999999999999,0.5,0.0029032332953148055,1.8328275286427491,-346937.42492629733,-346927.37653947633,-10.04838682099944,71.4,439.0,1,4,49.99999999999999,49.99999999999999,step,16.971377272624522,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,naive,35179,step,35.13265199376635,,0.0011587180005130594,1.8320476851472725,-346954.39630356996,-346927.37653947633,-27.019764093623962,35.2,35.2,0,3,20.177866835741543,38.85968176362148,step,0.0,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,naive,35179,spline,,,,1.8317793780659046,-346949.54871642654,-346927.37653947633,-22.17217695020372,,,0,8,,,step,4.847587143420242,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,ctrl,35179,exponential,49.99999999999999,,-0.0002622488653083326,1.726378123820682,-348998.33323854767,-349001.70848087955,3.3752423318801448,34.800000000000004,149.8,1,26,6.999999999999999,49.99999999999999,step,3.8315094401477836,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,ctrl,35179,gaussian,14.911122358641625,,-0.00011724138343059928,1.7263757932973285,-348998.38072845456,-349001.70848087955,3.3277524249861017,17.6,36.6,0,26,6.999999999999999,49.99999999999999,step,3.7840195332537405,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,ctrl,35179,powerlaw,49.99999999999999,0.5,-0.0005767235550986666,1.7263779458622164,-348996.33686486864,-349001.70848087955,5.371616010903381,71.4,439.0,1,27,6.999999999999999,49.99999999999999,step,5.82788311917102,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,ctrl,35179,step,7.361938632551805,,-0.00023763389986284145,1.7261901061431935,-349002.1647479878,-349001.70848087955,-0.45626710826763883,7.4,7.4,0,26,7.361938632551805,45.262936026887,step,0.0,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,downstream_arrest,ctrl,35179,spline,,,,1.726107468683698,-348993.8489036118,-349001.70848087955,7.859577267721761,,,0,31,,,step,8.3158443759894,0.007219682773837678
SPLN07,?,tierAmg_p95,B cells,emt_ecm,naive,35179,exponential,49.99999999999999,,-0.001993389266887429,2.2024582666914636,-340476.54102800845,-340450.27452541183,-26.266502596612554,34.800000000000004,149.8,1,3,28.716686174618605,49.99999999999999,gaussian,3.9694652491016313,0.007915874918046548
