subset,n,slope,intercept,r2,ratio_median
ALL sections x ALL sender definitions,70,-0.5123556819735169,-0.8471287473621255,0.9782548610866179,0.9785021684121958
cdkn1a_pos only (across sections),7,-0.4722675169145874,-0.5274633838224292,0.9970583840964309,1.0024074163284495
tierA percentile calls,42,-0.4976665114113787,-0.7743106623869862,0.9987596449371855,0.9630928184750701
in-band sections only,70,-0.5123556819735169,-0.8471287473621255,0.9782548610866179,0.9785021684121958
