section,module,n_cells,n_p95_flag_diff_rounded_vs_committed,frac
SPLN43,downstream_arrest,270472,4,1.4788961519122128e-05
SPLN43,emt_ecm,270472,4,1.4788961519122128e-05
SPLN43,il6_jak_stat3,270472,14,5.1761365316927446e-05
SPLN43,interferon_response,270472,10,3.697240379780532e-05
SPLN43,oxidative_stress,270472,11,4.066964417758585e-05
SPLN43,secondary_senescence,270472,14,5.1761365316927446e-05
SPLN43,tnfa_nfkb_proximal,270472,14,5.1761365316927446e-05
SPLN43,tierA_p90,270472,3,1.1091721139341595e-05
SPLN43,tierA_p95,270472,5,1.848620189890266e-05
SPLN43,tierA_p99,270472,3,1.1091721139341595e-05
