section,arm,week,call,null,scope,n_senders,n_cells,occ_frac_bbox,tissue_frac_bbox,n_solid_tiles,tile_cell_coverage,tile_sender_coverage,real_median_nbrs,null_median_nbrs,frac_retaining_a_neighbour,frac_in_occupancy,median_displacement_um,n_admissible_moves,n_candidate_moves
SPLN07,?,,tierAmg_p95,N3_orig,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,323.9,0.7193054482225656,0.6257100077279751,1855.7223073252032,,
SPLN07,?,,tierAmg_p95,N3_tile,solid tiles,3676,227360,0.6253,0.6428,4,0.357,0.3551,465.0,441.45,1.0,0.9783868335146897,555.2841165191869,,
SPLN07,?,,tierAmg_p95,N3_occ,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,444.55,0.9979231066460587,0.9694744976816075,98.19554847437381,95.0,41832.0
SPLN07,?,,tierAmg_p95,N3_occ15,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,430.55,0.9474642581143741,0.8868141421947451,349.4613741403528,942.0,41832.0
SPLN07,?,,tierAmg_p95,N3_swap,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,442.975,1.0,1.0,2141.5314508919255,,
SPLN07,?,,tierAmg_p95,N3_snap,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,333.15,1.0,1.0,2328.2435290494604,,
SPLN07,?,,tierAmg_p95,N4_orig,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,411.9,0.8675376738794437,0.789060085007728,2140.691428312487,,
SPLN07,?,,tierAmg_p95,N4_tile,solid tiles,3676,227360,0.6253,0.6428,4,0.357,0.3551,465.0,441.875,1.0,0.9790669205658323,681.2234391328486,,
SPLN07,?,,tierAmg_p95,N4_occ,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,445.95,0.9977733771251931,0.9741644126738794,59.64064721779537,16.0,720.0
SPLN07,?,,tierAmg_p95,N4_occ15,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,433.475,0.9630457882534775,0.908196483771252,1131.0065878729445,112.0,720.0
SPLN07,?,,tierAmg_p95,N4_swap,whole section,10352,227360,0.6253,0.6428,4,0.357,0.3551,446.0,416.5,1.0,1.0,1798.6466484404125,,
SPLN14,?,,tierAmg_p95,N3_orig,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,410.75,0.8012142611091975,0.7166035136066138,2220.2379369821324,,
SPLN14,?,,tierAmg_p95,N3_tile,solid tiles,7119,283628,0.7164,0.7336,8,0.6062,0.6131,477.0,456.5,1.0,0.9850189633375475,639.742519669391,,
SPLN14,?,,tierAmg_p95,N3_occ,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,454.25,0.9958146744746813,0.9659145711333105,120.72156631551627,152.0,43811.0
SPLN14,?,,tierAmg_p95,N3_occ15,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,438.3,0.9409447123665174,0.8867507750602824,492.99211334379044,1785.0,43811.0
SPLN14,?,,tierAmg_p95,N3_swap,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,455.625,1.0,1.0,2261.0956858249365,,
SPLN14,?,,tierAmg_p95,N3_snap,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,414.45,1.0,1.0,2224.361548632646,,
SPLN14,?,,tierAmg_p95,N4_orig,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,433.4,0.9059292111608681,0.8545427144333446,1839.6800682019098,,
SPLN14,?,,tierAmg_p95,N4_tile,solid tiles,7119,283628,0.7164,0.7336,8,0.6062,0.6131,477.0,461.7,1.0,0.9858055906728472,561.4659029487455,,
SPLN14,?,,tierAmg_p95,N4_occ,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,455.9,0.9945530485704444,0.9696994488460213,107.58626544178624,25.0,720.0
SPLN14,?,,tierAmg_p95,N4_occ15,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,439.15,0.9322984843265587,0.8857733379262832,2008.9955315350162,434.0,720.0
SPLN14,?,,tierAmg_p95,N4_swap,whole section,11612,283628,0.7164,0.7336,8,0.6062,0.6131,458.0,431.7,1.0,1.0,2317.758196782967,,
SPLN21,?,,tierAmg_p95,N3_orig,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,387.8,0.8188378631677601,0.6791119962511715,1633.0664159877026,,
SPLN21,?,,tierAmg_p95,N3_tile,solid tiles,3780,196142,0.6567,0.6887,4,0.4408,0.4428,483.0,477.9,1.0,0.9817592592592591,497.48377931730585,,
SPLN21,?,,tierAmg_p95,N3_occ,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,476.525,0.9998125585754452,0.9711457357075911,65.24063203443852,61.0,32289.0
SPLN21,?,,tierAmg_p95,N3_occ15,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,467.95,0.9666881443298969,0.8967022024367385,311.8978201456513,1123.0,32289.0
SPLN21,?,,tierAmg_p95,N3_swap,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,478.9,1.0,1.0,1837.221166417024,,
SPLN21,?,,tierAmg_p95,N3_snap,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,388.55,1.0,1.0,1760.4205398322629,,
SPLN21,?,,tierAmg_p95,N4_orig,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,457.45,0.9239690721649486,0.8314198687910028,1791.1584943374746,,
SPLN21,?,,tierAmg_p95,N4_tile,solid tiles,3780,196142,0.6567,0.6887,4,0.4408,0.4428,483.0,478.45,1.0,0.9858862433862436,637.3747854542175,,
SPLN21,?,,tierAmg_p95,N4_occ,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,476.6,0.9994201030927835,0.9797563261480787,41.48245748735622,17.0,720.0
SPLN21,?,,tierAmg_p95,N4_occ15,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,464.7,0.9519798500468604,0.8760777881911903,1669.7980663796575,360.0,720.0
SPLN21,?,,tierAmg_p95,N4_swap,whole section,8536,196142,0.6567,0.6887,4,0.4408,0.4428,476.0,462.675,1.0,1.0,1523.0810351118566,,
SPLN24,?,,tierAmg_p95,N3_orig,whole section,16482,393202,0.7091,0.7183,7,0.5288,0.5314,639.0,546.7,0.7768110666181287,0.6980706224972697,2353.2494182213045,,
SPLN24,?,,tierAmg_p95,N3_tile,solid tiles,8759,393202,0.7091,0.7183,7,0.5288,0.5314,671.0,647.05,1.0,0.9925391026372875,464.8532960938178,,
SPLN24,?,,tierAmg_p95,N3_occ,whole section,16482,393202,0.7091,0.7183,7,0.5288,0.5314,639.0,631.925,0.9957104720300934,0.9698701613881809,110.05071907763401,157.0,44800.0
SPLN24,?,,tierAmg_p95,N3_occ15,whole section,16482,393202,0.7091,0.7183,7,0.5288,0.5314,639.0,602.85,0.9359361727945638,0.8788223516563523,930.3794136308452,4241.0,44800.0
SPLN24,?,,tierAmg_p95,N3_swap,whole section,16482,393202,0.7091,0.7183,7,0.5288,0.5314,639.0,627.3,1.0,1.0,2277.95740359537,,
SPLN24,?,,tierAmg_p95,N3_snap,whole section,16482,393202,0.7091,0.7183,7,0.5288,0.5314,639.0,560.95,1.0,1.0,1854.389790029559,,
SPLN24,?,,tierAmg_p95,N4_orig,whole section,16482,393202,0.7091,0.7183,7,0.5288,0.5314,639.0,592.7,0.8640577599805848,0.8098774420580026,2244.7086346216047,,
