section,arm,week,band,call,n_cells,area_um2,median_depth,median_nn_um,n_senders,sender_prevalence,sender_density_per_um2,median_d_um,iqr_d_um,p90_d_um,poisson_median_pred_um,obs_over_poisson
SPLN07,?,,in_band,tierA_p90,227360,16768125.0,83.0,6.111582961374253,20701,0.09104943701618579,0.0012345447090834545,12.99614170278194,9.661280444634965,24.07173927024054,13.368552407037974,0.9721427800918838
SPLN07,?,,in_band,tierA_p95,227360,16768125.0,83.0,6.111582961374253,10355,0.0455445109078114,0.000617540720861754,18.14529634946159,14.091094904143333,34.36940759446011,18.901879664053222,0.9599731175926133
SPLN07,?,,in_band,tierA_p99,227360,16768125.0,83.0,6.111582961374253,2076,0.009130893736805068,0.00012380632897238063,40.10967027906946,31.764898380467756,75.4933261510188,42.214958920411874,0.9501293215679417
SPLN07,?,,in_band,cdkn1a_pos,227360,16768125.0,83.0,6.111582961374253,4035,0.017747185080928922,0.0002406351336240635,30.35306466847255,24.67094235859188,58.56620541891126,30.280167698327407,1.0024074163284495
SPLN07,?,,in_band,senepy_p90,227360,16768125.0,83.0,6.111582961374253,19596,0.08618930330752991,0.0011686458682768645,14.235082870975939,11.335951891969007,29.10386417023021,13.740303643427927,1.036009337230671
SPLN07,?,,in_band,senepy_p95,227360,16768125.0,83.0,6.111582961374253,9799,0.043099049964813514,0.0005843825710984382,20.262837504796096,17.783584715704105,43.61576273942119,19.430732222709782,1.0428241855504439
SPLN07,?,,in_band,senepy_p99,227360,16768125.0,83.0,6.111582961374253,1964,0.008638282899366643,0.0001171269894517127,46.31634086651887,43.835200283243786,102.9820371302354,43.40195615136031,1.067148694980358
SPLN07,?,,in_band,tierAmg_p90,227360,16768125.0,83.0,6.111582961374253,20701,0.09104943701618579,0.0012345447090834545,12.998001886191723,9.660716572691566,24.06235811383556,13.368552407037974,0.9722819263025687
SPLN07,?,,in_band,tierAmg_p95,227360,16768125.0,83.0,6.111582961374253,10352,0.045531315974665726,0.0006173618099817362,18.14781800796207,14.11392220413457,34.38639787286763,18.90461833925014,0.9599674366492348
SPLN07,?,,in_band,tierAmg_p99,227360,16768125.0,83.0,6.111582961374253,2074,0.009122097114707952,0.0001236870550523687,40.23996762785003,31.888187647407083,75.5672240555847,42.23530838359441,0.9527565718800473
SPLN14,?,,in_band,tierA_p90,283628,20036250.0,64.0,6.118373517152401,19354,0.06823726853484141,0.0009659492170441075,14.787527922125513,11.333066450847388,27.85535248063298,15.113346755700166,0.9784416490376782
SPLN14,?,,in_band,tierA_p95,283628,20036250.0,64.0,6.118373517152401,9680,0.034129211502390455,0.00048312433713893567,20.726404036286525,16.143792440532163,39.163506942918275,21.370187688816017,0.969874684214102
SPLN14,?,,in_band,tierA_p99,283628,20036250.0,64.0,6.118373517152401,1940,0.006839945280437756,9.682450558362967e-05,46.25561801494351,37.07668574951538,87.50234539726434,47.735903859655046,0.9689900949804235
SPLN14,?,,in_band,cdkn1a_pos,283628,20036250.0,64.0,6.118373517152401,3143,0.01108141650330715,0.0001568656809532722,37.96354554244303,30.42085023734458,71.69276537562222,37.503674837688564,1.0122620171688437
SPLN14,?,,in_band,senepy_p90,283628,20036250.0,64.0,6.118373517152401,19344,0.06820201108494225,0.0009654501216545012,15.679808870602104,13.639480561188282,33.82457152631955,15.117252719830121,1.0372128561450882
SPLN14,?,,in_band,senepy_p95,283628,20036250.0,64.0,6.118373517152401,9676,0.03411510852243079,0.00048292469898309317,22.364746177649444,20.800392106934034,49.531640393053806,21.374604385709063,1.0463232803785778
SPLN14,?,,in_band,senepy_p99,283628,20036250.0,64.0,6.118373517152401,1934,0.006818790810498259,9.652504834986587e-05,53.17605420942166,53.178779321288914,119.87895612121625,47.809893938459055,1.1122395351445442
SPLN14,?,,in_band,tierAmg_p90,283628,20036250.0,64.0,6.118373517152401,23223,0.08187837590082785,0.0011590492232828,13.414600288217281,10.166117161542768,25.140348857140424,13.797069565798305,0.972278948384146
SPLN14,?,,in_band,tierAmg_p95,283628,20036250.0,64.0,6.118373517152401,11612,0.040940950822908884,0.0005795495664108803,18.79018358166367,14.622709937227693,35.50096067369945,19.511582813699306,0.9630271291199843
SPLN14,?,,in_band,tierAmg_p99,283628,20036250.0,64.0,6.118373517152401,2324,0.008193831356565642,0.00011598976854451307,41.85501077861909,33.55859263417672,79.85437296265336,43.614204267917714,0.9596646661603162
SPLN21,?,,in_band,tierA_p90,196142,13713750.0,69.0,6.097384071006292,15055,0.07675561582934813,0.0010978032996080576,13.654421138360622,10.160790098006672,25.13515170829136,14.176712376368743,0.9631585078301559
SPLN21,?,,in_band,tierA_p95,196142,13713750.0,69.0,6.097384071006292,7529,0.03838545543534786,0.0005490110290766566,19.249334072223256,14.960673383341712,36.24033140613443,20.046901645529317,0.9602149206192206
SPLN21,?,,in_band,tierA_p99,196142,13713750.0,69.0,6.097384071006292,1510,0.007698504144956205,0.00011010846777868927,43.779970884187094,35.91290032573925,84.73396809665508,44.76385028620725,0.9780206707928493
SPLN21,?,,in_band,cdkn1a_pos,196142,13713750.0,69.0,6.097384071006292,3597,0.018338754575766537,0.0002622914957615532,29.044221205318756,24.16759639042946,57.61416415618741,29.003184766567912,1.0014148942290693
SPLN21,?,,in_band,senepy_p90,196142,13713750.0,69.0,6.097384071006292,14775,0.07532807863690591,0.0010773858353841947,15.077901878901432,12.855436719384041,31.96129522435419,14.310412858554995,1.0536315079049323
SPLN21,?,,in_band,senepy_p95,196142,13713750.0,69.0,6.097384071006292,7388,0.03766658849201089,0.00053872937744964,22.12257188536472,21.187233280837695,50.409262055275434,20.237295110072086,1.0931585355176412
SPLN21,?,,in_band,senepy_p99,196142,13713750.0,69.0,6.097384071006292,1482,0.007555750425711984,0.00010806672135630298,57.690833176773005,65.78064698762213,151.5193151692264,45.18474195188816,1.2767768650355709
SPLN21,?,,in_band,tierAmg_p90,196142,13713750.0,69.0,6.097384071006292,17070,0.08702878526781617,0.0012447361225047854,12.869589606283453,9.446184471011675,23.64530776920018,13.313711678714476,0.9666417537687052
SPLN21,?,,in_band,tierAmg_p95,196142,13713750.0,69.0,6.097384071006292,8536,0.04351949098102395,0.0006224409807674779,18.051628459439108,13.939810464142308,34.040031221244135,18.827328705496083,0.9587992402857166
SPLN21,?,,in_band,tierAmg_p99,196142,13713750.0,69.0,6.097384071006292,1708,0.008707976873897483,0.00012454653176556375,41.25070344242046,33.54438653541421,78.85526061550807,42.08932637113051,0.9800751639188677
SPLN24,?,,in_band,tierA_p90,393202,20059375.0,275.0,5.453548639013242,32225,0.08195533084775763,0.0016064807602430284,11.728631954568016,8.474508332139866,21.18747093344959,11.719255691979688,1.0008000732158053
SPLN24,?,,in_band,tierA_p95,393202,20059375.0,275.0,5.453548639013242,16116,0.040986566701084935,0.0008034148621280573,16.337019161643585,12.348597653780685,29.98066558371173,16.57173056060829,0.9858366392027502
SPLN24,?,,in_band,tierA_p99,393202,20059375.0,275.0,5.453548639013242,3228,0.008209520806099664,0.00016092226203458481,36.65488245308227,28.83607038994399,68.48001179343923,37.02795521931636,0.9899245647234804
SPLN24,?,,in_band,cdkn1a_pos,393202,20059375.0,275.0,5.453548639013242,24410,0.06208005045752565,0.0012168873656332763,14.309281507871024,11.112718354143608,27.07974965170903,13.465193635747719,1.0626866493685172
SPLN24,?,,in_band,senepy_p90,393202,20059375.0,275.0,5.453548639013242,30470,0.0774919761344042,0.0015189904969621435,13.185085349014656,10.884462514865234,27.864598617304498,12.052031712079748,1.0940134961476453
SPLN24,?,,in_band,senepy_p95,393202,20059375.0,275.0,5.453548639013242,15237,0.03875107451131988,0.0007595949524848107,18.694774978798865,16.826132680368797,41.969664733730866,17.043028062137786,1.0969162821676357
SPLN24,?,,in_band,senepy_p99,393202,20059375.0,275.0,5.453548639013242,3050,0.0077568272796170925,0.00015204860570182271,42.868871470489346,43.38763349914073,103.95084478221654,38.09312248847551,1.1253703731811082
SPLN24,?,,in_band,tierAmg_p90,393202,20059375.0,275.0,5.453548639013242,32961,0.08382714228310131,0.0016431718336189438,11.609274332371232,8.429470609449279,21.07229767405396,11.587674925630978,1.0018639983326145
SPLN24,?,,in_band,tierAmg_p95,393202,20059375.0,275.0,5.453548639013242,16482,0.04191738597463899,0.0008216606948122761,16.165175261805494,12.272076627129138,29.799514036508594,16.386701321786713,0.9864813512108936
SPLN24,?,,in_band,tierAmg_p99,393202,20059375.0,275.0,5.453548639013242,3299,0.008390089572280914,0.00016446175416731578,36.236032266634666,28.76770364795468,68.36635364861013,36.6273362211587,0.989316614449893
