held_out,lam,beta,n_test,ll,ll_per_cell,rss_tr_per_cell,rss_te_per_cell,ll0,ll0_per_cell,dll_vs_cov,celltype,module,family,design,call
SPLN07,7.742591489922676,0.005189160975694564,35179,-48969.84204249081,-1.3920191603652978,0.9270121190921701,0.9473619956114312,-48968.993374541365,-1.3919950360880458,-0.848667949445371,B cells,downstream_arrest,exponential,ctrl,tierAmg_p95
SPLN14,12.18803582947357,0.005629721012674717,49010,-70405.03441319638,-1.4365442647050883,0.9129687867846367,1.028257092435192,-70402.96225054088,-1.4365019842999567,-2.072162655502325,B cells,downstream_arrest,exponential,ctrl,tierAmg_p95
SPLN21,6.999999999999999,0.004555780421992458,27093,-37978.950983338036,-1.4017993940626006,0.9259561831535063,0.965452186923221,-37979.00382277286,-1.4018013443610104,0.05283943482208997,B cells,downstream_arrest,exponential,ctrl,tierAmg_p95
SPLN24,6.999999999999999,0.0020553117983309237,79525,-107018.6336892844,-1.3457231523330324,0.9605013339689641,0.8585503419012965,-107020.34455921745,-1.3457446659442622,1.7108699330565287,B cells,downstream_arrest,exponential,ctrl,tierAmg_p95
SPLN30,9.962242533302096,0.005324022591488574,58342,-84407.89541849346,-1.4467775430820584,0.9061729050142774,1.045923002914751,-84406.32308959187,-1.4467505928763476,-1.5723289015877526,B cells,downstream_arrest,exponential,ctrl,tierAmg_p95
SPLN43,11.019082036984365,0.004016851207382552,43573,-60628.72110232376,-1.3914286622982985,0.9266935604860749,0.9462605052909091,-60629.61463142696,-1.3914491687840396,0.8935291031957604,B cells,downstream_arrest,exponential,ctrl,tierAmg_p95
SPLN44,6.999999999999999,0.004316420366040451,38356,-51766.7117871393,-1.3496379128986156,0.9376762055546288,0.8680459926030412,-51767.37148049963,-1.3496551121206493,0.6596933603286743,B cells,downstream_arrest,exponential,ctrl,tierAmg_p95
SPLN07,49.99999999999999,0.027513526029504524,35179,-49909.41255306867,-1.4187274383316375,0.9992430058854238,0.9995778466001699,-49916.83865970763,-1.4189385332075282,7.426106638959027,B cells,downstream_arrest,exponential,naive,tierAmg_p95
SPLN14,49.99999999999999,0.030245487448889656,49010,-69553.61226290766,-1.419171847845494,0.9990852104889791,1.0004657984935557,-69542.17751251502,-1.418938533207815,-11.434750392640126,B cells,downstream_arrest,exponential,naive,tierAmg_p95
SPLN21,49.99999999999999,0.026842101699344208,27093,-38433.31689290986,-1.4185699956782143,0.999279501576362,0.9992631961775691,-38443.3016801875,-1.4189385332073783,9.984787277637224,B cells,downstream_arrest,exponential,naive,tierAmg_p95
SPLN24,49.99999999999999,0.02569172621864363,79525,-112804.82941159466,-1.4184826081307094,0.9993399352039062,0.999088530772247,-112841.08685341579,-1.4189385332086235,36.25744182112976,B cells,downstream_arrest,exponential,naive,tierAmg_p95
SPLN30,49.99999999999999,0.02979527376979635,58342,-82786.71551426138,-1.4189900160135303,0.999112241660983,1.0001024908669836,-82783.71190442308,-1.4189385332080333,-3.003609838298871,B cells,downstream_arrest,exponential,naive,tierAmg_p95
SPLN43,49.99999999999999,0.02704947643277061,43573,-61813.09798843193,-1.418610102320977,0.999268325824713,0.9993433518310096,-61827.40870745899,-1.4189385332076971,14.310719027060259,B cells,downstream_arrest,exponential,naive,tierAmg_p95
SPLN44,49.99999999999999,0.02108591056503462,38356,-54375.90215699379,-1.417663524793873,0.9995553843756434,0.9974509964799526,-54424.80637971034,-1.4189385332075903,48.90422271654825,B cells,downstream_arrest,exponential,naive,tierAmg_p95
SPLN07,9.006764443646388,0.0055451200537331114,35179,-48969.93568398492,-1.392021822223057,0.9270083916545281,0.9473668497861093,-48968.993374541365,-1.3919950360880458,-0.942309443555132,B cells,downstream_arrest,gaussian,ctrl,tierAmg_p95
SPLN14,11.019082036984365,0.00600962147200905,49010,-70405.2611264123,-1.4365488905613608,0.9129644673236009,1.0282649948127345,-70402.96225054088,-1.4365019842999567,-2.298875871420023,B cells,downstream_arrest,gaussian,ctrl,tierAmg_p95
SPLN21,7.361938632551805,0.0048241111744040535,27093,-37978.97191070622,-1.4018001664897286,0.9259535973600251,0.9654535074841802,-37979.00382277286,-1.4018013443610104,0.03191206663905177,B cells,downstream_arrest,gaussian,ctrl,tierAmg_p95
SPLN24,6.999999999999999,0.0026721904962483086,79525,-107018.40052522867,-1.345720220373828,0.96049848133611,0.858545012069286,-107020.34455921745,-1.3457446659442622,1.9440339887805749,B cells,downstream_arrest,gaussian,ctrl,tierAmg_p95
SPLN30,9.472463873139185,0.00555936327902185,58342,-84407.72087043691,-1.4467745512741577,0.9061703008603965,1.0459171788131376,-84406.32308959187,-1.4467505928763476,-1.3977808450435987,B cells,downstream_arrest,gaussian,ctrl,tierAmg_p95
SPLN43,10.477345453252495,0.004418575145760363,43573,-60628.71494154867,-1.3914285209085597,0.9266902768316978,0.9462601742177336,-60629.61463142696,-1.3914491687840396,0.8996898782861535,B cells,downstream_arrest,gaussian,ctrl,tierAmg_p95
SPLN44,6.999999999999999,0.004543355922581303,38356,-51766.72315461603,-1.3496382092662433,0.937674092778247,0.8680467055577932,-51767.37148049963,-1.3496551121206493,0.6483258835942252,B cells,downstream_arrest,gaussian,ctrl,tierAmg_p95
SPLN07,28.716686174618605,0.028660162941037966,35179,-49905.9235797822,-1.4186282606038316,0.9991785950601932,0.9993796290586174,-49916.83865970763,-1.4189385332075282,10.915079925434839,B cells,downstream_arrest,gaussian,naive,tierAmg_p95
SPLN14,31.763081427768892,0.03197271987690554,49010,-69555.76696507522,-1.4192158123867624,0.998977745183673,1.0005534854862832,-69542.17751251502,-1.418938533207815,-13.589452560205245,B cells,downstream_arrest,gaussian,naive,tierAmg_p95
SPLN21,38.85968176362148,0.028344057712568392,27093,-38433.15893602144,-1.4185641655047962,0.9991966143923866,0.9992515438162518,-38443.3016801875,-1.4189385332073783,10.142744166056218,B cells,downstream_arrest,gaussian,naive,tierAmg_p95
SPLN24,30.20149733539872,0.026837384090287967,79525,-112799.31646096046,-1.418413284639553,0.9992797548151904,0.9989499960426642,-112841.08685341579,-1.4189385332086235,41.77039245533524,B cells,downstream_arrest,gaussian,naive,tierAmg_p95
SPLN30,35.13265199376635,0.031829635861432164,58342,-82791.23400134812,-1.4190674642855596,0.9989868742809286,1.0002571014413364,-82783.71190442308,-1.4189385332080333,-7.522096925036749,B cells,downstream_arrest,gaussian,naive,tierAmg_p95
SPLN43,31.763081427768892,0.028650026235496142,43573,-61812.604620234706,-1.4185987795248136,0.9991791759967052,0.9993207148505068,-61827.40870745899,-1.4189385332076971,14.804087224285468,B cells,downstream_arrest,gaussian,naive,tierAmg_p95
SPLN44,33.40540803599722,0.022272244413354885,38356,-54370.64015329288,-1.4175263362522912,0.9995039471287919,0.99717686018742,-54424.80637971034,-1.4189385332075903,54.16622641745926,B cells,downstream_arrest,gaussian,naive,tierAmg_p95
SPLN07,27.304873519796445,0.005076168840813663,35179,-48969.821113739556,-1.392018565443576,0.9270133223377184,0.9473609187898664,-48968.993374541365,-1.3919950360880458,-0.8277391981901019,B cells,downstream_arrest,powerlaw,ctrl,tierAmg_p95
SPLN14,47.54182525407475,0.005568938569763024,49010,-70405.0761775873,-1.4365451168656864,0.9129695058242114,1.0282587393164357,-70402.96225054088,-1.4365019842999567,-2.1139270464191213,B cells,downstream_arrest,powerlaw,ctrl,tierAmg_p95
SPLN21,14.911122358641625,0.004465533470166664,27093,-37979.1213124607,-1.4018056808939838,0.9259569280936327,0.9654638624435565,-37979.00382277286,-1.4018013443610104,-0.11748968784377212,B cells,downstream_arrest,powerlaw,ctrl,tierAmg_p95
SPLN24,15.682109678112967,0.0018928142533930002,79525,-107018.7938039591,-1.3457251657209568,0.9605019382652894,0.8585541458742163,-107020.34455921745,-1.3457446659442622,1.5507552583585493,B cells,downstream_arrest,powerlaw,ctrl,tierAmg_p95
SPLN30,38.85968176362148,0.005275780131110029,58342,-84408.00538455695,-1.4467794279345403,0.906173474267105,1.0459265070246255,-84406.32308959187,-1.4467505928763476,-1.6822949650813825,B cells,downstream_arrest,powerlaw,ctrl,tierAmg_p95
SPLN43,42.98209161773131,0.003939915424108141,43573,-60628.78152174251,-1.3914300489234734,0.9266941851231162,0.9462630886377621,-60629.61463142696,-1.3914491687840396,0.8331096844485728,B cells,downstream_arrest,powerlaw,ctrl,tierAmg_p95
SPLN44,6.999999999999999,0.004334911673932563,38356,-51767.55267788324,-1.3496598362155396,0.9376759351326701,0.8680871308592303,-51767.37148049963,-1.3496551121206493,-0.18119738361565396,B cells,downstream_arrest,powerlaw,ctrl,tierAmg_p95
SPLN07,49.99999999999999,0.02743797015306149,35179,-49909.46626775297,-1.4187289652279191,0.9992471577938798,0.9995808994652085,-49916.83865970763,-1.4189385332075282,7.372391954660998,B cells,downstream_arrest,powerlaw,naive,tierAmg_p95
SPLN14,49.99999999999999,0.03015338958878682,49010,-69553.47663852171,-1.4191690805656336,0.9990907730963069,1.0004602765192472,-69542.17751251502,-1.418938533207815,-11.29912600669195,B cells,downstream_arrest,powerlaw,naive,tierAmg_p95
SPLN21,49.99999999999999,0.026788596579706322,27093,-38433.548858030976,-1.4185785574883172,0.9992823710932898,0.9992803075989798,-38443.3016801875,-1.4189385332073783,9.752822156522598,B cells,downstream_arrest,powerlaw,naive,tierAmg_p95
SPLN24,49.99999999999999,0.025627846896813897,79525,-112805.08093912553,-1.4184857710044079,0.9993432134634334,0.9990948515711817,-112841.08685341579,-1.4189385332086235,36.00591429026099,B cells,downstream_arrest,powerlaw,naive,tierAmg_p95
SPLN30,49.99999999999999,0.029708838810563732,58342,-82786.67113827933,-1.4189892553954155,0.999117384896528,1.0001009759845,-82783.71190442308,-1.4189385332080333,-2.9592338562506484,B cells,downstream_arrest,powerlaw,naive,tierAmg_p95
SPLN43,49.99999999999999,0.026955332077320367,43573,-61813.034023022585,-1.4186086343153463,0.9992734100726013,0.9993404182381534,-61827.40870745899,-1.4189385332076971,14.374684436406824,B cells,downstream_arrest,powerlaw,naive,tierAmg_p95
SPLN44,49.99999999999999,0.02102411352631841,38356,-54376.16391065564,-1.4176703491150182,0.9995579866504325,0.9974646337204912,-54424.80637971034,-1.4189385332075903,48.64246905469918,B cells,downstream_arrest,powerlaw,naive,tierAmg_p95
SPLN07,12.18803582947357,0.0058733870773774515,35179,-48969.5051699743,-1.3920095844104239,0.9270041336246434,0.9473440653891477,-48968.993374541365,-1.3919950360880458,-0.5117954329325585,B cells,downstream_arrest,step,ctrl,tierAmg_p95
SPLN14,20.177866835741543,0.006741050489887979,49010,-70408.09656091919,-1.4366067447647255,0.912955414268537,1.0283695002510433,-70402.96225054088,-1.4365019842999567,-5.134310378314694,B cells,downstream_arrest,step,ctrl,tierAmg_p95
SPLN21,10.477345453252495,0.005313219269977125,27093,-37978.88395859882,-1.4017969201859823,0.9259483113944268,0.9654472700864646,-37979.00382277286,-1.4018013443610104,0.11986417404114036,B cells,downstream_arrest,step,ctrl,tierAmg_p95
SPLN24,10.477345453252495,0.00417689338816041,79525,-107018.24094158324,-1.345718213663417,0.9604882394736216,0.8585422450699507,-107020.34455921745,-1.3457446659442622,2.103617634216789,B cells,downstream_arrest,step,ctrl,tierAmg_p95
SPLN30,12.818224546846722,0.0059808678970425305,58342,-84407.74428984532,-1.4467749526900915,0.906165023906679,1.0459170931604251,-84406.32308959187,-1.4467505928763476,-1.4212002534477506,B cells,downstream_arrest,step,ctrl,tierAmg_p95
SPLN43,12.18803582947357,0.005269898075086111,43573,-60628.83957846416,-1.391431381324769,0.9266817322825533,0.9462652965698821,-60629.61463142696,-1.3914491687840396,0.7750529627955984,B cells,downstream_arrest,step,ctrl,tierAmg_p95
SPLN44,12.18803582947357,0.005329396417624178,38356,-51766.660703205715,-1.349636581061782,0.9376662964147157,0.8680442315088986,-51767.37148049963,-1.3496551121206493,0.7107772939125425,B cells,downstream_arrest,step,ctrl,tierAmg_p95
SPLN07,24.6860647223019,0.025518990108410838,35179,-49913.62695980388,-1.4188472372666614,0.9993487811438472,0.9998173196411662,-49916.83865970763,-1.4189385332075282,3.2116999037534697,B cells,downstream_arrest,step,naive,tierAmg_p95
SPLN14,22.318425721029357,0.028181462669898554,49010,-69562.02868393314,-1.4193435764932287,0.9992058051617853,1.0008091447504686,-69542.17751251502,-1.418938533207815,-19.85117141812225,B cells,downstream_arrest,step,naive,tierAmg_p95
SPLN21,24.6860647223019,0.024420340273236925,27093,-38434.22411420084,-1.4186034811279977,0.9994036469809394,0.9993301168371344,-38443.3016801875,-1.4189385332073783,9.077565986655827,B cells,downstream_arrest,step,naive,tierAmg_p95
SPLN24,24.6860647223019,0.023119071082547286,79525,-112808.91956321741,-1.418534040405123,0.9994655085522801,0.9991913005895173,-112841.08685341579,-1.4189385332086235,32.16729019838385,B cells,downstream_arrest,step,naive,tierAmg_p95
SPLN30,24.6860647223019,0.027148702581299203,58342,-82785.63652736603,-1.4189715218430297,0.9992629479481525,1.0000656657275666,-82783.71190442308,-1.4189385332080333,-1.924622942955466,B cells,downstream_arrest,step,naive,tierAmg_p95
SPLN43,24.6860647223019,0.025153900192512096,43573,-61818.705803699486,-1.4187388016363227,0.9993672813051054,0.9996005917824866,-61827.40870745899,-1.4189385332076971,8.702903759505716,B cells,downstream_arrest,step,naive,tierAmg_p95
SPLN44,21.2211739115045,0.019028116193447183,38356,-54387.06791485315,-1.4179546332999569,0.9996379307941288,0.9980328306127363,-54424.80637971034,-1.4189385332075903,37.73846485718968,B cells,downstream_arrest,step,naive,tierAmg_p95
SPLN07,,,35179,-48969.031165360415,-1.3919961103317438,,0.9473180070549758,-48968.99337454136,-1.3919950360880458,-0.03779081905668136,B cells,downstream_arrest,spline,ctrl,tierAmg_p95
SPLN14,,,49010,-70400.98688568531,-1.436461678957056,,1.0281013320818455,-70402.96225054073,-1.4365019842999538,1.9753648554178653,B cells,downstream_arrest,spline,ctrl,tierAmg_p95
SPLN21,,,27093,-37978.92091603344,-1.4017982842813068,,0.9654475872087421,-37979.00382277286,-1.4018013443610104,0.08290673941519344,B cells,downstream_arrest,spline,ctrl,tierAmg_p95
SPLN24,,,79525,-107016.00968544418,-1.345690156371508,,0.8584927590144017,-107020.3445592174,-1.3457446659442616,4.334873773215804,B cells,downstream_arrest,spline,ctrl,tierAmg_p95
