section,module,n_cells,n_p95_flag_diff_rounded_vs_committed,frac
SPLN30,downstream_arrest,291577,7,2.4007380554707676e-05
SPLN30,emt_ecm,291577,7,2.4007380554707676e-05
SPLN30,il6_jak_stat3,291577,6,2.057775476117801e-05
SPLN30,interferon_response,291577,15,5.144438690294502e-05
SPLN30,oxidative_stress,291577,14,4.801476110941535e-05
SPLN30,secondary_senescence,291577,6,2.057775476117801e-05
SPLN30,tnfa_nfkb_proximal,291577,9,3.086663214176701e-05
SPLN30,tierA_p90,291577,18,6.173326428353402e-05
SPLN30,tierA_p95,291577,20,6.859251587059336e-05
SPLN30,tierA_p99,291577,1,3.429625793529668e-06
