section,arm,week,call,scope,celltype,module,n,lam,n_perm,beta_obs,cov_obs,sender_set,n_senders_used,shift_radius_um,tissue_frac_bbox,beta_obs_full,N3_var_n_valid,N3_var_frac_cells_retained,N3_var_null_mean,N3_var_null_sd,N3_var_null_lo,N3_var_null_hi,N3_var_sf,N3_var_sf_wm,N3_var_beta_obs_wm,N3_var_p_naive,N3_var_cov_S0,N3_var_cov_p_rscount,N3_var_cov_p_rscount_1s,N3_var_beta_S0,N3_var_beta_p_rscount,N3_var_beta_p_rscount_1s,N3_var_cov_p_rsker10,N3_var_cov_p_rsker20,N3_var_cov_p_rsker30,N3_var_cov_p_raw,N3_var_full_null_mean,N3_var_full_sf,N3_var_full_sf_wm,N4_var_n_valid,N4_var_frac_cells_retained,N4_var_null_mean,N4_var_null_sd,N4_var_null_lo,N4_var_null_hi,N4_var_sf,N4_var_sf_wm,N4_var_beta_obs_wm,N4_var_p_naive,N4_var_cov_S0,N4_var_cov_p_rscount,N4_var_cov_p_rscount_1s,N4_var_beta_S0,N4_var_beta_p_rscount,N4_var_beta_p_rscount_1s,N4_var_cov_p_rsker10,N4_var_cov_p_rsker20,N4_var_cov_p_rsker30,N4_var_cov_p_raw,N4_var_full_null_mean,N4_var_full_sf,N4_var_full_sf_wm
SPLN07,?,,tierAmg_p95,full,B cells,downstream_arrest,35179,49.99999999999999,1000,0.0013284867622241352,1.8016695168696887e-05,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,-0.0002622488653114694,1000,0.6048534637141476,-9.46682045115499e-05,0.0008165578198599,-0.0016462090690582936,0.0014253384822408473,1.071260179027345,1.0690065966769506,0.0013369235744567541,0.1,0.004308763744690711,0.15584415584415584,0.058941058941058944,0.2666612191487109,0.025974025974025976,0.016983016983016984,0.6193806193806194,0.5294705294705294,0.43456543456543456,0.3996003996003996,2.486856344560763e-05,1.094828106943653,0.6321753512813657,1000,0.821919611131641,0.00025935764734185443,0.0006971174302817556,-0.001155767373905379,0.0016032542161969422,0.8047721251601776,0.7762063141030725,0.001208323084062698,0.074,0.0025014449623677057,0.3966033966033966,0.2007992007992008,0.20032623281765236,0.1008991008991009,0.04795204795204795,0.6813186813186813,0.5884115884115884,0.5724275724275725,0.3306693306693307,-1.535813816835641e-05,0.9414367793350955,0.9848033558575822
SPLN07,?,,tierAmg_p95,full,B cells,emt_ecm,35179,49.99999999999999,1000,-0.0019933892668874144,-2.703398166643037e-05,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,0.00022964001006111145,1000,0.6048534637141476,0.0001332031262703091,0.0010889116452888763,-0.0018357664143515203,0.0022840968539404836,1.0668224357795904,1.0691931279336049,-0.002054497824871776,0.065,-0.006291912790997608,0.14785214785214784,0.952047952047952,-0.39846659952467,0.012987012987012988,0.99000999000999,0.5904095904095904,0.4695304695304695,0.3876123876123876,0.3646353646353646,0.00010475976310288147,0.5438087505961919,1.7304326038643048,1000,0.821919611131641,-0.00037130930408646966,0.0009501993441989366,-0.0020669233404549928,0.0019390482352320286,0.8137296561919127,0.8123208166240307,-0.002067925752599358,0.055,-0.003756997259150311,0.2937062937062937,0.8611388611388612,-0.30393444884595616,0.07692307692307693,0.973026973026973,0.5934065934065934,0.46553446553446554,0.44655344655344653,0.25574425574425574,-3.461838753975606e-05,1.150750679424476,0.7347558954542692
SPLN07,?,,tierAmg_p95,full,B cells,il6_jak_stat3,35179,49.99999999999999,1000,-0.00010174164228136427,-1.379801596123606e-06,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,0.001093653278237797,1000,0.6048534637141476,-0.0001989575549963164,0.0006466152653237727,-0.001484353420299876,0.001036109349697388,-0.9555174315557405,1.467261213684847,-0.00015533659724179327,0.886,0.0007124994066173871,0.7912087912087912,0.4025974025974026,0.01821566478082529,0.8531468531468531,0.4355644355644356,0.8091908091908092,0.7552447552447552,0.7542457542457542,0.9310689310689311,-6.62860704776441e-05,1.0606097670958852,1.8338544119375706,1000,0.821919611131641,8.444962331802964e-07,0.000543631521638264,-0.0011903866718731466,0.001027033914922924,1.0083003990720423,11.736594627915638,1.7405261004771734e-05,0.84,-0.00040300585246485447,0.8551448551448552,0.5744255744255744,-0.019221901622416653,0.8251748251748252,0.6123876123876124,0.9110889110889111,0.8991008991008991,0.9000999000999002,0.9180819180819181,2.0804840439208156e-05,0.9809767493471688,0.9942352481636904
SPLN07,?,,tierAmg_p95,full,B cells,interferon_response,35179,49.99999999999999,1000,0.00015186025638412674,2.059501099530994e-06,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,0.0004289456483329173,1000,0.6048534637141476,-0.00011317618829837497,0.0004966237789347477,-0.001125323876668606,0.0008472728289223661,1.7452653577253197,-1.5935377418687349,-6.72307872924246e-06,0.764,0.0010155861080753976,0.5984015984015985,0.3066933066933067,0.049660748906343,0.4805194805194805,0.24175824175824176,0.5424575424575424,0.5314685314685315,0.5544455544455544,0.8751248751248751,-1.2122736880177162e-05,1.0282617085108376,1.2340107644601561,1000,0.821919611131641,2.396005874588086e-05,0.00037201936680841477,-0.0006944806011387946,0.0007698898795100219,0.8422229797553187,-0.5967140506930046,5.914830188936694e-05,0.67,0.0002350479085299261,0.8731268731268731,0.4355644355644356,0.023965080000953997,0.6943056943056943,0.34065934065934067,0.9050949050949051,0.8931068931068931,0.8861138861138861,0.8191808191808192,-2.140956306847671e-05,1.0499120649706652,1.2946402560190313
SPLN07,?,,tierAmg_p95,full,B cells,oxidative_stress,35179,6.999999999999999,1000,-0.00037575143709241756,-6.851549152168892e-06,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,5.7540091914701444e-05,1000,0.6048534637141476,-0.00013091390021501895,0.0009291329341465592,-0.001963372691065424,0.001721349577888979,0.6515944124444687,-0.3142325692855951,-0.0007162090175895796,0.683,-0.000659967798829241,0.8381618381618382,0.5834165834165834,-0.04587601322633776,0.7262737262737263,0.6493506493506493,0.8371628371628371,0.8601398601398601,0.8541458541458542,0.7802197802197802,1.975692444915452e-05,0.656640721421812,-1.168225280509981,1000,0.821919611131641,4.081861680456052e-06,0.0007231751567858519,-0.0013500947637066973,0.001482869273166958,1.0108631964578545,1.0593769324626596,-0.0007293620197685919,0.58,-0.0013380232935947447,0.6433566433566433,0.6653346653346653,-0.07117061240096313,0.5484515484515484,0.7172827172827173,0.7042957042957043,0.7092907092907093,0.6883116883116883,0.6873126873126874,-5.7283994030616886e-05,1.995549227059557,-0.2486519790723977
SPLN07,?,,tierAmg_p95,full,B cells,secondary_senescence,35179,49.99999999999999,1000,-0.0007787856545124784,-1.0561749005021818e-05,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,0.00028593724143573257,1000,0.6048534637141476,5.9647700697943325e-05,0.0005217909536870131,-0.0009601064916396582,0.0010760224829680799,1.0765906515513346,1.0920268257983543,-0.0008418656657239238,0.135,-0.0025150043204221514,0.21178821178821178,0.9070929070929071,-0.1571000108218567,0.04495504495504495,0.974025974025974,0.6293706293706294,0.5444555444555444,0.4755244755244755,0.4595404595404595,1.5947952316464614e-05,0.9442256900976326,0.9250534037469639,1000,0.821919611131641,-0.00012002236284257886,0.0004985454822934999,-0.0010539553809506192,0.0010364216340513653,0.8458852417900363,0.8503724622829838,-0.000834829267123986,0.139,-0.0016395300058900894,0.37362637362637363,0.7892107892107892,-0.12343464105672397,0.14985014985014986,0.9300699300699301,0.7202797202797203,0.6193806193806194,0.5824175824175825,0.3596403596403596,3.741175901222522e-05,0.8691609430643756,-0.28790047779041306
SPLN07,?,,tierAmg_p95,full,B cells,tnfa_nfkb_proximal,35179,42.98209161773131,1000,0.0005423355461870659,8.801263373687974e-06,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,0.0005179808116422357,1000,0.6048534637141476,3.3644820496661816e-05,0.0003603174434585504,-0.0006951245987149681,0.000717550889706891,0.9379630917921489,1.2471353929238362,0.00044224269358721454,0.131,0.0014281111612723706,0.34665334665334663,0.18081918081918083,0.09531505159510771,0.055944055944055944,0.027972027972027972,0.14485514485514486,0.22577422577422576,0.26573426573426573,0.4165834165834166,1.273431499226192e-05,0.975415469635085,1.2293032512891673,1000,0.821919611131641,-2.032815821191765e-05,0.0003030203683464026,-0.0005895405219977975,0.0006101942941306595,1.0374826218838806,1.0014865198292864,0.00058598807216717,0.078,0.0017120530701072985,0.26373626373626374,0.14585414585414586,0.10542814583988241,0.04795204795204795,0.030969030969030968,0.13886113886113885,0.21178821178821178,0.2627372627372627,0.32867132867132864,6.309057058421207e-06,0.9878199019797306,0.9572689572769605
SPLN07,?,,tierAmg_p95,full,Endothelial,downstream_arrest,37376,49.99999999999999,1000,-0.0002175649128646889,-3.956721038432851e-06,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,-0.00038754902343822055,1000,0.5932286226455479,3.52787200453257e-05,0.0002714390938562957,-0.0004995612587117163,0.0005796765267904977,1.1621526172617123,1.3256283864316027,-0.00024980808256197556,0.419,-0.0009496702121868008,0.34165834165834164,0.8301698301698301,-0.04883310674257544,0.20279720279720279,0.9040959040959041,0.12487512487512488,0.2647352647352647,0.3066933066933067,0.5664335664335665,1.3621087791578585e-05,1.0351467478120222,1.317670657454718,1000,0.7564977793236302,7.920725122568275e-06,0.0002602241552835573,-0.0005163318928811216,0.0005061893482052914,1.0364062615532792,0.17403425452510776,-0.00028302046334987733,0.396,-0.0008051296686754819,0.4675324675324675,0.7712287712287712,-0.04354930397898631,0.32167832167832167,0.8451548451548452,0.5204795204795205,0.4835164835164835,0.47352647352647353,0.5584415584415584,4.96576768484419e-06,1.0128132633151528,1.0083848578024865
SPLN07,?,,tierAmg_p95,full,Endothelial,emt_ecm,37376,49.99999999999999,1000,-0.0003315505324661133,-6.029708328604312e-06,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,0.0004177408268022821,1000,0.5932286226455479,9.022376856613175e-05,0.0005898456296712563,-0.0010678279755923213,0.0011579975180449353,1.2721267491113235,0.8453677115725742,-0.0006236439122293489,0.577,-0.0016565415642678068,0.45354645354645357,0.7742257742257742,-0.08145963268496838,0.33766233766233766,0.8321678321678322,0.4725274725274725,0.5404595404595405,0.5834165834165834,0.6943056943056943,0.00012042077478728991,0.7117332875766883,-0.27324630274985623,1000,0.7564977793236302,-2.6154252765349467e-05,0.0006051948189878868,-0.0012871530182541893,0.0010021823405819948,0.9211153347551249,0.9423044437142737,-0.0005537840148379425,0.607,-0.0010818865739040636,0.7042957042957043,0.6593406593406593,-0.05898289371091431,0.5894105894105894,0.7242757242757243,0.6653346653346653,0.6533466533466533,0.6363636363636364,0.7172827172827173,6.38980659949293e-05,0.8470389727428475,0.8189754747094216
SPLN07,?,,tierAmg_p95,full,Endothelial,il6_jak_stat3,37376,6.999999999999999,1000,-0.0009752641480762819,-1.3772466947856683e-05,A_SENDER_FINAL_strict,10352,2071.4764709472656,0.6428,-0.00031990072939265556,1000,0.5932286226455479,-6.577115568082476e-05,0.0005230977214471705,-0.0010926648159221258,0.0009917950597967396,0.9325606751662522,0.854698353129205,-0.0011587592630498914,0.071,-0.002338568022951897,0.23276723276723277,0.8831168831168831,-0.17565547476166085,0.017982017982017984,0.9920079920079921,0.15384615384615385,0.2677322677322677,0.2677322677322677,0.2937062937062937,-6.741071589385981e-05,0.7892761419399018,-1.2912328358529184,1000,0.7564977793236302,7.419115106982437e-06,0.00041642782927596184,-0.0008239216270806621,0.0008761417884193833,1.0076072878528517,1.0061787741875967,-0.0011245684410971242,0.018,-0.0026960220961933,0.13986013986013987,0.938061938061938,-0.18979112162278228,0.005994005994005994,0.997002997002997,0.19880119880119881,0.17382617382617382,0.17082917082917082,0.18981018981018982,-3.062516033355151e-05,0.9042666755036958,0.9680536299234855
