section,module,n_cells,n_p95_flag_diff_rounded_vs_committed,frac
SPLN44,downstream_arrest,299897,4,1.3337912683354619e-05
SPLN44,emt_ecm,299897,7,2.3341347195870584e-05
SPLN44,il6_jak_stat3,299897,4,1.3337912683354619e-05
SPLN44,interferon_response,299897,6,2.0006869025031926e-05
SPLN44,oxidative_stress,299897,4,1.3337912683354619e-05
SPLN44,secondary_senescence,299897,4,1.3337912683354619e-05
SPLN44,tnfa_nfkb_proximal,299897,8,2.6675825366709238e-05
SPLN44,tierA_p90,299897,8,2.6675825366709238e-05
SPLN44,tierA_p95,299897,5,1.667239085419327e-05
SPLN44,tierA_p99,299897,1,3.3344781708386547e-06
