section,arm,week,call,celltype,module,n,lam,n_perm,beta_obs,sender_set,N1_null_mean,N1_null_sd,N1_null_lo,N1_null_hi,N1_sf,N1_p,N1_full_null_mean,N1_full_sf,N3_null_mean,N3_null_sd,N3_null_lo,N3_null_hi,N3_sf,N3_p,N3_full_null_mean,N3_full_sf,N4_null_mean,N4_null_sd,N4_null_lo,N4_null_hi,N4_sf,N4_p,N4_full_null_mean,N4_full_sf,beta_obs_full
SPLN07,?,,tierAmg_p95,B cells,downstream_arrest,35179,49.99999999999999,1000,0.0013284867622241352,A_SENDER_FINAL_strict,0.00147503680797701,0.0003552736495504198,0.0007538833640703129,0.002186472219343675,-0.11031351603949947,0.674,-5.6460012482169024e-05,0.7847082677932191,6.82170665767112e-05,0.0007316457944879883,-0.0013812626655498983,0.0013535269101063627,0.9486505484913504,0.057,-1.1129288580409102e-05,0.9575621096884785,0.0003957759184924351,0.0004941652411191588,-0.000348031858271021,0.001656282564400878,0.7020851620457006,0.048,-3.873284178084338e-05,0.8523050167067799,-0.0002622488653114694
SPLN07,?,,tierAmg_p95,B cells,emt_ecm,35179,49.99999999999999,1000,-0.0019933892668874144,A_SENDER_FINAL_strict,-0.001722957536322532,0.00045919872702930933,-0.002623489627798897,-0.0008434529468767242,0.1356642854745321,0.271,5.660858214474718e-05,0.7534898986910749,-9.919919430842608e-05,0.0009898878615225248,-0.001628381397717531,0.0017927789446606588,0.9502359143012137,0.013,-7.772189608831226e-06,1.0338451021960977,-0.0004448067357464731,0.0009084409264711024,-0.002240132618066129,0.0011363630681381091,0.7768590695579402,0.049,-1.7073957328284192e-05,1.0743509692572322,0.00022964001006111145
SPLN07,?,,tierAmg_p95,B cells,il6_jak_stat3,35179,49.99999999999999,1000,-0.00010174164228136427,A_SENDER_FINAL_strict,-0.0005080586349691318,0.00048467653330275717,-0.0015223379232663153,0.0004549367435485444,-3.9936154319595785,0.903,7.2736723854455745e-06,0.9933491971082776,-1.8021687078790705e-05,0.0004347382619951607,-0.0008384037802435908,0.000746174257494198,0.822868132706644,0.842,1.3586770668963322e-06,0.9987576711066184,-1.7097710955604893e-05,0.0003948153685314322,-0.0011432353900419532,0.0005028125624782927,0.8319497250858056,0.756,9.32427454344698e-05,0.9147419504061544,0.001093653278237797
SPLN07,?,,tierAmg_p95,B cells,interferon_response,35179,49.99999999999999,1000,0.00015186025638412674,A_SENDER_FINAL_strict,5.616432741532499e-05,0.0003941910632375557,-0.0007037232010229177,0.00082257227846796,0.630157825670604,0.701,1.239521594404074e-05,0.9711030616764283,1.2938943269607917e-05,0.0003575898506295535,-0.0005797821729923969,0.0006579498804201155,0.9147970405312685,0.731,1.4384265740627518e-05,0.9664659944761499,3.47755058612011e-05,0.0001681012725867191,-0.00036425765714186994,0.0002851453767037533,0.7710032454229676,0.377,0.00013453604862626083,0.6863564203317353,0.0004289456483329173
SPLN07,?,,tierAmg_p95,B cells,oxidative_stress,35179,6.999999999999999,1000,-0.00037575143709241756,A_SENDER_FINAL_strict,8.451678443777955e-05,0.0004498580871244504,-0.0007523353172200018,0.0009444036922886626,1.224927375106731,0.41,3.388462475613042e-05,0.4111127801748797,-1.738548443305518e-05,0.0008814608307333941,-0.0018619567735031527,0.0017161214542314633,0.9537314226458191,0.674,1.671661620246989e-05,0.7094788060601133,-3.9034274701534685e-05,0.0007028138999154478,-0.0013905193003022293,0.001300880279023699,0.8961167653713216,0.576,-0.00021977337957755568,4.819482594907079,5.7540091914701444e-05
SPLN07,?,,tierAmg_p95,B cells,secondary_senescence,35179,49.99999999999999,1000,-0.0007787856545124784,A_SENDER_FINAL_strict,-0.0009595145619643283,0.00027492009363857585,-0.001512660895786505,-0.0004333953712736991,-0.23206501866676857,0.746,-1.5769032741583348e-05,1.0551485796757525,-3.862755003518207e-05,0.00046924131472333264,-0.0008258476860353991,0.0008683736849348821,0.9504002804733698,0.078,6.082461819861485e-06,0.9787279831430123,-0.00011929350596911866,0.0003845196497591764,-0.001121014051292595,0.000505253520673946,0.8468211307207545,0.056,0.00010855918507936996,0.6203391187021374,0.00028593724143573257
SPLN07,?,,tierAmg_p95,B cells,tnfa_nfkb_proximal,35179,42.98209161773131,1000,0.0005423355461870659,A_SENDER_FINAL_strict,-8.23670047194511e-05,0.000262420380927384,-0.000589180315176216,0.0004567793617055145,1.1518746195017808,0.046,3.661351675127489e-05,0.9293149168302328,-4.215648987262467e-06,0.00022821802528887465,-0.0004107917787827552,0.00041639441573006317,1.0077731378975636,0.002,6.385813711712357e-07,0.9987671717623157,-1.483337913956991e-05,0.0003253713676186576,-0.00048005486998696284,0.0006034014398271444,1.0273509255365192,0.054,2.046195303974555e-05,0.9604966968276839,0.0005179808116422357
SPLN07,?,,tierAmg_p95,Endothelial,downstream_arrest,37376,49.99999999999999,1000,-0.0002175649128646889,A_SENDER_FINAL_strict,6.299994400539498e-05,0.00021583623519796666,-0.0003388908996291226,0.0005000159993786487,1.2895684932642462,0.343,1.2420730987798461e-05,1.0320494446808444,-7.223987379632199e-06,0.00012991922431342232,-0.00024409058676432506,0.0002470787021257163,0.9667961746013474,0.092,-8.71710416276731e-06,0.9775070929467664,-5.208738165337031e-05,0.00011209573301037171,-0.00026487881607818324,0.00019596255478239235,0.7605892376324245,0.09,-6.527249276099933e-05,0.8315761650437897,-0.00038754902343822055
SPLN07,?,,tierAmg_p95,Endothelial,emt_ecm,37376,49.99999999999999,1000,-0.0003315505324661133,A_SENDER_FINAL_strict,-0.00025469261123312915,0.0003954844801579918,-0.0010094629507575242,0.0005392515223889448,0.23181359613964592,0.497,0.00010052500334220063,0.7593603572059301,-1.8219404246393483e-05,0.0004965009691493994,-0.001016477058336697,0.0008786650641463812,0.9450478812056933,0.508,-9.952668837684239e-06,1.0238249847731422,-0.00024374166649435028,0.0002580384624114875,-0.0007586736315926018,0.0002465859364769995,0.2648430853620713,0.362,-0.0003299430414703304,1.7898271375483568,0.0004177408268022821
SPLN07,?,,tierAmg_p95,Endothelial,il6_jak_stat3,37376,6.999999999999999,1000,-0.0009752641480762819,A_SENDER_FINAL_strict,-0.00012041918836449964,0.00026409507244013077,-0.000648323488803573,0.00040579707632148283,0.8765265916910535,0.001,1.1425920621056112e-05,1.0357170821171577,1.617579894943816e-05,0.0005331622189812922,-0.0009782950991323758,0.0010346094715188174,1.0165860695088043,0.059,1.440629643996155e-05,1.0450336467419519,-0.0002073080296426651,0.0003584267651969378,-0.0008900752627521429,0.0005115368574415937,0.7874339684775841,0.012,-6.97698369022165e-05,0.7819016010539352,-0.00031990072939265556
SPLN07,?,,tierAmg_p95,Endothelial,interferon_response,37376,49.99999999999999,1000,-0.00030592082317856627,A_SENDER_FINAL_strict,-0.000253508642204242,0.0003068231655899881,-0.0008592431858275381,0.00034924121587065054,0.17132596738513364,0.455,9.434862128312523e-06,0.9512735405552935,-1.116342291609889e-05,0.00020116725693222087,-0.00036181658901839183,0.00041869927357481067,0.9635087837430968,0.124,-1.8907932511510348e-06,1.0097650245883365,-7.159378357152055e-06,0.0001584082747058719,-0.0003830408620501154,0.00024383599024999604,0.976597283301068,0.05,7.507422378529716e-05,0.6122782642854177,0.0001936291336541481
SPLN07,?,,tierAmg_p95,Endothelial,oxidative_stress,37376,6.999999999999999,1000,-0.002152803898074422,A_SENDER_FINAL_strict,-0.0002011609509106776,0.00045287338311461193,-0.0010227084570442581,0.0006884935202307558,0.9065586275226433,0.0,2.5511505568713047e-07,1.000226418180087,-2.9865425507913343e-06,0.0008890908781259101,-0.0017554935306669534,0.0016855382162147328,0.9986127196474038,0.019,-9.62063345319137e-07,0.9991461553251382,-0.000177192306252638,0.0006978223874838363,-0.0016299654868145981,0.0010872592899754852,0.9176923144689919,0.006,0.00013128295389409862,1.1165154577689618,-0.0011267428065589306
