section,module,n_cells,n_p95_flag_diff_rounded_vs_committed,frac
SPLN07,downstream_arrest,227360,1,4.398311048557354e-06
SPLN07,emt_ecm,227360,12,5.277973258268825e-05
SPLN07,il6_jak_stat3,227360,10,4.398311048557354e-05
SPLN07,interferon_response,227360,10,4.398311048557354e-05
SPLN07,oxidative_stress,227360,10,4.398311048557354e-05
SPLN07,secondary_senescence,227360,10,4.398311048557354e-05
SPLN07,tnfa_nfkb_proximal,227360,8,3.518648838845883e-05
SPLN07,tierA_p90,227360,6,2.6389866291344124e-05
SPLN07,tierA_p95,227360,4,1.7593244194229415e-05
SPLN07,tierA_p99,227360,0,0.0
