section,arm,call,celltype,module,design,n,family,lam,p_pow,beta,rss,aic,aic0,d_aic_vs_cov,d_half,d_05,railed,k_params,lam_blk_lo,lam_blk_hi,best_family,d_aic_vs_best,sd_y
SPLN07,?,tierA_p95,B cells,downstream_arrest,naive,35179,exponential,49.99999999999999,,0.00128382249149422,1.8328731356827257,-346938.5495629186,-346927.37653947633,-11.173023442272097,34.800000000000004,149.8,1,3,49.99999999999999,49.99999999999999,step,18.34826678247191,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,naive,35179,gaussian,49.99999999999999,,0.002899028488458105,1.8323529291756386,-346948.5354925786,-346927.37653947633,-21.158953102247324,59.0,122.4,1,3,45.1489426859784,49.99999999999999,step,8.362337122496683,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,naive,35179,powerlaw,49.99999999999999,0.5,0.002806796939556793,1.8328778597740276,-346936.45889183483,-346927.37653947633,-9.08235235849861,71.4,439.0,1,4,49.99999999999999,49.99999999999999,step,20.438937866245396,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,naive,35179,step,35.13265199376635,,0.00118858219632281,1.8319174156052298,-346956.8978297011,-346927.37653947633,-29.521290224744007,35.2,35.2,0,3,28.68139085824805,42.98209161773131,step,0.0,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,naive,35179,spline,,,,1.831727838466829,-346950.538539265,-346927.37653947633,-23.16199978865916,,,0,8,,,step,6.359290436084848,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,ctrl,35179,exponential,23.47241150476913,,-0.00018192341673145968,1.726358956941199,-348998.7238108024,-349002.1086326017,3.3848217992926948,16.400000000000002,70.4,0,26,6.999999999999999,49.99999999999999,step,4.067073633719701,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,ctrl,35179,gaussian,14.178039470333344,,-0.00012009187300656594,1.7263528805411577,-348998.8476332858,-349002.1086326017,3.2609993158839643,16.8,34.800000000000004,0,26,6.999999999999999,49.99999999999999,step,3.943251150310971,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,ctrl,35179,powerlaw,49.99999999999999,2.0,-0.00022067049702610646,1.7263593046395294,-348996.7167255562,-349002.1086326017,5.391907045501284,20.6,161.0,1,27,6.999999999999999,49.99999999999999,step,6.074158879928291,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,ctrl,35179,step,7.361938632551805,,-0.0002441601938956419,1.7261593826739765,-349002.7908844361,-349002.1086326017,-0.6822518344270065,7.4,7.4,0,26,7.361938632551805,40.868941774896264,step,0.0,0.007219682773837678
SPLN07,?,tierA_p95,B cells,downstream_arrest,ctrl,35179,spline,,,,1.7260361456390072,-348995.30253571394,-349002.1086326017,6.806096887739841,,,0,31,,,step,7.488348722166847,0.007219682773837678
SPLN07,?,tierA_p95,B cells,emt_ecm,naive,35179,exponential,49.99999999999999,,-0.0018753621075642745,2.202666749851876,-340473.2111660508,-340450.27452541183,-22.936640638974495,34.800000000000004,149.8,1,3,19.139849533036003,49.99999999999999,step,4.766168154310435,0.007915874918046548
SPLN07,?,tierA_p95,B cells,emt_ecm,naive,35179,gaussian,23.47241150476913,,-0.001197531432321743,2.2024964028710663,-340475.93189907854,-340450.27452541183,-25.657373666705098,27.8,57.6,0,3,12.78748966797317,49.99999999999999,step,2.0454351265798323,0.007915874918046548
SPLN07,?,tierA_p95,B cells,emt_ecm,naive,35179,powerlaw,49.99999999999999,0.5,-0.004096417402027284,2.202679816236125,-340471.00248220516,-340450.27452541183,-20.727956793329213,71.4,439.0,1,4,42.98209161773131,49.99999999999999,step,6.9748519999557175,0.007915874918046548
SPLN07,?,tierA_p95,B cells,emt_ecm,naive,35179,step,16.49296129703063,,-0.00047711023182535215,2.20236834543507,-340477.9773342051,-340450.27452541183,-27.70280879328493,16.6,16.6,0,3,15.682109678112967,36.94920399670096,step,0.0,0.007915874918046548
