file,rows_old,rows_new,same_shape,same_columns,same_column_set,n_values,n_bit_identical,frac_bit_identical,max_rel_diff
clean_000.csv,40,40,True,False,True,4480,4480,1.0,0.0
clean_001.csv,40,40,True,False,True,4480,4480,1.0,0.0
conf_000.csv,30,30,True,False,True,3360,3360,1.0,0.0
conf_001.csv,30,30,True,False,True,3360,3360,1.0,0.0
conf_002.csv,30,30,True,False,True,3360,3360,1.0,0.0
conf_003.csv,30,30,True,False,True,3360,3360,1.0,0.0
conf_004.csv,30,30,True,False,True,3360,3360,1.0,0.0
conf_005.csv,30,30,True,False,True,3360,3360,1.0,0.0
main_000.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_001.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_002.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_003.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_004.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_005.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_006.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_007.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_008.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_009.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_010.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_011.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_012.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_013.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_014.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_015.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_016.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_017.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_018.csv,30,30,True,False,True,3390,3390,1.0,0.0
main_019.csv,30,30,True,False,True,3390,3390,1.0,0.0
nsize_000.csv,20,20,True,True,True,2240,2240,1.0,0.0
nsize_001.csv,20,20,True,True,True,2240,2240,1.0,0.0
nsize_002.csv,20,20,True,True,True,2240,2240,1.0,0.0
nsize_003.csv,20,20,True,True,True,2240,2240,1.0,0.0
null_000.csv,30,30,True,True,True,2940,2940,1.0,0.0
null_001.csv,30,30,True,True,True,2940,2940,1.0,0.0
null_002.csv,30,30,True,True,True,2940,2940,1.0,0.0
null_003.csv,30,30,True,True,True,2940,2940,1.0,0.0
prev_000.csv,30,30,True,False,True,3360,3360,1.0,0.0
prev_001.csv,30,30,True,False,True,3360,3360,1.0,0.0
prev_002.csv,30,30,True,False,True,3360,3360,1.0,0.0
prev_003.csv,30,30,True,False,True,3360,3360,1.0,0.0
prev_004.csv,30,30,True,False,True,3360,3360,1.0,0.0
prev_005.csv,30,30,True,False,True,3360,3360,1.0,0.0
prev_006.csv,30,30,True,False,True,3360,3360,1.0,0.0
