gene,mean_lognorm_expr,bin
Adgrf5,0.220173,19
Adgrg1,0.016033,10
Adgrg2,0.002749,6
Adgrg5,0.003017,6
Adgrg6,0.014333,10
Adgrg7,5.1e-05,0
Adgrl1,0.029799,12
Adgrl2,0.052886,15
Adgrl3,0.001447,5
Adgrv1,0.002598,6
Adh5,0.463839,19
Adipoq,0.00024,3
Adipor1,0.252052,19
Adm,0.008705,9
Adora1,0.019246,11
Adora2a,0.016688,10
Adora2b,0.000274,3
Adprhl1,0.000182,2
Adra1a,0.008846,9
Adra1b,0.038053,13
Adra2a,0.000219,3
Adrb1,0.008883,9
Adrb2,0.009833,9
Adrb3,0.001933,6
Adtrp,0.135931,18
Aebp2,0.048762,15
Afap1l2,0.010737,9
Afdn,0.040708,14
Afg3l2,0.114052,18
Afp,0.000841,5
Ager,0.002227,6
Agl,0.047475,14
Ago1,0.039755,14
Ago2,0.038938,14
Ago3,0.044924,14
Agpat3,0.458262,19
Agpat4,0.022215,11
Agps,0.037409,13
Agr3,0.000276,3
Agrn,0.026485,12
Agrp,0.000155,2
Agt,0.200994,19
Agtr1a,0.096991,17
Agtr1b,0.000102,1
Agtr2,3.4e-05,0
Agtrap,0.015928,10
Agxt2,0.032029,13
Ahi1,0.004057,7
Ahr,0.035259,13
Aicda,0.000113,1
Aida,0.024886,12
Aif1,0.065899,16
Aif1l,0.000913,5
Aifm1,0.036457,13
Aim2,0.006003,8
Aip,0.03008,13
Aire,7.8e-05,1
Ajuba,0.011238,9
Ak4,0.114551,18
Akap5,0.002611,6
Akap9,0.043184,14
Akip1,0.033722,13
Akr1b3,0.019233,11
Akt1,0.109593,17
Akt1s1,0.089165,17
Akt2,0.058695,15
Akt3,0.005474,8
Aldh18a1,0.014644,10
Aldh1a2,0.001636,5
Aldh1a3,0.002916,6
Aldh1l1,0.278958,19
Aldh1l2,0.00117,5
Aldh2,0.271695,19
Aldh3a1,0.000188,3
Aldh4a1,0.298186,19
Aldh9a1,0.136964,18
Aldoa,0.193175,19
Aldoc,0.016305,10
Alg13,0.009418,9
Alk,7.3e-05,1
Alkbh5,0.067814,16
Alox12,0.005902,8
Alox12b,4.6e-05,0
Alox12e,0.000353,4
Alox15,0.000444,4
Alox5,0.002469,6
Alpl,0.03502,13
Als2,0.075281,16
Alx1,0.000114,1
Alx4,0.000176,2
Amacr,0.115291,18
Ambra1,0.05375,15
Amd1,0.118171,18
Amelx,0.000302,3
Amer1,0.007557,8
Amfr,0.771127,19
Amh,0.001305,5
Amhr2,0.000318,3
Amigo3,0.000763,5
Amy1,0.099144,17
Amy2a5,0.012367,9
Anapc11,0.012071,9
Anapc15,0.006281,8
Anapc16,0.071105,16
Anapc2,0.05955,15
Anapc4,0.033097,13
Anapc5,0.149711,18
Ang,0.004669,7
Angpt1,0.004184,7
Angpt2,0.003384,7
Angpt4,0.000374,4
Angptl3,0.747098,19
Angptl4,0.19038,18
Angptl8,0.003596,7
Ank,0.086656,17
Ank1,0.003789,7
Ank2,0.001511,5
Ankle2,0.061437,15
Ankrd11,0.053199,15
Ankrd13a,0.067549,16
Ankrd13b,0.009766,9
Ankrd13d,0.001529,5
Anks6,0.001896,6
Anln,0.00585,8
Ano1,0.01966,11
Ano5,0.000349,4
Anp32e,0.016183,10
Anxa2,0.09035,17
Anxa6,0.117964,18
Aox3,0.268132,19
Ap1b1,0.086628,17
Ap1g1,0.070734,16
Ap1s1,0.027068,12
Ap2a1,0.020331,11
Ap2a2,0.169481,18
Ap2b1,0.077951,16
Ap3b1,0.063634,16
Ap3b2,0.000214,3
Ap3m2,0.011372,9
Ap3s2,0.016943,10
Ap4s1,0.021721,11
Ap5z1,0.013302,10
Apaf1,0.027779,12
Apba1,0.002321,6
Apba3,0.083549,17
Apc,0.062132,16
Apc2,0.001412,5
Apcs,0.088895,17
Apex1,0.002416,6
Aph1c,0.000806,5
Apip,0.027367,12
Apln,0.00025,3
Aplnr,0.00024,3
Aplp2,0.205044,19
Apmap,0.042281,14
Apoa1,2.916404,19
Apoa4,1.031308,19
Apob,2.254369,19
Apobec1,0.040161,14
Apobec3,0.045311,14
App,0.187665,18
Appbp2,0.025316,12
Appl1,0.022536,11
Appl2,0.049265,15
Aqp2,0.000133,2
Aqp3,0.000309,3
Aqp4,0.008592,9
Aqp5,0.000818,5
Aqp6,6.6e-05,0
Aqp7,0.000409,4
Ar,0.011869,9
Araf,0.078327,16
Arap1,0.051775,15
Arc,0.00095,5
Areg,0.000409,4
Arf2,0.02345,11
Arf6,0.040491,14
Arfip2,0.026595,12
Arg1,1.058106,19
Arg2,0.002373,6
Arhgap17,0.023825,12
Arhgap31,0.050936,15
Arhgap35,0.089311,17
Arhgap44,0.00397,7
Arhgef1,0.104634,17
Arhgef11,0.043441,14
Arhgef12,0.223074,19
Arhgef15,0.068572,16
Arhgef28,0.002727,6
Arhgef3,0.042883,14
Arhgef6,0.0177,11
Arhgef7,0.063214,16
Arid1a,0.06785,16
Arid1b,0.039523,14
Arid2,0.04083,14
Arid3a,0.003558,7
Arid3b,0.008408,8
Arid5b,0.094517,17
Arl13b,0.0122,9
Armc12,5.5e-05,0
Arnt,0.070959,16
Arnt2,0.000281,3
Arntl,0.014853,10
Arr3,9.6e-05,1
Arrb1,0.081696,17
Arrb2,0.103186,17
Arrdc3,0.130689,18
Arx,9.7e-05,1
Asap1,0.087359,17
Asap2,0.012674,10
Asb9,5.8e-05,0
Ascc2,0.025114,12
Ascl1,3.6e-05,0
Ascl2,0.000168,2
Asf1a,0.013249,10
Ash1l,0.094442,17
Ash2l,0.040846,14
Asic1,0.000117,2
Asic3,0.000316,3
Asna1,0.061976,16
Aspa,0.013698,10
Asph,0.117261,18
Asxl3,0.000214,3
Atad3a,0.029315,12
Atf1,0.053158,15
Atf2,0.034964,13
Atf4,0.23455,19
Atf5,0.598658,19
Atf6,0.033844,13
Atf6b,0.043805,14
Atg101,0.050599,15
Atg13,0.085291,17
Atg14,0.022651,11
Atg16l1,0.034742,13
Atg3,0.117508,18
Atg5,0.070496,16
Atg7,0.051402,15
Atg9a,0.043125,14
Atl1,0.004695,7
Atm,0.009016,9
Atn1,0.071333,16
Atoh1,5.6e-05,0
Atoh7,9.6e-05,1
Atp1b2,0.008234,8
Atp2a2,0.343837,19
Atp2a3,0.011069,9
Atp2b2,0.003866,7
Atp2b3,0.000114,1
Atp2b4,0.029569,12
Atp4a,0.00073,4
Atp4b,3.4e-05,0
Atp5f1,0.348908,19
Atp5o,0.276129,19
Atp6ap2,0.069286,16
Atp6v0a1,0.055043,15
Atp6v0d2,0.004008,7
Atp6v1a,0.088768,17
Atp6v1b2,0.06934,16
Atp7a,0.028937,12
Atp7b,0.022994,11
Atr,0.011981,9
Atraid,0.079521,16
Atrx,0.059415,15
Atxn1,0.01786,11
Atxn10,0.109026,17
Atxn3,0.025856,12
Aurka,0.00175,6
Aurkb,0.004309,7
Avil,0.001613,5
Avpr1b,5.6e-05,0
Avpr2,0.000106,1
Axin1,0.019748,11
Axin2,0.022786,11
Axl,0.080159,17
Azi2,0.093399,17
Azin2,0.000179,2
B3glct,0.003525,7
B3gnt2,0.04704,14
B3gnt6,0.000338,4
B4galnt1,0.183469,18
B4galnt2,0.000428,4
B9d2,0.006488,8
Babam2,0.036747,13
Bace1,0.024969,12
Bace2,0.027989,12
Bach1,0.082387,17
Bach2,0.017482,11
Bad,0.04615,14
Bag2,0.002264,6
Baiap2,0.083924,17
Bak1,0.012585,10
Banp,0.04818,15
Bap1,0.039796,14
Bard1,0.001747,6
Barhl1,0.000154,2
Barhl2,0.000236,3
Barx1,0.001026,5
Batf,0.008698,9
Batf3,0.015767,10
Bax,0.066042,16
Baz1a,0.033225,13
Baz1b,0.088517,17
Bbc3,0.006451,8
Bbox1,0.160427,18
Bbs1,0.002605,6
Bbs2,0.006912,8
Bbs4,0.003922,7
Bbs5,0.002055,6
Bbs7,0.005755,8
Bbs9,0.019344,11
Bcam,0.032682,13
Bcar1,0.065808,16
Bcl10,0.029797,12
Bcl11a,0.00203,6
Bcl11b,0.001193,5
Bcl2,0.011211,9
Bcl2a1a,0.011252,9
Bcl2l1,0.071796,16
Bcl2l11,0.026031,12
Bcl2l12,0.012879,10
Bcl2l2,0.061137,15
Bcl3,0.037478,13
Bcl6,0.092725,17
Bcl7a,0.024545,12
Bcl7b,0.08328,17
Bcl7c,0.04055,14
Bclaf1,0.053612,15
Bco1,0.01169,9
Bcor,0.028079,12
Bcr,0.070608,16
Bdh1,0.323704,19
Bdkrb1,0.000112,1
Bdkrb2,0.001081,5
Bdnf,0.005602,8
Becn1,0.078382,16
Bex3,0.013106,10
Bfsp1,0.00055,4
Bglap,0.002381,6
Bglap2,0.002694,6
Bhlha15,0.001273,5
Bhlhe22,0.000651,4
Bhlhe40,0.164947,18
Bhmt,1.308934,19
Bicd2,0.067454,16
Bid,0.023344,11
Bin1,0.044982,14
Birc2,0.013452,10
Birc3,0.034595,13
Birc5,0.003389,7
Blk,0.001165,5
Blmh,0.040693,14
Blnk,0.017948,11
Bloc1s5,0.017257,10
Bloc1s6,0.005712,8
Bmf,0.010976,9
Bmi1,0.098444,17
Bmp1,0.223978,19
Bmp10,0.027898,12
Bmp15,0.000102,1
Bmp2,0.111997,17
Bmp3,0.000275,3
Bmp4,0.008631,9
Bmp5,0.042803,14
Bmp6,0.04538,14
Bmp7,0.001065,5
Bmp8b,0.000291,3
Bmpr1a,0.03339,13
Bmpr1b,0.000602,4
Bmpr2,0.219229,19
Bnc1,0.000586,4
Bnc2,0.000967,5
Bnip3,0.256708,19
Boc,0.000916,5
Borcs8,0.056206,15
Bpifb1,5.1e-05,0
Braf,0.028684,12
Brca1,0.00224,6
Brca2,0.002816,6
Brcc3,0.01793,11
Brd2,0.158617,18
Brd4,0.084973,17
Brd7,0.068565,16
Brd8,0.03212,13
Brip1,0.004135,7
Brpf1,0.040398,14
Brpf3,0.053448,15
Brs3,5.1e-05,0
Brsk2,0.000229,3
Brwd3,0.015892,10
Bsn,0.000143,2
Bsnd,8e-05,1
Bsx,6.1e-05,0
Btbd2,0.013837,10
Btbd9,0.02011,11
Btc,0.001861,6
Btk,0.00673,8
Btla,0.001743,6
Btrc,0.014741,10
Bub1,0.000831,5
Bub1b,0.004345,7
C1ql1,0.000274,3
C1qtnf12,0.008727,9
C1qtnf5,0.013651,10
C1rb,0.282551,19
C2,0.154286,18
C2cd6,6e-05,0
C3,2.359018,19
C3ar1,0.018563,11
C4b,0.906165,19
C4bp,0.587629,19
C5ar1,0.005664,8
C5ar2,0.023273,11
C6,0.211027,19
C7,0.005976,8
Cab39l,0.114524,18
Cabp1,0.002746,6
Cacna1a,0.002292,6
Cacna1b,8.5e-05,1
Cacna1c,0.00218,6
Cacna1d,0.003067,6
Cacna1g,0.000313,3
Cacna1h,0.000581,4
Cacna1s,0.001712,6
Cacna2d1,0.00475,7
Cacna2d2,0.000225,3
Cacnb1,0.00841,8
Cacng1,0.000443,4
Cacng2,0.00011,1
Cacng3,4.4e-05,0
Cadm1,0.062489,16
Cadm3,0.015129,10
Cadps2,0.039515,14
Calb1,0.000144,2
Calb2,0.000134,2
Calcr,3.6e-05,0
Calcrl,0.085073,17
Calu,0.06884,16
Camk1d,0.043247,14
Camk2a,0.000173,2
Camk2b,0.010997,9
Camk2d,0.027458,12
Camk2g,0.012259,9
Camk4,0.001306,5
Camkv,9.6e-05,1
Camsap1,0.02239,11
Camsap2,0.057116,15
Camsap3,0.023128,11
Camta2,0.053767,15
Canx,0.318763,19
Cap2,0.001516,5
Capn1,0.022071,11
Capn10,0.049076,15
Capn2,0.122464,18
Caprin1,0.227153,19
Car4,0.000269,3
Car7,0.001952,6
Car9,0.001662,6
Card9,0.005264,7
Carm1,0.046958,14
Carmil1,0.030107,13
Carns1,0.001456,5
Cartpt,0.000112,1
Casc4,0.010495,9
Caskin1,0.001353,5
Casp1,0.017234,10
Casp12,0.007156,8
Casp2,0.008223,8
Casp3,0.014614,10
Casp4,0.008966,9
Casp7,0.01943,11
Casp8,0.057275,15
Casp9,0.023397,11
Casq1,0.001244,5
Casq2,0.000247,3
Casr,5.9e-05,0
Casz1,0.005143,7
Cat,0.968631,19
Cav1,0.014494,10
Cav2,0.05272,15
Cav3,0.000118,2
Cavin1,0.039747,14
Cbfb,0.021042,11
Cbl,0.030719,13
Cblb,0.017992,11
Cblc,0.026177,12
Cblif,0.000104,1
Cbln1,0.00027,3
Cbln2,0.00011,1
Cbln3,0.000422,4
Cbln4,6.4e-05,0
Cbs,0.188151,18
Cbx1,0.012171,9
Cbx2,0.001993,6
Cbx3,0.170199,18
Cbx5,0.028236,12
Cbx7,0.023826,12
Ccar2,0.02962,12
Ccdc130,0.010076,9
Ccdc184,7.6e-05,1
Cckbr,6.2e-05,0
Ccl1,0.000202,3
Ccl11,0.000406,4
Ccl12,0.000405,4
Ccl17,0.002276,6
Ccl19,0.004921,7
Ccl2,0.008291,8
Ccl20,0.000187,3
Ccl21a,0.007209,8
Ccl21b,0.004708,7
Ccl24,0.008769,9
Ccl25,0.006783,8
Ccl3,0.002556,6
Ccl7,0.001155,5
Ccl8,0.00059,4
Ccn1,0.038494,14
Ccn2,0.048881,15
Ccna1,5.5e-05,0
Ccna2,0.003845,7
Ccnb1,0.000734,4
Ccnb3,8.9e-05,1
Ccnd1,0.070347,16
Ccnd2,0.060235,15
Ccnd3,0.147677,18
Ccne1,0.002233,6
Ccnt1,0.038056,13
Ccp110,0.016896,10
Ccr1,0.002992,6
Ccr10,0.000241,3
Ccr2,0.00492,7
