gene,mean_lognorm_expr,bin
Cttn,0.066954,16
Cttnbp2,0.00493,7
Cubn,0.000228,3
Cul1,0.05754,15
Cul3,0.151955,18
Cul4a,0.134579,18
Cux1,0.037564,13
Cux2,0.001329,5
Cwc27,0.009216,9
Cx3cl1,0.001926,6
Cx3cr1,0.002055,6
Cxadr,0.155364,18
Cxcl1,0.004533,7
Cxcl10,0.008936,9
Cxcl12,0.665457,19
Cxcl13,0.020956,11
Cxcl14,0.007779,8
Cxcl16,0.125478,18
Cxcl2,0.000137,2
Cxcl3,0.000521,4
Cxcl5,0.001047,5
Cxcl9,0.01751,11
Cxcr1,0.00026,3
Cxcr2,0.006282,8
Cxcr3,0.003641,7
Cxcr4,0.019066,11
Cxcr5,0.000789,5
Cxcr6,0.004961,7
Cxxc1,0.035486,13
Cxxc5,0.077654,16
Cyb561,0.0107,9
Cyb5a,0.858869,19
Cyb5r3,0.377879,19
Cybb,0.049791,15
Cybc1,0.0299,12
Cyct,0.000184,2
Cyfip1,0.051268,15
Cyfip2,0.022818,11
Cygb,0.045785,14
Cyld,0.056509,15
Cyp11a1,5.3e-05,0
Cyp11b2,3.8e-05,0
Cyp17a1,0.01888,11
Cyp19a1,7.4e-05,1
Cyp1a1,0.000929,5
Cyp1a2,0.284378,19
Cyp1b1,0.004048,7
Cyp21a1,0.001406,5
Cyp24a1,5.4e-05,0
Cyp26a1,0.007889,8
Cyp26b1,0.037251,13
Cyp27a1,0.405786,19
Cyp27b1,0.000159,2
Cyp2a5,0.145528,18
Cyp2c29,0.296141,19
Cyp2e1,1.658468,19
Cyp2g1,6.6e-05,0
Cyp2r1,0.010933,9
Cyp3a11,0.491999,19
Cyp3a13,0.174964,18
Cyp7a1,0.098282,17
Cyp7b1,0.150209,18
Cyp8b1,0.156091,18
Cyren,0.002295,6
Cysltr1,0.004093,7
D1Ertd622e,0.016115,10
D1Pas1,8.4e-05,1
Daam2,0.013815,10
Dab2,0.051753,15
Dach1,0.001811,6
Dact2,0.023674,12
Dag1,0.099571,17
Dagla,0.004532,7
Daglb,0.019589,11
Dao,0.000181,2
Dapk1,0.07865,16
Daxx,0.01412,10
Dazl,0.000373,4
Dbh,3.4e-05,0
Dbn1,0.015377,10
Dbnl,0.039205,14
Dbp,0.177229,18
Dbx1,4.2e-05,0
Dbx2,5.2e-05,0
Dcaf1,0.02573,12
Dcaf11,0.094255,17
Dcaf7,0.049242,15
Dcc,0.000167,2
Dcdc2a,0.040373,14
Dclk1,0.001673,6
Dct,0.002775,6
Dctn1,0.051237,15
Dctn2,0.128424,18
Dctn3,0.022175,11
Dctn4,0.024711,12
Dcx,0.000326,3
Ddah1,0.116519,18
Ddb1,0.085582,17
Ddc,0.004539,7
Ddit3,0.034224,13
Ddit4,0.073005,16
Ddr1,0.008377,8
Ddx19b,0.02001,11
Ddx21,0.044125,14
Ddx4,0.0002,3
Ddx41,0.030207,13
Ddx42,0.036535,13
Ddx56,0.035271,13
Ddx58,0.024896,12
Ddx6,0.142788,18
Decr1,0.132384,18
Def6,0.004339,7
Defa5,0.000445,4
Dek,0.082601,17
Dennd1a,0.036813,13
Derl2,0.068895,16
Des,0.036116,13
Dffb,0.009046,9
Dgat1,0.03059,13
Dgcr2,0.125784,18
Dgcr8,0.015969,10
Dgka,0.009763,9
Dgkg,0.001616,5
Dgkq,0.025527,12
Dglucy,0.03835,13
Dhfr,0.083723,17
Dhh,0.002172,6
Dhodh,0.006869,8
Dhx33,0.022382,11
Dhx58,0.009344,9
Diablo,0.016814,10
Diaph1,0.081267,17
Diaph3,0.001523,5
Dicer1,0.050267,15
Dio1,0.108987,17
Dio2,0.000215,3
Dio3,6.7e-05,0
Dip2a,0.012268,9
Diras1,0.005975,8
Disc1,0.001402,5
Disp2,0.013558,10
Dixdc1,0.010959,9
Dkk1,0.000178,2
Dkk2,0.000217,3
Dkk3,0.027746,12
Dkk4,0.000112,1
Dlg1,0.091252,17
Dlg3,0.013712,10
Dlg4,0.014169,10
Dlg5,0.020238,11
Dlgap4,0.052592,15
Dlk1,4.6e-05,0
Dll1,0.017709,11
Dll3,9e-05,1
Dll4,0.046781,14
Dlx1,0.000225,3
Dlx2,0.000166,2
Dlx3,7.8e-05,1
Dlx4,5.5e-05,0
Dlx5,0.000171,2
Dlx6,0.000126,2
Dmap1,0.008595,9
Dmbx1,0.000124,2
Dmc1,0.000486,4
Dmd,0.026775,12
Dmp1,0.000748,5
Dmrt1,8.1e-05,1
Dmrt2,0.000634,4
Dmrta1,0.000938,5
Dmrta2,0.000496,4
Dnah11,0.000154,2
Dnah12,0.000224,3
Dnah5,0.000382,4
Dnajb6,0.075545,16
Dnajc5,0.059712,15
Dnajc7,0.059002,15
Dner,0.000294,3
Dnm1,0.001959,6
Dnm1l,0.045561,14
Dnm2,0.112241,17
Dnmt1,0.02369,12
Dnmt3a,0.031232,13
Dnmt3b,0.002333,6
Dnmt3l,0.000207,3
Dnttip1,0.031576,13
Dnttip2,0.022099,11
Doc2a,9.4e-05,1
Dock2,0.036368,13
Dock3,5.2e-05,0
Dock5,0.019234,11
Dock7,0.020189,11
Dock8,0.046819,14
Dot1l,0.026163,12
Dpf2,0.058053,15
Dpf3,0.006049,8
Dpm1,0.076077,16
Dpp10,0.00011,1
Dpp4,0.116178,18
Dpp9,0.06524,16
Dppa3,0.00035,4
Dpy30,0.088153,17
Dpyd,0.260951,19
Dpysl2,0.081483,17
Dpysl3,0.010885,9
Dpysl4,0.002022,6
Dpysl5,0.000258,3
Drc7,5.5e-05,0
Drd1,7.3e-05,1
Drd2,2.7e-05,0
Drd3,3.9e-05,0
Drd4,9.7e-05,1
Drd5,0.000102,1
Drosha,0.025836,12
Dsc1,0.000151,2
Dsc3,0.00012,2
Dscam,0.000227,3
Dscaml1,0.000485,4
Dsg1a,0.000544,4
Dsg1b,0.014814,10
Dsg2,0.175567,18
Dsp,0.046368,14
Dspp,5.9e-05,0
Dst,0.039577,14
Dtl,0.001194,5
Dtnbp1,0.095249,17
Dusp1,0.081888,17
Dusp11,0.017243,10
Dusp15,0.00018,2
Dusp3,0.103466,17
Dusp4,0.011406,9
Dusp5,0.0076,8
Dusp6,0.190813,18
Dusp7,0.032687,13
Dut,0.003605,7
Duxbl1,0.000346,4
Dvl1,0.143362,18
Dvl2,0.009436,9
Dvl3,0.045422,14
Dxo,0.026751,12
Dydc2,0.000122,2
Dync1h1,0.10986,17
Dync1i1,9.4e-05,1
Dync1i2,0.022846,11
Dync1li1,0.047505,14
Dync2h1,0.008559,9
Dyrk1a,0.042166,14
Dysf,0.030973,13
E2f1,0.007433,8
E2f2,0.003373,7
E2f3,0.006021,8
E2f4,0.032032,13
E2f5,0.022414,11
Ebf2,0.000158,2
Ebf3,0.000369,4
Ebi3,0.006186,8
Ece1,0.27221,19
Ecel1,7.1e-05,1
Echdc1,0.09149,17
Echs1,0.323373,19
Eci3,0.000169,2
Ecpas,0.084556,17
Ecscr,0.006349,8
Ect2,0.003384,7
Eda,0.001986,6
Edar,0.000434,4
Edc4,0.036206,13
Edil3,0.000153,2
Edn1,0.007054,8
Edn3,0.000128,2
Ednra,0.018308,11
Ednrb,0.055143,15
Eea1,0.07095,16
Eed,0.044019,14
Eepd1,0.033595,13
Efcab14,0.031937,13
Efcab3,0.0002,3
Efemp1,0.027995,12
Efna1,0.119074,18
Efna2,0.001007,5
Efna3,0.000186,3
Efna5,0.01528,10
Efnb1,0.062782,16
Efnb2,0.023881,12
Efnb3,0.002198,6
Egfl7,0.26135,19
Egfr,0.454108,19
Egln1,0.029945,12
Egln2,0.109748,17
Egln3,0.024167,12
Egr1,0.010563,9
Egr2,0.00074,4
Egr3,0.00136,5
Egr4,0.000219,3
Ehd4,0.016169,10
Ehhadh,0.173313,18
Ehmt1,0.010021,9
Ehmt2,0.145594,18
Eif2a,0.063194,16
Eif2ak2,0.021089,11
Eif2ak3,0.049064,15
Eif2ak4,0.011714,9
Eif2b1,0.042014,14
Eif2s1,0.005812,8
Eif2s2,0.031353,13
Eif3i,0.118736,18
Eif4a3,0.085201,17
Eif4e,0.022335,11
Eif4ebp1,0.005991,8
Eif4ebp2,0.344763,19
Eif4enif1,0.06946,16
Eif4g1,0.252053,19
Eif4g3,0.073349,16
Eipr1,0.008218,8
Elac2,0.016271,10
Elavl1,0.116513,18
Elavl2,0.000123,2
Elavl3,6.5e-05,0
Elavl4,0.000101,1
Elf2,0.064748,16
Elf3,0.002336,6
Elk1,0.015509,10
Elmo1,0.025967,12
Elmo3,0.02514,12
Eln,0.013495,10
Eloa,0.108632,17
Elob,0.0298,12
Eloc,0.01836,11
Elovl1,0.031396,13
Elovl4,0.000162,2
Elp2,0.019768,11
Emc1,0.079788,17
Emc10,0.073131,16
Emc2,0.022062,11
Emc3,0.078226,16
Emc4,0.053087,15
Emc6,0.182297,18
Emd,0.020498,11
Eme1,0.00051,4
Emilin1,0.079017,16
Emsy,0.030926,13
Emx1,0.000123,2
Emx2,0.000404,4
En1,0.0001,1
En2,0.000757,5
Enah,0.007683,8
Eng,0.381995,19
Eno1,0.143136,18
Eno2,0.001452,5
Enpp1,0.040657,14
Enpp6,0.02447,12
Entpd1,0.04489,14
Eomes,0.000385,4
Ep300,0.071602,16
Ep400,0.077479,16
Epas1,0.440491,19
Epb41,0.186126,18
Epb41l1,0.01861,11
Epb41l2,0.015369,10
Epb41l3,0.011505,9
Epb41l4a,0.003505,7
Epb42,0.001144,5
Epc1,0.033014,13
Epc2,0.029575,12
Epcam,0.023889,12
Epha1,0.03798,13
Epha10,7.3e-05,1
Epha2,0.024628,12
Epha3,0.00631,8
Epha4,0.001641,5
Epha5,0.000199,3
Epha7,0.013351,10
Ephb1,0.00038,4
Ephb2,0.001306,5
Ephb3,0.001633,5
Ephb4,0.07001,16
Ephx2,0.446212,19
Epm2a,0.010783,9
Epn3,0.003594,7
Epo,7.8e-05,1
Epor,0.016798,10
Eps15,0.135477,18
Eps15l1,0.029005,12
Epx,9.2e-05,1
Erap1,0.037891,13
Erbb2,0.007429,8
Erbb3,0.074988,16
Erbb4,0.005576,8
Erbin,0.166152,18
Erc2,0.006063,8
Ercc1,0.005324,8
Ercc2,0.007859,8
Ercc6,0.016657,10
Ercc6l,0.000682,4
Ereg,0.004258,7
Erg,0.017012,10
Erg28,0.062661,16
Ern1,0.131059,18
Ern2,9.8e-05,1
Ero1l,0.038944,14
Ero1lb,0.065723,16
Erp44,0.134472,18
Esam,0.048182,15
Esd,0.152491,18
Espl1,0.002389,6
Espn,0.000568,4
Esr1,0.04141,14
Esr2,0.000356,4
Esrra,0.025729,12
Esrrb,0.002215,6
Esrrg,0.001493,5
Ess2,0.00878,9
Esyt2,0.066279,16
Esyt3,0.000633,4
Etfbkmt,0.098472,17
Etnk1,0.072498,16
Etnppl,0.131889,18
Ets1,0.158759,18
Ets2,0.087643,17
Etv1,0.004706,7
Etv2,0.000161,2
Etv3,0.037429,13
Etv4,0.000747,5
Etv5,0.014383,10
Etv6,0.022611,11
Eva1a,0.132314,18
Evl,0.032891,13
Evpl,0.001215,5
Evx1,0.000106,1
Evx2,0.000135,2
Ewsr1,0.061447,16
Exoc3l2,0.02182,11
Exoc4,0.047634,14
Exosc9,0.01408,10
Exph5,0.026359,12
Ext1,0.064085,16
Ext2,0.050498,15
Extl1,0.005374,8
Eya1,0.000336,3
Eya2,0.001393,5
Eya3,0.015284,10
Eya4,0.00241,6
Ezh1,0.025691,12
Ezh2,0.010329,9
Ezr,0.018796,11
F11r,0.092407,17
F13a1,0.002501,6
F2r,0.063088,16
F2rl1,0.004543,7
F2rl2,0.000798,5
F2rl3,0.000477,4
F3,0.003513,7
F8,0.102027,17
F9,0.191993,19
Faah,0.157168,18
Faap100,0.009627,9
Fabp12,0.000123,2
Fabp3,0.000462,4
Fabp4,0.086634,17
Fabp7,0.023513,12
Fadd,0.036561,13
Fah,0.371804,19
Fam104a,0.011284,9
Fam107b,0.097056,17
Fam129a,0.030061,13
Fam136a,0.103988,17
Fam13b,0.041236,14
Fam192a,0.020068,11
Fam20a,0.040295,14
Fam20c,0.085002,17
Fam210a,0.074518,16
Fam210b,0.121638,18
Fam214a,0.038831,14
Fam49b,0.036462,13
Fam83d,0.001591,5
Fam92a,0.04923,15
Fancc,0.007384,8
Fanci,0.000204,3
Fancl,0.013512,10
Fap,0.001531,5
Far2,0.000321,3
Fas,0.02976,12
Fasl,0.003387,7
Fasn,0.297455,19
Fat1,0.053732,15
Fat4,0.018111,11
Fbh1,0.037711,13
Fbl,0.029504,12
Fbln1,0.012498,10
Fbln2,0.00819,8
Fbn1,0.023746,12
Fbxl12,0.02398,12
Fbxl13,0.000864,5
Fbxl16,0.000688,4
Fbxl17,0.048173,15
Fbxl19,0.029756,12
Fbxl20,0.066174,16
Fbxl3,0.045955,14
Fbxl4,0.022598,11
Fbxl7,0.009479,9
Fbxo11,0.029705,12
Fbxo17,0.006801,8
Fbxo2,0.00088,5
Fbxo21,0.054758,15
Fbxo3,0.099916,17
Fbxo31,0.073847,16
Fbxo32,0.008518,8
Fbxo33,0.029488,12
Fbxo4,0.017605,11
Fbxo41,0.000229,3
Fbxo5,0.003495,7
Fbxw11,0.04752,14
Fbxw7,0.027003,12
Fcgr1,0.019382,11
Fcgr2b,0.204936,19
Fcgr3,0.050048,15
Fcgr4,0.043713,14
Fcgrt,0.339362,19
Fcmr,0.00281,6
Fcrls,0.000391,4
Fdx1,0.263901,19
Fen1,0.003832,7
Fermt1,0.002886,6
Fermt3,0.025337,12
Fezf1,0.000123,2
Fezf2,3e-05,0
Ffar1,0.0006,4
Ffar2,0.001203,5
Ffar3,5.2e-05,0
Ffar4,0.000479,4
Fga,1.144368,19
Fgb,1.387128,19
Fgf1,0.115195,18
Fgf10,0.000102,1
Fgf12,0.005593,8
Fgf15,3.5e-05,0
Fgf16,0.000153,2
Fgf17,0.000156,2
Fgf18,0.000672,4
Fgf2,0.003645,7
Fgf21,0.032606,13
Fgf22,0.000135,2
Fgf23,6.9e-05,0
Fgf3,6.2e-05,0
Fgf4,0.0001,1
Fgf5,7.2e-05,1
Fgf7,0.000744,5
Fgf8,7.5e-05,1
Fgf9,0.000434,4
Fgfbp3,0.002892,6
Fgfr1,0.023135,11
Fgfr1op,0.019138,11
Fgfr2,0.112682,17
Fgfr3,0.092998,17
Fgfr4,0.052027,15
Fgg,1.592605,19
Fgl1,0.320667,19
Fgr,0.009658,9
Fh1,0.160844,18
Fhl2,0.001718,6
Fhod1,0.043335,14
Fibcd1,0.000155,2
Fign,0.011053,9
Fkbp5,0.09563,17
Fli1,0.046011,14
Flna,0.101903,17
Flnb,0.151124,18
Flot1,0.0356,13
Flot2,0.093568,17
Flt1,0.046703,14
Flt3,0.003524,7
Flt3l,0.007755,8
Flt4,0.148727,18
Fmc1,0.083159,17
Fmo4,0.004813,7
Fmod,0.013471,10
Fmr1,0.041448,14
Fn1,0.733865,19
Fndc5,0.000497,4
Folh1,0.000152,2
Folr1,0.000562,4
Folr2,0.031476,13
Fopnl,0.012181,9
Fos,0.003894,7
Fosl1,0.000193,3
Fosl2,0.017081,10
Foxa1,0.036321,13
Foxa2,0.027909,12
Foxb1,7.9e-05,1
Foxc1,0.001851,6
Foxc2,0.001025,5
Foxd1,6.3e-05,0
Foxd2,0.001171,5
Foxd3,9.4e-05,1
Foxf1,0.008002,8
Foxg1,0.000165,2
Foxh1,0.000114,1
Foxi1,0.000359,4
Foxi2,8.7e-05,1
Foxj1,0.002815,6
Foxj2,0.023009,11
Foxj3,0.009992,9
Foxl2,0.000189,3
Foxm1,0.002053,6
Foxn1,8.2e-05,1
Foxn4,8.7e-05,1
Foxo1,0.076789,16
Foxo3,0.041415,14
Foxo4,0.010238,9
Foxp1,0.085883,17
Foxp2,0.008863,9
Foxp3,0.000244,3
Foxp4,0.057108,15
Foxq1,0.015174,10
Fpr1,0.025261,12
Fpr2,0.011017,9
Fras1,0.002267,6
Frk,0.007133,8
Frmd7,0.000264,3
Frmpd1,9.5e-05,1
Frrs1,0.018283,11
Frrs1l,0.000186,3
Frs2,0.032332,13
Fryl,0.032131,13
Frzb,0.006168,8
Fscn1,0.025452,12
Fscn2,7.4e-05,1
Fshb,4.3e-05,0
Fshr,7.6e-05,1
Fst,0.004121,7
Fstl1,0.044703,14
Fstl4,0.000775,5
Fstl5,0.000119,2
Fthl17a,7e-05,0
Fto,0.063561,16
Ftsj1,0.036288,13
Fubp1,0.035915,13
Fundc1,0.027142,12
Furin,0.489402,19
Fus,0.054296,15
Fut1,0.001248,5
Fut4,0.001611,5
Fv1,0.005804,8
Fxn,0.004483,7
Fxr1,0.075641,16
Fxyd2,0.000738,4
Fyb,0.112578,17
Fyn,0.091975,17
Fzd1,0.040899,14
Fzd10,7.1e-05,0
Fzd2,0.001206,5
Fzd3,0.001022,5
Fzd4,0.034082,13
Fzd5,0.010353,9
Fzd6,0.006112,8
Fzd7,0.016169,10
Fzd8,0.009439,9
G3bp1,0.046172,14
G6pc,0.425874,19
G6pc2,0.000208,3
G6pdx,0.005263,7
Gaa,0.066992,16
Gab1,0.045893,14
Gabbr1,0.034363,13
Gabbr2,0.03033,13
Gabpb1,0.021407,11
Gabra1,9.2e-05,1
Gabra2,2.2e-05,0
Gabra5,8.2e-05,1
Gabra6,8e-05,1
Gabrb2,4.5e-05,0
Gabrb3,0.003714,7
Gabrd,0.000601,4
Gabrg1,0.000148,2
Gabrg2,4e-05,0
Gabrg3,9.2e-05,1
Gabrp,0.000544,4
Gabrq,0.001675,6
Gabrr2,0.00061,4
Gad1,0.000148,2
Gad2,9e-05,1
Gadd45a,0.003196,7
Gak,0.079455,16
Gal,0.000192,3
Gal3st1,0.001379,5
Galc,0.012048,9
Galnt14,0.002692,6
Galnt15,0.017547,11
Galnt17,0.00107,5
Galnt18,0.013923,10
Galnt2,0.116879,18
Galntl5,0.000108,1
Galp,4.1e-05,0
Galr1,9.5e-05,1
Galr2,0.000172,2
Gap43,0.000218,3
Gar1,0.015679,10
Garem1,0.053303,15
Gars,0.051009,15
Gart,0.02891,12
Gas1,0.027901,12
Gas6,0.111581,17
Gast,4.1e-05,0
Gata1,0.00097,5
Gata2,0.01439,10
Gata3,0.003329,7
Gata4,0.051671,15
Gata5,0.001456,5
Gata6,0.026732,12
Gatad2b,0.051358,15
Gatd3a,0.155565,18
Gatm,0.063722,16
Gba,0.027348,12
Gba2,0.016921,10
Gbf1,0.031262,13
Gbp2,0.016547,10
Gbp2b,0.00788,8
Gbp3,0.017035,10
Gbx1,0.000175,2
Gbx2,0.000153,2
Gcat,0.05413,15
Gcg,3.6e-05,0
Gcgr,0.272182,19
Gch1,0.178079,18
Gck,0.092026,17
Gckr,0.125107,18
Gcm1,0.000116,1
Gcm2,9e-05,1
Gcnt3,0.000119,2
Gcnt4,0.006514,8
Gdap1,0.000178,2
Gdf1,0.000336,3
Gdf10,0.044109,14
Gdf11,0.001135,5
Gdf15,0.002141,6
Gdf2,0.068422,16
Gdf5,3.3e-05,0
Gdf7,0.000849,5
Gdf9,0.000499,4
Gdnf,6.8e-05,0
Gdpd1,0.00463,7
Gdpd2,0.000819,5
Gem,0.03643,13
Gen1,0.001398,5
Gfap,0.003529,7
Gfi1,0.003164,7
Gfi1b,0.000155,2
Gfpt1,0.027479,12
Gfpt2,0.003069,6
Gfra1,0.268166,19
Gfra2,0.005162,7
Gfra3,0.000266,3
Ggnbp1,0.014885,10
Ggnbp2,0.112584,17
Ggps1,0.026166,12
Gh,8.1e-05,1
Ghr,0.825584,19
Ghrh,0.000115,1
Ghrhr,3.7e-05,0
Ghrl,5.9e-05,0
Ghsr,0.000274,3
Gigyf2,0.047268,14
Gimap4,0.063709,16
Gip,7.9e-05,1
Gipc1,0.041441,14
Gipr,0.00013,2
Gja1,0.066304,16
Gja3,5.1e-05,0
Gja4,0.038637,14
Gja5,0.011691,9
Gja8,0.000103,1
Gjb1,0.166485,18
Gjb2,0.610425,19
Gjb6,6.9e-05,0
Gjc1,0.003445,7
Gjd2,0.000153,2
Gk,0.16139,18
Gkn2,6e-05,0
Gla,0.00489,7
Glb1,0.033559,13
Gldc,0.041156,14
Gldn,0.000669,4
Glg1,0.074268,16
Gli1,0.000456,4
Gli2,0.00027,3
Gli3,0.004745,7
Glis3,0.021356,11
Glmp,0.04636,14
Glo1,0.153053,18
Glp1r,0.000413,4
Glra1,8.8e-05,1
Glra2,0.000147,2
Glra3,0.000124,2
Glud1,0.695289,19
Glul,0.552373,19
Glyat,0.586802,19
Gm2a,0.261829,19
Gmds,0.00472,7
Gmfb,0.060765,15
Gmnc,5.6e-05,0
Gmnn,0.012077,9
Gna11,0.039227,14
Gna12,0.129573,18
Gna13,0.026416,12
Gna14,0.015601,10
Gnai1,0.014229,10
Gnai2,0.273484,19
Gnai3,0.079094,16
Gnal,0.001376,5
Gnao1,0.010654,9
Gnaq,0.068037,16
Gnat1,0.001018,5
Gnat2,0.000535,4
Gnat3,0.000173,2
Gnaz,0.000291,3
Gnb1,0.180294,18
Gnb3,9.8e-05,1
Gnrh1,0.002322,6
Gnrhr,0.000199,3
Golga2,0.022793,11
Golga3,0.034077,13
Golga5,0.030682,13
Gopc,0.043497,14
Gorasp1,0.018511,11
Gosr1,0.030821,13
Got2,0.536152,19
Gpa33,0.000225,3
Gpam,0.134241,18
Gpat2,0.008874,9
Gpbar1,0.000165,2
Gpc3,0.002996,6
Gpc4,0.316748,19
Gpc6,0.010728,9
Gpd1,0.209922,19
Gper1,0.000228,3
Gphn,0.065214,16
Gpi1,0.145983,18
Gpm6a,0.005326,8
Gpnmb,0.005704,8
Gpr101,0.000101,1
Gpr107,0.026262,12
Gpr139,2.7e-05,0
Gpr141b,0.000899,5
Gpr143,0.000693,4
Gpr149,7.8e-05,1
Gpr17,0.000198,3
Gpr183,0.00223,6
Gpr20,0.000345,4
Gpr22,0.000263,3
Gpr26,2e-05,0
Gpr35,0.002172,6
Gpr37l1,0.000217,3
Gpr39,0.008794,9
Gpr4,0.009563,9
Gpr50,8.4e-05,1
Gpr6,2.7e-05,0
Gpr65,0.006733,8
Gpr83,0.000228,3
Gpr84,0.000367,4
Gpr88,0.000414,4
Gprc5a,0.0026,6
Gprc5b,0.006544,8
Gprc5c,0.102926,17
Gprc6a,6.2e-05,0
Gps1,0.091379,17
Gpsm1,0.009059,9
Gpsm2,0.017041,10
Gpt2,0.559237,19
Gpx2,0.000212,3
Gpx5,9.4e-05,1
Gramd1a,0.052776,15
Gramd1b,0.022606,11
Grb10,0.020327,11
Grb2,0.042308,14
Grb7,0.059431,15
Greb1,0.000114,1
Grem1,0.000344,4
Grhl2,0.002239,6
Grhl3,0.003086,7
Gria1,0.000791,5
Gria2,0.000122,2
Gria3,0.00195,6
Gria4,0.000909,5
Grid1,0.004339,7
Grid2,6.6e-05,0
Grifin,6.3e-05,0
Grik1,0.000212,3
Grik2,0.000455,4
Grik3,0.000583,4
Grik4,0.002789,6
Grin1,9.5e-05,1
Grin2a,0.000139,2
Grin2b,0.001658,6
Grin2c,0.000152,2
Grin2d,0.001809,6
Grk2,0.163624,18
Grk3,0.011538,9
Grk5,0.013896,10
Grm1,5.4e-05,0
Grm2,5.2e-05,0
Grm3,9.5e-05,1
Grm4,6.8e-05,0
Grm6,0.000495,4
Grm8,0.003786,7
Grn,0.294949,19
Grp,8.2e-05,1
Grpel1,0.106454,17
Grpr,3.9e-05,0
Grxcr1,6.2e-05,0
Grxcr2,7.6e-05,1
Gsc,7.1e-05,1
Gsc2,0.000179,2
Gsdma,0.001122,5
Gsdma3,0.00011,1
Gsdmd,0.04671,14
Gsdme,0.001045,5
Gsk3a,0.185563,18
Gsk3b,0.048909,15
Gsta1,0.007432,8
Gstk1,0.070435,16
Gstp1,0.49037,19
Gsx1,6.4e-05,0
Gsx2,8e-05,1
Gtf2a1,0.049758,15
Gtf2a2,0.068937,16
Gtf2b,0.015501,10
Gtf2e1,0.012013,9
Gtf2e2,0.008949,9
Gtf2h1,0.042564,14
Gtf2i,0.150888,18
Gtpbp2,0.056235,15
Gtse1,0.00188,6
Gucy1a1,0.044853,14
Gucy2e,7.8e-05,1
Gucy2f,5.1e-05,0
Gusb,0.02446,12
Gyg,0.014016,10
Gys2,0.175688,18
Gzma,0.001996,6
Gzmb,0.002277,6
Gzmk,0.000167,2
H19,0.000854,5
H1foo,7.7e-05,1
H2-DMb2,0.004042,7
H2afv,0.018458,11
H2afx,0.026558,12
H2afy,0.092093,17
H2afz,0.092634,17
Hace1,0.00893,9
Hacl1,0.242947,19
Hadh,0.415844,19
Hadhb,0.222805,19
Hal,0.190962,18
Hamp,0.720804,19
Hand1,7.7e-05,1
Hand2,0.026168,12
Hao1,0.279341,19
Hap1,0.005824,8
Hapln1,0.000203,3
Has2,6.3e-05,0
Haspin,0.003561,7
Hat1,0.027712,12
Havcr1,0.000331,3
Havcr2,0.004444,7
Hba-x,6.4e-05,0
Hbegf,0.003908,7
Hc,0.598647,19
Hcar2,0.000393,4
Hcfc1,0.050741,15
Hck,0.027001,12
Hcn1,8.9e-05,1
Hcn2,0.000742,4
Hcn3,0.000502,4
Hcn4,9.4e-05,1
Hcrt,0.000157,2
Hcrtr1,0.000106,1
Hcrtr2,0.000434,4
Hdac1,0.023926,12
Hdac2,0.018944,11
Hdac3,0.041521,14
Hdac4,0.030128,13
Hdac5,0.041712,14
Hdac6,0.019573,11
Hdac8,0.006556,8
Hdac9,0.004252,7
Hdc,0.003882,7
Hdgfl2,0.031049,13
Hecw2,0.048986,15
Hells,0.00438,7
Herc6,0.030104,13
Hes1,0.046067,14
Hes2,5.2e-05,0
Hes5,6.5e-05,0
Hes6,0.069577,16
Hesx1,0.00015,2
Hexa,0.178912,18
Hey1,0.005712,8
Hey2,0.002437,6
Heyl,0.007771,8
Hfe,0.044955,14
Hfm1,0.00064,4
Hgf,0.102749,17
Hgs,0.054489,15
Hhex,0.195852,19
Hibadh,0.351881,19
Hic1,0.048489,15
Hif1a,0.055523,15
Hif1an,0.018705,11
Hif3a,0.001691,6
Hikeshi,0.004132,7
Hip1r,0.041554,14
Hipk2,0.191351,19
Hira,0.017111,10
Hist1h2ba,4.1e-05,0
Hist1h2bc,0.3447,19
Hist1h4h,0.015398,10
Hist2h2bb,0.051457,15
Hist2h2be,0.004275,7
Hivep2,0.031611,13
Hjv,0.030984,13
Hk1,0.014902,10
Hk2,0.006765,8
Hkdc1,0.002583,6
Hlf,0.112723,17
Hmcn1,0.016023,10
Hmcn2,0.000637,4
Hmga1,0.014987,10
Hmga1b,0.007715,8
Hmga2,0.001868,6
Hmgb2,0.000528,4
Hmgcr,0.219695,19
Hmox1,0.072119,16
Hmx2,0.000256,3
Hmx3,0.000146,2
Hnf1a,0.056869,15
Hnf1b,0.020628,11
Hnf4a,0.695181,19
Hnrnpa1,0.220006,19
Hnrnpdl,0.033805,13
Hnrnph1,0.120099,18
Hnrnpk,0.095884,17
Hnrnpm,0.129493,18
Homer1,0.025831,12
Homer3,0.016728,10
Hopx,0.058743,15
Hoxa1,0.003463,7
Hoxa10,0.000627,4
Hoxa11,0.000187,3
Hoxa13,0.000156,2
Hoxa2,0.002467,6
Hoxa3,0.007183,8
Hoxa4,0.003272,7
Hoxa5,0.002155,6
Hoxa7,0.000351,4
Hoxa9,0.000577,4
Hoxb1,7.1e-05,0
Hoxb13,0.00028,3
Hoxb2,0.003068,6
Hoxb3,0.017324,10
Hoxb4,0.027556,12
Hoxb5,0.012311,9
Hoxb6,0.000737,4
Hoxb7,0.000878,5
Hoxb8,0.00121,5
Hoxb9,0.000449,4
Hoxc10,0.000148,2
Hoxc11,0.000102,1
Hoxc12,5.5e-05,0
Hoxc5,0.000174,2
Hoxc6,0.00042,4
Hoxc8,0.00011,1
