n_cells,n_senders,prevalence_real,median_nn_um,lam_true,beta_true,med_d_sender,match_rate,max_smd_before,max_smd_after,smd_pass,u_sender_mean,u_decoy_mean,u_all_mean,lam_naive,beta_naive,se_lam_naive,se_beta_naive,lam_nuis,beta_nuis,se_lam_nuis,lam_decoy,beta_decoy,se_lam_decoy,lam_decoy_scale,beta_decoy_term,lam_decoy_nuis,beta_decoy_nuis,lam_decoyS,beta_decoyS,beta_decoyS_term,lam_decoyS_nuis,beta_decoyS_nuis,lam_naive_bin,beta_naive_bin,lam_decoy_only,beta_decoy_only,beta_true_minus_decoy,ci_lam_naive_iid_lo,ci_lam_naive_iid_hi,ci_lam_nuis_iid_lo,ci_lam_nuis_iid_hi,ci_lam_decoy_iid_lo,ci_lam_decoy_iid_hi,ci_lam_naive_blk_lo,ci_lam_naive_blk_hi,ci_lam_nuis_blk_lo,ci_lam_nuis_blk_hi,ci_lam_decoy_blk_lo,ci_lam_decoy_blk_hi,ci_beta_naive_blk_lo,ci_beta_naive_blk_hi,ci_beta_decoy_blk_lo,ci_beta_decoy_blk_hi,boot_sd_lam_naive,boot_sd_lam_nuis,boot_sd_lam_decoy,ci_lam_decoyS_blk_lo,ci_lam_decoyS_blk_hi,ci_beta_decoyS_blk_lo,ci_beta_decoyS_blk_hi,se_ratio_naive,cover_lam_naive_iid,cover_lam_nuis_iid,cover_lam_decoy_iid,cover_lam_naive_blk,cover_lam_nuis_blk,cover_lam_decoy_blk,cover_beta_naive_blk,cover_beta_decoy_blk,cover_lam_decoyS_blk,cover_beta_decoyS_blk,cover_beta_nuis_blk,bias_lam_naive,relbias_lam_naive,relbias_beta_naive,bias_lam_naive_bin,relbias_lam_naive_bin,relbias_beta_naive_bin,bias_lam_nuis,relbias_lam_nuis,relbias_beta_nuis,bias_lam_decoy,relbias_lam_decoy,relbias_beta_decoy,bias_lam_decoy_nuis,relbias_lam_decoy_nuis,relbias_beta_decoy_nuis,bias_lam_decoyS,relbias_lam_decoyS,relbias_beta_decoyS,bias_lam_decoyS_nuis,relbias_lam_decoyS_nuis,relbias_beta_decoyS_nuis,signal_retained_naive,signal_retained_nuis,signal_retained_decoy,signal_retained_decoy_nuis,signal_retained_decoyS,signal_retained_decoyS_nuis,signal_retained_subtract,decoy_cost_vs_naive,ripley50,sweep,cfg_id,rep,clustering,autocorr_len_um,conf_strength,prevalence,window_um,beta_true_cfg,ell_over_lambda
11713,1171,0.09997438743276701,11.67681014077342,30.0,1.0,40.581556234181825,0.9957301451750641,0.5960963876629365,0.03371601023474191,1.0,1.068841550073384,0.5181275907579229,0.2971512699138248,23.57274544671867,1.9985266068219831,1.9795938375094622,0.10340967207037306,17.65787456171373,1.6223682034647893,1.8545125869440644,21.985537304673336,1.9592743451357544,1.8851566574118224,59.491137490359385,1.442978941412684,17.708243773800906,1.6393600989863821,25.86710262057823,1.8404204025342759,1.2530248552953758,17.683331402708504,1.639441200768956,24.0905140830199,2.0051741076009497,96.05422960655278,2.1470369670081464,-0.14186285940719667,19.692741525200123,27.452749368237217,14.023029891303363,21.292719232124096,18.290630256146166,25.680444353200507,18.83432281572168,31.317147447272216,13.630245829717975,23.229854666989784,18.164279259242605,28.324151689863914,1.7990194414041145,2.255945747961666,1.7504502451041783,2.2339455820072023,3.368254116484539,2.392731008200997,2.7044521233534717,21.409923410677955,32.25331495622845,1.6570154421205658,2.067732079123191,1.7014874731688183,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.42725455328133,-0.21424181844271098,0.9985266068219831,-5.909485916980099,-0.19698286389933664,1.0051741076009497,-12.34212543828627,-0.41140418127620904,0.6223682034647893,-8.014462695326664,-0.2671487565108888,0.9592743451357544,-12.291756226199094,-0.4097252075399698,0.6393600989863821,-4.13289737942177,-0.13776324598072567,0.8404204025342759,-12.316668597291496,-0.41055561990971656,0.639441200768956,1.9985266068219831,1.6223682034647893,1.9592743451357544,1.6393600989863821,1.8404204025342759,1.639441200768956,-0.14186285940719667,0.980359399993855,3.7603461306679256,prev,4,0,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11856,1186,0.10003373819163293,11.620018903165747,30.0,1.0,38.44051664653186,1.0,0.37566349784458025,0.04890127529321814,1.0,0.9735473027962744,0.44308506064394726,0.2931539999140864,22.81082551330481,1.7110739811167694,2.225380171563437,0.10401032991813573,17.46763037314295,1.483888391700252,1.9955555100364892,20.66496672763181,1.7631691832054446,2.0001071347596935,26.09563408705545,0.956853422818221,17.354889930092313,1.5061132769987242,21.73070388810091,1.71759076124147,0.9977528798456765,16.876110154280305,1.5069572343458788,24.566833759807206,1.6956055612720158,32.04303090533633,1.0746596176499144,0.6209459436221014,18.449080377040474,27.172570649569145,13.55634157347143,21.378919172814467,16.744756743502812,24.58517671176081,16.34387415045531,34.755728121954384,12.147843562375241,24.57592021481208,14.595143282762606,29.968738330772723,1.445995475870921,2.0193017561911573,1.4643580944227323,2.140534859105157,4.865141568042317,3.4070573757378035,4.0721872139522866,16.533686159477213,30.26535025169115,1.416073256633758,2.00874979200354,2.1862069367789503,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-7.18917448669519,-0.23963914955650634,0.7110739811167694,-5.433166240192794,-0.18110554133975978,0.6956055612720158,-12.53236962685705,-0.41774565422856835,0.4838883917002521,-9.33503327236819,-0.31116777574560633,0.7631691832054446,-12.645110069907687,-0.42150366899692293,0.5061132769987242,-8.269296111899092,-0.2756432037299697,0.71759076124147,-13.123889845719695,-0.43746299485732315,0.5069572343458788,1.7110739811167694,1.483888391700252,1.7631691832054446,1.5061132769987242,1.71759076124147,1.5069572343458788,0.6209459436221014,1.0304459086302475,3.4022689934919965,prev,4,1,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11827,1183,0.10002536568867845,11.678261257838386,30.0,1.0,38.24816123126851,1.0,0.36032640078739037,0.02907558888840878,1.0,0.9152329153764845,0.4398956352945048,0.28735501386195156,24.15666778288886,1.7289832063003796,2.412815245431126,0.09792306617304616,21.43842267135674,1.2940840105493723,2.639715445737935,22.622628222202717,1.798981566111528,2.1685230374021156,26.09563408705545,1.0578163341218334,21.29914009417475,1.3144015183618336,23.26659857685345,1.758254144681416,1.0744899970343902,20.32516135124805,1.3502719474602418,24.623615109578562,1.7359259112680052,24.88418330967619,1.0931386369547753,0.6427872743132299,19.427549901843854,28.885785663933866,16.26458039771039,26.61226494500309,18.37232306889457,26.872933375510865,19.00223360615972,31.659745378447358,15.959622275217887,31.62378419846168,18.096082302623135,29.25598432012268,1.5507685038956687,1.979776620515511,1.5820470885230202,2.026993952883923,3.1371605514890115,4.191877655787584,2.85498993150997,18.443390947687774,31.135643724784842,1.5662509982163686,2.0389208952345275,1.3002075303649943,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.84333221711114,-0.19477774057037134,0.7289832063003796,-5.376384890421438,-0.17921282968071459,0.7359259112680052,-8.56157732864326,-0.28538591095477533,0.2940840105493723,-7.377371777797283,-0.24591239259324277,0.798981566111528,-8.70085990582525,-0.29002866352750833,0.3144015183618336,-6.7334014231465495,-0.22444671410488498,0.7582541446814159,-9.674838648751951,-0.32249462162506504,0.3502719474602418,1.7289832063003796,1.2940840105493723,1.798981566111528,1.3144015183618336,1.758254144681416,1.3502719474602418,0.6427872743132299,1.0404852745567892,3.3914146722369933,prev,4,2,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11728,1173,0.10001705320600272,11.772385893263234,30.0,1.0,40.65083865954169,1.0,0.3561445469054983,0.0408947976199039,1.0,0.9550851605604429,0.4308204032895492,0.2906386402121976,34.98754132191165,1.8232960099303097,3.2277785222461737,0.06654945652112176,27.06679100536793,1.4969034297232549,2.6995228525611323,32.9702586528643,1.833771497170232,2.9557706290387356,116.20728725649008,1.7146251810809003,26.979165071503513,1.5158631078232394,36.19660950807417,1.8124192740267184,1.001221786297625,27.0231911704698,1.5153312714068004,36.40403845224561,1.8373003233988225,79.28052692595736,1.4836710099217225,0.3536293134771,28.66109541830915,41.31398722551415,21.77572621434811,32.357855796387746,27.17694821994838,38.763569085780226,25.188552175514076,49.88065855287295,20.14468989432166,37.98903003379843,24.25632211171146,47.727411483542085,1.6297888605156818,2.088672172474384,1.6470838976159228,2.1158917618999884,6.648865989511743,4.837189172619108,5.991962279185145,27.039141738675205,50.1596732083319,1.626178653171308,2.0465328908234195,2.0598891602032454,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.98754132191165,0.16625137739705498,0.8232960099303097,6.404038452245608,0.21346794840818692,0.8373003233988225,-2.9332089946320714,-0.09777363315440238,0.49690342972325485,2.9702586528643025,0.09900862176214341,0.8337714971702319,-3.0208349284964875,-0.10069449761654958,0.5158631078232394,6.196609508074168,0.20655365026913894,0.8124192740267184,-2.9768088295301993,-0.09922696098433997,0.5153312714068004,1.8232960099303097,1.4969034297232549,1.833771497170232,1.5158631078232394,1.8124192740267184,1.5153312714068004,0.3536293134771,1.0057453574092572,3.799955880961213,prev,4,3,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11709,1171,0.10000854043897857,11.707452694748882,30.0,1.0,41.513910071297225,0.9974380871050385,0.3427248450297757,0.020228377697353882,1.0,1.0274184347070023,0.44753227926349065,0.30351411247298465,36.88848279859112,1.9478143190082882,3.4525236637790697,0.06568177910986508,21.838842948301508,1.5545086427565855,2.301486979137958,29.580905781897165,1.9937886431546614,2.5623043805103265,116.20728725649008,2.2692470317633995,21.46913214000069,1.628970083465242,35.091639671669405,1.9030937406209483,1.315550883204202,21.320202428044553,1.629373660979863,38.178272491321216,1.9672275565226989,109.11481349040446,2.5073549169898985,-0.5401273604671997,30.121536417584146,43.655429179598094,17.32792846919111,26.349757427411905,24.558789196096924,34.603022367697406,26.509928948120187,55.98367696028812,15.692389222825852,32.06113421492338,22.016258958095307,42.48567548195587,1.7370488980290593,2.1984361612559566,1.757195279338317,2.267477937523708,7.353010817171098,4.065162331383832,5.400795579444768,26.903545628684604,51.3632169376639,1.6864469772824158,2.1459522701905867,2.129749578348328,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.88848279859112,0.22961609328637067,0.9478143190082882,8.178272491321216,0.2726090830440405,0.9672275565226989,-8.161157051698492,-0.2720385683899497,0.5545086427565855,-0.41909421810283476,-0.013969807270094493,0.9937886431546614,-8.530867859999312,-0.28436226199997705,0.6289700834652421,5.091639671669405,0.16972132238898016,0.9030937406209483,-8.679797571955447,-0.2893265857318482,0.629373660979863,1.9478143190082882,1.5545086427565855,1.9937886431546614,1.628970083465242,1.9030937406209483,1.629373660979863,-0.5401273604671997,1.0236030322283391,3.8273511775491706,prev,4,4,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11821,1182,0.0999915404788089,11.680449924359763,30.0,1.0,39.57858503446028,1.0,0.3676287106327276,0.028741693056492195,1.0,0.8714886012883241,0.39751279052986743,0.2864128019598712,28.701328934486607,1.6489014301530467,2.8570032457464167,0.08018654468360964,19.383820443592807,1.4127243637437583,2.21081097635715,27.79098139793419,1.6882218648157301,2.684480155774321,76.96462430176948,1.2037429968864883,19.275889631257616,1.437455750614217,29.380876800973283,1.6585481504877648,0.8906313497456068,18.952923565418857,1.4395003898391667,28.349834566199505,1.7372479193615473,47.786262466975366,1.159193212549317,0.5780547068122304,23.10160257282363,34.301055296149585,15.050630929932794,23.71700995725282,22.52940029261652,33.052562503251856,22.622965954069503,37.82531905383154,15.610187878121698,24.298845676876237,21.93062038553189,36.08082202513009,1.4485768495698867,1.8897390495493358,1.4789000860693042,1.9075197165791422,3.88603919028242,2.286088277816864,3.602679698520225,23.510491114464795,37.313956904981076,1.4413143109342004,1.8787304191848633,1.360180180427887,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.2986710655133926,-0.043289035517113085,0.6489014301530467,-1.6501654338004954,-0.055005514460016516,0.7372479193615473,-10.616179556407193,-0.35387265188023975,0.4127243637437583,-2.209018602065811,-0.0736339534021937,0.6882218648157301,-10.724110368742384,-0.3574703456247461,0.43745575061421693,-0.619123199026717,-0.020637439967557233,0.6585481504877648,-11.047076434581143,-0.3682358811527048,0.4395003898391667,1.6489014301530467,1.4127243637437583,1.6882218648157301,1.437455750614217,1.6585481504877648,1.4395003898391667,0.5780547068122304,1.023846443422051,3.3134373003754267,prev,4,5,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11892,1189,0.09998318197107299,11.641369404489856,30.0,1.0,41.29067805844005,1.0,0.484844695846516,0.04079397732479886,1.0,1.0255763026781037,0.48356530372525564,0.2848314844880984,24.92066601109427,1.7661523554644756,2.326873749617432,0.09855287709971015,19.24742238638979,1.4034424824732052,2.2060860692934106,22.831242811905447,1.826899067123356,2.0844604474816717,399.9999999999999,4.080707760724333,19.177167057825024,1.4117014915535306,27.83909906166918,1.6692570611945448,0.8198505459545529,19.26190051883083,1.406000934764554,24.316154524308665,1.8196181719309872,399.9999999999999,4.482833839504372,-2.663215667573385,20.359993461844102,29.481338560344437,14.923493690574706,23.571351082204874,18.74570033484137,26.916785288969525,19.07666216675185,32.68236980634888,14.713502076599285,25.811008548223636,18.25908298250801,29.841095712473898,1.5212063534846114,1.990711110840527,1.576914518019835,2.076572916975476,3.661636044296595,2.97608255418487,3.0683633722207238,21.93768252819806,36.89080039022925,1.4426262062872117,1.882279437060488,1.5736290139929658,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.079333988905731,-0.16931113296352435,0.7661523554644756,-5.683845475691335,-0.18946151585637783,0.8196181719309872,-10.75257761361021,-0.358419253787007,0.40344248247320524,-7.168757188094553,-0.2389585729364851,0.826899067123356,-10.822832942174976,-0.36076109807249923,0.41170149155353064,-2.160900938330819,-0.07203003127769397,0.6692570611945448,-10.738099481169169,-0.3579366493723056,0.4060009347645539,1.7661523554644756,1.4034424824732052,1.826899067123356,1.4117014915535306,1.6692570611945448,1.406000934764554,-2.663215667573385,1.034394944168282,3.9582575412861702,prev,4,6,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11776,1178,0.10003396739130435,11.654935474583999,30.0,1.0,41.73650124255566,0.9991511035653651,0.2829593648192187,0.02327426543392412,1.0,0.9450855820352941,0.45500513082099253,0.3003488046190122,19.85618037467162,1.8769811479378418,1.875825256197904,0.13101934475481572,17.210062230718,1.5479027521245317,1.9174218621416235,18.598598431956688,2.0170305211596053,1.663546128170388,99.57035020338009,1.6179476169656193,17.053755631545357,1.5659050876658986,22.04371662545569,1.7779633052789228,1.0272013978525034,17.15227154643357,1.5646184555370868,20.18589066202021,1.8693143328151476,88.88852343167441,1.5212091838780386,0.348105148937109,16.17956287252373,23.53279787681951,13.451915380920417,20.96820908051558,15.338048020742727,21.859148843170647,16.27376960034127,26.25993642332225,14.094223791788215,21.57802145707452,15.38381246605933,23.542289227205224,1.6032783820351386,2.25074999277121,1.6985666450578394,2.337298835711775,2.5128414204016036,1.9972323646214603,2.0887609504725466,18.293004670778377,28.89326768746272,1.5047858465969886,2.1465876068345406,1.339592487146091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.14381962532838,-0.3381273208442793,0.8769811479378418,-9.81410933797979,-0.32713697793265967,0.8693143328151476,-12.789937769282002,-0.4263312589760667,0.5479027521245317,-11.401401568043312,-0.38004671893477704,1.0170305211596053,-12.946244368454643,-0.4315414789484881,0.5659050876658986,-7.956283374544309,-0.26520944581814365,0.7779633052789228,-12.847728453566429,-0.42825761511888094,0.5646184555370868,1.8769811479378418,1.5479027521245317,2.0170305211596053,1.5659050876658986,1.7779633052789228,1.5646184555370868,0.348105148937109,1.074614160816495,3.8640528331527695,prev,4,7,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11658,1166,0.10001715560130382,11.636038693738989,30.0,1.0,42.12317761688696,1.0,0.4397422515718006,0.02308522686436003,1.0,1.0557881606878616,0.5004340873784536,0.30661169188534665,38.88828061659139,1.8997257572831943,3.587302799394783,0.06297625486172712,30.362594161993844,1.398782737236966,3.3423499363010025,35.70879784991228,1.8660912854418472,3.2500944850189084,41.48373388526971,0.9701552475109824,30.3325468741794,1.3916152704418359,36.46808719103576,1.8656953778843737,0.9517223011845521,30.343712297718362,1.3991441790486259,39.562841321499185,1.8996428304146602,39.408973347292,1.215770716296006,0.6838721141186541,31.857167129777615,45.91939410340516,23.81158828684388,36.91360003714381,29.33861265927522,42.07898304054934,28.75364260488342,57.95767892172094,22.137897954081637,42.119949817251396,27.59466489327907,49.010981990269556,1.7157212574699054,2.135345966699012,1.6868299977156838,2.077048653918018,7.844062683397124,5.110852794538333,5.924461334491282,28.29238400912397,48.84891712912578,1.6869090691965585,2.0595498008121806,2.1866185047776012,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.888280616591388,0.29627602055304625,0.8997257572831943,9.562841321499185,0.3187613773833062,0.8996428304146602,0.36259416199384376,0.012086472066461459,0.3987827372369659,5.70879784991228,0.19029326166374266,0.8660912854418472,0.33254687417939977,0.011084895805979992,0.39161527044183586,6.468087191035757,0.21560290636785856,0.8656953778843737,0.343712297718362,0.011457076590612066,0.39914417904862587,1.8997257572831943,1.398782737236966,1.8660912854418472,1.3916152704418359,1.8656953778843737,1.3991441790486259,0.6838721141186541,0.982295090903306,3.9732992209473594,prev,4,8,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
11763,1176,0.09997449630196378,11.711601736974021,30.0,1.0,43.538169851207556,1.0,0.3456448756702908,0.020356645728438948,1.0,1.0060816892082047,0.4462484457120448,0.29335034900858603,23.097624431399755,1.8623406554308308,2.062668537563198,0.10768973968224987,21.453583968950305,1.506096149829255,2.200698811241445,20.898764187511144,1.8930728884368764,1.883608900984306,41.48373388526971,0.968357741158531,21.306012234643617,1.5106932989311186,23.07406802559529,1.798660370278933,0.9430610618516898,21.1479830306278,1.5107390044627553,24.167929918895897,1.8747167599644297,64.6797308794445,1.3876953962867398,0.4870213636776899,19.054794097775886,27.140454765023623,17.140214298917073,25.766953638983537,17.206890741581905,24.590637633440384,17.871169352842603,30.410981496454628,16.120183640711677,28.486246729764275,16.539014985861673,26.48564567076146,1.6716029585818133,2.139765744242502,1.70021851169728,2.2139824814082516,3.0879384915463564,3.1808136731061873,2.6162859155426763,18.61425940021838,29.553906948890024,1.5857776828835457,2.1206291919792295,1.4970599664037127,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.902375568600245,-0.23007918562000818,0.8623406554308308,-5.832070081104103,-0.19440233603680343,0.8747167599644297,-8.546416031049695,-0.28488053436832317,0.5060961498292551,-9.101235812488856,-0.30337452708296186,0.8930728884368764,-8.693987765356383,-0.28979959217854606,0.5106932989311186,-6.925931974404708,-0.2308643991468236,0.798660370278933,-8.852016969372201,-0.2950672323124067,0.5107390044627553,1.8623406554308308,1.506096149829255,1.8930728884368764,1.5106932989311186,1.798660370278933,1.5107390044627553,0.4870213636776899,1.0165019395975845,3.998457369540629,prev,4,9,1.5,30.0,1.0,0.1,2000.0,1.0,1.0
