n_cells,n_senders,prevalence_real,median_nn_um,lam_true,beta_true,med_d_sender,match_rate,max_smd_before,max_smd_after,smd_pass,u_sender_mean,u_decoy_mean,u_all_mean,lam_naive,beta_naive,se_lam_naive,se_beta_naive,lam_nuis,beta_nuis,se_lam_nuis,lam_decoy,beta_decoy,se_lam_decoy,lam_decoy_scale,beta_decoy_term,lam_decoy_nuis,beta_decoy_nuis,lam_decoyS,beta_decoyS,beta_decoyS_term,lam_decoyS_nuis,beta_decoyS_nuis,lam_naive_bin,beta_naive_bin,lam_decoy_only,beta_decoy_only,beta_true_minus_decoy,ci_lam_naive_iid_lo,ci_lam_naive_iid_hi,ci_lam_nuis_iid_lo,ci_lam_nuis_iid_hi,ci_lam_decoy_iid_lo,ci_lam_decoy_iid_hi,ci_lam_naive_blk_lo,ci_lam_naive_blk_hi,ci_lam_nuis_blk_lo,ci_lam_nuis_blk_hi,ci_lam_decoy_blk_lo,ci_lam_decoy_blk_hi,ci_beta_naive_blk_lo,ci_beta_naive_blk_hi,ci_beta_decoy_blk_lo,ci_beta_decoy_blk_hi,boot_sd_lam_naive,boot_sd_lam_nuis,boot_sd_lam_decoy,ci_lam_decoyS_blk_lo,ci_lam_decoyS_blk_hi,ci_beta_decoyS_blk_lo,ci_beta_decoyS_blk_hi,se_ratio_naive,cover_lam_naive_iid,cover_lam_nuis_iid,cover_lam_decoy_iid,cover_lam_naive_blk,cover_lam_nuis_blk,cover_lam_decoy_blk,cover_beta_naive_blk,cover_beta_decoy_blk,cover_lam_decoyS_blk,cover_beta_decoyS_blk,cover_beta_nuis_blk,bias_lam_naive,relbias_lam_naive,relbias_beta_naive,bias_lam_naive_bin,relbias_lam_naive_bin,relbias_beta_naive_bin,bias_lam_nuis,relbias_lam_nuis,relbias_beta_nuis,bias_lam_decoy,relbias_lam_decoy,relbias_beta_decoy,bias_lam_decoy_nuis,relbias_lam_decoy_nuis,relbias_beta_decoy_nuis,bias_lam_decoyS,relbias_lam_decoyS,relbias_beta_decoyS,bias_lam_decoyS_nuis,relbias_lam_decoyS_nuis,relbias_beta_decoyS_nuis,signal_retained_naive,signal_retained_nuis,signal_retained_decoy,signal_retained_decoy_nuis,signal_retained_decoyS,signal_retained_decoyS_nuis,signal_retained_subtract,decoy_cost_vs_naive,ripley50,sweep,cfg_id,rep,clustering,autocorr_len_um,conf_strength,prevalence,window_um,beta_true_cfg,ell_over_lambda,regime
12455,623,0.050020072260136494,11.68058386215101,30.0,1.0,37.3961215279062,0.9983948635634029,0.10458753142701747,0.06415194919349994,1.0,0.17025562394463314,0.017270997375984438,0.002872982919698942,23.4766031637823,1.0602038242181338,3.0851018240049086,0.06906849035047856,24.370440883296975,1.0611906940011027,3.2457854631312593,23.62864319035783,1.064620677199271,3.0957890564432677,399.9999999999999,-0.4367772339221593,24.346587228590305,1.0617033209963704,24.17038185848274,1.0460182149588946,-0.0987799480113789,24.902811530341204,1.0620077409753599,26.434759442567973,1.0295917533083476,3.0000000000000004,-1.8032126211787634,2.832804374487111,17.429803588732682,29.52340273883192,18.008701375559706,30.732180391034245,17.560896639729027,29.696389740986636,18.08407126358515,31.199376638112188,19.00199286126478,31.438280177733958,18.15671301762624,31.30597972251766,0.9458234905986883,1.2408730431873694,0.9463138899214651,1.2432432033150849,3.13639157518665,3.159636665899866,3.1817646048306765,18.459108847878937,32.52274050263049,0.935932613713825,1.2398794571237568,1.0166249783986578,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6.5233968362176995,-0.21744656120725664,0.06020382421813375,-3.565240557432027,-0.1188413519144009,0.029591753308347624,-5.629559116703025,-0.1876519705567675,0.06119069400110266,-6.371356809642169,-0.21237856032140562,0.064620677199271,-5.653412771409695,-0.18844709238032314,0.06170332099637044,-5.829618141517258,-0.19432060471724194,0.04601821495889458,-5.097188469658796,-0.16990628232195987,0.06200774097535988,1.0602038242181338,1.0611906940011027,1.064620677199271,1.0617033209963704,1.0460182149588946,1.0620077409753599,2.832804374487111,1.0041660413594475,1.0101768236486173,clean,1,0,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12444,622,0.04998392799742848,11.715231336300645,30.0,1.0,37.36377272905854,1.0,0.2306336839938969,0.08175491439951618,1.0,0.12109608244215272,0.14131502164491333,-0.0008322508421600868,27.73100781839428,0.955805399498207,4.1468221212339476,0.05680123496771399,26.733270679238192,0.9545838312996722,4.0275493858834315,27.5517454051063,0.9572847981896424,4.106954047185381,11.44678261557606,0.13083350480575798,26.75205946297789,0.9588847108618694,27.399728221477382,0.9565975441405103,0.07241637461900578,26.6401092423974,0.9590123219642661,45.93397581308542,0.9984404040001617,399.9999999999999,0.3150518201216677,0.6833885838784939,19.60323646077574,35.85877917601282,18.839273882906667,34.62726747556972,19.502115472622954,35.601375337589644,20.54063599289679,38.00618093571655,19.981100800370097,36.09967560667723,20.45070275056423,37.53493330495265,0.8682025784752352,1.0960808005940232,0.8695126218631193,1.1039537875772885,4.498860420837381,4.227036510778647,4.41888923617701,20.278186096547714,37.920582213710226,0.8700534490980069,1.1017452328890247,1.08489351346922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.2689921816057215,-0.07563307272019072,-0.044194600501793024,15.933975813085418,0.5311325271028473,-0.001559595999838348,-3.266729320761808,-0.10889097735872694,-0.04541616870032783,-2.448254594893701,-0.0816084864964567,-0.042715201810357595,-3.24794053702211,-0.10826468456740367,-0.04111528913813056,-2.600271778522618,-0.08667572595075394,-0.04340245585948965,-3.3598907576025994,-0.11199635858675332,-0.04098767803573389,0.955805399498207,0.9545838312996722,0.9572847981896424,0.9588847108618694,0.9565975441405103,0.9590123219642661,0.6833885838784939,1.001547803237157,1.0600414900196584,clean,1,1,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12487,624,0.04997197084968367,11.666053667535333,30.0,1.0,37.36191325687162,1.0,0.14235034832870172,0.05552773861235566,1.0,0.09419947742922503,0.13615099799789343,-0.0036748474180275004,28.32502919276116,1.0431652466750052,3.8424880838578677,0.05413677635833621,28.742034341772097,1.0503339718533777,3.9144872531979993,28.34544691904507,1.0451493895459718,3.839222346716708,399.9999999999999,0.1537704173192283,28.846590240885174,1.0551114017877359,28.405194386580106,1.0436330658109867,0.01060412687433638,28.923556978104944,1.0519255175386362,31.134995304276593,1.0406578173993357,5.294743602681767,-0.378982847995183,1.4196406653945188,20.79375254839974,35.856305837122584,21.06963932550402,36.414429358040174,20.820571119480324,35.87032271860982,22.365581447000185,38.84651659326036,22.54688530541694,39.9287623665742,22.35027766133487,38.696680437008204,0.9348329761542087,1.183347977193671,0.934546012447369,1.180735761777179,4.201456080564367,4.333969060950478,4.209706764515658,22.338098873216435,38.75932038125592,0.934833272766109,1.1801923924019617,1.0934207182618234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.6749708072388394,-0.05583236024129465,0.04316524667500521,1.1349953042765932,0.03783317680921978,0.040657817399335716,-1.2579656582279028,-0.04193218860759676,0.050333971853377735,-1.6545530809549298,-0.055151769365164326,0.04514938954597181,-1.153409759114826,-0.0384469919704942,0.05511140178773588,-1.5948056134198936,-0.053160187113996456,0.04363306581098669,-1.0764430218950558,-0.03588143406316853,0.05192551753863617,1.0431652466750052,1.0503339718533777,1.0451493895459718,1.0551114017877359,1.0436330658109867,1.0519255175386362,1.4196406653945188,1.001902040810208,1.0591263119267749,clean,1,2,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12625,631,0.04998019801980198,11.634858464003296,30.0,1.0,37.12179089913993,1.0,0.1716240940792671,0.029158445528295412,1.0,0.1087924763857406,0.10389210936132659,-0.0027980285397533225,26.76201453693989,1.0745538934998295,3.3747134947186512,0.058255728330513505,26.494653390224723,1.0693728460260152,3.365148129508232,26.895404408581683,1.0636940823859053,3.431120189704478,399.9999999999999,0.24690317126927552,26.705268086808857,1.0744063940710928,26.962039611822306,1.0630668120187756,0.055266490027229956,26.714103431090916,1.0731580497177091,28.413916716917214,1.0672117272594943,3.0000000000000004,0.6620984797910577,0.4051132474684366,20.147576087291334,33.37645298658845,19.898963056388588,33.09034372406086,20.170408836760906,33.62039998040246,19.772335165962353,36.56351529691963,19.959918334333288,35.88669771509291,19.780107190465102,36.67666527339974,0.9640181574673929,1.2226583851250707,0.9653907814701232,1.2251824232746207,4.06825824511638,4.000323220913939,4.064694898975347,19.786215533645255,36.877374082750876,0.9617359192876089,1.21068510185501,1.2055121868813783,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.2379854630601095,-0.10793284876867032,0.07455389349982955,-1.586083283082786,-0.0528694427694262,0.06721172725949431,-3.505346609775277,-0.11684488699250922,0.06937284602601523,-3.1045955914183168,-0.10348651971394389,0.06369408238590535,-3.294731913191143,-0.10982439710637143,0.07440639407109284,-3.0379603881776944,-0.10126534627258982,0.06306681201877562,-3.2858965689090844,-0.10952988563030282,0.07315804971770912,1.0745538934998295,1.0693728460260152,1.0636940823859053,1.0744063940710928,1.0630668120187756,1.0731580497177091,0.4051132474684366,0.9898936561678133,0.9801479590048495,clean,1,3,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12669,633,0.049964480227326545,11.605239540797184,30.0,1.0,37.03154888167887,1.0,0.13571983189791076,0.0478669272783543,1.0,0.06315802129809973,0.08547700730879232,0.007391133585349506,27.39109706015534,1.0402978939968046,3.8227033766201224,0.05460812978298569,27.518702892377465,1.041175510095062,3.867235859852873,27.39686399298325,1.0386034230224406,3.8299466219106097,5.02110168356668,-0.4824331717889737,27.4759467960691,1.0385798213121704,27.141031994925257,1.0388855799975127,-0.04338771747565432,27.20976879562032,1.0386616123087729,29.193767072565386,1.0887619495646272,4.679146511870316,-0.9013197278013887,1.990081677366016,19.8985984419799,34.88359567833078,19.938920607065835,35.0984851776891,19.890168614038455,34.90355937192805,21.791129256722893,34.87747302876062,21.87454896523133,35.374133513633495,21.967989219523105,34.97136212905727,0.9362899952675661,1.1694955922398407,0.9361560126471253,1.1748078816876024,3.2908535110782258,3.3857210309429053,3.3074450633555665,21.943756748032392,34.26768749831878,0.9366347377363582,1.178686590505562,0.8608707469183402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.6089029398446613,-0.08696343132815537,0.04029789399680461,-0.806232927434614,-0.026874430914487137,0.08876194956462724,-2.4812971076225345,-0.08270990358741782,0.04117551009506193,-2.603136007016751,-0.08677120023389169,0.038603423022440575,-2.524053203930901,-0.0841351067976967,0.038579821312170415,-2.8589680050747432,-0.09529893350249144,0.03888557999751274,-2.7902312043796798,-0.093007706812656,0.03866161230877285,1.0402978939968046,1.041175510095062,1.0386034230224406,1.0385798213121704,1.0388855799975127,1.0386616123087729,1.990081677366016,0.998371167543314,1.028273950291203,clean,1,4,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12510,626,0.050039968025579536,11.681268383291744,30.0,1.0,36.70402601453572,1.0,0.14237067361794065,0.019372818148228697,1.0,0.049542332074776756,0.04719657031962358,0.007806793665851163,29.48456303714389,0.9767557658567235,4.425781506595418,0.05201184669939956,29.71524789825608,0.9731684697031623,4.522005465539757,29.490392184766257,0.9776492666172168,4.423056879217733,19.158486487496916,0.06779992721338346,29.880797330792152,0.9767747395699012,29.413055442392167,0.9774535742864342,0.057786166775583646,29.818939828924925,0.9767641982023084,31.23640935005696,1.0040786236787687,33.71297139685991,0.03209251016291968,0.971986113515849,20.81003128421687,38.15909479007091,20.852117185798157,38.578378610714005,20.8212007014995,38.159583668033015,22.59479021308025,41.26417397040502,23.15636688457751,41.85749743318026,22.561695846699443,41.190057892973606,0.8779392343336824,1.0951580479874823,0.8815815076180875,1.0997999911894436,4.99816937164119,5.066734071161055,5.011889678449936,22.57583165480657,40.84004533458676,0.8804964975974776,1.0970062588642362,1.1293303485933013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5154369628561106,-0.017181232095203686,-0.023244234143276477,1.2364093500569595,0.04121364500189865,0.004078623678768656,-0.2847521017439192,-0.009491736724797306,-0.026831530296837713,-0.5096078152337427,-0.01698692717445809,-0.02235073338278315,-0.11920266920784783,-0.003973422306928261,-0.02322526043009876,-0.5869445576078327,-0.019564818586927758,-0.0225464257135658,-0.18106017107507455,-0.0060353390358358185,-0.02323580179769158,0.9767557658567235,0.9731684697031623,0.9776492666172168,0.9767747395699012,0.9774535742864342,0.9767641982023084,0.971986113515849,1.0009147637431244,0.9893526180912429,clean,1,5,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12392,620,0.0500322788896062,11.677575828853023,30.0,1.0,38.24154852891542,0.9983870967741936,0.1262427496293096,0.10034488360917597,0.0,0.09035984088382494,0.06658685365368257,0.008069311528896759,26.173388950278817,1.0539878820133437,3.3878829479782833,0.06105355164615495,26.104805153952437,1.0538151072045152,3.3844875476027902,26.17531300117428,1.0551574500598722,3.384568036145093,4.086278021609768,0.5569010904142032,26.124039133213163,1.0556195212497015,26.130090096499128,1.0548494427818802,0.021916681582883863,26.077481354958095,1.055372437693626,25.075842949845732,1.0873484608875443,399.9999999999999,0.042808346768867196,1.0445401141186772,19.533138372241382,32.81363952831625,19.47120956065097,32.738400747253905,19.541559650329898,32.80906635201866,20.08489057383024,37.418374697219654,19.98139051833016,37.18780055833821,20.07678215139058,37.45859243236692,0.9698433483898657,1.185862739325412,0.9721499932062988,1.1916566607191836,4.3833722316194805,4.3565680132043605,4.381834706703045,20.013390570434243,37.474460981264855,0.9724203708384725,1.1844931669431646,1.2938381576126339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-3.8266110497211834,-0.1275537016573728,0.0539878820133437,-4.9241570501542675,-0.1641385683384756,0.08734846088754433,-3.8951948460475627,-0.12983982820158543,0.05381510720451521,-3.824686998825719,-0.12748956662752395,0.05515745005987216,-3.875960866786837,-0.12919869555956123,0.05561952124970149,-3.869909903500872,-0.1289969967833624,0.0548494427818802,-3.9225186450419045,-0.13075062150139682,0.05537243769362599,1.0539878820133437,1.0538151072045152,1.0551574500598722,1.0556195212497015,1.0548494427818802,1.055372437693626,1.0445401141186772,1.0011096598608842,1.1249294163376715,clean,1,6,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12525,626,0.04998003992015968,11.666960196695687,30.0,1.0,36.557401100634294,1.0,0.13808148732957806,0.060205800782971816,1.0,0.08714418087979413,0.15269695328529792,0.00322259334064995,31.493865783689092,1.007604494029051,4.723838571845682,0.048141400117398855,31.64527256251733,1.0122437538161824,4.756137212642563,31.39377312091428,1.0063871487051368,4.710095634066172,399.9999999999999,0.11113535297772305,31.562800849838787,1.011707988558949,31.509694716049204,1.0075058651151403,0.004096648295531071,31.69885401728648,1.012249717866025,33.28476660362867,1.0506613429093208,399.9999999999999,0.39252461134281347,0.6581367315665073,22.235142182871556,40.75258938450663,22.32324362573791,40.96730149929675,22.161985678144582,40.625560563683976,25.22289834170537,39.707623178173556,25.315793152689494,40.12677509754563,25.2143346786652,39.63425071673089,0.9242757333235924,1.098491884046351,0.9235198990834219,1.0984469226001956,3.7779785618376716,3.8567736360308937,3.759689340423611,25.327547564636983,39.94842073029383,0.924070837806531,1.0991393380872894,0.7997687694822206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4938657836890918,0.04979552612296973,0.0076044940290509455,3.2847666036286682,0.10949222012095561,0.05066134290932078,1.6452725625173308,0.054842418750577694,0.012243753816182368,1.393773120914279,0.04645910403047596,0.0063871487051367914,1.562800849838787,0.0520933616612929,0.011707988558949056,1.5096947160492036,0.05032315720164012,0.007505865115140287,1.6988540172864788,0.056628467242882626,0.012249717866025023,1.007604494029051,1.0122437538161824,1.0063871487051368,1.011707988558949,1.0075058651151403,1.012249717866025,0.6581367315665073,0.9987918421055801,0.9078008345751193,clean,1,7,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12578,629,0.05000795038956909,11.595037189861284,30.0,1.0,37.34094020710664,0.9984101748807631,0.1441832385619376,0.03012665457358158,1.0,0.07231291891474087,0.17103113493179897,0.0018896038258437123,34.51671784693866,0.9942472658393874,5.450616631878944,0.04622756167712376,34.462377064913234,0.9974937207051723,5.470898826238501,34.305627344372944,0.9936921780900512,5.405776975612166,3.6863142867518177,0.7357498266726524,34.321117028834735,0.9979590642974461,34.9186982571275,0.9919430764536429,-0.02886167583517224,34.766822739304764,0.9942453313998384,35.56990536332227,1.052760686659995,6.635128034789979,0.12075060535731166,0.9320100813026834,23.833509248455933,45.19992644542139,23.739415365485772,45.1853387643407,23.7103044721731,44.90095021657279,26.52374306753298,51.76931888987987,26.489364409068205,52.416958793403616,26.27073662114669,51.41014528760867,0.9087863868936215,1.1004055430281159,0.9074226543646814,1.1016576467257648,6.160607930721018,6.407529507243895,6.1185677363771465,26.754580536274432,51.76503610970714,0.9097231972776261,1.102998656910217,1.1302588948724734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.516717846938661,0.15055726156462204,-0.005752734160612616,5.56990536332227,0.18566351211074233,0.052760686659995004,4.462377064913234,0.14874590216377445,-0.002506279294827718,4.305627344372944,0.14352091147909812,-0.00630782190994883,4.321117028834735,0.14403723429449117,-0.0020409357025539254,4.918698257127502,0.16395660857091673,-0.00805692354635712,4.766822739304764,0.1588940913101588,-0.005754668600161605,0.9942472658393874,0.9974937207051723,0.9936921780900512,0.9979590642974461,0.9919430764536429,0.9942453313998384,0.9320100813026834,0.9994417005020702,1.0772352337031077,clean,1,8,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
12406,620,0.04997581815250685,11.719312763099257,30.0,1.0,38.044687178648985,0.9983870967741936,0.21468549789017968,0.046465291265437685,1.0,0.10539625960783879,0.0953678880327978,-0.0010899779582993886,36.321517199441494,0.9435219576797383,5.768938954635739,0.04493378806279152,35.5727742810218,0.9382578121734934,5.653360308621918,35.44012297494524,0.93625343133454,5.610063502717884,399.9999999999999,0.37203615545315494,34.81277510896323,0.9350328280767646,36.26337719437832,0.9388731579643651,0.08332487770929149,35.71427275958671,0.9369819333382666,39.96429742087549,0.9372127863922225,399.9999999999999,0.593384465887885,0.34382832050433754,25.014396848355446,47.62863755052754,24.49218807612284,46.65336048592076,24.44439850961819,46.43584744027229,26.45249309090447,53.67426884816681,26.07532894791223,49.67728594926294,26.333108473804128,51.28032606552859,0.8631710502213936,1.0411174315885128,0.8584146271391301,1.0362014495391971,6.547268332024489,6.13687682931772,6.284891385851593,26.42094134810251,54.34774473045878,0.8585077167695346,1.038880404872008,1.134917249689964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.3215171994414945,0.21071723998138314,-0.05647804232026166,9.96429742087549,0.3321432473625163,-0.0627872136077775,5.5727742810218,0.1857591427007267,-0.061742187826506645,5.44012297494524,0.18133743249817466,-0.06374656866546002,4.81277510896323,0.160425836965441,-0.06496717192323542,6.263377194378322,0.20877923981261073,-0.0611268420356349,5.714272759586713,0.19047575865289043,-0.06301806666173337,0.9435219576797383,0.9382578121734934,0.93625343133454,0.9350328280767646,0.9388731579643651,0.9369819333382666,0.34382832050433754,0.9922963887739584,1.0582430073329072,clean,1,9,0.0,7.5,0.0,0.05,2000.0,1.0,0.25,pure
