cell_type,gene,n_pmid,n_labels_claiming,kept,tierB_member,scope,pmids
Neutrophils,CEACAM3,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),31942077.0;34054812.0
Neutrophils,CEACAM8,33,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;15754803.0;19820230.0;25729037.0;25799053.0;26970376.0;27708229.0;30962246.0;31040119.0;31258530.0;31353807.0;31402918.0;31610266.0;31615816.0;31702112.0;31860339.0;32114386.0;32499656.0;32753728.0;32810438.0;32814027.0;32818801.0;32912924.0;33044746.0;33841435.0;33959124.0;34128959.0;34267752.0;34464357.0;34731593.0;34914922.0;35251050.0;35338085.0
Neutrophils,CLC,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;34389613.0
Neutrophils,CR1,2,2,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;32912924.0
Neutrophils,CSF3R,15,1,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;30093597.0;31524634.0;32603604.0;32685004.0;33326802.0;33657410.0;33986743.0;34054812.0;34128959.0;34603282.0;34782790.0;34914922.0;35111153.0;35377806.0
Neutrophils,ELANE,5,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32311026.0;33296687.0;34782790.0;35186442.0;35358095.0
Neutrophils,ENPP3,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),25799053.0;32912924.0
Neutrophils,FCGR3A,31,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;2196350.0;23260596.0;25799053.0;26970376.0;30898857.0;31402908.0;31524634.0;31907005.0;32161403.0;32810438.0;32810439.0;32814027.0;32818801.0;32912924.0;32983174.0;33326802.0;33584717.0;33813036.0;33841435.0;33868315.0;33986743.0;34012444.0;34233737.0;34330889.0;34407944.0;34721400.0;34731593.0;35048186.0;35095871.0;35186442.0
Neutrophils,FCGR3B,18,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),24504953.0;25170899.0;30093597.0;31754025.0;31942077.0;32923142.0;33208946.0;33296687.0;34054812.0;34128959.0;34132762.0;34330889.0;34618691.0;34914922.0;35111153.0;35154475.0;35186442.0;35219893.0
Neutrophils,FPR1,5,1,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),2319438.0;30093597.0;32685004.0;33326802.0;34054812.0
Neutrophils,FPR2,4,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;33326802.0;34054812.0;34228647.0
Neutrophils,FUT4,26,2,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;16836616.0;23260596.0;25799053.0;27867036.0;31040119.0;31402908.0;32161403.0;32193378.0;32497024.0;32699134.0;32810438.0;32810439.0;32818801.0;32912924.0;32983107.0;33016928.0;33242413.0;33429418.0;33584717.0;33746955.0;33841435.0;34184758.0;34197832.0;34253573.0;34836966.0
Neutrophils,G0S2,3,1,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;32810439.0;34054812.0
Neutrophils,IL1R2,4,1,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;32603604.0;32810439.0;34228647.0
Neutrophils,IL1RN,2,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;32810439.0
Neutrophils,IL3RA,4,2,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),25799053.0;32912924.0;34616409.0;34731593.0
Neutrophils,ITGA2B,2,2,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32912924.0;34484199.0
Neutrophils,ITGAM,5,1,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),34026328.0;34267752.0;34721400.0;34804043.0;35108499.0
Neutrophils,KCNJ15,3,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;31942077.0;34054812.0
Neutrophils,MME,12,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;31945345.0;32810438.0;32818801.0;32912924.0;33584717.0;33841435.0;34054812.0;34721400.0;34731593.0;35095871.0;35216673.0
Neutrophils,MMP9,2,1,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;34782790.0
Neutrophils,MPO,14,1,yes,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),10213270.0;18825001.0;1978685.0;31819035.0;32492433.0;33296687.0;33352111.0;34184758.0;34349096.0;34782790.0;34971568.0;35120600.0;35186442.0;35358095.0
Neutrophils,PRTN3,4,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),31353807.0;32492433.0;33352111.0;35186442.0
Neutrophils,RSAD2,2,1,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32810439.0;34782790.0
Neutrophils,SELL,7,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;30093597.0;32912924.0;33868315.0;34721400.0;35095871.0;35186442.0
Neutrophils,SPN,4,1,no_below_cap,no,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),;32810438.0;33841435.0;35216673.0
Neutrophils,TFRC,2,2,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),32814027.0;32912924.0
Neutrophils,TNFRSF10C,3,1,no_below_cap,yes,ALL-TISSUE FALLBACK >=2 PMID (5 spleen rows),30093597.0;31942077.0;34054812.0
Mesothelial cells,ACTA2,1,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33406409.0
