cell_type,gene,n_pmid,n_labels_claiming,kept,tierB_member,scope,pmids
CD4 T cells,TCF7,1,2,yes,no,spleen-only (37 rows),32351704.0
CD4 T cells,TRAC,1,2,yes,no,spleen-only (37 rows),34872616.0
CD8 T cells,CCR7,1,4,no_promiscuous,no,spleen-only (42 rows),32351704.0
CD8 T cells,CD3D,1,3,yes,no,spleen-only (42 rows),34872616.0
CD8 T cells,CD3E,2,2,yes,no,spleen-only (42 rows),31892341.0;34872616.0
CD8 T cells,CD8A,5,2,yes,no,spleen-only (42 rows),31610266.0;31892341.0;32351704.0;34678650.0;34872616.0
CD8 T cells,CD8B,2,1,yes,no,spleen-only (42 rows),32351704.0;34872616.0
CD8 T cells,CXCR3,1,2,yes,no,spleen-only (42 rows),32351704.0
CD8 T cells,GZMA,1,1,yes,yes,spleen-only (42 rows),31610266.0
CD8 T cells,IL7R,1,3,yes,yes,spleen-only (42 rows),34872616.0
CD8 T cells,ITGA1,1,2,yes,no,spleen-only (42 rows),32351704.0
CD8 T cells,LEF1,1,2,yes,no,spleen-only (42 rows),32351704.0
CD8 T cells,MAL,1,2,yes,no,spleen-only (42 rows),32351704.0
CD8 T cells,MYC,1,2,yes,yes,spleen-only (42 rows),32351704.0
CD8 T cells,PRF1,1,2,yes,no,spleen-only (42 rows),31610266.0
CD8 T cells,SELL,1,4,no_promiscuous,yes,spleen-only (42 rows),32351704.0
CD8 T cells,SOCS3,1,2,yes,yes,spleen-only (42 rows),32351704.0
CD8 T cells,TCF7,1,2,yes,no,spleen-only (42 rows),32351704.0
CD8 T cells,TRAC,1,2,yes,no,spleen-only (42 rows),34872616.0
CD8 T cells,TRDC,1,1,no_below_cap,no,spleen-only (42 rows),34872616.0
NK cells,B3GAT1,1,1,yes,no,spleen-only (37 rows),35173710.0
NK cells,CCL4,1,1,yes,yes,spleen-only (37 rows),34872616.0
NK cells,CCL5,1,2,yes,yes,spleen-only (37 rows),34872616.0
NK cells,CCR7,1,4,no_promiscuous,no,spleen-only (37 rows),32351704.0
NK cells,CD160,1,1,yes,no,spleen-only (37 rows),31892341.0
NK cells,CD247,1,1,yes,no,spleen-only (37 rows),34872616.0
NK cells,CD7,1,1,yes,no,spleen-only (37 rows),34872616.0
NK cells,CST7,1,1,yes,no,spleen-only (37 rows),34872616.0
NK cells,CX3CR1,2,1,yes,no,spleen-only (37 rows),32351704.0;35173710.0
NK cells,CXCR3,1,2,yes,no,spleen-only (37 rows),32351704.0
NK cells,CXCR6,1,1,yes,no,spleen-only (37 rows),32351704.0
NK cells,FCGR3A,2,2,yes,no,spleen-only (37 rows),31892341.0;35173710.0
NK cells,GNLY,1,1,no_below_cap,no,spleen-only (37 rows),34872616.0
NK cells,GZMB,1,1,no_below_cap,no,spleen-only (37 rows),34872616.0
NK cells,GZMK,1,1,no_below_cap,no,spleen-only (37 rows),34872616.0
NK cells,ITGA5,1,1,no_below_cap,yes,spleen-only (37 rows),35173710.0
NK cells,KLRC2,1,1,no_below_cap,no,spleen-only (37 rows),35173710.0
NK cells,KLRD1,2,2,yes,no,spleen-only (37 rows),34872616.0;35173710.0
NK cells,KLRF1,2,1,yes,no,spleen-only (37 rows),32351704.0;34872616.0
NK cells,KLRK1,1,1,no_below_cap,yes,spleen-only (37 rows),35173710.0
NK cells,NCAM1,2,1,yes,no,spleen-only (37 rows),31892341.0;32351704.0
NK cells,NCR1,2,1,yes,no,spleen-only (37 rows),31892341.0;33272899.0
NK cells,NKG7,1,1,no_below_cap,no,spleen-only (37 rows),34872616.0
NK cells,PRF1,1,2,no_below_cap,no,spleen-only (37 rows),34872616.0
NK cells,SELL,1,4,no_promiscuous,yes,spleen-only (37 rows),35173710.0
Follicular dendritic cells,CR1,2,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (3 spleen rows),14720144.0;17367608.0
Follicular dendritic cells,CR2,4,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (3 spleen rows),30952970.0;32473779.0;35043389.0;35145509.0
Follicular dendritic cells,FCER2,2,2,yes,no,ALL-TISSUE FALLBACK >=2 PMID (3 spleen rows),17367608.0;30952970.0
Fibroblastic reticular cells,ACTA2,1,4,no_promiscuous,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),30179601.0
Fibroblastic reticular cells,CCL21,1,2,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),34489433.0
Fibroblastic reticular cells,CD36,1,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),30179601.0
Fibroblastic reticular cells,MFAP5,1,1,yes,yes,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),32763913.0
Fibroblastic reticular cells,PDPN,1,3,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),34489433.0
Sinusoidal endothelium,CLEC4M,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Sinusoidal endothelium,DNASE1L3,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Sinusoidal endothelium,F8,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Sinusoidal endothelium,FCGR2B,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Sinusoidal endothelium,FCN2,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Sinusoidal endothelium,FCN3,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Sinusoidal endothelium,MRC1,1,2,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
Sinusoidal endothelium,OIT3,1,1,yes,no,ALL-TISSUE FALLBACK >=1 PMID -- WEAKEST EVIDENCE (0 spleen rows),33446637.0
