module,n_on_panel,B1,B2,B3,B4,B5,B6,B7
B1_tnfa_nfkb_proximal,113,113,14,20,5,12,2,10
B2_il6_jak_stat3,69,14,69,22,1,6,1,3
B3_interferon_response,121,20,22,121,3,4,1,3
B4_downstream_arrest,231,5,1,3,231,3,0,11
B5_emt_ecm,101,12,6,4,3,101,0,5
B6_oxidative_stress,36,2,1,1,0,0,36,0
B7_secondary_senescence,34,10,3,3,11,5,0,34
