arm,module,n,margin
human,B1_tnfa_nfkb_proximal,113,83
human,B2_il6_jak_stat3,69,39
human,B3_interferon_response,121,91
human,B4_downstream_arrest,231,201
human,B5_emt_ecm,101,71
human,B6_oxidative_stress,36,6
human,B7_secondary_senescence,108,78
