gene_name,gene_id,feature_type,id_class
ACVR2A,ENSG00000121989,Gene Expression,ENSG
ACVRL1,ENSG00000139567,Gene Expression,ENSG
ACYP2,ENSG00000170634,Gene Expression,ENSG
ADA,ENSG00000196839,Gene Expression,ENSG
ADAM10,ENSG00000137845,Gene Expression,ENSG
ADAM12,ENSG00000148848,Gene Expression,ENSG
ADAM17,ENSG00000151694,Gene Expression,ENSG
ADAM28,ENSG00000042980,Gene Expression,ENSG
ADAM33,ENSG00000149451,Gene Expression,ENSG
ADAM8,ENSG00000151651,Gene Expression,ENSG
ADAM9,ENSG00000168615,Gene Expression,ENSG
ADAMDEC1,ENSG00000134028,Gene Expression,ENSG
ADAMTS1,ENSG00000154734,Gene Expression,ENSG
ADAMTS12,ENSG00000151388,Gene Expression,ENSG
ADAMTS19,ENSG00000145808,Gene Expression,ENSG
ADAMTS2,ENSG00000087116,Gene Expression,ENSG
ADAMTS4,ENSG00000158859,Gene Expression,ENSG
ADAMTS5,ENSG00000154736,Gene Expression,ENSG
ADAMTSL3,ENSG00000156218,Gene Expression,ENSG
ADAR,ENSG00000160710,Gene Expression,ENSG
ADCY2,ENSG00000078295,Gene Expression,ENSG
ADCYAP1,ENSG00000141433,Gene Expression,ENSG
ADCYAP1R1,ENSG00000078549,Gene Expression,ENSG
ADD1,ENSG00000087274,Gene Expression,ENSG
ADGRA1,ENSG00000197177,Gene Expression,ENSG
ADGRA2,ENSG00000020181,Gene Expression,ENSG
ADGRA3,ENSG00000152990,Gene Expression,ENSG
ADGRB1,ENSG00000181790,Gene Expression,ENSG
ADGRB2,ENSG00000121753,Gene Expression,ENSG
ADGRD1,ENSG00000111452,Gene Expression,ENSG
ADGRD2,ENSG00000180264,Gene Expression,ENSG
ADGRE1,ENSG00000174837,Gene Expression,ENSG
ADGRE2,ENSG00000127507,Gene Expression,ENSG
ADGRE5,ENSG00000123146,Gene Expression,ENSG
ADGRG5,ENSG00000159618,Gene Expression,ENSG
ADGRG6,ENSG00000112414,Gene Expression,ENSG
ADGRL1,ENSG00000072071,Gene Expression,ENSG
ADGRL4,ENSG00000162618,Gene Expression,ENSG
ADIPOQ,ENSG00000181092,Gene Expression,ENSG
ADIPOR1,ENSG00000159346,Gene Expression,ENSG
ADIPOR2,ENSG00000006831,Gene Expression,ENSG
ADM,ENSG00000148926,Gene Expression,ENSG
ADNP,ENSG00000101126,Gene Expression,ENSG
ADORA1,ENSG00000163485,Gene Expression,ENSG
ADORA2A,ENSG00000128271,Gene Expression,ENSG
ADORA2B,ENSG00000170425,Gene Expression,ENSG
ADORA3,ENSG00000282608,Gene Expression,ENSG
ADRA1A,ENSG00000120907,Gene Expression,ENSG
ADRA1B,ENSG00000170214,Gene Expression,ENSG
ADRA1D,ENSG00000171873,Gene Expression,ENSG
ADRA2A,ENSG00000150594,Gene Expression,ENSG
ADRA2B,ENSG00000274286,Gene Expression,ENSG
ADRA2C,ENSG00000184160,Gene Expression,ENSG
