section,response,n_cells,mean_per_cell,sd_per_cell,frac_cells_nonzero,max_per_cell
SPLN07,neg_control_probe,227360,0.0010775862068965517,0.03347249804464602,0.001055594651653765,2.0
SPLN07,neg_control_codeword,227360,0.00016713581984517946,0.012927021523262971,0.00016713581984517946,1.0
SPLN07,genomic_control,227360,0.01411418015482055,0.12523214888716824,0.01331368754398311,5.0
SPLN07,all_controls,227360,0.01535890218156228,0.13037134198904646,0.014510028149190711,5.0
SPLN07,neg_probe_rate,227360,1.3385867586577868e-05,0.0005042219616936838,0.001055594651653765,0.045454545454545456
SPLN14,neg_control_probe,283628,0.002319940203364971,0.04948268778506887,0.00225295104855656,2.0
SPLN14,neg_control_codeword,283628,4.5834684868912804e-05,0.006769976665438054,4.5834684868912804e-05,1.0
SPLN14,genomic_control,283628,0.015164229201630304,0.1282589010556958,0.014434399988717615,3.0
SPLN14,all_controls,283628,0.017530004089864187,0.13819695865361523,0.016652093587375013,4.0
SPLN14,neg_probe_rate,283628,3.4706340752548556e-05,0.0008791910286528267,0.00225295104855656,0.09523809523809523
SPLN21,neg_control_probe,196142,0.000836128927001866,0.02994344637495285,0.0008055388443066757,2.0
SPLN21,neg_control_codeword,196142,0.0005863099183244792,0.024206737884402217,0.0005863099183244792,1.0
SPLN21,genomic_control,196142,0.007606733896870634,0.09393326500904295,0.007045915714125481,3.0
SPLN21,all_controls,196142,0.00902917274219698,0.10215852455679428,0.008376584311366255,3.0
SPLN21,neg_probe_rate,196142,1.152352999437825e-05,0.0005073008040828076,0.0008055388443066757,0.07142857142857142
SPLN24,neg_control_probe,393202,0.003924191636868582,0.06388842975743174,0.0038402653089251834,3.0
SPLN24,neg_control_codeword,393202,0.002293986297119547,0.048211295697301544,0.0022761837427073108,2.0
SPLN24,genomic_control,393202,0.09127115324947482,0.31935789180021557,0.08254027192130253,5.0
SPLN24,all_controls,393202,0.09748933118346295,0.3300086455614461,0.08793444590821003,5.0
SPLN24,neg_probe_rate,393202,1.3709347227872893e-05,0.00028763838482761216,0.0038402653089251834,0.038461538461538464
SPLN30,neg_control_probe,291577,0.00175596840628719,0.042437009111773255,0.0017319610257324823,2.0
SPLN30,neg_control_codeword,291577,0.00014061465753471638,0.011857271399980805,0.00014061465753471638,1.0
SPLN30,genomic_control,291577,0.008135072382252372,0.09415182506827348,0.007768102422344698,5.0
SPLN30,all_controls,291577,0.010031655446074279,0.1039663673416991,0.009623529976644249,5.0
SPLN30,neg_probe_rate,291577,3.2195930493926985e-05,0.0008774386160201456,0.0017319610257324823,0.06666666666666667
SPLN43,neg_control_probe,270472,0.0017414002188766305,0.04317492231685965,0.0016785471324203614,2.0
SPLN43,neg_control_codeword,270472,9.24310094945133e-05,0.00961366038525374,9.24310094945133e-05,1.0
SPLN43,genomic_control,270472,0.017913129640036676,0.14038187533927013,0.016933360939394834,4.0
SPLN43,all_controls,270472,0.01974696086840782,0.1473630135657159,0.018648880475613003,4.0
SPLN43,neg_probe_rate,270472,2.6721940969730788e-05,0.0008086339087338728,0.0016785471324203614,0.07692307692307693
SPLN44,neg_control_probe,299897,0.0012704361830895275,0.036998061031889004,0.0012204190105269475,2.0
SPLN44,neg_control_codeword,299897,0.00148717726419404,0.0389655020458776,0.0014705048733398467,2.0
SPLN44,genomic_control,299897,0.016165550172225797,0.1406611451350772,0.014461631826927245,5.0
SPLN44,all_controls,299897,0.018923163619509364,0.15126100704148393,0.017039183452985524,5.0
SPLN44,neg_probe_rate,299897,9.135967475275926e-06,0.00035151395752474766,0.0012204190105269475,0.041666666666666664
