call,cell_type,n_sections_pass,n_sections,all_sections
tierA_p99,Erythroid cells,0,3,False
tierA_p99,Fibroblastic reticular cells,0,2,False
tierA_p99,Fibroblasts,4,7,False
tierA_p99,Follicular B cells,7,7,True
tierA_p99,Germinal centre B cells,0,1,False
tierA_p99,Megakaryocytes,0,2,False
tierA_p99,Monocytes,0,6,False
tierA_p99,NK cells,1,4,False
tierA_p99,Neutrophils,1,6,False
tierA_p99,Plasma cells,0,7,False
tierA_p99,Red pulp macrophages,6,7,False
tierA_p99,Smooth muscle / capsule,1,7,False
tierA_p99,cDC1,0,2,False
tierA_p99,cDC2,0,4,False
tierApm_p95__downstream_arrest,CD4 T cells,3,3,True
tierApm_p95__downstream_arrest,CD8 T cells,0,1,False
tierApm_p95__downstream_arrest,Endothelial cells,7,7,True
tierApm_p95__downstream_arrest,Erythroid cells,2,3,False
tierApm_p95__downstream_arrest,Fibroblastic reticular cells,2,2,True
tierApm_p95__downstream_arrest,Fibroblasts,6,7,False
tierApm_p95__downstream_arrest,Follicular B cells,7,7,True
tierApm_p95__downstream_arrest,Germinal centre B cells,1,1,True
tierApm_p95__downstream_arrest,Megakaryocytes,0,2,False
tierApm_p95__downstream_arrest,Monocytes,3,6,False
tierApm_p95__downstream_arrest,NK cells,4,4,True
tierApm_p95__downstream_arrest,Neutrophils,4,6,False
tierApm_p95__downstream_arrest,Plasma cells,6,7,False
tierApm_p95__downstream_arrest,Red pulp macrophages,7,7,True
tierApm_p95__downstream_arrest,Smooth muscle / capsule,5,7,False
tierApm_p95__downstream_arrest,cDC1,0,2,False
tierApm_p95__downstream_arrest,cDC2,3,4,False
tierApm_p95__emt_ecm,CD4 T cells,3,3,True
tierApm_p95__emt_ecm,CD8 T cells,0,1,False
tierApm_p95__emt_ecm,Endothelial cells,7,7,True
tierApm_p95__emt_ecm,Erythroid cells,2,3,False
tierApm_p95__emt_ecm,Fibroblastic reticular cells,2,2,True
tierApm_p95__emt_ecm,Fibroblasts,6,7,False
tierApm_p95__emt_ecm,Follicular B cells,7,7,True
tierApm_p95__emt_ecm,Germinal centre B cells,1,1,True
tierApm_p95__emt_ecm,Megakaryocytes,0,2,False
tierApm_p95__emt_ecm,Monocytes,3,6,False
tierApm_p95__emt_ecm,NK cells,4,4,True
tierApm_p95__emt_ecm,Neutrophils,4,6,False
tierApm_p95__emt_ecm,Plasma cells,6,7,False
tierApm_p95__emt_ecm,Red pulp macrophages,7,7,True
tierApm_p95__emt_ecm,Smooth muscle / capsule,5,7,False
tierApm_p95__emt_ecm,cDC1,0,2,False
tierApm_p95__emt_ecm,cDC2,3,4,False
tierApm_p95__il6_jak_stat3,CD4 T cells,3,3,True
tierApm_p95__il6_jak_stat3,CD8 T cells,0,1,False
tierApm_p95__il6_jak_stat3,Endothelial cells,7,7,True
tierApm_p95__il6_jak_stat3,Erythroid cells,2,3,False
tierApm_p95__il6_jak_stat3,Fibroblastic reticular cells,2,2,True
tierApm_p95__il6_jak_stat3,Fibroblasts,6,7,False
tierApm_p95__il6_jak_stat3,Follicular B cells,7,7,True
tierApm_p95__il6_jak_stat3,Germinal centre B cells,1,1,True
tierApm_p95__il6_jak_stat3,Megakaryocytes,0,2,False
tierApm_p95__il6_jak_stat3,Monocytes,3,6,False
tierApm_p95__il6_jak_stat3,NK cells,4,4,True
tierApm_p95__il6_jak_stat3,Neutrophils,4,6,False
tierApm_p95__il6_jak_stat3,Plasma cells,6,7,False
tierApm_p95__il6_jak_stat3,Red pulp macrophages,7,7,True
tierApm_p95__il6_jak_stat3,Smooth muscle / capsule,5,7,False
tierApm_p95__il6_jak_stat3,cDC1,0,2,False
tierApm_p95__il6_jak_stat3,cDC2,3,4,False
tierApm_p95__interferon_response,CD4 T cells,3,3,True
tierApm_p95__interferon_response,CD8 T cells,0,1,False
tierApm_p95__interferon_response,Endothelial cells,7,7,True
tierApm_p95__interferon_response,Erythroid cells,2,3,False
tierApm_p95__interferon_response,Fibroblastic reticular cells,2,2,True
tierApm_p95__interferon_response,Fibroblasts,6,7,False
tierApm_p95__interferon_response,Follicular B cells,7,7,True
tierApm_p95__interferon_response,Germinal centre B cells,1,1,True
tierApm_p95__interferon_response,Megakaryocytes,0,2,False
tierApm_p95__interferon_response,Monocytes,3,6,False
tierApm_p95__interferon_response,NK cells,4,4,True
tierApm_p95__interferon_response,Neutrophils,4,6,False
tierApm_p95__interferon_response,Plasma cells,6,7,False
tierApm_p95__interferon_response,Red pulp macrophages,7,7,True
tierApm_p95__interferon_response,Smooth muscle / capsule,5,7,False
tierApm_p95__interferon_response,cDC1,0,2,False
tierApm_p95__interferon_response,cDC2,3,4,False
tierApm_p95__oxidative_stress,CD4 T cells,3,3,True
tierApm_p95__oxidative_stress,CD8 T cells,0,1,False
tierApm_p95__oxidative_stress,Endothelial cells,7,7,True
tierApm_p95__oxidative_stress,Erythroid cells,2,3,False
tierApm_p95__oxidative_stress,Fibroblastic reticular cells,2,2,True
tierApm_p95__oxidative_stress,Fibroblasts,6,7,False
tierApm_p95__oxidative_stress,Follicular B cells,7,7,True
tierApm_p95__oxidative_stress,Germinal centre B cells,1,1,True
tierApm_p95__oxidative_stress,Megakaryocytes,0,2,False
tierApm_p95__oxidative_stress,Monocytes,3,6,False
tierApm_p95__oxidative_stress,NK cells,4,4,True
tierApm_p95__oxidative_stress,Neutrophils,4,6,False
tierApm_p95__oxidative_stress,Plasma cells,6,7,False
tierApm_p95__oxidative_stress,Red pulp macrophages,7,7,True
tierApm_p95__oxidative_stress,Smooth muscle / capsule,5,7,False
tierApm_p95__oxidative_stress,cDC1,0,2,False
tierApm_p95__oxidative_stress,cDC2,3,4,False
tierApm_p95__secondary_senescence,CD4 T cells,3,3,True
tierApm_p95__secondary_senescence,CD8 T cells,0,1,False
tierApm_p95__secondary_senescence,Endothelial cells,7,7,True
tierApm_p95__secondary_senescence,Erythroid cells,2,3,False
tierApm_p95__secondary_senescence,Fibroblastic reticular cells,2,2,True
tierApm_p95__secondary_senescence,Fibroblasts,6,7,False
tierApm_p95__secondary_senescence,Follicular B cells,7,7,True
tierApm_p95__secondary_senescence,Germinal centre B cells,1,1,True
tierApm_p95__secondary_senescence,Megakaryocytes,0,2,False
tierApm_p95__secondary_senescence,Monocytes,3,6,False
tierApm_p95__secondary_senescence,NK cells,4,4,True
tierApm_p95__secondary_senescence,Neutrophils,4,6,False
tierApm_p95__secondary_senescence,Plasma cells,6,7,False
tierApm_p95__secondary_senescence,Red pulp macrophages,7,7,True
tierApm_p95__secondary_senescence,Smooth muscle / capsule,5,7,False
tierApm_p95__secondary_senescence,cDC1,0,2,False
tierApm_p95__secondary_senescence,cDC2,3,4,False
tierApm_p95__tnfa_nfkb_proximal,CD4 T cells,3,3,True
tierApm_p95__tnfa_nfkb_proximal,CD8 T cells,0,1,False
tierApm_p95__tnfa_nfkb_proximal,Endothelial cells,7,7,True
tierApm_p95__tnfa_nfkb_proximal,Erythroid cells,2,3,False
tierApm_p95__tnfa_nfkb_proximal,Fibroblastic reticular cells,2,2,True
tierApm_p95__tnfa_nfkb_proximal,Fibroblasts,6,7,False
tierApm_p95__tnfa_nfkb_proximal,Follicular B cells,7,7,True
tierApm_p95__tnfa_nfkb_proximal,Germinal centre B cells,1,1,True
tierApm_p95__tnfa_nfkb_proximal,Megakaryocytes,0,2,False
tierApm_p95__tnfa_nfkb_proximal,Monocytes,3,6,False
tierApm_p95__tnfa_nfkb_proximal,NK cells,4,4,True
tierApm_p95__tnfa_nfkb_proximal,Neutrophils,4,6,False
tierApm_p95__tnfa_nfkb_proximal,Plasma cells,6,7,False
tierApm_p95__tnfa_nfkb_proximal,Red pulp macrophages,7,7,True
tierApm_p95__tnfa_nfkb_proximal,Smooth muscle / capsule,5,7,False
tierApm_p95__tnfa_nfkb_proximal,cDC1,0,2,False
tierApm_p95__tnfa_nfkb_proximal,cDC2,3,4,False
