section,label_set,cell_type,call,n_all,n_senders_all,n_nonsenders_all,prevalence_pct_all,n_scored,n_senders_scored,n_nonsenders_scored,prevalence_pct_scored,pass_band,pass_senders,pass_nonsenders,passes_A3
SPLN43,fine,Neutrophils,senepy_p90,2688,269,2419,10.007,2688,269,2419,10.007,True,True,False,False
SPLN43,fine,Plasma cells,senepy_p90,9861,984,8877,9.979,9861,984,8877,9.979,True,True,True,True
SPLN43,fine,Red pulp macrophages,senepy_p90,25453,2545,22908,9.999,25453,2545,22908,9.999,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,senepy_p90,1496,150,1346,10.027,1496,150,1346,10.027,True,False,False,False
SPLN43,fine,cDC2,senepy_p90,13625,0,13625,0.0,0,0,0,,False,False,False,False
SPLN43,fine,Endothelial cells,tierA_p95,56471,2823,53648,4.999,56471,2823,53648,4.999,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,tierA_p95,5695,285,5410,5.004,5695,285,5410,5.004,True,True,True,True
SPLN43,fine,Fibroblasts,tierA_p95,21564,1079,20485,5.004,21564,1079,20485,5.004,True,True,True,True
SPLN43,fine,Follicular B cells,tierA_p95,45873,2294,43579,5.001,45873,2294,43579,5.001,True,True,True,True
SPLN43,fine,Neutrophils,tierA_p95,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,fine,Plasma cells,tierA_p95,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,fine,Red pulp macrophages,tierA_p95,25453,1273,24180,5.001,25453,1273,24180,5.001,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,tierA_p95,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,tierA_p95,13625,681,12944,4.998,13625,681,12944,4.998,True,True,True,True
SPLN43,fine,Endothelial cells,senepy_p95,56471,2824,53647,5.001,56471,2824,53647,5.001,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,senepy_p95,5695,285,5410,5.004,5695,285,5410,5.004,True,True,True,True
SPLN43,fine,Fibroblasts,senepy_p95,21564,1079,20485,5.004,21564,1079,20485,5.004,True,True,True,True
SPLN43,fine,Follicular B cells,senepy_p95,45873,2292,43581,4.996,45873,2292,43581,4.996,True,True,True,True
SPLN43,fine,Neutrophils,senepy_p95,2688,135,2553,5.022,2688,135,2553,5.022,True,False,False,False
SPLN43,fine,Plasma cells,senepy_p95,9861,493,9368,4.999,9861,493,9368,4.999,True,True,True,True
SPLN43,fine,Red pulp macrophages,senepy_p95,25453,1273,24180,5.001,25453,1273,24180,5.001,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,senepy_p95,1496,75,1421,5.013,1496,75,1421,5.013,True,False,False,False
SPLN43,fine,cDC2,senepy_p95,13625,0,13625,0.0,0,0,0,,False,False,False,False
SPLN43,fine,Endothelial cells,tierA_p99,56471,565,55906,1.001,56471,565,55906,1.001,True,True,True,True
SPLN43,fine,Fibroblastic reticular cells,tierA_p99,5695,57,5638,1.001,5695,57,5638,1.001,True,False,True,False
SPLN43,fine,Fibroblasts,tierA_p99,21564,216,21348,1.002,21564,216,21348,1.002,True,True,True,True
SPLN43,fine,Follicular B cells,tierA_p99,45873,459,45414,1.001,45873,459,45414,1.001,True,True,True,True
SPLN43,fine,Neutrophils,tierA_p99,2688,27,2661,1.004,2688,27,2661,1.004,True,False,False,False
SPLN43,fine,Plasma cells,tierA_p99,9861,99,9762,1.004,9861,99,9762,1.004,True,False,True,False
SPLN43,fine,Red pulp macrophages,tierA_p99,25453,255,25198,1.002,25453,255,25198,1.002,True,True,True,True
SPLN43,fine,Smooth muscle / capsule,tierA_p99,1496,15,1481,1.003,1496,15,1481,1.003,True,False,False,False
SPLN43,fine,cDC2,tierA_p99,13625,137,13488,1.006,13625,137,13488,1.006,True,False,True,False
SPLN43,fine,Endothelial cells,senepy_p99,56471,565,55906,1.001,56471,565,55906,1.001,True,True,True,True
