section,A,B,n,n_strata,n_A,n_B,n_both,exp_both_marginal,ratio_marginal,exp_both_stratified,sd_both_stratified,ratio_stratified,z
SPLN24,tierA_score,abs_deepscence_score,322209,130,16159,14495,453,726.93,0.623,727.04,25.657,0.623,-10.68
SPLN24,senepy_score,deepscence_score,304702,110,15279,15277,841,766.05,1.098,766.07,26.295,1.098,2.85
SPLN24,senepy_score,cdkn1a_counts,304702,110,15279,7221,546,362.09,1.508,362.04,18.236,1.508,10.09
SPLN24,senepy_score,abs_deepscence_score,304702,110,15279,13641,556,684.02,0.813,684.13,24.89,0.813,-5.15
SPLN24,deepscence_score,cdkn1a_counts,322209,130,16163,7661,1329,384.3,3.458,384.24,18.789,3.459,50.28
SPLN24,deepscence_score,abs_deepscence_score,322209,130,16163,14495,0,727.11,0.0,727.26,25.661,0.0,-28.34
SPLN24,cdkn1a_counts,abs_deepscence_score,322209,130,7661,14495,1,344.64,0.003,348.87,17.923,0.003,-19.41
SPLN30,tierA_score,senepy_score,233748,90,11694,11625,568,581.58,0.977,581.64,22.918,0.977,-0.6
SPLN30,tierA_score,deepscence_score,233748,90,11694,11576,886,579.13,1.53,579.17,22.872,1.53,13.42
SPLN30,tierA_score,cdkn1a_counts,233748,90,11694,2931,165,146.63,1.125,146.57,11.691,1.126,1.58
SPLN30,tierA_score,abs_deepscence_score,233748,90,11694,5703,320,285.31,1.122,285.56,16.221,1.121,2.12
SPLN30,senepy_score,deepscence_score,233748,90,11625,11576,696,575.71,1.209,575.75,22.808,1.209,5.27
SPLN30,senepy_score,cdkn1a_counts,233748,90,11625,2931,246,145.77,1.688,146.29,11.68,1.682,8.54
SPLN30,senepy_score,abs_deepscence_score,233748,90,11625,5703,322,283.63,1.135,284.76,16.199,1.131,2.3
SPLN30,deepscence_score,cdkn1a_counts,233748,90,11576,2931,1310,145.15,9.025,145.42,11.647,9.008,99.99
