section,caller,within_type_depth_quintile,bg_pct,enrichment
SPLN43,deepscence_score,Q1,20.64,0.927
SPLN43,deepscence_score,Q2,19.79,0.944
SPLN43,deepscence_score,Q3,19.96,1.094
SPLN43,deepscence_score,Q4,19.77,0.953
SPLN43,deepscence_score,Q5,19.84,1.084
SPLN43,cdkn1a_counts,Q1,20.64,0.382
SPLN43,cdkn1a_counts,Q2,19.79,0.662
SPLN43,cdkn1a_counts,Q3,19.96,0.845
SPLN43,cdkn1a_counts,Q4,19.77,1.16
SPLN43,cdkn1a_counts,Q5,19.84,1.976
SPLN44,tierA_score,Q1,20.18,1.756
SPLN44,tierA_score,Q2,20.0,1.296
SPLN44,tierA_score,Q3,19.97,0.941
SPLN44,tierA_score,Q4,19.95,0.645
SPLN44,tierA_score,Q5,19.91,0.351
SPLN44,senepy_score,Q1,20.18,0.059
SPLN44,senepy_score,Q2,20.0,0.123
SPLN44,senepy_score,Q3,19.97,0.226
SPLN44,senepy_score,Q4,19.95,0.466
SPLN44,senepy_score,Q5,19.91,4.145
SPLN44,deepscence_score,Q1,20.18,1.813
SPLN44,deepscence_score,Q2,20.0,1.142
SPLN44,deepscence_score,Q3,19.97,0.919
SPLN44,deepscence_score,Q4,19.95,0.672
SPLN44,deepscence_score,Q5,19.91,0.442
SPLN44,cdkn1a_counts,Q1,20.18,0.256
SPLN44,cdkn1a_counts,Q2,20.0,0.538
SPLN44,cdkn1a_counts,Q3,19.97,0.842
SPLN44,cdkn1a_counts,Q4,19.95,1.24
SPLN44,cdkn1a_counts,Q5,19.91,2.136
