Level_3_Annotations,section,CD4 T cells,Endothelial cells,Erythroid cells,Fibroblasts,Follicular B cells,Low_quality,Megakaryocytes,Monocytes,NK cells,Neutrophils,Plasma cells,Red pulp macrophages,Smooth muscle / capsule,Unknown,CD8 T cells,Fibroblastic reticular cells,cDC2,Germinal centre B cells,cDC1
"gdT cells, NK cells, and T cells",SPLN14,,185,,133,734,,,23.0,,,39,216,9,5634,45.0,5.0,,,
Arterial endothelial cells (KDR+ CD34+),SPLN21,,186,1.0,60,12,162.0,,16.0,5.0,11.0,5,19,2566,13,,,1.0,,
B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),SPLN21,,3,0.0,45,257,23.0,,8.0,0.0,16.0,3,6,63,21,,,3.0,,
B cell zone reticular cells CXCL13+MADCAM1+,SPLN21,,2,0.0,41,1071,33.0,,1.0,12.0,14.0,10,6,206,158,,,1.0,,
B cells,SPLN21,,148,1.0,72,20402,915.0,,61.0,26.0,147.0,58,59,38,309,,,71.0,,
Conventional dendritic cells,SPLN21,,7,0.0,8,37,24.0,,314.0,4.0,11.0,16,17,1,15,,,1.0,,
Erythroid,SPLN21,,424,474.0,22,13,297.0,,8.0,8.0,38.0,13,65,2,45,,,18.0,,
"Germinal center B cells, proliferating",SPLN21,,0,0.0,0,127,0.0,,0.0,6.0,0.0,407,0,0,27,,,0.0,,
Low quality,SPLN21,,1312,17.0,1076,979,5671.0,,324.0,362.0,2691.0,73,751,392,2582,,,748.0,,
Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,SPLN21,,37,2.0,477,13,68.0,,51.0,1.0,70.0,8,162,882,21,,,32.0,,
Metamyelocyte/Band Neutrophils DEFA1+,SPLN21,,211,2.0,125,145,205.0,,45.0,31.0,125.0,38,130,16,109,,,65.0,,
Monocytes,SPLN21,,128,6.0,79,130,219.0,,5114.0,34.0,204.0,22,115,11,127,,,27.0,,
NK cells,SPLN21,,319,4.0,192,231,352.0,,48.0,4053.0,207.0,47,268,29,763,,,32.0,,
Neutrophils,SPLN21,,444,11.0,242,185,1375.0,,365.0,70.0,12077.0,52,306,20,426,,,61.0,,
Plasma cells,SPLN21,,380,5.0,341,461,936.0,,143.0,72.0,272.0,5163,585,55,490,,,72.0,,
Promyelocyte,SPLN21,,21,2.0,25,11,65.0,,25.0,11.0,55.0,124,25,4,29,,,20.0,,
Red pulp fibroblasts,SPLN21,,1403,10.0,12788,211,1979.0,,341.0,66.0,1017.0,84,904,273,432,,,114.0,,
Red pulp macrophages,SPLN21,,576,1.0,274,556,3072.0,,2964.0,83.0,1331.0,70,13101,51,541,,,637.0,,
Sinusoidal endothelial cells (littoral cells),SPLN21,,24730,27.0,113,45,4930.0,,92.0,39.0,241.0,21,765,186,549,,,41.0,,
Smooth muscle,SPLN21,,657,4.0,2081,1108,2363.0,,233.0,58.0,787.0,87,928,561,578,,,95.0,,
T cell zone reticular cells CCL21+ CCL19+,SPLN21,,7,0.0,137,266,150.0,,15.0,6.0,15.0,17,20,136,262,,,14.0,,
T cell zone reticular cells CXCL9+,SPLN21,,0,0.0,1,5,5.0,,86.0,0.0,0.0,1,19,0,16,,,2.0,,
T cells,SPLN21,,382,11.0,354,1426,876.0,,90.0,54.0,290.0,79,342,41,7028,,,59.0,,
Vascular smooth muscle cells,SPLN21,,0,0.0,159,1,31.0,,6.0,0.0,11.0,2,9,752,3,,,0.0,,
