section,arm,week,call,celltype,response,stratum,n,n_senders,prevalence,match_rate,max_smd_before,max_smd_after,lam_naive,beta_naive,lam_grid_lo,lam_grid_hi,lam_railed,sd_y,lam_n6_profiled,beta_n6_profiled,lam_n6zon_profiled,beta_n6zon_profiled,lam_n6n5_profiled,beta_n6n5_profiled,lam_n5_profiled,beta_n5_profiled,lam_zon_profiled,beta_zon_profiled,lam_n2_profiled,beta_n2_profiled,beta_base,sf_base,beta_n6,sf_n6,beta_n6zon,sf_n6zon,beta_n6n5,sf_n6n5,beta_n5,sf_n5,beta_zon,sf_zon,beta_n2,sf_n2,beta_n2n5n6,sf_n2n5n6,beta_n2zon,sf_n2zon,beta_base_lo,beta_base_hi,beta_n6_lo,beta_n6_hi,beta_n6zon_lo,beta_n6zon_hi,beta_n6n5_lo,beta_n6n5_hi,beta_n5_lo,beta_n5_hi,beta_zon_lo,beta_zon_hi,beta_n2_lo,beta_n2_hi,beta_n2n5n6_lo,beta_n2n5n6_hi,beta_n2zon_lo,beta_n2zon_hi,sf_base_lo,sf_base_hi,sf_n6_lo,sf_n6_hi,sf_n6zon_lo,sf_n6zon_hi,sf_n6n5_lo,sf_n6n5_hi,sf_n5_lo,sf_n5_hi,sf_zon_lo,sf_zon_hi,sf_n2_lo,sf_n2_hi,sf_n2n5n6_lo,sf_n2n5n6_hi,sf_n2zon_lo,sf_n2zon_hi
SPLN07,?,,tierA_p95,B cells,neg_control_probe,A7,35179,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,6.999999999999999,-0.04715438836079249,6.999999999999999,49.99999999999999,1,1.125625048798794,6.999999999999999,-0.04703034210548281,6.999999999999999,-0.04546617702065475,6.999999999999999,-0.013556469437341302,6.999999999999999,-0.013864595092106262,6.999999999999999,-0.04558868283999679,49.99999999999999,-0.051102975449153674,-0.04715438836079249,1.0,-0.04703034210548281,0.997369359255377,-0.04546617702065475,0.964198213595292,-0.013556469437341302,0.28749115211964266,-0.013864595092106262,0.2940255525323338,-0.04558868283999679,0.9667961864160762,-0.047181711659282775,1.0005794433867157,-0.013343064270548105,0.2829654828402456,-0.04562831635078195,0.9676366916619912,-0.12029706505912763,0.018585723302706574,-0.12041793398315695,0.01920011417543786,-0.11489358300151,0.019936991764829163,-0.0686727569105583,0.046480232071183826,-0.0686413732723155,0.04517545916546214,-0.114398166083759,0.019560271529600288,-0.1205408091248097,0.018360132004844976,-0.06792691325101534,0.04582092543742179,-0.11432801190214209,0.0197271387814776,1.0,1.0,0.9356235444068006,1.0706870266003818,0.678529089828329,1.2102656755243606,-2.966539635031144,3.498365968347494,-2.9014320655555035,3.383529149755973,0.6168305045407805,1.2142098459169572,0.9703972305356093,1.0411782166968513,-2.9758476695984126,3.46007368761268,0.5913472604247093,1.2342185882556997
SPLN07,?,,tierA_p95,B cells,neg_control_codeword,A7,35179,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,18.78452958654234,-0.05842131160216948,6.999999999999999,49.99999999999999,0,1.0101790774714638,18.809683759148847,-0.05859657504287396,19.64541734083495,-0.06057243299672855,27.40475886297574,-0.0795278578408658,27.331601263513658,-0.07913035242994604,19.62119494312967,-0.060387608764084874,13.600035674065854,-0.057669957988689194,-0.05842131160216948,1.0,-0.05859657504287396,1.0029999915424352,-0.06057243299672855,1.0368208336233107,-0.07205820229583078,1.2334232203912878,-0.07170359176678598,1.2273533373414243,-0.060387608764084874,1.0336571896109634,-0.05886734379045708,1.0076347513613686,-0.07099013105126348,1.215141000850574,-0.060709151126209185,1.0391610434839116,-0.13139913281414695,-0.006255616693773669,-0.13196315315695606,-0.006287085161895546,-0.1352585460309192,-0.0067382874488428265,-0.1523945776141732,-0.008945595472665206,-0.15106274504693282,-0.00890363385816212,-0.1345292140397929,-0.006710253057354241,-0.13218552868807962,-0.0070239899804543215,-0.1511875231578346,-0.008582119362546463,-0.13429980204128134,-0.007356193948423008,1.0,1.0,1.0006668607391587,1.0063080104667672,0.9716043364216284,1.1389024922387216,0.819003402720162,2.0820969474739477,0.8041958738996947,2.0707177153833616,0.9758330294525539,1.14120255597797,0.9510790924628207,1.0658310559715056,0.8032316583155374,2.0142404126500355,0.9683784524359057,1.1643396922216265
SPLN07,?,,tierA_p95,B cells,genomic_control,A7,35179,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,10.197625774768605,0.0240487431583271,6.999999999999999,49.99999999999999,0,1.0259139713713172,10.196395724265876,0.024132359572600643,10.19062683566579,0.024195572566954624,8.826966118667489,0.031953095903082936,8.814478370095552,0.03146437277456749,10.191789411688099,0.024123623919598953,6.999999999999999,0.02723565381904673,0.0240487431583271,1.0,0.024132359572600643,1.0034769556863345,0.024195572566954624,1.006105491986041,0.03054628293184778,1.2701820935399215,0.03007494510808582,1.2505828229810045,0.024123623919598953,1.0031137078881367,0.024064858359595886,1.0006701057582381,0.030533865331984236,1.2696657422369952,0.024119325358224333,1.0029349641863838,-0.04469337481696991,0.07939865128310433,-0.044567189310104435,0.07952823839859385,-0.043662500476961075,0.08045975207175145,-0.041734141478585035,0.0880116136072029,-0.04190984752022772,0.08741327844039512,-0.04371333766414601,0.08097015224816406,-0.044457401177933634,0.07934276903854644,-0.040450524786698354,0.0870718635141239,-0.04363647531237848,0.08070896720333119,1.0,1.0,0.8970072852961115,1.065504326454878,0.6863815742110569,1.5759956431931446,-1.3407092779074556,3.013153899644302,-1.2313635648601535,2.851206141982632,0.6795502552955713,1.5717243149604199,0.952672203524867,1.0341899607074871,-1.4004548284116025,3.0787509787998517,0.6624016566417525,1.5965366865633694
SPLN07,?,,tierA_p95,B cells,all_controls,A7,35179,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,10.12902511555144,0.007399982744021708,6.999999999999999,49.99999999999999,0,1.0305388107953326,10.124080107375764,0.007619358287674723,10.148175397640896,0.007868846578356915,9.201974658891869,0.021090691227917714,9.188424333092833,0.020385937893033283,10.153465112375708,0.007660480794451171,6.999999999999999,0.007219143177277704,0.007399982744021708,1.0,0.007619358287674723,1.0296454128667047,0.007868846578356915,1.0633601253616425,0.020197591859450973,2.729410670013817,0.019518371330482957,2.6376238980086057,0.007660480794451171,1.0352025213355955,0.007417743421975233,1.0024000972121012,0.020287642986294204,2.741579769585837,0.007655741383222812,1.0345620588653028,-0.06385750696526422,0.0709608772893883,-0.06366031696331594,0.07126532613039553,-0.06262701680531353,0.0714719383096977,-0.048931464097606125,0.08422341180066462,-0.04992683462487705,0.08392661579195093,-0.0629422362549668,0.0710818240663262,-0.06389036172744761,0.07095681466822139,-0.048175998280632785,0.08399116353322812,-0.0631263058032838,0.07105881492132432,1.0,1.0,0.8808678538715122,1.1585745543724744,0.34778559284219884,1.7702353348382036,-2.895790198042962,6.864963730076546,-2.4912644056863056,6.528632965767185,0.2056136155170118,1.563408422659644,0.8788570188178968,1.0515502509319874,-3.0121813722878343,6.904746948115183,0.3478363129472866,1.4797902396221676
SPLN07,?,,tierA_p95,B cells,neg_probe_rate,A7,35179,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,6.999999999999999,-0.035049739121942924,6.999999999999999,49.99999999999999,1,0.7567392055092177,6.999999999999999,-0.03491639857303696,6.999999999999999,-0.03223895982819984,6.999999999999999,-0.011756779404655103,6.999999999999999,-0.012095870239514174,6.999999999999999,-0.03238270059448856,49.99999999999999,-0.03806838506458109,-0.035049739121942924,1.0,-0.03491639857303696,0.9961956764230954,-0.03223895982819984,0.9198059853180649,-0.011756779404655103,0.3354312956154004,-0.012095870239514174,0.34510585649242514,-0.03238270059448856,0.9239070362784909,-0.03504224774235967,0.9997862643268988,-0.011438354125196141,0.3263463412780481,-0.032368984539331416,0.9235157051159557,-0.07779844441331414,0.0080747089514009,-0.07741143639745662,0.008215803491021922,-0.07352068061428699,0.008307327291487306,-0.05087455285011462,0.0233848935859629,-0.051279855148951226,0.02294124460372358,-0.07333166951306865,0.008201149885988187,-0.07762481818069916,0.00787862715468772,-0.05022337247672192,0.023338489426144943,-0.07343707716162093,0.008075296403624865,1.0,1.0,0.9373031901425618,1.0335650073663967,0.7223155131331311,1.324324538246766,-1.3000211821306464,1.3874061988588062,-1.2803683257782628,1.3608402612812847,0.722419268576841,1.293076949618454,0.9474352523772733,1.0520284960377262,-1.3866162247647913,1.326591756006538,0.705179181534996,1.304973632400157
SPLN07,?,,tierA_p95,Endothelial,neg_control_probe,A7,37381,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,49.99999999999999,-0.014412229165305582,6.999999999999999,49.99999999999999,1,1.0127294375659157,49.99999999999999,-0.014405896218086103,49.99999999999999,-0.014969392898695774,49.99999999999999,-0.014485888430836666,49.99999999999999,-0.014759726519538016,49.99999999999999,-0.014970511993956296,49.99999999999999,-0.014851201250011168,-0.014412229165305582,1.0,-0.014405896218086103,0.9995605851706324,-0.014969392898695774,1.0386590947867695,-0.014485888430836666,1.0051108863650602,-0.014759726519538016,1.0241112842605196,-0.014970511993956296,1.0387367437921862,-0.014851201250011168,1.0304583059060926,-0.013567317765013544,0.9413753840158201,-0.015372263516468034,1.0666124816744889,-0.0924734271728924,0.05963849771680149,-0.09214800129497457,0.0595410134204389,-0.0938404552255921,0.059527550116615986,-0.09760186966866205,0.0638570934702185,-0.09735751626968339,0.06309643466369266,-0.09326578778197894,0.05954411625593644,-0.09297938212749758,0.05865901829549075,-0.0969989654237199,0.06512563006166462,-0.09415847759249703,0.05895209326870071,1.0,1.0,0.9425005036296923,1.1789054687841676,0.6810291167269399,1.3779332095142591,-3.1217280943454653,2.8044854502005285,-3.065388188104392,2.8492811411860512,0.6260335142397657,1.204236207115656,0.80444933980605,1.3069432211132306,-2.83138816651727,3.013804304025668,0.5077225791582263,1.4349941362806644
SPLN07,?,,tierA_p95,Endothelial,neg_control_codeword,A7,37381,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,49.99999999999999,0.04343377319606585,6.999999999999999,49.99999999999999,1,1.3857885669150143,49.99999999999999,0.043328941996049565,49.99999999999999,0.04317779371767185,49.99999999999999,0.03589255627707102,49.99999999999999,0.03604662662861074,49.99999999999999,0.04328126592078422,49.99999999999999,0.04382870206255299,0.04343377319606585,1.0,0.043328941996049565,0.9975864127773779,0.04317779371767185,0.9941064416108065,0.03589255627707102,0.8263743542392051,0.03604662662861074,0.8299216019269486,0.04328126592078422,0.9964887398892748,0.04382870206255299,1.009092667696734,0.03523354820176385,0.8112016435393469,0.04366693816258034,1.0053682871497704,-0.033590598160436656,0.137351349183764,-0.03365686676390314,0.13727066138018706,-0.03393233230350419,0.13970877747020205,-0.0478007958796962,0.1375893677367239,-0.047533493396086667,0.13752466326146157,-0.03380903480529702,0.13979452989310487,-0.03439025904401394,0.13750527966159778,-0.051148772752726196,0.1352265174784605,-0.03461109206592156,0.13990332180639922,1.0,1.0,0.9829438408107101,1.0257654131428102,0.8232278329020984,1.1730574399651463,-1.1056684511585826,3.0833014869741864,-1.1387741892446979,3.0028726821660396,0.8143636527146565,1.1561794858872023,0.7798903290989474,1.1727599169253868,-1.2394265954334895,3.0585415288295006,0.7847765833906251,1.2689756148902758
SPLN07,?,,tierA_p95,Endothelial,genomic_control,A7,37381,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,6.999999999999999,-0.05818525421032359,6.999999999999999,49.99999999999999,1,0.9749605889942837,6.999999999999999,-0.05768310566659499,6.999999999999999,-0.056767608005966516,6.999999999999999,-0.03853579308324169,6.999999999999999,-0.03877991544639337,6.999999999999999,-0.05730454377579607,6.999999999999999,-0.058219675902031386,-0.05818525421032359,1.0,-0.05768310566659499,0.991369831574277,-0.056767608005966516,0.9756356447420049,-0.03853579308324169,0.6622948306446418,-0.03877991544639337,0.666490435982538,-0.05730454377579607,0.9848636833080767,-0.058219675902031386,1.0005915878889755,-0.03768092182067951,0.6476025984946874,-0.05734684991237568,0.9855907770907504,-0.14012760596245633,0.012082266702545526,-0.1400957452342589,0.0122531299126452,-0.13897568474792021,0.01392324985993602,-0.13093262294671665,0.03930639919608195,-0.13051193408734213,0.038370977814058495,-0.13899415982396218,0.013862417040292044,-0.14019667182478324,0.011975861054371671,-0.12946923164653593,0.040298310053794084,-0.13896272205398572,0.01391190204958957,1.0,1.0,0.9073396162000449,1.089766323687903,0.7897244315089426,1.1844385279120893,-3.3450278056869838,3.5788564666243685,-3.397504074975978,3.6280258012402236,0.8779393316429965,1.114394640576548,0.948403759742636,1.0251184534027025,-3.4712543112740155,3.71099609020782,0.818974731633093,1.0969004752322182
SPLN07,?,,tierA_p95,Endothelial,all_controls,A7,37381,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,49.99999999999999,-0.04754116939915281,6.999999999999999,49.99999999999999,1,0.9852590980169631,49.99999999999999,-0.046372019021101246,49.99999999999999,-0.046036765185962523,49.99999999999999,-0.030603117918732204,49.99999999999999,-0.031117874352727216,49.99999999999999,-0.04723286071612215,6.999999999999999,-0.05224847587413477,-0.04754116939915281,1.0,-0.046372019021101246,0.975407622638908,-0.046036765185962523,0.9683557591829641,-0.030603117918732204,0.6437182405378012,-0.031117874352727216,0.654545833558771,-0.04723286071612215,0.9935149116665154,-0.04736319478124743,0.9962564105983361,-0.0297907617233089,0.6266308149298443,-0.047072018977449503,0.990131702109295,-0.12853216784490687,0.032824209237284435,-0.12632300429636484,0.03222547936450375,-0.12692797553641208,0.03289884882080175,-0.11655297993876526,0.04958911578525406,-0.11715870665826048,0.0494622105834621,-0.12934035747450176,0.03309973660432418,-0.12904945313581884,0.03453398196701599,-0.11577829948432439,0.051787289857561834,-0.12985942919269466,0.033338547862942776,1.0,1.0,0.7933011235222164,1.289234200371235,0.6537708778093634,1.3947896769139907,-3.8984460254567215,4.750131366142165,-3.811045950802407,4.733363548876314,0.810844946607242,1.1668055139180222,0.8405233130741853,1.1465061281487283,-5.0466213731558796,4.98496114787516,0.7635087728041065,1.227629859385074
SPLN07,?,,tierA_p95,Endothelial,neg_probe_rate,A7,37381,10355,0.0455445109078114,0.9998068565910189,0.4264680333004947,0.016801275193767562,6.999999999999999,0.00932847722219025,6.999999999999999,49.99999999999999,1,0.6704534785988026,6.999999999999999,0.009541926738534741,49.99999999999999,0.007735577367593509,6.999999999999999,0.002626713412437694,6.999999999999999,0.0022996717392652732,49.99999999999999,0.007575659577864737,6.999999999999999,0.00927031735086731,0.00932847722219025,1.0,0.009541926738534741,1.0228814962249941,0.008531796215740545,0.9145968857002096,0.002626713412437694,0.28158008535298357,0.0022996717392652732,0.2465216652718941,0.008318605748542932,0.8917431591894686,0.00927031735086731,0.9937653413373201,0.0019429873846458687,0.20828559028090451,0.00822872254873296,0.8821078030998206,-0.04788206554191006,0.07810250449145388,-0.04773873331901618,0.0784439965841426,-0.048924644828361376,0.07674539446866391,-0.05725743383456993,0.07441018826284836,-0.057275921751635255,0.07390831902673632,-0.04902041298009838,0.07630665324664654,-0.04805406931565033,0.07809525995850361,-0.05852951377916203,0.07398366328107177,-0.04907582358803186,0.07624684153621714,1.0,1.0,0.8581216951835677,1.1804470216588647,0.045233005781311696,1.7337046884171614,-2.882798877830637,5.184939779943067,-3.0443581373087665,5.374961375657176,0.08228985501973443,1.7585716543361556,0.9558439697821224,1.0575225468849656,-3.2295549285624294,5.863257016705108,0.07682835071752561,1.815456190665373
