section,call,n_scored,n_senders,prevalence_pct,n_all,frac_cells_scored
SPLN30,tierApm_p95__secondary_senescence,233748,11692,5.002,233748,1.0
SPLN30,tierApm_p95__tnfa_nfkb_proximal,233748,11691,5.002,233748,1.0
SPLN43,tierA_p90,182726,18276,10.002,182726,1.0
SPLN43,tierA_merged_p90,182726,18273,10.0,182726,1.0
SPLN43,senepy_p90,169101,16909,9.999,182726,0.9254
SPLN43,tierA_p95,182726,9138,5.001,182726,1.0
SPLN43,tierA_merged_p95,182726,9137,5.0,182726,1.0
SPLN43,senepy_p95,169101,8456,5.001,182726,0.9254
SPLN43,tierA_p99,182726,1830,1.001,182726,1.0
SPLN43,tierA_merged_p99,182726,1829,1.001,182726,1.0
SPLN43,senepy_p99,169101,1692,1.001,182726,0.9254
SPLN43,cdkn1a_pos,182726,3692,2.021,182726,1.0
SPLN43,tierApm_p95__downstream_arrest,182726,9140,5.002,182726,1.0
SPLN43,tierApm_p95__emt_ecm,182726,9140,5.002,182726,1.0
SPLN43,tierApm_p95__il6_jak_stat3,182726,9139,5.001,182726,1.0
SPLN43,tierApm_p95__interferon_response,182726,9140,5.002,182726,1.0
SPLN43,tierApm_p95__oxidative_stress,182726,9140,5.002,182726,1.0
SPLN43,tierApm_p95__secondary_senescence,182726,9139,5.001,182726,1.0
SPLN43,tierApm_p95__tnfa_nfkb_proximal,182726,9138,5.001,182726,1.0
SPLN44,tierA_p90,213035,21309,10.003,213035,1.0
SPLN44,tierA_merged_p90,213035,21153,9.929,213035,1.0
SPLN44,senepy_p90,198975,19901,10.002,213035,0.934
SPLN44,tierA_p95,213035,10657,5.002,213035,1.0
SPLN44,tierA_merged_p95,213035,10572,4.963,213035,1.0
SPLN44,senepy_p95,198975,9953,5.002,213035,0.934
SPLN44,tierA_p99,213035,2136,1.003,213035,1.0
SPLN44,tierA_merged_p99,213035,2108,0.99,213035,1.0
SPLN44,senepy_p99,198975,1993,1.002,213035,0.934
SPLN44,cdkn1a_pos,213035,15180,7.126,213035,1.0
SPLN44,tierApm_p95__downstream_arrest,213035,10657,5.002,213035,1.0
SPLN44,tierApm_p95__emt_ecm,213035,10657,5.002,213035,1.0
SPLN44,tierApm_p95__il6_jak_stat3,213035,10657,5.002,213035,1.0
SPLN44,tierApm_p95__interferon_response,213035,10657,5.002,213035,1.0
SPLN44,tierApm_p95__oxidative_stress,213035,10657,5.002,213035,1.0
SPLN44,tierApm_p95__secondary_senescence,213035,10657,5.002,213035,1.0
SPLN44,tierApm_p95__tnfa_nfkb_proximal,213035,10657,5.002,213035,1.0
