section,our_label_set,depositor_L3,n,modal_our_label,modal_share,frac_unknown,frac_lowquality
SPLN43,cell_type_merged,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),1278,B cells,0.4797,0.0438,0.09
SPLN43,cell_type_merged,B cell zone reticular cells CXCL13+MADCAM1+,2284,B cells,0.8932,0.0018,0.0184
SPLN43,cell_type_merged,B cells,35421,B cells,0.8489,0.0093,0.1117
SPLN43,cell_type_merged,Conventional dendritic cells,123,Mono/Mac/DC,0.3415,0.0732,0.122
SPLN43,cell_type_merged,Erythroid,985,Endothelial,0.3462,0.067,0.265
SPLN43,cell_type_merged,"Germinal center B cells, proliferating",1436,Plasma cells,0.8795,0.0,0.0007
SPLN43,cell_type_merged,Low quality,43101,Unknown,0.3122,0.3122,0.2383
SPLN43,cell_type_merged,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,1633,Stromal,0.7569,0.0447,0.0312
SPLN43,cell_type_merged,Metamyelocyte/Band Neutrophils DEFA1+,4485,Neutrophils,0.2638,0.1099,0.0662
SPLN43,cell_type_merged,Monocytes,3568,Mono/Mac/DC,0.8302,0.0488,0.0213
SPLN43,cell_type_merged,NK cells,5668,T/NK cells,0.7131,0.0235,0.0146
SPLN43,cell_type_merged,Neutrophils,15179,Unknown,0.7616,0.7616,0.0748
SPLN43,cell_type_merged,Plasma cells,11690,Plasma cells,0.6164,0.038,0.0623
SPLN43,cell_type_merged,Promyelocyte,1826,Neutrophils,0.7711,0.0394,0.0422
SPLN43,cell_type_merged,Red pulp fibroblasts,20910,Stromal,0.5867,0.1148,0.092
SPLN43,cell_type_merged,Red pulp macrophages,31119,Mono/Mac/DC,0.619,0.0994,0.1423
SPLN43,cell_type_merged,Sinusoidal endothelial cells (littoral cells),50346,Endothelial,0.8974,0.017,0.0427
SPLN43,cell_type_merged,Smooth muscle,11215,Stromal,0.3014,0.0738,0.1486
SPLN43,cell_type_merged,T cell zone reticular cells CCL21+ CCL19+,691,T/NK cells,0.3575,0.0116,0.0796
SPLN43,cell_type_merged,T cell zone reticular cells CXCL9+,45,T/NK cells,0.4222,0.0,0.0
SPLN43,cell_type_merged,T cells,12325,T/NK cells,0.6518,0.0271,0.0397
SPLN43,cell_type_merged,Vascular smooth muscle cells,2359,Stromal,0.9729,0.0013,0.0089
SPLN43,cell_type_merged,White pulp macrophages,1902,B cells,0.6577,0.0258,0.0289
SPLN43,cell_type_merged,"gdT cells, NK cells, and T cells",5168,T/NK cells,0.6712,0.0315,0.0346
SPLN44,cell_type,Arterial endothelial cells (KDR+ CD34+),4938,Smooth muscle / capsule,0.8987,0.0083,0.0138
SPLN44,cell_type,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),528,Follicular B cells,0.4318,0.0568,0.2102
SPLN44,cell_type,B cell zone reticular cells CXCL13+MADCAM1+,2536,Follicular B cells,0.5729,0.095,0.0773
SPLN44,cell_type,B cells,32448,Follicular B cells,0.8527,0.016,0.1061
SPLN44,cell_type,Conventional dendritic cells,1171,Monocytes,0.7071,0.0145,0.0307
SPLN44,cell_type,Erythroid,9570,Erythroid cells,0.6061,0.0194,0.0406
SPLN44,cell_type,"Germinal center B cells, proliferating",1825,cDC1,0.4405,0.2515,0.0093
SPLN44,cell_type,Low quality,17869,Low_quality,0.4101,0.1935,0.4101
SPLN44,cell_type,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,3427,Fibroblasts,0.4044,0.0712,0.073
SPLN44,cell_type,Metamyelocyte/Band Neutrophils DEFA1+,5684,Unknown,0.225,0.225,0.1372
SPLN44,cell_type,Monocytes,7996,Monocytes,0.8522,0.0389,0.019
SPLN44,cell_type,NK cells,7782,NK cells,0.6345,0.1827,0.0312
SPLN44,cell_type,Neutrophils,37926,Unknown,0.7221,0.7221,0.1056
SPLN44,cell_type,Plasma cells,15994,Plasma cells,0.6976,0.0722,0.0661
SPLN44,cell_type,Promyelocyte,4516,Neutrophils,0.8277,0.0396,0.0257
SPLN44,cell_type,Red pulp fibroblasts,23219,Fibroblasts,0.6166,0.0794,0.0692
SPLN44,cell_type,Red pulp macrophages,34757,Red pulp macrophages,0.5767,0.0282,0.0705
SPLN44,cell_type,Sinusoidal endothelial cells (littoral cells),43593,Endothelial cells,0.9387,0.0057,0.0143
SPLN44,cell_type,Smooth muscle,6587,Low_quality,0.2423,0.1511,0.2423
SPLN44,cell_type,T cell zone reticular cells CCL21+ CCL19+,3736,Smooth muscle / capsule,0.5624,0.227,0.0104
SPLN44,cell_type,T cell zone reticular cells CXCL9+,338,Monocytes,0.7219,0.1183,0.0325
SPLN44,cell_type,T cells,13648,Unknown,0.685,0.685,0.0575
SPLN44,cell_type,Vascular smooth muscle cells,4176,Smooth muscle / capsule,0.9037,0.0065,0.0189
SPLN44,cell_type,White pulp macrophages,3246,Red pulp macrophages,0.5444,0.0638,0.0296
SPLN44,cell_type,"gdT cells, NK cells, and T cells",12313,Unknown,0.7485,0.7485,0.0517
SPLN44,cell_type_merged,Arterial endothelial cells (KDR+ CD34+),4938,Stromal,0.9117,0.0008,0.0138
SPLN44,cell_type_merged,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),528,B cells,0.4318,0.0152,0.2102
SPLN44,cell_type_merged,B cell zone reticular cells CXCL13+MADCAM1+,2536,B cells,0.5729,0.0039,0.0773
SPLN44,cell_type_merged,B cells,32448,B cells,0.8527,0.0054,0.1061
SPLN44,cell_type_merged,Conventional dendritic cells,1171,Mono/Mac/DC,0.8992,0.0034,0.0307
SPLN44,cell_type_merged,Erythroid,9570,Erythroid cells,0.6061,0.008,0.0406
SPLN44,cell_type_merged,"Germinal center B cells, proliferating",1825,Mono/Mac/DC,0.4411,0.0,0.0093
SPLN44,cell_type_merged,Low quality,17869,Low_quality,0.4101,0.051,0.4101
SPLN44,cell_type_merged,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,3427,Stromal,0.7129,0.0581,0.073
SPLN44,cell_type_merged,Metamyelocyte/Band Neutrophils DEFA1+,5684,Neutrophils,0.1888,0.1634,0.1372
SPLN44,cell_type_merged,Monocytes,7996,Mono/Mac/DC,0.8779,0.0241,0.019
SPLN44,cell_type_merged,NK cells,7782,T/NK cells,0.7921,0.0252,0.0312
SPLN44,cell_type_merged,Neutrophils,37926,Unknown,0.7113,0.7113,0.1056
SPLN44,cell_type_merged,Plasma cells,15994,Plasma cells,0.6976,0.0226,0.0661
SPLN44,cell_type_merged,Promyelocyte,4516,Neutrophils,0.8277,0.0237,0.0257
SPLN44,cell_type_merged,Red pulp fibroblasts,23219,Stromal,0.6414,0.0588,0.0692
SPLN44,cell_type_merged,Red pulp macrophages,34757,Mono/Mac/DC,0.8219,0.0123,0.0705
SPLN44,cell_type_merged,Sinusoidal endothelial cells (littoral cells),43593,Endothelial,0.9387,0.001,0.0143
SPLN44,cell_type_merged,Smooth muscle,6587,Low_quality,0.2423,0.0809,0.2423
SPLN44,cell_type_merged,T cell zone reticular cells CCL21+ CCL19+,3736,Stromal,0.5715,0.0118,0.0104
SPLN44,cell_type_merged,T cell zone reticular cells CXCL9+,338,Mono/Mac/DC,0.8314,0.0,0.0325
SPLN44,cell_type_merged,T cells,13648,T/NK cells,0.6825,0.0263,0.0575
SPLN44,cell_type_merged,Vascular smooth muscle cells,4176,Stromal,0.938,0.0002,0.0189
SPLN44,cell_type_merged,White pulp macrophages,3246,Mono/Mac/DC,0.5764,0.0043,0.0296
SPLN44,cell_type_merged,"gdT cells, NK cells, and T cells",12313,T/NK cells,0.7724,0.0125,0.0517
