section,our_label_set,depositor_L3,n,modal_our_label,modal_share,frac_unknown,frac_lowquality
SPLN14,cell_type,Conventional dendritic cells,1241,Monocytes,0.9065,0.0403,0.0
SPLN14,cell_type,Erythroid,972,Unknown,0.465,0.465,0.0
SPLN14,cell_type,"Germinal center B cells, proliferating",678,Plasma cells,0.6372,0.0472,0.0
SPLN14,cell_type,Low quality,40228,Unknown,0.7038,0.7038,0.0
SPLN14,cell_type,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,3887,Smooth muscle / capsule,0.4759,0.0597,0.0
SPLN14,cell_type,Metamyelocyte/Band Neutrophils DEFA1+,1365,Unknown,0.4571,0.4571,0.0
SPLN14,cell_type,Monocytes,2852,Monocytes,0.7595,0.0964,0.0
SPLN14,cell_type,NK cells,7214,Unknown,0.8386,0.8386,0.0
SPLN14,cell_type,Neutrophils,2753,Unknown,0.7116,0.7116,0.0
SPLN14,cell_type,Plasma cells,19817,Plasma cells,0.699,0.1423,0.0
SPLN14,cell_type,Promyelocyte,191,Unknown,0.8063,0.8063,0.0
SPLN14,cell_type,Red pulp fibroblasts,20875,Fibroblasts,0.6605,0.1386,0.0
SPLN14,cell_type,Red pulp macrophages,33288,Red pulp macrophages,0.6054,0.2015,0.0
SPLN14,cell_type,Sinusoidal endothelial cells (littoral cells),48189,Endothelial cells,0.8919,0.0757,0.0
SPLN14,cell_type,Smooth muscle,11742,Unknown,0.2353,0.2353,0.0
SPLN14,cell_type,T cell zone reticular cells CCL21+ CCL19+,3851,Unknown,0.5238,0.5238,0.0
SPLN14,cell_type,T cell zone reticular cells CXCL9+,132,Monocytes,0.8485,0.0833,0.0
SPLN14,cell_type,T cells,14702,Unknown,0.8168,0.8168,0.0
SPLN14,cell_type,Vascular smooth muscle cells,2241,Smooth muscle / capsule,0.9518,0.0112,0.0
SPLN14,cell_type,White pulp macrophages,1379,Red pulp macrophages,0.5562,0.1284,0.0
SPLN14,cell_type,"gdT cells, NK cells, and T cells",7023,Unknown,0.8022,0.8022,0.0
SPLN14,cell_type_merged,Arterial endothelial cells (KDR+ CD34+),5443,Stromal,0.9272,0.0189,0.0
SPLN14,cell_type_merged,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),1464,B cells,0.4597,0.1113,0.0
SPLN14,cell_type_merged,B cell zone reticular cells CXCL13+MADCAM1+,4315,B cells,0.6155,0.0686,0.0
SPLN14,cell_type_merged,B cells,46832,B cells,0.7376,0.2237,0.0
SPLN14,cell_type_merged,Conventional dendritic cells,1241,Mono/Mac/DC,0.921,0.0298,0.0
SPLN14,cell_type_merged,Erythroid,972,Unknown,0.4198,0.4198,0.0
SPLN14,cell_type_merged,"Germinal center B cells, proliferating",678,Plasma cells,0.6372,0.0044,0.0
SPLN14,cell_type_merged,Low quality,40228,Unknown,0.4846,0.4846,0.0
SPLN14,cell_type_merged,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,3887,Stromal,0.8433,0.0507,0.0
SPLN14,cell_type_merged,Metamyelocyte/Band Neutrophils DEFA1+,1365,Unknown,0.3648,0.3648,0.0
SPLN14,cell_type_merged,Monocytes,2852,Mono/Mac/DC,0.7798,0.0726,0.0
SPLN14,cell_type_merged,NK cells,7214,T/NK cells,0.7991,0.0528,0.0
SPLN14,cell_type_merged,Neutrophils,2753,Unknown,0.5772,0.5772,0.0
SPLN14,cell_type_merged,Plasma cells,19817,Plasma cells,0.699,0.0991,0.0
SPLN14,cell_type_merged,Promyelocyte,191,Unknown,0.733,0.733,0.0
SPLN14,cell_type_merged,Red pulp fibroblasts,20875,Stromal,0.7334,0.108,0.0
SPLN14,cell_type_merged,Red pulp macrophages,33288,Mono/Mac/DC,0.6577,0.1623,0.0
SPLN14,cell_type_merged,Sinusoidal endothelial cells (littoral cells),48189,Endothelial,0.8919,0.054,0.0
SPLN14,cell_type_merged,Smooth muscle,11742,Stromal,0.3774,0.1625,0.0
SPLN14,cell_type_merged,T cell zone reticular cells CCL21+ CCL19+,3851,T/NK cells,0.4838,0.0408,0.0
SPLN14,cell_type_merged,T cell zone reticular cells CXCL9+,132,Mono/Mac/DC,0.9015,0.0076,0.0
SPLN14,cell_type_merged,T cells,14702,T/NK cells,0.7179,0.0999,0.0
SPLN14,cell_type_merged,Vascular smooth muscle cells,2241,Stromal,0.9772,0.0071,0.0
SPLN14,cell_type_merged,White pulp macrophages,1379,Mono/Mac/DC,0.5816,0.0558,0.0
SPLN14,cell_type_merged,"gdT cells, NK cells, and T cells",7023,T/NK cells,0.7182,0.0904,0.0
SPLN21,cell_type,Arterial endothelial cells (KDR+ CD34+),3057,Smooth muscle / capsule,0.8394,0.0043,0.053
SPLN21,cell_type,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),448,Follicular B cells,0.5737,0.0469,0.0513
SPLN21,cell_type,B cell zone reticular cells CXCL13+MADCAM1+,1555,Follicular B cells,0.6887,0.1016,0.0212
SPLN21,cell_type,B cells,22307,Follicular B cells,0.9146,0.0139,0.041
SPLN21,cell_type,Conventional dendritic cells,455,Monocytes,0.6901,0.033,0.0527
SPLN21,cell_type,Erythroid,1427,Erythroid cells,0.3322,0.0315,0.2081
SPLN21,cell_type,"Germinal center B cells, proliferating",567,Plasma cells,0.7178,0.0476,0.0
SPLN21,cell_type,Low quality,16978,Low_quality,0.334,0.1521,0.334
SPLN21,cell_type,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,1824,Smooth muscle / capsule,0.4836,0.0115,0.0373
SPLN21,cell_type,Metamyelocyte/Band Neutrophils DEFA1+,1247,Endothelial cells,0.1692,0.0874,0.1644
SPLN21,cell_type,Monocytes,6216,Monocytes,0.8227,0.0204,0.0352
SPLN21,cell_type,NK cells,6545,NK cells,0.6193,0.1166,0.0538
SPLN21,cell_type,Neutrophils,15634,Neutrophils,0.7725,0.0272,0.0879
SPLN21,cell_type,Plasma cells,8975,Plasma cells,0.5753,0.0546,0.1043
SPLN21,cell_type,Promyelocyte,417,Plasma cells,0.2974,0.0695,0.1559
SPLN21,cell_type,Red pulp fibroblasts,19622,Fibroblasts,0.6517,0.022,0.1009
SPLN21,cell_type,Red pulp macrophages,23257,Red pulp macrophages,0.5633,0.0233,0.1321
SPLN21,cell_type,Sinusoidal endothelial cells (littoral cells),31779,Endothelial cells,0.7782,0.0173,0.1551
SPLN21,cell_type,Smooth muscle,9540,Low_quality,0.2477,0.0606,0.2477
SPLN21,cell_type,T cell zone reticular cells CCL21+ CCL19+,1045,Follicular B cells,0.2545,0.2507,0.1435
SPLN21,cell_type,T cell zone reticular cells CXCL9+,135,Monocytes,0.637,0.1185,0.037
SPLN21,cell_type,T cells,11032,Unknown,0.6371,0.6371,0.0794
SPLN21,cell_type,Vascular smooth muscle cells,974,Smooth muscle / capsule,0.7721,0.0031,0.0318
SPLN21,cell_type,White pulp macrophages,1459,Unknown,0.5744,0.5744,0.0377
SPLN21,cell_type,"gdT cells, NK cells, and T cells",9635,Unknown,0.593,0.593,0.0739
SPLN21,cell_type_merged,Arterial endothelial cells (KDR+ CD34+),3057,Stromal,0.859,0.0,0.053
SPLN21,cell_type_merged,B cell zone reticular cells CXCL13+ MADCAM1+ (FDC),448,B cells,0.5737,0.0045,0.0513
SPLN21,cell_type_merged,B cell zone reticular cells CXCL13+MADCAM1+,1555,B cells,0.6887,0.0051,0.0212
SPLN21,cell_type_merged,B cells,22307,B cells,0.9146,0.0007,0.041
SPLN21,cell_type_merged,Conventional dendritic cells,455,Mono/Mac/DC,0.7297,0.0,0.0527
SPLN21,cell_type_merged,Erythroid,1427,Erythroid cells,0.3322,0.0007,0.2081
SPLN21,cell_type_merged,"Germinal center B cells, proliferating",567,Plasma cells,0.7178,0.0,0.0
SPLN21,cell_type_merged,Low quality,16978,Low_quality,0.334,0.0049,0.334
SPLN21,cell_type_merged,Marginal zone reticular cells CXCL13+NGFR+MADCAM1-,1824,Stromal,0.7451,0.0005,0.0373
SPLN21,cell_type_merged,Metamyelocyte/Band Neutrophils DEFA1+,1247,Mono/Mac/DC,0.1925,0.0008,0.1644
SPLN21,cell_type_merged,Monocytes,6216,Mono/Mac/DC,0.8456,0.0,0.0352
SPLN21,cell_type_merged,NK cells,6545,T/NK cells,0.7351,0.0008,0.0538
SPLN21,cell_type_merged,Neutrophils,15634,Neutrophils,0.7725,0.0004,0.0879
SPLN21,cell_type_merged,Plasma cells,8975,Plasma cells,0.5753,0.0008,0.1043
SPLN21,cell_type_merged,Promyelocyte,417,Plasma cells,0.2974,0.0,0.1559
SPLN21,cell_type_merged,Red pulp fibroblasts,19622,Stromal,0.6656,0.0001,0.1009
SPLN21,cell_type_merged,Red pulp macrophages,23257,Mono/Mac/DC,0.7181,0.0013,0.1321
SPLN21,cell_type_merged,Sinusoidal endothelial cells (littoral cells),31779,Endothelial,0.7782,0.0001,0.1551
SPLN21,cell_type_merged,Smooth muscle,9540,Stromal,0.2769,0.001,0.2477
SPLN21,cell_type_merged,T cell zone reticular cells CCL21+ CCL19+,1045,Stromal,0.2612,0.0057,0.1435
SPLN21,cell_type_merged,T cell zone reticular cells CXCL9+,135,Mono/Mac/DC,0.7926,0.0074,0.037
SPLN21,cell_type_merged,T cells,11032,T/NK cells,0.6414,0.0005,0.0794
