section,A,B,n,n_A,n_B,n_both,jaccard,chance,ratio
SPLN24,tierA_score,abs_deepscence_score,322209,16159,14495,453,0.015,0.02407,0.623
SPLN24,senepy_score,deepscence_score,304702,15279,15277,841,0.0283,0.02578,1.098
SPLN24,senepy_score,cdkn1a_counts,304702,15279,7221,546,0.02487,0.01649,1.508
SPLN24,senepy_score,abs_deepscence_score,304702,15279,13641,556,0.0196,0.02412,0.813
SPLN24,deepscence_score,cdkn1a_counts,322209,16163,7661,1329,0.05908,0.01708,3.458
SPLN24,deepscence_score,abs_deepscence_score,322209,16163,14495,0,0.0,0.02372,0.0
SPLN24,cdkn1a_counts,abs_deepscence_score,322209,7661,14495,1,5e-05,0.01556,0.003
SPLN30,tierA_score,senepy_score,233748,11694,11625,568,0.02497,0.02556,0.977
SPLN30,tierA_score,deepscence_score,233748,11694,11576,886,0.03958,0.02587,1.53
SPLN30,tierA_score,cdkn1a_counts,233748,11694,2931,165,0.01141,0.01014,1.125
SPLN30,tierA_score,abs_deepscence_score,233748,11694,5703,320,0.01874,0.01671,1.122
SPLN30,senepy_score,deepscence_score,233748,11625,11576,696,0.03093,0.02558,1.209
SPLN30,senepy_score,cdkn1a_counts,233748,11625,2931,246,0.01719,0.01019,1.688
SPLN30,senepy_score,abs_deepscence_score,233748,11625,5703,322,0.01893,0.01668,1.135
SPLN30,deepscence_score,cdkn1a_counts,233748,11576,2931,1310,0.09926,0.011,9.025
SPLN30,deepscence_score,abs_deepscence_score,233748,11576,5703,3634,0.26632,0.0207,12.867
SPLN30,cdkn1a_counts,abs_deepscence_score,233748,2931,5703,146,0.0172,0.00842,2.042
SPLN43,tierA_score,senepy_score,169101,8480,8480,371,0.02236,0.02563,0.872
SPLN43,tierA_score,deepscence_score,182726,9165,9123,601,0.03398,0.02587,1.313
SPLN43,tierA_score,cdkn1a_counts,182726,9165,2946,196,0.01645,0.0124,1.326
SPLN43,tierA_score,abs_deepscence_score,182726,9165,3826,221,0.01731,0.01503,1.152
SPLN43,senepy_score,deepscence_score,169101,8480,8441,502,0.03057,0.02578,1.186
SPLN43,senepy_score,cdkn1a_counts,169101,8480,2789,197,0.01779,0.01263,1.409
SPLN43,senepy_score,abs_deepscence_score,169101,8480,3185,149,0.01294,0.01387,0.933
SPLN43,deepscence_score,cdkn1a_counts,182726,9123,2946,883,0.07894,0.01315,6.003
SPLN43,deepscence_score,abs_deepscence_score,182726,9123,3826,2113,0.195,0.01763,11.062
SPLN43,cdkn1a_counts,abs_deepscence_score,182726,2946,3826,112,0.01682,0.00926,1.816
SPLN44,tierA_score,senepy_score,198975,9977,9978,459,0.02354,0.02566,0.917
SPLN44,tierA_score,deepscence_score,213035,10696,10678,1510,0.07602,0.02699,2.817
SPLN44,tierA_score,cdkn1a_counts,213035,10696,4796,262,0.0172,0.01581,1.088
SPLN44,tierA_score,abs_deepscence_score,213035,10696,8333,250,0.01331,0.02228,0.598
SPLN44,senepy_score,deepscence_score,198975,9978,9964,486,0.02498,0.02568,0.973
SPLN44,senepy_score,cdkn1a_counts,198975,9978,4528,307,0.02162,0.01599,1.352
SPLN44,senepy_score,abs_deepscence_score,198975,9978,7851,393,0.02254,0.02258,0.998
SPLN44,deepscence_score,cdkn1a_counts,213035,10678,4796,1545,0.11092,0.01726,6.427
SPLN44,deepscence_score,abs_deepscence_score,213035,10678,8333,0,0.0,0.02197,0.0
SPLN44,cdkn1a_counts,abs_deepscence_score,213035,4796,8333,5,0.00038,0.01429,0.027
